ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.4112,,,,,,,,,,,,,,,,7e94579f-ad1d-4709-a4b5-69c02bfe5071,16,,"[36.9, 18.5]",70277,0,,,,,-0.42483217,,Left Foot,,,,"[41.1, 16.6]",,High Pass,,4.609772,,Incomplete,,,,,,,,,Recovery,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Levante UD,221,"['44b3215b-8a4b-4424-84f4-2271a7e16486', '802ec182-7a4b-447b-9d89-b8aafb902a9f']",8,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.361,Pass,,2013/2014
,,,,,,,,,,,,,,,0.966,,,,,,,,,,,,,,,,e5cd201c-033c-4694-b690-89fdc1b224e3,22,,"[42.4, 43.1]",70277,0,,,,,2.3992712,,Right Foot,,,,"[30.3, 54.2]",,Ground Pass,,16.420109,,,,Daniel Alves da Silva,4324.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,3,Barcelona,217,['6f1afcf3-2891-4b95-8168-3371eefc50c8'],13,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.411,Pass,,2013/2014
,,,,,,,,,,,,,,,1.5734,,,,,,,,,,,,,,,,a374cffb-da82-406a-93e5-c55a9f21c219,26,,"[28.4, 54.5]",70277,0,,,,,-2.5324292,,Right Foot,,,,"[19.8, 48.5]",,Ground Pass,,10.486181,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,"['809532ac-c048-4617-98f0-ff0adc2b2490', 'ef929b98-acca-40f1-a9a5-26fc9bb22f01']",14,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.497,Pass,True,2013/2014
,,,,,,,,,,,,,,,1.2661,,,,,,,,,,,,,,,,da9ea23a-af51-48fc-8be4-2c8748482740,29,,"[21.5, 48.5]",70277,0,,,,,-2.4429328,,Right Foot,,,,"[6.5, 35.9]",,Ground Pass,,19.589794,,,,Víctor Valdés Arribas,20176.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['20ce1a95-8e90-4b9b-85d7-21c173a331b8'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.084,Pass,,2013/2014
,,,,,,,,,,,,,,,1.494235,,,,,,,,,,,,,,,,abc677ec-c7b2-4827-b135-1898d14a7c35,32,,"[6.5, 35.9]",70277,0,,,,,1.4195787,,Right Foot,,,,"[9.7, 56.9]",,Ground Pass,,21.24241,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,3,Barcelona,217,['800c57fe-2a01-4ce7-9225-020b712d1255'],20,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.627,Pass,,2013/2014
,,,,,,,,,,,,,,,2.208134,,,,,,,,,,,,,,,,ee2d5b3f-7cf5-48f0-8e57-0b0ee6b984b2,35,,"[9.5, 57.9]",70277,0,,,,,-1.4239029,,Right Foot,,,,"[15.3, 18.7]",,Ground Pass,,39.62676,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['e427fd4e-1ac0-4007-a24f-8623639b2bdc'],23,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.512,Pass,,2013/2014
,,,,,,,,,,,,,,,2.544738,,,,,,,,,,,,,,,,d6afda03-d7a5-478f-95b9-f41c09bd3285,38,,"[34.4, 19.7]",70277,0,,,,,1.404066,,Right Foot,,,,"[41.3, 60.7]",,Ground Pass,,41.576557,,,,Gerard Piqué Bernabéu,5213.0,,,True,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Left Center Back,3,Barcelona,217,['972769d5-204b-429f-8e43-134e301d9346'],30,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.162,Pass,,2013/2014
,,,,,,,,,,,,,,,1.862168,,,,,,,,,,,,,,,,85fde36b-afd1-417b-b1bc-1e1ad553c748,41,,"[41.9, 62.5]",70277,0,,,,,-1.5319809,,Right Foot,,,,"[43.5, 21.3]",,Ground Pass,,41.231056,,,,Javier Alejandro Mascherano,5506.0,,,True,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['2ca01213-ebb8-42a1-a3fa-6c058b16b60f'],35,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.131,Pass,,2013/2014
,,,,,,,,,,,,,,,1.186609,,,,,,,,,,,,,,,,377f77e6-752b-470c-818b-d3a4f0c2f023,44,,"[50.0, 23.2]",70277,0,,,,,-1.2210157,,Right Foot,,,,"[55.8, 7.3]",,Ground Pass,,16.924833,,,,Adriano Correia Claro,22102.0,,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Left Center Back,3,Barcelona,217,['0b7d15af-dbc0-46df-8b27-4aba66aa66db'],38,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.544,Pass,,2013/2014
,,,,,,,,,,,,,,,1.2098,,,,,,,,,,,,,,,,0c90fe9b-ff7a-467e-8fc7-10085cc249b8,48,,"[53.9, 6.9]",70277,0,,,,,-0.11272761,,Right Foot,,,,"[69.8, 5.1]",,Ground Pass,,16.001562,,,,Francesc Fàbregas i Soler,3478.0,,,,,,,1,Regular Play,Adriano Correia Claro,22102.0,Left Back,3,Barcelona,217,['fd027645-5b99-4662-9496-e538f380c371'],40,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.762,Pass,,2013/2014
,,,,,,,,,,,,,,,1.6258,,,,,,,,,,,,,,,,aca7f05e-c5bf-4027-815c-2553df0e359b,58,,"[72.6, 65.9]",70277,0,,,,,-2.5161076,,Left Foot,,,,"[69.0, 63.3]",,Ground Pass,,4.4407206,,Incomplete,,Nabil El Zhar,6608.0,,,,,,,1,Regular Play,Jordi Xumetra Feliu,27123.0,Right Wing,3,Barcelona,217,"['2505e131-9ba5-4299-8bfc-50a85dc65713', '3759019b-e85a-4a44-a741-27d8c5b8749c', '857accf0-e038-4134-8ec5-03ee3745c6e5']",46,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:46.701,Pass,True,2013/2014
,,,,,,,,,,,,,,,0.909716,,,,,,,,,,,,,,,,ee4a20c0-8435-4146-9abb-0d2c34362341,62,,"[65.4, 21.0]",70277,0,,,,,1.6741307,,Right Foot,,,,"[64.0, 34.5]",,Ground Pass,,13.572398,,,,Xavier Hernández Creus,20131.0,,,,,,,1,Regular Play,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,3,Barcelona,217,['12b82eca-368e-4d65-84da-30636197f949'],49,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.681,Pass,,2013/2014
,,,,,,,,,,,,,,,0.8291,,,,,,,,,,,,,,,,23ea986e-2280-4d97-86e1-ce4e6eaf06e6,65,,"[64.0, 34.5]",70277,0,,,,,-0.8633648,,Right Foot,,,,"[69.9, 27.6]",,Ground Pass,,9.078547,,,,Francesc Fàbregas i Soler,3478.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,3,Barcelona,217,['a57de309-3f48-4574-9714-3ec17bf31840'],50,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.751,Pass,,2013/2014
,,,,,,,,,,,,,,,0.7315,,,,,,,,,,,,,,,,11dcd6d6-c6e8-4003-a151-400f87a18243,68,,"[69.9, 27.6]",70277,0,,,,,-1.94013,,Left Foot,,,,"[66.3, 18.3]",,Ground Pass,,9.972462,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,Regular Play,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,3,Barcelona,217,['7099b741-c6d6-4cac-b99f-e29e09d35198'],52,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.145,Pass,,2013/2014
,,,,,,,,,,,,,,,1.966874,,,,,,,,,,,,,,,,77eedd30-6f43-4b37-b78f-d9451dfb20e6,71,,"[69.2, 17.9]",70277,0,,,,,-0.6080892,,Right Foot,,,,"[89.6, 3.7]",,Ground Pass,,24.855583,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['73044b91-6857-4b36-bd07-dae5fcb88f83'],53,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.251,Pass,,2013/2014
,,,,,,,,,,,,,,,0.302,,,,,,,,,,,,,,,,a0e59e70-2b03-4a2a-b205-d766ae913ad7,75,,"[116.5, 17.5]",70277,1,,,,,1.59936,,Left Foot,,,,"[116.4, 21.0]",,Ground Pass,,3.5014284,,Incomplete,,,,,,,,,,1,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,3,Barcelona,217,['1076bcdd-423b-4c3e-a5d5-082e6da90ff0'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.379,Pass,,2013/2014
,,,,,,,,,,,,,,,0.896134,,,,,,,,,,,,,,,,a424ef0f-6d57-4914-bc80-64d18ce3d313,77,,"[120.0, 1.0]",70277,1,,,,,2.6847477,,Right Foot,,,,"[114.1, 3.9]",,Ground Pass,,6.574192,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Corner,1,From Corner,Xavier Hernández Creus,20131.0,Right Center Midfield,4,Barcelona,217,['ccce36d5-2656-4fe0-998c-97281f603bbe'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:17.750,Pass,,2013/2014
,,,,,,,,,,,,,,,1.5176,,,,,,,,,,,,,,,,0623c954-78cf-4ab0-899e-f17de9616ecc,80,,"[114.1, 3.9]",70277,1,,,,,2.8926299,,Left Foot,,,,"[90.5, 9.9]",,Ground Pass,,24.35077,,,,Adriano Correia Claro,22102.0,,,,,,,1,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,4,Barcelona,217,['cf073ae6-cbe1-46e3-99b2-2cbee209ceb2'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:19.110,Pass,,2013/2014
,,,,,,,,,,,,,,,1.550803,,,,,,,,,,,,,,,,9dc34734-406d-461c-91f1-a1abc650b386,83,,"[89.4, 19.5]",70277,1,,,,,0.5762483,,Right Foot,,,,"[117.1, 37.5]",,High Pass,,33.03468,,Incomplete,,,,,,,,,,1,From Corner,Adriano Correia Claro,22102.0,Left Back,4,Barcelona,217,['65996d58-12f9-484f-bfa8-b2e3153aa02d'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:22.276,Pass,,2013/2014
,,,,,,,,,,,,,,,1.357419,,,,,,,,,,,,,,,,b247e76b-5449-463b-915c-aaeeff0c5859,86,,"[14.9, 46.0]",70277,1,,,,,-0.92194766,,Keeper Arm,,,,"[26.2, 31.1]",,Ground Pass,,18.700268,,,,David Navarro Pedrós,26012.0,,,,,,,1,Regular Play,Keylor Navas Gamboa,5597.0,Goalkeeper,5,Levante UD,221,['58c97042-150d-495c-abac-3d9c899c87ac'],32,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:32.954,Pass,,2013/2014
,,,,,,,,,,,,,,,1.7292,,,,,,,,,,,,,,,,5be670cb-8ae3-4365-9223-6eca8fe2fb9d,89,,"[27.5, 30.7]",70277,1,,,,,2.4991245,,Right Foot,,,,"[12.0, 42.3]",,Ground Pass,,19.36001,,,,Keylor Navas Gamboa,5597.0,,,,,,,1,Regular Play,David Navarro Pedrós,26012.0,Left Center Back,5,Levante UD,221,['965bac3c-f333-495f-8eaf-a7a28c062a23'],34,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:34.364,Pass,,2013/2014
,,,,,,,,,,,,,,,2.6363,,,,,,,,,,,,,,,,775baaf9-7055-48d0-8359-c5c2bb0b7463,92,,"[14.2, 42.1]",70277,1,,,,,0.3781624,,Right Foot,,,,"[73.1, 65.5]",,High Pass,,63.377995,,Incomplete,,,,,,,,,,1,Regular Play,Keylor Navas Gamboa,5597.0,Goalkeeper,5,Levante UD,221,['5c80b877-57aa-406f-b071-164352ab5676'],37,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:37.887,Pass,,2013/2014
,,,,,,,,,,,,,,,1.960118,,,,,,,,,,,,,,,,7ea8a176-a413-43d4-84e5-a7ec0360727a,96,,"[48.5, 14.3]",70277,1,,,,,1.7826239,,Right Foot,,,,"[40.5, 51.5]",,High Pass,,38.05049,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Adriano Correia Claro,22102.0,Left Back,6,Barcelona,217,['9ffb69bc-e764-4d89-9201-b056245ab6a0'],43,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:43.117,Pass,,2013/2014
,,,,,,,,,,,,,,,1.882681,,,,,,,,,,,,,,,,41dc9d0b-b4a1-4a58-a7ff-44e63590696e,99,,"[44.0, 50.1]",70277,1,,,,,-1.6262949,,Right Foot,,,,"[42.7, 26.7]",,Ground Pass,,23.436083,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,6,Barcelona,217,['825cbf80-e6fa-44b6-ac0e-166f4c1c66ec'],46,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:46.252,Pass,,2013/2014
,,,,,,,,,,,,,,,0.8044,,,,,,,,,,,,,,,,30698a71-15d5-417d-91d6-218f9582bf08,102,,"[42.4, 25.4]",70277,1,,,,,-0.06559917,,Right Foot,,,,"[56.1, 24.5]",,Ground Pass,,13.72953,,,,Xavier Hernández Creus,20131.0,,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Left Center Back,6,Barcelona,217,['86cccc15-2351-463e-8bc1-1bb09e26913f'],49,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:49.241,Pass,,2013/2014
,,,,,,,,,,,,,,,1.341016,,,,,,,,,,,,,,,,47ead805-be16-4289-9c8e-2236ed08f4dc,105,,"[56.1, 24.5]",70277,1,,,,,-2.0344439,,Left Foot,,,,"[49.3, 10.9]",,Ground Pass,,15.205262,,,,Adriano Correia Claro,22102.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,6,Barcelona,217,['002b1f9f-fa84-4a3e-a31c-df18d091ccbe'],50,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:50.086,Pass,,2013/2014
,,,,,,,,,,,,,,,1.756648,,,,,,,,,,,,,,,,d2d860ae-50db-47ce-83df-6f04d8411895,108,,"[49.3, 10.9]",70277,1,,,,,-0.40786797,,Right Foot,,,,"[65.5, 3.9]",,Ground Pass,,17.647663,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,,1,Regular Play,Adriano Correia Claro,22102.0,Left Back,6,Barcelona,217,['1c0390d7-e5c9-4e5b-8c58-b5ff14dd1616'],52,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:52.177,Pass,,2013/2014
,,,,,,,,,,,,,,,0.951935,,,,,,,,,,,,,,,,10b100e5-9ed5-4d8c-8af4-dae205570e74,112,,"[64.4, 5.1]",70277,1,,,,,2.3438494,,Right Foot,,,,"[56.4, 13.3]",,Ground Pass,,11.456003,,,,Xavier Hernández Creus,20131.0,,,,,,,1,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,6,Barcelona,217,['72517723-8b34-4dfd-9699-6c64933ff934'],54,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:54.902,Pass,,2013/2014
,,,,,,,,,,,,,,,1.360836,,,,,,,,,,,,,,,,11ccb3c7-954a-4848-bbe3-ec1deafa8d8b,116,,"[56.6, 17.7]",70277,1,,,,,2.6264148,,Left Foot,,,,"[43.0, 25.4]",,Ground Pass,,15.6285,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,6,Barcelona,217,['3434140b-a612-4064-9712-1757c5088541'],58,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:58.054,Pass,,2013/2014
,,,,,,,,,,,,,,,1.952005,,,,,,,,,,,,,,,,de884c51-a88c-4473-b939-a73346374a7c,119,,"[47.3, 35.0]",70277,2,,,,,1.2757773,,Right Foot,,,,"[55.9, 63.3]",,Ground Pass,,29.577864,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Left Center Back,6,Barcelona,217,['92156f68-b0dd-45aa-95c4-c1cf7418d55d'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:01.556,Pass,,2013/2014
,,,,,,,,,,,,,,,1.127947,,,,,,,,,,,,,,,,ed8dc441-7f81-44a7-a563-7cf4ad7e9e47,122,,"[63.3, 65.7]",70277,2,,,,,-0.61377007,,Right Foot,,,,"[76.5, 56.4]",,Ground Pass,,16.147137,,,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,6,Barcelona,217,['bdad5cac-9d1c-4f96-9583-6944b5d84095'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:04.724,Pass,,2013/2014
