bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2774d525-ccf2-40b8-ad1f-0950b355d454,15,,,"[49.2, 56.8]",3773695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Ronald Federico Araújo da Silva,32480.0,Right Center Back,2,Barcelona,217,['2c422cf6-cde2-420b-882c-573ae4870ba1'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.177,Ball Receipt*,,2020/2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7a3e2fd2-1d3d-452a-9f2c-175021c44b1a,18,,,"[48.1, 48.6]",3773695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Center Back,2,Barcelona,217,['32493e7f-b21e-4620-bd8f-5c9c2cfb1b0d'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.855,Ball Receipt*,,2020/2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4c0e1be3-7252-46c7-a486-cd2cdeed781f,21,,,"[56.5, 20.8]",3773695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['d117c134-e5d0-47bf-8d76-110e5b2a68f6'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.727,Ball Receipt*,,2020/2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d58cc6c6-0172-450b-a27c-069f26b97126,24,,,"[67.7, 5.1]",3773695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Wing Back,2,Barcelona,217,['cea5c089-45c5-4272-8bd4-80f3f4303046'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.725,Ball Receipt*,,2020/2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e469dcea-acbc-4b7c-9710-42bd59d96133,28,,,"[75.9, 3.4]",3773695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Pedro González López,30486.0,Left Center Midfield,2,Barcelona,217,['d39c67f9-a1af-4cff-a515-cd4e8eedd6b9'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.791,Ball Receipt*,,2020/2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7e3c3a91-4850-4b25-bfb9-5c609b356f8e,30,,,"[56.6, 5.7]",3773695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['696e5487-bb1b-4f4d-bbdd-a88690f67297'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.201,Ball Receipt*,,2020/2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fb003e2f-59c8-4986-9ce9-e50fbd4df314,33,,,"[46.6, 31.2]",3773695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Center Back,2,Barcelona,217,['e2e6fa23-1764-4a06-91b7-a4e0535331b3'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.330,Ball Receipt*,,2020/2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9113047b-b00f-480d-8d06-6380566fa136,36,,,"[55.4, 58.6]",3773695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Ronald Federico Araújo da Silva,32480.0,Right Center Back,2,Barcelona,217,['a0b3a8dc-e484-4ca1-bbb8-83742a507f87'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.062,Ball Receipt*,,2020/2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f874c702-dcac-4f2a-a853-7167a35f10d9,39,,,"[49.8, 49.3]",3773695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Center Back,2,Barcelona,217,['ea492ca2-0fc8-4072-8f1f-2bec07efd478'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.200,Ball Receipt*,,2020/2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e3329070-3ef5-4d4c-8d87-b85f3adb4055,42,,,"[68.9, 4.0]",3773695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Wing Back,2,Barcelona,217,['158705a3-c15f-4c0b-8827-bc081701be05'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.066,Ball Receipt*,,2020/2021
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183d44c2-52dc-4c66-be6e-e7d3ef40c30a,45,,,"[83.0, 3.0]",3773695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Antoine Griezmann,5487.0,Left Center Forward,2,Barcelona,217,['4b8db1d9-ca07-4b6d-9d57-796e7278f607'],39,,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.119,Ball Receipt*,,2020/2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458de1f2-2631-49f8-a00b-3e6bf8efb748,48,,,"[61.1, 3.4]",3773695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,['dc5541d0-d0f1-4950-9f27-d14bf45f9553'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.290,Ball Receipt*,,2020/2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f2fdf645-4022-4b71-8d7f-2e5368161902,51,,,"[48.1, 32.6]",3773695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Center Back,3,Barcelona,217,['cf3b9b61-b38a-4794-bddc-a0cc379a2a90'],50,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.002,Ball Receipt*,,2020/2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52c967de-adc9-4ee0-951a-97bd7e85cdb0,54,,,"[63.2, 56.1]",3773695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ronald Federico Araújo da Silva,32480.0,Right Center Back,3,Barcelona,217,['0ea981a4-31ad-4e84-a172-a58e11e515c8'],55,,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.137,Ball Receipt*,,2020/2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395266e9-1f86-4b5d-b6cd-d89a526dd24c,57,,,"[79.6, 49.5]",3773695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,3,Barcelona,217,['c93ffc9e-be3e-4e63-9691-c5ebb6d74412'],58,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.857,Ball Receipt*,,2020/2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15de9c37-379b-499e-b83f-8ec7962d61e7,59,,,"[75.1, 48.9]",3773695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['76a67378-6815-4a57-a535-06a25192e2d5'],59,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.537,Ball Receipt*,,2020/2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,df8f395a-03c1-47b9-b0c8-29da9137531b,62,,,"[76.8, 20.0]",3773695,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,['bcfe3f35-87e5-4440-8bdf-0bca1032b56a'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:01:02.835,Ball Receipt*,,2020/2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f027ffb4-5532-434e-bac7-f872b68978ec,65,,,"[99.3, 20.8]",3773695,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Antoine Griezmann,5487.0,Left Center Forward,3,Barcelona,217,['bb4ad630-3dab-46d1-ae58-cd01bdb0d50c'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.315,Ball Receipt*,,2020/2021
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c978abc-3341-4534-98eb-138e400710d2,67,,,"[103.8, 26.1]",3773695,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Pedro González López,30486.0,Left Center Midfield,3,Barcelona,217,['4d3da0e4-be15-4ede-8f36-d2a848c2849a'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.809,Ball Receipt*,,2020/2021
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2572ea6-de18-4ad0-adaa-527f20d3758f,69,,,"[15.2, 47.4]",3773695,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Jasper Cillessen,8652.0,Goalkeeper,3,Barcelona,217,['4641d7aa-4424-4268-b95e-9cb02fc96314'],7,,,,,,,,,,,,,,,,,Valencia,207,00:01:07.157,Ball Receipt*,,2020/2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c11f267c-86ef-4afd-a463-eb36e4b038ae,78,,,"[63.6, 19.0]",3773695,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['29008804-3594-4023-a492-ad07cbe0ddee'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.038,Ball Receipt*,,2020/2021
