bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,"[64.0, 33.2]",,,,,,,,,,,,0.040000003,,,,,,,,,,,,,dad47fa5-aa52-4931-84b4-6d19d867f021,577,,"[64.0, 33.2]",69283,13,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,45,Barcelona,217,"['3fa8a933-0047-4e06-a763-c87d8ea0f4a5', 'b5a989b1-9ddf-45a2-a207-13379b14b273']",0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:13:00.718,Carry,,2010/2011
,,,,,"[74.6, 40.4]",,,,,,,,,,,,1.2765,,,,,,,,,,,,,61b43ad8-c07f-4626-a056-3f99d096a587,580,,"[73.3, 44.7]",69283,13,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,45,Barcelona,217,"['1b3a23a3-f4b2-4812-97f1-cf9c37ad057f', 'b990132f-ee82-4624-9dc4-6004ed38a73b', 'e9c14456-5d59-41bd-a8a8-b3a5390ac4fe']",1,,,,,,,,,,,,,,,,,,,Barcelona,217,00:13:01.417,Carry,True,2010/2011
,,,,,"[70.5, 28.6]",,,,,,,,,,,,3.5734,,,,,,,,,,,,,bee8b61a-297f-4acc-bc60-a472e637a6a6,590,,"[70.7, 20.3]",69283,13,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,45,Barcelona,217,"['d50d7784-96c6-45c0-b080-c2e7aba3ba50', 'd8ab010d-f32e-462c-bb47-24eb62b79d80']",6,,,,,,,,,,,,,,,,,,,Barcelona,217,00:13:06.144,Carry,,2010/2011
,,,,,"[57.2, 25.9]",,,,,,,,,,,,0.7684,,,,,,,,,,,,,6efcde47-2f69-4b03-94a2-0943871c9aaa,593,,"[57.2, 25.9]",69283,13,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,45,Barcelona,217,"['0215016e-80db-4bd6-8545-53ff29953b97', '4e745a75-db63-4545-a616-293712778801']",10,,,,,,,,,,,,,,,,,,,Barcelona,217,00:13:10.712,Carry,,2010/2011
,,,,,"[70.3, 7.5]",,,,,,,,,,,,1.3624,,,,,,,,,,,,,46a977bf-e889-48f7-a1a4-970cb3a174be,596,,"[70.9, 6.9]",69283,13,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Left Center Midfield,45,Barcelona,217,"['2587627d-c236-4ae2-8e76-fd6905b974cd', 'c373c344-1e69-48d6-ac22-be044606f27a']",13,,,,,,,,,,,,,,,,,,,Barcelona,217,00:13:13.286,Carry,,2010/2011
,,,,,"[85.7, 31.1]",,,,,,,,,,,,0.8679,,,,,,,,,,,,,9d3dbc10-7da0-497f-b62a-1ac3cc82ccb0,600,,"[81.1, 23.5]",69283,13,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,David Villa Sánchez,12737.0,Left Wing,45,Barcelona,217,"['3f8f93ad-adb4-4a0e-a894-165908b0792a', '6f6d8a9c-cec6-4f9e-9705-97d6945fd159', 'fd4ccd0e-b34b-467d-984a-e4753aa63fc8']",15,,,,,,,,,,,,,,,,,,,Barcelona,217,00:13:15.762,Carry,True,2010/2011
,,,,,"[96.5, 23.7]",,,,,,,,,,,,7.6644,,,,,,,,,,,,,8c584485-a178-489b-b936-0728d529ec6e,603,,"[93.0, 40.9]",69283,13,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,45,Barcelona,217,"['0740f6ea-6c11-436d-9f23-4c15e6253b43', '3b4e8d11-7ff5-44de-bcbe-bf08db206d61', 'adb3e907-3d18-402a-ae1c-c137f4e6f645']",17,,,,,,,,,,,,,,,,,,,Barcelona,217,00:13:17.640,Carry,True,2010/2011
,,,,,"[89.9, 49.5]",,,,,,,,,,,,4.6493,,,,,,,,,,,,,586bfdd7-ba42-4874-b433-ee3f707d7da5,608,,"[85.7, 49.1]",69283,13,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Seydou Kéita,20169.0,Right Center Midfield,45,Barcelona,217,"['02a76c47-9662-458b-accb-a1a703acc9e9', '74fb7e8d-2b3e-4829-8e17-91bc386efd9e', '979ae467-70b0-4d2f-8ea4-0a54015a380c']",26,,,,,,,,,,,,,,,,,,,Barcelona,217,00:13:26.578,Carry,True,2010/2011
,,,,,"[93.6, 50.6]",,,,,,,,,,,,0.7112,,,,,,,,,,,,,839f1edf-303a-4557-a99c-5c2d22583a88,612,,"[89.9, 49.5]",69283,13,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Seydou Kéita,20169.0,Right Center Midfield,45,Barcelona,217,"['010d9a36-141e-490f-b634-27f092112628', '355ba8ae-db68-404e-813d-3ef9c009d602', '74fb7e8d-2b3e-4829-8e17-91bc386efd9e']",31,,,,,,,,,,,,,,,,,,,Barcelona,217,00:13:31.228,Carry,True,2010/2011
,,,,,"[64.8, 61.4]",,,,,,,,,,,,3.6825,,,,,,,,,,,,,98e80d4c-bc81-4931-aed6-213942af326f,620,,"[42.5, 56.7]",69283,13,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,48,Barcelona,217,"['24a6d5ef-bb98-4468-bfae-85dafff1b660', '7bd536c6-4a90-451b-bd96-56082b49cd8a', 'c3360a2f-a365-4c03-a7ee-0e9f49483f92']",48,,,,,,,,,,,,,,,,,,,Barcelona,217,00:13:48.010,Carry,True,2010/2011
