ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,0bcbb0f3-534d-4f4b-8b23-58295fdb07f4,47,,,"[83.4, 33.2]",69173,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Anderson Luís de Souza,19757.0,Right Center Midfield,3,Barcelona,217,['943484dc-d507-40bc-b69e-833d07a4bc6d'],38,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.366,Ball Receipt*,,2007/2008
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,09107ccf-7569-4b73-9786-768faa6c4816,49,,,"[33.3, 72.2]",69173,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jorge López Montaña,26025.0,Right Midfield,3,Barcelona,217,['f3c62b5b-d4bd-4aaa-b61d-783531eb7229'],38,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:38.970,Ball Receipt*,,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,5a157ed8-c68b-49c5-8dbb-afde14a2ae6d,55,,,"[45.6, 51.6]",69173,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jordi López Felpeto,25958.0,Left Defensive Midfield,3,Barcelona,217,"['7aa4d28a-a518-4d08-905a-e481e77db289', 'fd20d1c3-8542-4cc6-af64-7c730f02eab2']",42,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:42.078,Ball Receipt*,True,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,b615d1cd-880b-4c41-a1ff-63d472cb86a5,61,,,"[65.4, 6.1]",69173,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sylvio Mendes Campos Junior,25854.0,Left Back,3,Barcelona,217,['6ad7e213-593f-45b0-a2e2-8ae92d45b2e4'],46,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.062,Ball Receipt*,,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,f01b8f61-1c88-4823-a9c9-71af59943d25,64,,,"[45.3, 22.6]",69173,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gabriel Alejandro Milito,25919.0,Left Center Back,3,Barcelona,217,['1ec18097-1715-431b-b0a0-7fa9055f16d9'],49,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.669,Ball Receipt*,,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,78ff893d-88ed-4b61-b8ec-26bc881666ba,67,,,"[40.4, 68.0]",69173,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gianluca Zambrotta,15774.0,Right Back,3,Barcelona,217,['a5db9b6f-9055-42af-8668-f4abb87683f0'],53,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.695,Ball Receipt*,,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,70f10126-f0d3-4794-9d54-b85f28c736db,70,,,"[32.4, 52.9]",69173,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,3,Barcelona,217,['4c922df9-03d3-4a2a-8182-02bb9c6470dd'],58,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.312,Ball Receipt*,,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,315c7b92-ad66-4779-8f14-cfef1b631c27,73,,,"[41.2, 19.6]",69173,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gabriel Alejandro Milito,25919.0,Left Center Back,3,Barcelona,217,['b3d17b5c-7292-4520-bf7d-00acecde3ab3'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.854,Ball Receipt*,,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,d40d03a6-fcc1-4256-948b-024f3bc23bce,76,,,"[55.4, 14.5]",69173,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Anderson Luís de Souza,19757.0,Right Center Midfield,3,Barcelona,217,['369f0afc-8eea-47cc-9c79-42571e97e543'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.996,Ball Receipt*,,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,09c9fc77-1478-435e-a842-972e2876d932,80,,,"[36.8, 42.5]",69173,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,3,Barcelona,217,['65ddcb28-3d05-4cf6-a786-25a797aced9d'],7,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.362,Ball Receipt*,,2007/2008
