bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,5.918084,,,,,,,,,,,41adbb45-5e89-4f9f-9832-b0004f76b36a,3636,,"[13.9, 44.0]",69260,93,,True,,,0.4896721,,Keeper Arm,,,,"[32.1, 53.7]",,Ground Pass,,20.62353,,,,David Albelda Aliqués,20128.0,,,,,,,2,From Free Kick,César Sánchez Domínguez,25917.0,Goalkeeper,225,Valencia,207,['527b10ee-043f-4b1a-afc4-4a4f89c96ec1'],52,,,,,,,,,,,,,,,,,,Valencia,207,00:48:52.563,Pass,,2010/2011
,,,,,,,,,,,,,,,,2.080898,,,,,,,,,,,07f43f87-9c51-48be-a3e9-b65f9d551498,3638,,"[32.1, 53.7]",69260,93,,,,,-0.30499235,,Left Foot,,,,"[42.9, 50.3]",,Ground Pass,,11.322544,,,,Juan Manuel Mata García,3294.0,,,,,,,2,From Free Kick,David Albelda Aliqués,20128.0,Left Center Midfield,225,Valencia,207,['4e67fb04-c88b-47a1-8ede-337ea0038f5e'],59,,,,,,,,,,,,,,,,,,Valencia,207,00:48:59.106,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.064378,,,,,,,,,,,32a42288-db31-425c-91e1-f2e56c6faf72,3642,,"[46.3, 55.2]",69260,94,,,,,1.949955,,Left Foot,,,,"[41.2, 68.0]",,Ground Pass,,13.778606,,,,Bruno Saltor Grau,3095.0,,,,,,,2,From Free Kick,Juan Manuel Mata García,3294.0,Center Attacking Midfield,225,Valencia,207,['a268f4be-364c-4055-a8c3-a62fd9c5cbca'],1,,,,,,,,,,,,,,,,,,Valencia,207,00:49:01.526,Pass,,2010/2011
,,,,,,,,,,,,,,,,2.109566,,,,,,,,,,,ad979bbb-12f2-4e1f-b824-aa16c4799502,3645,,"[40.9, 68.3]",69260,94,,,,,-1.7345096,,Right Foot,,,,"[35.3, 34.4]",,Ground Pass,,34.359425,,,,Ricardo Miguel Moreira da Costa,19454.0,,,,,,,2,From Free Kick,Bruno Saltor Grau,3095.0,Right Back,225,Valencia,207,['16ad7ea0-8163-443b-86e4-a53ae2d83839'],3,,,,,,,,,,,,,,,,,,Valencia,207,00:49:03.296,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.987526,,,,,,,,,,,7b949eb4-08bd-494f-910d-96664112f84b,3648,,"[33.8, 33.8]",69260,94,,,,,-1.0262446,,Left Foot,,,,"[46.7, 12.5]",,Ground Pass,,24.901808,,,,Manuel Henrique Tavares Fernandes,6350.0,,,,,,,2,From Free Kick,Ricardo Miguel Moreira da Costa,19454.0,Left Center Back,225,Valencia,207,['c4443d5a-a502-4675-9632-e0f59dea466d'],6,,,,,,,,,,,,,,,,,,Valencia,207,00:49:06.070,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.009876,,,,,,,,,,,9222ade7-e1ad-46e6-939e-67e75f331623,3651,,"[59.1, 8.6]",69260,94,,,,,0.7818894,,Right Foot,,,,"[73.4, 22.8]",,Low Pass,,20.152668,,,,Pablo Hernández Domínguez,4711.0,,,,,,,2,From Free Kick,Manuel Henrique Tavares Fernandes,6350.0,Right Center Midfield,225,Valencia,207,['acf9469d-caac-41db-97f8-57c03e94b42e'],9,,,,,,,,,,,,,,,,,,Valencia,207,00:49:09.357,Pass,,2010/2011
,,,,,,,,,,,,,,,,2.408481,,,,,,,,,,,5f1b3f07-5367-45a2-a446-48b5e18d3a38,3654,,"[66.0, 27.8]",69260,94,,,,,1.5850471,,Right Foot,,,,"[65.4, 69.9]",,High Pass,,42.104275,,,,Bruno Saltor Grau,3095.0,,,True,,,,2,From Free Kick,Pablo Hernández Domínguez,4711.0,Right Wing,225,Valencia,207,['6e7a3df6-c4cc-4b0e-8bfc-72d08db8b7fe'],11,,,,,,,,,,,,,,,,,,Valencia,207,00:49:11.743,Pass,,2010/2011
,,,,,,,,,,,,,,,,2.09038,,,,,,,,,,,9dfc84ae-39d4-447e-9c2e-07dc966c54ce,3656,,"[65.4, 69.9]",69260,94,,,,,-3.0449252,,Head,,,,"[48.9, 68.3]",,Low Pass,,16.577394,,,,David Navarro Pedrós,26012.0,,,,,,,2,From Free Kick,Bruno Saltor Grau,3095.0,Right Back,225,Valencia,207,['de4e0481-cb50-4096-903b-dfcc7b3d4d2b'],14,,,,,,,,,,,,,,,,,,Valencia,207,00:49:14.191,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.520184,,,,,,,,,,,dad4dde3-f5ec-4b1f-af7d-922a4519cb5e,3659,,"[48.9, 68.3]",69260,94,,,,,-1.1600794,,Right Foot,,,,"[59.7, 43.5]",,Ground Pass,,27.049583,,,,David Albelda Aliqués,20128.0,,,,,,,2,From Free Kick,David Navarro Pedrós,26012.0,Right Center Back,225,Valencia,207,['69fe58a4-bda7-45e8-b276-f58c4be553da'],17,,,,,,,,,,,,,,,,,,Valencia,207,00:49:17.392,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.825693,,,,,,,,,,,60fc3084-b9aa-4edf-a42f-de50a4fdefb5,3662,,"[69.2, 42.3]",69260,94,,,,,-0.7305083,,Right Foot,,,,"[93.2, 20.8]",,High Pass,,32.221886,,Incomplete,,Jordi Alba Ramos,5211.0,,,,,,,2,From Free Kick,David Albelda Aliqués,20128.0,Left Center Midfield,225,Valencia,207,"['cf29d9c8-3386-4b83-9eaa-f952d1b495fd', 'e0476a60-e8a5-4f82-adf9-996aafa7fd30']",21,,,,,,,,,,,,,,,,,,Valencia,207,00:49:21.776,Pass,,2010/2011
,,,,,,,,,,,,,,,,0.497329,,,,,,,,,,,ec6ef26c-f617-4cec-a055-336d75557d78,3665,,"[89.6, 1.0]",69260,94,,True,,,0.46882892,,,,,,"[97.3, 4.9]",,Low Pass,,8.631338,,,,Vicente Rodríguez Guillén,20124.0,,,,,,Throw-in,2,From Throw In,Jordi Alba Ramos,5211.0,Left Back,226,Valencia,207,['ed5879e1-5cf0-4596-bad3-ae89f0fd4c72'],34,,,,,,,,,,,,,,,,,,Valencia,207,00:49:34.571,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,,,,,,,,,,b01be347-3438-4bc2-8a91-1ea1b1ab2bf7,6,,"[61.4, 43.4]",69260,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['27602f6f-c108-47ab-8eaf-ce0be4c2c588'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.722,Ball Receipt*,,2010/2011
,,,,,,,,,,,,,,,,,,,,,,,,,,,ac475b36-5a7d-40cc-9c47-b53d68816710,9,,"[49.4, 42.2]",69260,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['49d0a0bf-8634-439d-8c4d-8012fd36f6bf'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.778,Ball Receipt*,,2010/2011
