bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.7204,,,,,,,,,,,,,,72ef32c6-2d61-44a6-b1f0-35e792a60c1f,47,,"[72.0, 33.1]",69250,0,,,,,2.6719332,,Right Foot,,"[52.1, 43.2]",,Ground Pass,,22.316362,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Throw In,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,5,Barcelona,217,['69461952-a8dd-4ed4-be09-22b963930dd8'],52,,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.547,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.318,,,,,,,,,,,,,,f68a7325-22db-4b1b-b7e8-22b5996e95a6,50,,"[55.0, 49.5]",69250,0,,,,,1.0368422,,Right Foot,,"[63.1, 63.2]",,Ground Pass,,15.915401,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,5,Barcelona,217,['8f625709-9487-4959-9408-02bfd056836b'],59,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.994,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.2242,,,,,,,,,,,,,,9b682c41-088c-4345-83ed-8ef782f240c2,53,,"[64.3, 67.0]",69250,1,,,,,-2.2869983,,Right Foot,,"[54.9, 56.2]",,Ground Pass,,14.3178215,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Right Center Midfield,5,Barcelona,217,['f77a3cdb-266d-4b96-8827-47d3adfe2a4b'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:01:02.526,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.776,,,,,,,,,,,,,,4736ee60-4f94-43d2-ae01-87545b5bbc3f,58,,"[52.5, 56.7]",69250,1,,,,,-0.3038953,,Right Foot,,"[86.3, 46.1]",,High Pass,,35.423157,Incomplete,,,,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,5,Barcelona,217,"['2c1254fe-0007-4b3e-ac49-88866b41ba63', '5a548c02-28f2-4eb1-b1df-09d3cc86c7bc']",3,,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.791,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,2.0388,,,,,,,,,,,,,,5a548c02-28f2-4eb1-b1df-09d3cc86c7bc,59,,"[33.8, 34.0]",69250,1,,,,,0.39967808,,Right Foot,,"[45.4, 38.9]",,Low Pass,,12.592458,,,Mario Suárez Mata,23488.0,,,,,Recovery,1,From Throw In,Iván Ramis Barrios,6778.0,Left Center Back,5,Barcelona,217,"['4736ee60-4f94-43d2-ae01-87545b5bbc3f', 'fde7d652-c4ab-45c0-a14a-79ed4c761d22']",5,,,,,,,,,,,,,,,,,Mallorca,1043,00:01:05.567,Pass,,2009/2010
,,,,,,,,,,,,,,,,,2.6787,,,,,,,,,,,,,,e115a9f3-7e71-4e4c-b9a6-8df3b8b9c837,65,,"[49.2, 34.0]",69250,1,,,,,-0.5754656,,Right Foot,,"[95.6, 3.9]",,High Pass,,55.307957,Pass Offside,,Antoni Lluis Adrover Colom,25989.0,,,,,Free Kick,1,From Free Kick,Iván Ramis Barrios,6778.0,Left Center Back,6,Mallorca,1043,['d0de20d5-4d0a-43c6-a5d2-fee2015c575a'],19,,,,,,,,,,,,,,,,,Mallorca,1043,00:01:19.797,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.1484,,,,,,,,,,,,,,999a0296-baab-4ca3-978c-27182f3d7334,67,,"[26.4, 75.2]",69250,1,,True,,,-1.6287025,,Right Foot,,"[25.2, 54.5]",,Ground Pass,,20.734753,,,Gerard Piqué Bernabéu,5213.0,,,,,Free Kick,1,From Free Kick,Carles Puyol i Saforcada,20125.0,Right Back,7,Barcelona,217,['8f56ccdf-1123-4b9e-a33c-ec6e7d1f3060'],31,,,,,,,,,,,,,,,,,Barcelona,217,00:01:31.507,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.8445,,,,,,,,,,,,,,40ecc32c-031e-4e8e-a372-8a4188cfab45,69,,"[25.5, 54.5]",69250,1,,True,,,-0.51669514,,Right Foot,,"[38.7, 47.0]",,Ground Pass,,15.181897,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,7,Barcelona,217,['e7467301-c874-417f-96e5-ab2e255f8d96'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:01:33.687,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.0555,,,,,,,,,,,,,,85e95adb-5ecc-45b1-89b7-385765f10c30,71,,"[47.2, 41.8]",69250,1,,True,,,-2.2192276,,Right Foot,,"[32.5, 22.4]",,Ground Pass,,24.340296,,,Dmytro Chygrynskiy,18608.0,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Right Center Midfield,7,Barcelona,217,['d2374434-29f0-4abf-a2ab-451819e864ba'],43,,,,,,,,,,,,,,,,,Barcelona,217,00:01:43.824,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.9268,,,,,,,,,,,,,,f0386717-072e-48fd-8d3b-0b4557738a0b,73,,"[41.7, 25.6]",69250,1,,,,,1.6428734,,Left Foot,,"[39.7, 53.3]",,Ground Pass,,27.772108,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Free Kick,Dmytro Chygrynskiy,18608.0,Left Center Back,7,Barcelona,217,['7ef26a7e-7044-44be-8174-16c90c26ec91'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:01:46.849,Pass,,2009/2010
