50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.846791,,,,,,,,,,,eee71453-7963-4589-9432-475789c5780c,47,,"[49.6, 74.7]",9912,0,,,,0.18478362,,Right Foot,,,"[60.3, 76.7]",,Ground Pass,,10.885311,,,,Ousmane Dembélé,5477.0,,,,,,1,From Kick Off,Nélson Cabral Semedo,6374.0,Right Back,2,Barcelona,217,['a9178a0a-e163-4398-a3ef-501d1bf6ce84'],31,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.961,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.903595,,,,,,,,,,,4b55600a-d426-40bd-8d1b-8ea19e98b86c,51,,"[59.3, 76.7]",9912,0,,,,-1.6745887,,Left Foot,,,"[57.8, 62.3]",,Ground Pass,,14.477914,,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Ousmane Dembélé,5477.0,Right Wing,2,Barcelona,217,['7f534789-4e4a-433d-b0af-d4823dc7cfc0'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.416,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.627404,,,,,,,,,,,28ef3c9a-4259-4d37-a3b7-b980c6441458,54,,"[57.8, 66.4]",9912,0,,,,0.7763894,,Right Foot,,,"[63.4, 71.9]",,Ground Pass,,7.8492036,,,,Ousmane Dembélé,5477.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['506ee4eb-d511-4b9a-8d67-cdf4fd3685ac'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.328,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.4326,,,,,,,,,,,74278904-25c3-4199-8658-12bc4133ae7e,61,,"[64.4, 68.9]",9912,0,,,,-2.0552742,,Left Foot,,,"[63.4, 67.0]",,Ground Pass,,2.1470912,,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Ousmane Dembélé,5477.0,Right Wing,2,Barcelona,217,['720d7975-ac3c-4abd-ba73-8446a4b80890'],36,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.731,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.946295,,,,,,,,,,,98502c39-2496-4c21-af2a-458568580ca2,65,,"[63.6, 65.9]",9912,0,,,,-1.9318017,,Right Foot,,,"[59.9, 56.1]",,Low Pass,,10.475209,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['e20e47b4-46cd-4a33-8a3e-7070cc19ec83'],38,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.365,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.753382,,,,,,,,,,,4f84b1f4-d404-43cf-983f-a38b00b027ea,69,,"[57.4, 48.1]",9912,0,,,,-0.94236946,,Left Foot,,,"[69.1, 32.0]",,Ground Pass,,19.902262,,,,Philippe Coutinho Correia,3501.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['5cb8d98c-7fdd-42a8-b476-7f3e2808d235'],40,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.542,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.682693,,,,,,,,,,,1d11fdec-f683-43c8-b63f-a7d2fcc886da,72,,"[103.0, 23.3]",9912,0,,,,-0.9312091,,Right Foot,,,"[109.1, 15.1]",,Ground Pass,,10.220078,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Left Center Midfield,2,Barcelona,217,['dbffb58f-224e-4521-9982-c5f48ae8d2f5'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.983,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.868862,,,,,,,,,,,bf3e1f40-ee9d-46d9-9133-66b300496556,75,,"[108.8, 15.1]",9912,0,,,,2.3151217,,Left Foot,,,"[98.3, 26.5]",,Ground Pass,,15.49871,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['90cd3ea4-f5b7-48d4-bf15-caf391a4efde'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.432,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.092057,,,,,,,,,,,05982be3-1b00-4dfa-b506-29c7e2ba68a2,78,,"[98.0, 26.5]",9912,0,,,,-0.12062367,,Left Foot,,,"[104.6, 25.7]",,Ground Pass,,6.6483083,,Incomplete,,Philippe Coutinho Correia,3501.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,"['8c9eb11f-919f-42dd-8901-630de420c283', 'b8a4ebc6-8af4-4cea-8404-6548f4011af2']",50,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.525,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.817071,,,,,,,,,,,d05b64d2-d716-4177-8f83-aef2d1d2dd1f,81,,"[16.7, 50.4]",9912,0,,,,0.021273386,,Right Foot,,,"[26.1, 50.6]",,Ground Pass,,9.402127,,,,Emre Çolak,6779.0,,,,,Recovery,1,From Kick Off,Michael Krohn-Dehli,6356.0,Right Center Midfield,2,Barcelona,217,['8f3f8347-8018-4e4b-abd4-118ae9fa608c'],52,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:52.489,Pass,,2017/2018
