50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,2.2136,,,,,,,,,,,,,0b534f57-bab0-4ef7-b74f-39c9e823afbb,47,,"[52.3, 1.0]",68359,1,,,,,0.12576942,,,,,"[78.4, 4.3]",High Pass,,26.307793,,,Raúl Tamudo Montero,26109.0,,,,,Throw-in,1,From Throw In,Francisco Javier Chica Torres,26170.0,Left Back,5,Espanyol,214,['0e4d7262-67d9-483e-aeb0-aaf144b67e56'],28,,,,,,,,,,,,,,,,,Espanyol,214,00:01:28.025,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.455797,,,,,,,,,,,,,bf5c69b3-bf9f-4e19-90ca-673a6d93e68a,49,,"[77.9, 3.8]",68359,1,,,,True,1.1345809,,,,,"[84.1, 17.1]",High Pass,,14.674127,Incomplete,,Ferrán Corominas Telechea,26102.0,,,,,,1,From Throw In,Raúl Tamudo Montero,26109.0,Center Forward,5,Espanyol,214,"['197fb12f-1aeb-484e-a947-6f6e8bf1851c', '95b9f99f-c09c-46e9-9947-de6d35b5c5ff', 'b3380263-b840-4814-92e0-ff7bef8d21a0']",30,,,,,,,,,,,,,,,,,Espanyol,214,00:01:30.239,Pass,True,2007/2008
,,,,,,,,,,,,,,,,,,,1.298815,,,,,,,,,,,,,a945bd15-99bb-4472-86b5-fb9e0d467590,54,,"[46.3, 62.9]",68359,1,,,,,-1.1692158,,Right Foot,,,"[55.6, 41.0]",Ground Pass,,23.792856,,,Eiður Smári Guðjohnsen,11270.0,,,,,,1,Regular Play,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,6,Barcelona,217,['a4ca2263-1da0-48ca-81bd-7773d9feb27a'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:01:33.803,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.417666,,,,,,,,,,,,,7c8596f4-0f60-43e0-97b4-b62fa0aa3db2,57,,"[55.6, 41.0]",68359,1,,,,,2.5884411,,Right Foot,,,"[40.7, 50.2]",Ground Pass,,17.511425,,,Gabriel Alejandro Milito,25919.0,,,,,,1,Regular Play,Eiður Smári Guðjohnsen,11270.0,Left Center Midfield,6,Barcelona,217,['5350f14f-3cf2-44c2-b2c4-569ea1e11ace'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:01:35.141,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,3.167817,,,,,,,,,,,,,1ff74b3c-5138-4496-b8cf-f06b8a45aa0a,63,,"[61.7, 26.3]",68359,1,,True,,,-1.2170932,,Right Foot,,,"[68.9, 6.8]",Ground Pass,,20.786776,,,Sylvio Mendes Campos Junior,25854.0,,,,,Free Kick,1,From Free Kick,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,7,Barcelona,217,['b558ff75-f7c7-475e-ac26-2c01ffa350eb'],57,,,,,,,,,,,,,,,,,Barcelona,217,00:01:57.527,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.933935,,,,,,,,,,,,,530e4eec-7327-4f7d-b78f-3a2afd02241b,69,,"[57.4, 61.7]",68359,2,,,,,-0.74944246,,Left Foot,,,"[64.6, 55.0]",Ground Pass,,9.835141,Incomplete,,Raúl Tamudo Montero,26109.0,,,,,Recovery,1,From Free Kick,Luis García Fernández,23916.0,Center Attacking Midfield,7,Barcelona,217,"['3a5a6075-3f9e-4400-8d4d-6aed286ee618', 'b9e2eb39-c1c4-497a-8c03-ddfe42de6e49']",4,,,,,,,,,,,,,,,,,Espanyol,214,00:02:04.691,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.459465,,,,,,,,,,,,,3a5a6075-3f9e-4400-8d4d-6aed286ee618,71,,"[56.4, 26.0]",68359,2,,,,,1.0292287,,Right Foot,,,"[64.1, 38.8]",Ground Pass,,14.937536,,,Xavier Hernández Creus,20131.0,,,,,Interception,1,From Free Kick,Eiður Smári Guðjohnsen,11270.0,Left Center Midfield,7,Barcelona,217,"['530e4eec-7327-4f7d-b78f-3a2afd02241b', 'b35c277f-6073-441c-b730-84d6c2e4bb05']",6,,,,,,,,,,,,,,,,,Barcelona,217,00:02:06.625,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.061566,,,,,,,,,,,,,17bd2d9c-43a7-40ef-bc67-0a892101ab02,78,,"[78.4, 46.8]",68359,2,,,,,1.0520322,,Right Foot,,,"[94.5, 75.0]",Ground Pass,,32.472298,,,Bojan Krkíc Pérez,4913.0,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,7,Barcelona,217,"['22059410-1cd3-4bc4-b9d3-f3b3c8a592b4', 'eba528cf-d29d-4555-8180-e08a27abc099']",12,,,,,,,,,,,,,,,,,Barcelona,217,00:02:12.438,Pass,True,2007/2008
,,,,,,,,,,,,,,,,,,,1.251704,,,,,,,,,,,,,41aaa4a9-db1d-494e-902e-b24d161b34ac,84,,"[120.0, 80.0]",68359,2,,,,,-1.7911347,,Right Foot,,,"[112.9, 48.3]",High Pass,,32.485382,Incomplete,True,,,,,Outswinging,,Corner,1,From Corner,Xavier Hernández Creus,20131.0,Right Center Midfield,8,Barcelona,217,['6f822b28-a2a0-4c74-a8d5-8b451c2e6ef2'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:02:33.571,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,2.384843,,,,,,,,,,,,,1dfbc233-53d4-4cf2-a7de-5ed0f6f88b24,89,,"[6.5, 29.1]",68359,2,,,,,-0.75922614,,Left Foot,,,"[35.9, 1.2]",High Pass,,40.531097,Out,,,,,,,,,1,From Corner,Moisés Hurtado Pérez,26162.0,Left Defensive Midfield,8,Barcelona,217,,36,,,,,,,,,,,,,,,,,Espanyol,214,00:02:36.296,Pass,,2007/2008
