50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.992753,,,,,,,,,,,,,48a36d4d-3965-465e-9c7e-11641abe9899,52,,"[49.3, 71.9]",69280,0,,,,,0.25326577,,Right Foot,,,,"[66.3, 76.3]",,Ground Pass,,17.560183,,,Adriano Correia Claro,22102.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['bb979a81-04e0-445e-ae78-606a1e1a966a'],52,,,,,,,,,,,,,,,Barcelona,217,00:00:52.215,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.2037,,,,,,,,,,,,,a274b333-0ad5-41ae-a988-5e1ccb00b510,57,,"[80.0, 65.0]",69280,0,,,,,0.5306085,,Right Foot,,,,"[99.6, 76.5]",,Ground Pass,,22.724657,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,,1,Regular Play,Adriano Correia Claro,22102.0,Right Back,3,Barcelona,217,"['7736a2d0-b190-4c37-bce8-e21259f91338', 'aaf8e1bc-c620-4caf-8bd4-f1a3cf3282f0']",55,,,,,,,,,,,,,,,Barcelona,217,00:00:55.792,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,0.870948,,,,,,,,,,,,,e0fe4985-075e-45a9-a8ea-e40e4be9b5c8,64,,"[18.5, 9.5]",69280,1,,,,,1.6035714,,Right Foot,,,,"[18.3, 15.6]",,Ground Pass,,6.1032777,,,Rubén Salvador Pérez Del Mármol,6599.0,,,,,,,1,Regular Play,Manuel Pablo García Díaz,26209.0,Left Back,3,Barcelona,217,['b81ef80c-7aea-4435-9b99-f85f2f572d17'],0,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:01:00.567,Pass,,2010/2011
,,,,,,,,,,,,,,,,,4.622882,,,,,,,,,,,,,4dc3dd34-8fe6-47ff-a474-8c19f211a6bf,68,,"[20.7, 18.2]",69280,1,,,,,-0.24428853,,Right Foot,,,,"[88.9, 1.2]",,High Pass,,70.28684,Out,,Adrián López Álvarez,6735.0,,,,,,,1,Regular Play,Rubén Salvador Pérez Del Mármol,6599.0,Left Defensive Midfield,3,Barcelona,217,"['0f3b217d-520b-4414-859f-3a5c76adc5f6', '8d6d33a8-638e-4ffa-bdbe-e55599ef51fc']",2,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:01:02.506,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,a5c5c617-235e-400b-a635-75af9fd4645f,70,,"[37.4, 80.0]",69280,1,,True,,,-0.7239372,,,,,,"[44.3, 73.9]",,Low Pass,,9.209778,,,Gerard Piqué Bernabéu,5213.0,,,,,,Throw-in,1,From Throw In,Adriano Correia Claro,22102.0,Right Back,4,Barcelona,217,['5635d6dc-dc56-42d2-a5f0-64478bdb0d61'],17,,,,,,,,,,,,,,,Barcelona,217,00:01:17.796,Pass,,2010/2011
,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,d5fda78e-8cd0-4209-a213-a42059e4b17e,72,,"[44.3, 73.9]",69280,1,,True,,,3.0602908,,Right Foot,,,,"[30.8, 75.0]",,Ground Pass,,13.544741,,,Adriano Correia Claro,22102.0,,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,4,Barcelona,217,['0d996d39-2fc4-401e-9c68-e58f5af79236'],18,,,,,,,,,,,,,,,Barcelona,217,00:01:18.596,Pass,,2010/2011
,,,,,,,,,,,,,,,,,2.145461,,,,,,,,,,,,,ea85da8e-c340-481c-96a2-7b9f8bfb47f9,74,,"[30.8, 75.0]",69280,1,,True,,,3.10052,,Right Foot,,,,"[16.2, 75.6]",,Ground Pass,,14.612324,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Throw In,Adriano Correia Claro,22102.0,Right Back,4,Barcelona,217,['628be1a3-adb0-425b-b552-aa11dbbed8d1'],18,,,,,,,,,,,,,,,Barcelona,217,00:01:18.876,Pass,,2010/2011
,,,,,,,,,,,,,,,,,2.359789,,,,,,,,,,,,,f001f4f4-c966-4d50-8eef-d14dbfd39b54,76,,"[18.0, 70.4]",69280,1,,,,,-1.6559988,,Right Foot,,,,"[15.6, 42.3]",,Ground Pass,,28.202305,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,4,Barcelona,217,['abfeb5fa-6e03-4425-b339-55ad8f3409d8'],22,,,,,,,,,,,,,,,Barcelona,217,00:01:22.198,Pass,,2010/2011
,,,,,,,,,,,,,,,,,2.375024,,,,,,,,,,,,,4e250e32-4605-4976-8235-063a9d89a8a1,79,,"[28.0, 25.8]",69280,1,,,,,-1.4762919,,Right Foot,,,,"[30.0, 4.7]",,Ground Pass,,21.194574,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,From Throw In,Carles Puyol i Saforcada,20125.0,Left Center Back,4,Barcelona,217,['b1c53233-9092-4296-ab62-cbcf22f40eff'],26,,,,,,,,,,,,,,,Barcelona,217,00:01:26.412,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.424987,,,,,,,,,,,,,0a88a61d-0135-481b-95ac-76115c6f8ee1,82,,"[32.1, 6.0]",69280,1,,,,,0.0,,Left Foot,,,,"[55.9, 6.0]",,Ground Pass,,23.8,,,Seydou Kéita,20169.0,,,,,,,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,4,Barcelona,217,['26f52f59-960d-4e0a-98cb-ed0171192c2f'],29,,,,,,,,,,,,,,,Barcelona,217,00:01:29.756,Pass,,2010/2011
