bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.0579,,,,,,,,,,a20818ac-2239-4661-9a76-a2eb0b998a1e,1791,,,"[41.2, 42.4]",69179,44,,,True,0.62817013,,,,,"[50.7, 49.3]",,High Pass,,11.74138,,,,Anderson Luís de Souza,19757.0,,,,,Recovery,1,Regular Play,Rafael Márquez Álvarez,5558.0,Left Defensive Midfield,107,Barcelona,217,"['08d516ed-66cc-460e-ad9e-8e4a032a8941', '9b58a0f6-7560-43c4-99c9-70ab5c5082a7', 'd9174c32-454f-4071-9bad-38ac84395122']",39,,,,,,,,,,,,,,,Barcelona,217,00:44:39.986,Pass,True,2006/2007
,,,,,,,,,,,,,,,1.9504,,,,,,,,,,6e3bc7d4-381b-4e1a-9122-b6e63b17457a,1793,,,"[50.7, 49.3]",69179,44,,,,-0.5311126,,Right Foot,,,"[65.0, 40.9]",,High Pass,,16.584631,,,,Ronaldo de Assis Moreira,25879.0,,,,,,1,Regular Play,Anderson Luís de Souza,19757.0,Right Defensive Midfield,107,Barcelona,217,['19b692a7-1919-4c22-aa87-24c9c0f5e0b2'],41,,,,,,,,,,,,,,,Barcelona,217,00:44:41.044,Pass,,2006/2007
,,,,,,,,,,,,,,,2.3684,,,,,,,,,,fc66cb84-d7a4-40b3-b9ec-67d1d5f1d074,1801,,,"[62.9, 36.7]",69179,45,,,,1.6378099,,Left Foot,,,"[61.9, 51.6]",,Ground Pass,,14.933519,,,,Gerard Piqué Bernabéu,5213.0,,,,,Free Kick,1,From Free Kick,Gabriel Alejandro Milito,25919.0,Left Center Back,108,Real Zaragoza,395,['ec89eda4-c78f-470b-b6d4-08f24d742566'],4,,,,,,,,,,,,,,,Real Zaragoza,395,00:45:04.925,Pass,,2006/2007
,,,,,,,,,,,,,,,1.5757,,,,,,,,,,11f49c24-c5bc-49ae-8ae4-13322691842b,1804,,,"[62.7, 52.9]",69179,45,,,,0.68461716,,Right Foot,,,"[77.4, 64.9]",,Ground Pass,,18.976038,,,,Carlos Andrés Diogo Enseñat,26022.0,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,108,Real Zaragoza,395,['07f7e8ac-c758-4dbf-85e1-c2845f241284'],7,,,,,,,,,,,,,,,Real Zaragoza,395,00:45:07.944,Pass,,2006/2007
,,,,,,,,,,,,,,,0.8224,,,,,,,,,,041b2cd2-0ea3-4691-83e2-20eab36d0d5d,1807,,,"[77.0, 64.5]",69179,45,,,,-0.42066336,,Right Foot,,,"[92.2, 57.7]",,Ground Pass,,16.651726,,,,Diego Alberto Milito,19294.0,,,,,,1,From Free Kick,Carlos Andrés Diogo Enseñat,26022.0,Right Back,108,Real Zaragoza,395,['69dc062e-7239-43c4-bf99-0d5d8c79d225'],10,,,,,,,,,,,,,,,Real Zaragoza,395,00:45:10.339,Pass,,2006/2007
,,,,,,,,,,,,,,,0.8901,,,,,,,,,,65516a9f-6331-44c1-941b-f0c51b18add9,1814,,,"[41.0, 31.7]",69179,45,,,,0.09868826,,Right Foot,,,"[51.1, 32.7]",,Ground Pass,,10.1493845,,,,Ronaldo de Assis Moreira,25879.0,,,,,,1,From Free Kick,Anderson Luís de Souza,19757.0,Right Defensive Midfield,108,Real Zaragoza,395,['d2a865ba-b210-4ea3-852d-476e983c01f8'],16,,,,,,,,,,,,,,,Barcelona,217,00:45:16.316,Pass,,2006/2007
,,,,,,,,,,,,,,,0.939728,,,,,,,,,,60e0bc6f-d874-4aaa-83ce-f72bfb56ad8a,1821,,,"[65.3, 33.8]",69179,46,,,,1.1184264,,Left Foot,,,"[70.5, 44.5]",,Ground Pass,,11.896638,,,,Albert Celades López,25909.0,,,,,Free Kick,1,From Free Kick,Gabriel Alejandro Milito,25919.0,Left Center Back,109,Real Zaragoza,395,['1beb01ff-725e-4df2-b704-cd6039a01ac7'],4,,,,,,,,,,,,,,,Real Zaragoza,395,00:46:04.982,Pass,,2006/2007
,,,,,,,,,,,,,,,1.918,,,,,,,,,,1c8aab7d-9279-433b-b030-71faebb23c51,1825,,,"[68.8, 37.3]",69179,46,,,,-1.5138111,,Right Foot,,,"[70.5, 7.5]",,Ground Pass,,29.84845,,,,Alberto Zapater Arjol,24520.0,,,,,,1,From Free Kick,Albert Celades López,25909.0,Right Center Midfield,109,Real Zaragoza,395,['06d53bb8-0ab1-48de-9562-338519f5218e'],7,,,,,,,,,,,,,,,Real Zaragoza,395,00:46:07.211,Pass,,2006/2007
,,,,,,,,,,,,,,,0.7086,,,,,,,,,,27b6f322-5c14-45a8-90a1-3778291cc045,1828,,,"[70.7, 9.2]",69179,46,,,,0.17722538,,Left Foot,,,"[77.4, 10.4]",,Ground Pass,,6.8066144,,,,Andrés Nicolás D''Alessandro,25410.0,,,,,,1,From Free Kick,Alberto Zapater Arjol,24520.0,Center Defensive Midfield,109,Real Zaragoza,395,['364bfc9e-5151-40af-b17b-35ff29392546'],10,,,,,,,,,,,,,,,Real Zaragoza,395,00:46:10.203,Pass,,2006/2007
,,,,,,,,,,,,,,,0.9506,,,,,,,,,,0afa67f5-0438-405d-8112-2f372acc0cfc,1832,,,"[78.7, 10.2]",69179,46,,,,-2.4913652,,Left Foot,,,"[71.6, 4.8]",,Ground Pass,,8.920202,,,,Juan Francisco García García,26023.0,,,,,,1,From Free Kick,Andrés Nicolás D''Alessandro,25410.0,Left Wing,109,Real Zaragoza,395,['32699439-8e19-4e1f-ab13-8396f0e51891'],11,,,,,,,,,,,,,,,Real Zaragoza,395,00:46:11.391,Pass,,2006/2007
