bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.310011,,,,,,,,,,,,,,,14b6fc9e-d5c1-47d2-89c1-7336d97e9879,869,,,"[55.9, 11.2]",266815,22,,,,2.177784,,Other,,,,"[53.4, 14.8]",,High Pass,4.382921,,Incomplete,,Arda Turan,11094.0,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Right Center Midfield,34,Barcelona,217,"['443b0f8c-516e-44a0-b58e-2dd7e28bf018', '99a20afd-07de-49a1-847d-e34144cd0d69']",26,,,,,,,,,,,,,,,,,Barcelona,217,00:22:26.073,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.726381,,,,,,,,,,,,,,,f73eedea-ea0f-4e94-b426-91bbc5bf2324,881,,,"[64.0, 0.1]",266815,22,True,,,2.7987926,,,,,,"[35.7, 10.2]",,Low Pass,30.048294,,,,Jérémy Mathieu,10609.0,,,,,Throw-in,1,From Throw In,Adriano Correia Claro,22102.0,Left Back,35,Barcelona,217,['897d20cc-571f-481f-8e6a-923c5e4ff3b0'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:22:37.697,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.66864,,,,,,,,,,,,,,,b12d72cb-d54a-4b1d-9e05-2c8b90793cdd,883,,,"[34.7, 13.6]",266815,22,,,,1.4056476,,Left Foot,,,,"[40.3, 47.2]",,Ground Pass,34.06347,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Throw In,Jérémy Mathieu,10609.0,Left Center Back,35,Barcelona,217,['1cb5583d-a23e-4503-9516-ae71f3717223'],41,,,,,,,,,,,,,,,,,Barcelona,217,00:22:41.255,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.992695,,,,,,,,,,,,,,,67544eac-7592-4ba6-8be0-af69ccaf2be1,886,,,"[54.1, 57.9]",266815,22,,,,-1.6758008,,Right Foot,,,,"[49.8, 17.1]",,High Pass,41.025967,,,,Jérémy Mathieu,10609.0,,True,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,35,Barcelona,217,['c800a922-97fb-4488-ac73-a7e9829f3260'],48,,,,,,,,,,,,,,,,,Barcelona,217,00:22:48.710,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.583863,,,,,,,,,,,,,,,cd9d204b-4f7e-44ed-aac9-2a2ce550dde8,889,,,"[61.4, 14.6]",266815,22,,,,-0.606519,,Left Foot,,,,"[77.4, 3.5]",,Ground Pass,19.473314,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Throw In,Jérémy Mathieu,10609.0,Left Center Back,35,Barcelona,217,['17382eb1-1fb4-4327-8de0-29a0fc1e1e2f'],54,,,,,,,,,,,,,,,,,Barcelona,217,00:22:54.419,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.197454,,,,,,,,,,,,,,,b257ce0c-3b20-4ea1-9e15-be3db3c181fa,892,,,"[77.4, 3.5]",266815,22,,,,1.193626,,Right Foot,,,,"[85.6, 24.2]",,Low Pass,22.264996,,,,Adriano Correia Claro,22102.0,,,,,,1,From Throw In,Neymar da Silva Santos Junior,4320.0,Left Wing,35,Barcelona,217,['b0239d4a-2cf5-4484-b0c8-af55d544ae8e'],56,,,,,,,,,,,,,,,,,Barcelona,217,00:22:56.673,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.00063,,,,,,,,,,,,,,,6a357d96-425c-4cd0-994d-3bef83b9d794,896,,,"[83.2, 25.3]",266815,23,,,,-2.8564749,,Left Foot,,,,"[77.4, 23.6]",,Ground Pass,6.0440054,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Throw In,Adriano Correia Claro,22102.0,Left Back,35,Barcelona,217,['95b73d51-288c-4d50-ab46-4128812a5a96'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:23:00.847,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.678175,,,,,,,,,,,,,,,ca816e5d-82bd-45f9-a86c-179f8c242360,899,,,"[76.4, 25.4]",266815,23,,,,1.4037626,,Right Foot,,,,"[85.1, 77.0]",,High Pass,52.32829,,,,Lionel Andrés Messi Cuccittini,5503.0,,True,,,,1,From Throw In,Neymar da Silva Santos Junior,4320.0,Left Wing,35,Barcelona,217,['90f67b55-a492-405c-bc06-fdf5a938bba8'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:23:02.382,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.633706,,,,,,,,,,,,,,,380f3c1d-7346-4605-9360-68212001c276,902,,,"[92.5, 69.2]",266815,23,,,,-0.45066133,,Left Foot,,,,"[98.7, 66.2]",,Ground Pass,6.88767,,Incomplete,,Aleix Vidal Parreu,6400.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,35,Barcelona,217,"['5d9a8316-efca-42fc-a4b0-7e849dfead87', '67a400e6-c539-4c1f-85fb-0d0edf0a69af']",6,,,,,,,,,,,,,,,,,Barcelona,217,00:23:06.764,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.714951,,,,,,,,,,,,,,,b026cfe1-ab3b-4111-83a4-400f5d9fb351,917,,,"[95.2, 63.2]",266815,23,,,,-1.8441975,,Right Foot,,,,"[89.9, 44.3]",,Ground Pass,19.62906,,,,Arda Turan,11094.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,35,Barcelona,217,['0cf859d7-e250-4d07-a420-686851d6f995'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:23:14.221,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.828979,,,,,,,,,,,,,,,7171af07-a21e-4bc2-8492-e6adadb2afa0,921,,,"[95.1, 48.9]",266815,23,,,,-1.8766752,,Right Foot,,,,"[92.7, 41.3]",,Ground Pass,7.9699435,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Arda Turan,11094.0,Left Center Midfield,35,Barcelona,217,"['58d01c8b-dab6-488e-b49d-239027ee0906', 'd89b2c0e-76db-487a-818b-03355fb0ad6d']",18,,,,,,,,,,,,,,,,,Barcelona,217,00:23:18.810,Pass,True,2015/2016
,,,,,,,,,,,,,,,,0.999697,,,,,,,,,,,,,,,3f5c017c-219d-4e3d-a88d-481674217511,927,,,"[86.7, 42.9]",266815,23,,,,-1.0915858,,Other,,,,"[92.0, 32.7]",,Ground Pass,11.4947815,,,,Neymar da Silva Santos Junior,4320.0,,,,,Recovery,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,35,Barcelona,217,['87c17398-c8cf-4547-8442-be66ca07ba70'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:23:21.592,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.702499,,,,,,,,,,,,,,,8fd0de09-437c-4078-be51-db70692bb727,932,,,"[29.0, 46.9]",266815,23,,,,2.3438494,,Right Foot,,,,"[21.0, 55.1]",,Ground Pass,11.456003,,,,Alberto Lora Ramos,26633.0,,,,,,1,From Throw In,Omar Mascarell González,18398.0,Right Defensive Midfield,35,Barcelona,217,['5efb7b22-87a8-48fc-96a2-9537bcee3976'],24,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:23:24.926,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.325159,,,,,,,,,,,,,,,6c8b413e-1670-47ed-8f44-148b82c6cf95,936,,,"[22.8, 58.3]",266815,23,,,,0.48487994,,Right Foot,,,,"[63.8, 79.9]",,High Pass,46.341774,,Out,,Pablo Pérez Rodríguez,23838.0,,,,,,1,From Throw In,Alberto Lora Ramos,26633.0,Right Back,35,Barcelona,217,['c8b6b8ef-a098-4fc6-9ac8-f54d93ce8ed4'],27,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:23:27.351,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.600085,,,,,,,,,,,,,,,c044d802-2bd9-47e6-bb71-b889fe6ce26e,938,,,"[57.3, 0.1]",266815,23,,,,2.3214862,,,,,,"[43.4, 15.0]",,High Pass,20.376947,,,,Gerard Piqué Bernabéu,5213.0,,,,,Throw-in,1,From Throw In,Jérémy Mathieu,10609.0,Left Center Back,36,Barcelona,217,['1c15c488-aba8-4526-9fd4-80935860c14c'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:23:32.503,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.501186,,,,,,,,,,,,,,,ef50322c-5355-4b55-8220-399c25379708,941,,,"[43.1, 20.6]",266815,23,,,,1.2957209,,Right Foot,,,,"[51.2, 49.3]",,Ground Pass,29.821133,,,,Ivan Rakitić,5470.0,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,36,Barcelona,217,['250eab22-582f-49c6-9404-da08cc947346'],36,,,,,,,,,,,,,,,,,Barcelona,217,00:23:36.173,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.786386,,,,,,,,,,,,,,,f2389656-7f3c-4c37-825c-6330e5a79d11,944,,,"[61.6, 62.5]",266815,23,,,,0.80729246,,Right Foot,,,,"[75.0, 76.5]",,Ground Pass,19.37937,,,,Aleix Vidal Parreu,6400.0,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Right Center Midfield,36,Barcelona,217,['3fa63010-1487-49b7-a472-cc6b04f2541a'],41,,,,,,,,,,,,,,,,,Barcelona,217,00:23:41.929,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.541196,,,,,,,,,,,,,,,f087008f-6abb-4d0d-8a80-2cf8228d3029,947,,,"[76.3, 60.4]",266815,23,,,,-2.2318394,,Right Foot,,,,"[63.0, 43.3]",,Ground Pass,21.663334,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Throw In,Aleix Vidal Parreu,6400.0,Right Back,36,Barcelona,217,['8b01f2c2-6e9f-4862-a4fd-3a25d9d241be'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:23:46.907,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.490289,,,,,,,,,,,,,,,6ecd3008-140c-487f-9b56-6938e7b15a6a,950,,,"[74.0, 46.5]",266815,23,,,,-1.5010407,,Right Foot,,,,"[75.6, 23.6]",,Ground Pass,22.955828,,,,Jérémy Mathieu,10609.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,36,Barcelona,217,['888bb275-c3a9-4645-af20-2c6b342544ae'],52,,,,,,,,,,,,,,,,,Barcelona,217,00:23:52.141,Pass,,2015/2016
