50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.612449,,,,,,,,,,,,,3a7b121a-58b6-47e9-a602-ea9c8f8f22e5,55,,,"[13.1, 31.2]",265866,1,,,,,1.076855,,Right Foot,,,"[22.2, 48.1]",,Ground Pass,,19.19427,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Free Kick,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,6,Barcelona,217,['255f5b21-4169-4169-af2b-84e89283d7bc'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.812,Pass,,2014/2015
,,,,,,,,,,,,,,,,,1.040141,,,,,,,,,,,,,c4d549b8-f720-435a-b2ee-3c4feada347f,58,,,"[36.9, 47.2]",265866,1,,,,,-1.737242,,Right Foot,,,"[32.7, 22.2]",,Ground Pass,,25.350346,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,6,Barcelona,217,['1410f140-8803-4ad6-be51-e1f5361ec6bc'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:19.012,Pass,,2014/2015
,,,,,,,,,,,,,,,,,2.120106,,,,,,,,,,,,,26e7e25e-e0f2-456a-a931-9f6e9539734d,61,,,"[46.1, 22.8]",265866,1,,,,,1.6231828,,Right Foot,,,"[44.7, 49.5]",,Ground Pass,,26.73668,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Left Center Back,6,Barcelona,217,['2d93f761-a2f0-452c-94d4-2824eb5b20dd'],25,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:25.449,Pass,,2014/2015
,,,,,,,,,,,,,,,,,1.6253,,,,,,,,,,,,,090a83ff-6622-4934-a27a-d99edf1ef135,64,,,"[46.3, 52.3]",265866,1,,,,,0.5257147,,Right Foot,,,"[80.6, 72.2]",,Ground Pass,,39.65476,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,6,Barcelona,217,['a5775013-45fa-42b3-bbc5-ad2b4e6189d6'],28,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:28.049,Pass,,2014/2015
,,,,,,,,,,,,,,,,,1.668116,,,,,,,,,,,,,821bdb79-4078-4b7e-8402-8f959ec3b6a3,67,,,"[80.4, 70.1]",265866,1,,,,,-2.7254207,,Right Foot,,,"[62.3, 62.1]",,Ground Pass,,19.789139,,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,6,Barcelona,217,['4dc72b24-477a-4d2c-a2a8-45064aa81bd0'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:29.955,Pass,,2014/2015
,,,,,,,,,,,,,,,,,1.410291,,,,,,,,,,,,,4c835474-9e7b-4c9b-ae60-6c08fdb7c00c,71,,,"[60.4, 64.5]",265866,1,,,,,-2.375994,,Right Foot,,,"[50.1, 54.6]",,Ground Pass,,14.286357,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,6,Barcelona,217,"['1d4811e8-a2ba-4b42-b1d2-ddc48886e3dc', '7b4f4b4e-9c19-4b4a-9831-1b309cc17043']",32,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:32.000,Pass,True,2014/2015
,,,,,,,,,,,,,,,,,1.875477,,,,,,,,,,,,,e032ade1-33c5-4c98-a118-2356271847a3,74,,,"[51.0, 53.1]",265866,1,,,,,-1.6907846,,Right Foot,,,"[47.6, 24.9]",,Ground Pass,,28.404224,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,6,Barcelona,217,['af902a42-789b-4b04-9c7e-4cc304fe30b7'],35,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:35.167,Pass,,2014/2015
,,,,,,,,,,,,,,,,,0.883563,,,,,,,,,,,,,53089e5c-3d11-483a-b10b-3ffa5b5f4b3c,78,,,"[70.7, 23.9]",265866,1,,,,,-1.9111782,,Right Foot,,,"[69.0, 19.1]",,Ground Pass,,5.0921507,,,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Left Center Back,6,Barcelona,217,"['7a237aa7-9f51-4c94-9730-8c6b48345f6c', 'c8296aa9-b644-440f-8a7c-30b29062aa99']",41,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:41.279,Pass,True,2014/2015
,,,,,,,,,,,,,,,,,0.357,,,,,,,,,,,,,59a4dacc-d9a6-4ffe-9d3a-1203e1a3a3d5,81,,,"[66.5, 29.8]",265866,1,,,,,0.7853982,,Right Foot,,,"[71.1, 34.4]",,Ground Pass,,6.5053825,,Incomplete,,,,,,,,,,1,From Free Kick,Neymar da Silva Santos Junior,4320.0,Left Wing,6,Barcelona,217,['44bafebc-a59c-466f-b52a-a60bee942171'],43,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:43.577,Pass,,2014/2015
,,,,,,,,,,,,,,,,,1.029019,,,,,,,,,,,,,1aa5d56d-2e89-4cd7-96b0-d09a80af6306,91,,,"[71.8, 16.5]",265866,1,,,,,-1.3224105,,Right Foot,,,"[75.3, 2.7]",,Ground Pass,,14.236924,,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Free Kick,Neymar da Silva Santos Junior,4320.0,Left Wing,6,Barcelona,217,['a04bb39a-65e5-4a91-87f5-416f50832a0c'],48,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:48.083,Pass,,2014/2015
,,,,,,,,,,,,,,,,,0.832408,,,,,,,,,,,,,0d38b23a-4f43-45c2-9454-724938c43849,94,,,"[74.3, 2.7]",265866,1,,,,,1.5891429,,Left Foot,,,"[74.1, 13.6]",,Ground Pass,,10.9018345,,,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,6,Barcelona,217,['b81cbabe-d7d3-4e9c-97e8-c0bc48a6a07a'],50,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:50.318,Pass,,2014/2015
,,,,,,,,,,,,,,,,,0.920031,,,,,,,,,,,,,b3f08851-294d-4ef3-b3b0-214ac8249114,97,,,"[74.1, 14.4]",265866,1,,,,,1.664157,,Right Foot,,,"[71.6, 41.1]",,Ground Pass,,26.816786,,,,Ivan Rakitić,5470.0,,,,,,,1,From Free Kick,Neymar da Silva Santos Junior,4320.0,Left Wing,6,Barcelona,217,['fab83013-a21e-4610-94d4-abad36fe5b64'],53,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:53.307,Pass,,2014/2015
,,,,,,,,,,,,,,,,,0.706498,,,,,,,,,,,,,74fa63d3-5043-42b5-9565-cd1b747e2f29,100,,,"[79.3, 49.1]",265866,1,,,,,-0.7162019,,Right Foot,,,"[90.1, 39.7]",,Ground Pass,,14.3178215,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,From Free Kick,Ivan Rakitić,5470.0,Right Center Midfield,6,Barcelona,217,['d3b49569-0a30-4d00-aada-2e5c4993d138'],57,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:57.120,Pass,,2014/2015
,,,,,,,,,,,,,,,,,1.64827,,,,,,,,,,,,,03a48970-6928-42b6-8468-2ac1e082e677,103,,,"[91.3, 39.0]",265866,1,,,,,1.3288758,,Right Foot,,,"[100.8, 77.5]",,Low Pass,,39.65476,,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Free Kick,Luis Alberto Suárez Díaz,5246.0,Center Forward,6,Barcelona,217,['0dcca632-55ef-432a-a24d-110d69922b02'],57,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:57.907,Pass,,2014/2015
,,,,,,,,,,,,,,,,,2.08147,,,,,,,,,,,,,84404058-6783-42e5-807f-806f7e715bf8,106,,,"[107.1, 74.1]",265866,2,,,,,-1.4385799,de3fbed5-cdef-4c14-81cc-6949a1d63009,Right Foot,True,,"[112.3, 35.0]",,High Pass,,39.444263,,,,Neymar da Silva Santos Junior,4320.0,True,,,,,,1,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,6,Barcelona,217,['e228745a-0ff4-46ea-92e5-19fc410516b7'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:01.892,Pass,,2014/2015
,,,,,,,,,,,,,,,,,2.1878,,,,,,,,,,,,,9e5cdc67-63cc-476f-a8a2-ab63f3f7a293,110,,,"[7.0, 44.1]",265866,2,,,,,0.33381823,,Right Foot,,,"[78.8, 69.0]",,High Pass,,75.99506,,Incomplete,,,,,,,,,Goal Kick,1,From Goal Kick,Juan Carlos Martín Corral,24255.0,Goalkeeper,7,Córdoba CF,373,['bb5a300d-1e0d-401f-bf7c-8ba7399b6e16'],31,,,,,,,,,,,,,,,,,,Córdoba CF,373,00:02:31.327,Pass,,2014/2015
,,,,,,,,,,,,,,,,,1.668148,,,,,,,,,,,,,bb5a300d-1e0d-401f-bf7c-8ba7399b6e16,112,,,"[41.3, 11.1]",265866,2,,,,True,2.6430247,,,,,"[32.3, 16.0]",,High Pass,,10.247438,,,,Javier Alejandro Mascherano,5506.0,,,,,,Recovery,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,8,Barcelona,217,"['3d3f38c2-711e-44b0-a113-6e3278478e82', '7547dd8c-0c03-4c3d-bf14-62aff8501eff', '9e5cdc67-63cc-476f-a8a2-ab63f3f7a293']",33,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:33.515,Pass,True,2014/2015
,,,,,,,,,,,,,,,,,1.5935,,,,,,,,,,,,,4f6a291b-c023-4c37-b773-d92491af7802,114,,,"[30.4, 21.4]",265866,2,,,,,-0.27656856,,Head,,,"[53.3, 14.9]",,High Pass,,23.80462,,,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Left Center Back,8,Barcelona,217,['3fbb19bb-43c5-42b6-a75e-97a4c9fcb034'],35,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:35.463,Pass,,2014/2015
