50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,"[29.2, 18.4]",,,,,,,,,,,,1.529975,,,,,,,,,,,,,1c8e5fe5-a8e8-4ce5-9837-bc3ab369ce6e,2615,,"[26.6, 18.4]",68326,66,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,143,Barcelona,217,"['48d02cae-cadf-4fc0-96ad-ede0683f2a36', '66956aad-709d-4f62-83dd-869059cd1395']",45,,,,,,,,,,,,,,,,Barcelona,217,00:21:45.158,Carry,,2006/2007
,,,"[44.5, 4.5]",,,,,,,,,,,,2.670821,,,,,,,,,,,,,6f5c66ed-7a2d-4a1a-94df-cc9cf093f09e,2618,,"[41.5, 3.3]",68326,66,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Giovanni van Bronckhorst,17797.0,Left Back,143,Barcelona,217,"['184cb5af-18e8-4770-a4c9-1509767e515f', 'cbf38eb0-7c59-40fc-961d-d49d579027b8']",47,,,,,,,,,,,,,,,,Barcelona,217,00:21:47.673,Carry,,2006/2007
,,,"[37.6, 23.3]",,,,,,,,,,,,2.074816,,,,,,,,,,,,,dc5e4c4c-b22a-4d6d-acc0-ae3bd870f53d,2621,,"[37.6, 23.3]",68326,66,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,143,Barcelona,217,"['6dbe9598-4fbd-4b8b-90b8-e0ecd60f4ef0', '9d88fde1-a037-4e48-a5d0-73a5adbe5492']",52,,,,,,,,,,,,,,,,Barcelona,217,00:21:52.190,Carry,,2006/2007
,,,"[57.6, 22.7]",,,,,,,,,,,,2.870493,,,,,,,,,,,,,a2cbe305-e580-4211-9448-99197a0ce62e,2624,,"[51.9, 17.6]",68326,66,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Anderson Luís de Souza,19757.0,Left Center Midfield,143,Barcelona,217,"['24defb16-f736-4dca-8ff3-248e4ac5ef98', 'e500f5e9-07b7-4d36-9493-cc5d3be66a7c']",55,,,,,,,,,,,,,,,,Barcelona,217,00:21:55.277,Carry,,2006/2007
,,,"[60.1, 20.7]",,,,,,,,,,,,2.346847,,,,,,,,,,,,,c2780822-9986-4cae-96b0-c958e945665d,2634,,"[57.3, 21.2]",68326,67,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Iriney Santos Da Silva,25978.0,Right Defensive Midfield,144,Celta Vigo,209,"['642e76b7-070e-48c2-827d-cd20bd32b307', '73983187-5883-4e07-8f32-71f86c41747e']",16,,,,,,,,,,,,,,,,Celta Vigo,209,00:22:16.650,Carry,,2006/2007
,,,"[97.7, 55.9]",,,,,,,,,,,,6.289574,,,,,,,,,,,,,353b56fd-04a7-4dae-a0b9-8edd5550860d,2637,,"[67.3, 54.2]",68326,67,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,George Lucas Coser,26008.0,Right Back,144,Celta Vigo,209,"['0f620f83-5a42-4031-a22f-074f375691bb', '2b6d5d82-3cc2-40cd-8fcd-06e19a8ec5b3']",20,,,,,,,,,,,,,,,,Celta Vigo,209,00:22:20.535,Carry,,2006/2007
,,,"[74.6, 45.9]",,,,,,,,,,,,2.972297,,,,,,,,,,,,,77c7d7e3-a3f5-4839-90ba-b9ceee09aafd,2642,,"[78.1, 41.2]",68326,67,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Borja Oubiña Meléndez,25986.0,Left Defensive Midfield,144,Celta Vigo,209,"['00862b93-3e79-486d-a226-950c2b1f0fe3', '1da9c870-bf98-44bc-a220-210520b0b1ee']",29,,,,,,,,,,,,,,,,Celta Vigo,209,00:22:29.651,Carry,,2006/2007
,,,"[84.4, 75.2]",,,,,,,,,,,,1.357893,,,,,,,,,,,,,45e6be5a-ac7b-44da-97fb-08e46066f3c7,2645,,"[79.3, 68.3]",68326,67,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Iriney Santos Da Silva,25978.0,Right Defensive Midfield,144,Celta Vigo,209,"['c5da9851-7a97-440b-a1e1-60ac7d1c1be5', 'd36ca8e5-84dc-45db-b14d-a8b57f0d495d']",33,,,,,,,,,,,,,,,,Celta Vigo,209,00:22:33.649,Carry,,2006/2007
,,,"[96.5, 67.5]",,,,,,,,,,,,4.303933,,,,,,,,,,,,,df0a1ee9-b8be-4fa0-b866-f73070dec9a4,2648,,"[91.2, 76.9]",68326,67,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Gustavo Adrián López Pablo,26003.0,Right Wing,144,Celta Vigo,209,"['3a93f64b-4477-472c-9c77-c8780a2472c7', '7ed5f9bc-3ab3-4c58-a94c-a08f2ee66a96']",36,,,,,,,,,,,,,,,,Celta Vigo,209,00:22:36.124,Carry,,2006/2007
,,,"[115.9, 17.7]",,,,,,,,,,,,3.465662,,,,,,,,,,,,,4e939fc4-6337-48d8-ae3b-7daa33477103,2653,,"[107.9, 15.0]",68326,67,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,João Fernando Nelo,25988.0,Center Forward,144,Celta Vigo,209,"['3aa74b92-e87a-4497-a631-dc90df11ed4b', '7d4a13d4-7337-435f-bf5d-ddc70027ed8c']",45,,,,,,,,,,,,,,,,Celta Vigo,209,00:22:45.789,Carry,,2006/2007
