ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.8987,,,,,,,,,,,,,5adf7f5a-ef7c-4212-8442-285cd3e2eb0b,54,,,"[84.0, 53.0]",16289,1,,,,-0.5880026,,Left Foot,,,,"[93.0, 47.0]",,Ground Pass,,10.816654,,,,,Moses Daddy-Ajala Simon,18163.0,,,,,,1,From Throw In,Nikola Vukčević,17303.0,Center Defensive Midfield,4,Levante UD,221,['f2d97961-e596-401b-b764-e26d2c3106c0'],9,,,,,,,,,,,,,,,,,Levante UD,221,00:01:09.154,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.68845,,,,,,,,,,,,,62897a91-4021-4a14-bd85-f9021b9a3acb,57,,,"[92.0, 47.0]",16289,1,,,,-0.90975314,,Left Foot,,,,"[99.0, 38.0]",,Ground Pass,,11.401754,,,Incomplete,,Borja Mayoral Moya,21147.0,,,,,,1,From Throw In,Moses Daddy-Ajala Simon,18163.0,Left Midfield,4,Levante UD,221,"['1650485a-68ee-4b0f-a77b-33f16d7446de', '4a42f478-8516-4e80-a068-1c15b4c633ee']",10,,,,,,,,,,,,,,,,,Levante UD,221,00:01:10.627,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.992461,,,,,,,,,,,,,fa227ff4-fa58-476e-a37a-c4910ed47bcf,62,,,"[26.0, 52.0]",16289,1,,,,0.6240231,,Right Foot,,,,"[51.0, 70.0]",,Ground Pass,,30.805843,,,,,Ousmane Dembélé,5477.0,,,,,,1,From Counter,Nélson Cabral Semedo,6374.0,Right Back,5,Barcelona,217,"['3c71ccc8-2ffc-4f9d-939b-01ab468aed16', '6d1aaecf-7761-4765-aa7c-93466a24a62b']",13,,,,,,,,,,,,,,,,,Barcelona,217,00:01:13.612,Pass,True,2018/2019
,,,,,,,,,,,,,,,,1.7101,,,,,,,,,,,,,10a63daf-a697-4dcd-9cdd-b8de11afb1d4,66,,,"[92.0, 59.0]",16289,1,,,,0.0,,Left Foot,,,,"[98.0, 59.0]",,Ground Pass,,6.0,,,,,Arturo Erasmo Vidal Pardo,8206.0,,,,,,1,From Counter,Ousmane Dembélé,5477.0,Right Wing,5,Barcelona,217,['9f7c829c-6fe7-4ab9-8eb1-6f4972b4ea9f'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:01:22.818,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.5983,,,,,,,,,,,,,ef481dbf-7c17-4c89-b757-16ff366e5fda,69,,,"[99.0, 58.0]",16289,1,,,,-0.43662715,cdb60a27-6ee0-40a3-ab3c-db9ce5198c0c,Right Foot,,,,"[114.0, 51.0]",,Ground Pass,,16.552946,,,,,Luis Alberto Suárez Díaz,5246.0,True,,Through Ball,True,,1,From Counter,Arturo Erasmo Vidal Pardo,8206.0,Right Center Midfield,5,Barcelona,217,['f33e42d6-d671-4d09-85bc-275391c6b66f'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:01:24.568,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.4484,,,,,,,,,,,,,71c2d1bc-0975-4724-8e0b-a12b8c9757fd,77,,,"[11.0, 11.0]",16289,1,,,,0.039978687,,Left Foot,,,,"[36.0, 12.0]",,Ground Pass,,25.019993,,,Incomplete,,Moses Daddy-Ajala Simon,18163.0,,,,,,1,Regular Play,Antonio Manuel Luna Rodríguez,6675.0,Left Back,5,Barcelona,217,"['02096399-9d07-4139-886f-fac170c3df98', '542a5836-86ae-4428-b10a-ffa8ce9b2a85']",29,,,,,,,,,,,,,,,,,Levante UD,221,00:01:29.994,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.7966,,,,,,,,,,,,,02096399-9d07-4139-886f-fac170c3df98,79,,,"[85.0, 69.0]",16289,1,,,,0.124354996,,Right Foot,,,,"[93.0, 70.0]",,Ground Pass,,8.062258,,,,,Arturo Erasmo Vidal Pardo,8206.0,,,,,Recovery,1,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,5,Barcelona,217,"['71c2d1bc-0975-4724-8e0b-a12b8c9757fd', 'b75ff098-222c-4136-a7b2-4b61707c9b94']",31,,,,,,,,,,,,,,,,,Barcelona,217,00:01:31.443,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.4468,,,,,,,,,,,,,9b92eb06-2111-4448-bbcb-b8d255e63e2e,81,,,"[93.0, 70.0]",16289,1,,,,-2.4980915,,Right Foot,,,,"[77.0, 58.0]",,Ground Pass,,20.0,,,,,Ivan Rakitić,5470.0,,,,,,1,Regular Play,Arturo Erasmo Vidal Pardo,8206.0,Right Center Midfield,5,Barcelona,217,['82e17039-b56d-4372-99e3-7ab28bf04291'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:01:32.239,Pass,,2018/2019
,,,,,,,,,,,,,,,,2.0339,,,,,,,,,,,,,57eac3cd-d655-47c3-80b7-f16159ca4e99,85,,,"[78.0, 59.0]",16289,1,,,,-1.1659045,,Right Foot,,,,"[84.0, 45.0]",,Ground Pass,,15.231546,,,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Center Defensive Midfield,5,Barcelona,217,"['356cf75e-50b1-4c20-80d1-0f88617ed61b', '36e266dc-981d-4b35-a14f-f7ce50a5009d']",34,,,,,,,,,,,,,,,,,Barcelona,217,00:01:34.145,Pass,True,2018/2019
,,,,,,,,,,,,,,,,0.8008,,,,,,,,,,,,,b30725cb-92b2-4fe0-b722-c9d81e5c3916,88,,,"[85.0, 37.0]",16289,1,,,,-0.14189705,78b8a9f8-69d7-4458-bc08-fa93fb90c0b9,Left Foot,,,,"[92.0, 36.0]",,Ground Pass,,7.071068,,,,,Philippe Coutinho Correia,3501.0,True,,,,,1,Regular Play,Arthur Henrique Ramos de Oliveira Melo,11392.0,Left Center Midfield,5,Barcelona,217,"['54140105-0ef0-4dee-bcc2-1de24e498908', 'e0c2f58d-1079-4c49-9730-fa555fa29bfd']",36,,,,,,,,,,,,,,,,,Barcelona,217,00:01:36.179,Pass,True,2018/2019
,,,,,,,,,,,,,,,,0.8359,,,,,,,,,,,,,d041e06c-ffd0-40e6-af1d-f9bace245ba2,94,,,"[44.0, 30.0]",16289,1,,,,-2.9996955,,Other,,,,"[37.0, 29.0]",,Low Pass,,7.071068,,,,,José Ángel Gómez Campaña,6688.0,,,,,Recovery,1,Regular Play,Borja Mayoral Moya,21147.0,Center Forward,6,Levante UD,221,['56780ab8-f754-409b-84fd-4e11d42507c7'],40,,,,,,,,,,,,,,,,,Levante UD,221,00:01:40.502,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.1882,,,,,,,,,,,,,36cf2a66-b913-4c7e-9ec1-ce3258bfc9b1,99,,,"[36.0, 27.0]",16289,1,,,,-0.94200003,,Left Foot,,,,"[44.0, 16.0]",,Ground Pass,,13.601471,,,,,Moses Daddy-Ajala Simon,18163.0,,,,,,1,Regular Play,José Ángel Gómez Campaña,6688.0,Left Center Midfield,6,Levante UD,221,"['37eb4a34-7ba9-47a8-93ec-b5aa055937ed', '49a9f5e7-2d5c-4ddf-85ae-993c71c63046']",42,,,,,,,,,,,,,,,,,Levante UD,221,00:01:42.107,Pass,True,2018/2019
,,,,,,,,,,,,,,,,1.0809,,,,,,,,,,,,,cc197f02-7f03-477b-9756-196a76c4f950,106,,,"[87.0, 64.0]",16289,1,,,,-2.2896264,,Right Foot,,,,"[80.0, 56.0]",,Ground Pass,,10.630146,,,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,1,Regular Play,Arturo Erasmo Vidal Pardo,8206.0,Right Center Midfield,7,Barcelona,217,['09720087-3f0c-46f3-ac32-0abec4b1694b'],48,,,,,,,,,,,,,,,,,Barcelona,217,00:01:48.476,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.8574,,,,,,,,,,,,,e62fcc75-21d0-49a6-9a65-432c437239ac,109,,,"[80.0, 55.0]",16289,1,,,,-1.6614562,,Right Foot,,,,"[79.0, 44.0]",,Ground Pass,,11.045361,,,,,Philippe Coutinho Correia,3501.0,,,,,,1,Regular Play,Arthur Henrique Ramos de Oliveira Melo,11392.0,Left Center Midfield,7,Barcelona,217,['f81a7578-bb78-4919-bf89-fad4a56c2087'],50,,,,,,,,,,,,,,,,,Barcelona,217,00:01:50.348,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.9224,,,,,,,,,,,,,c9835fb9-9002-41b9-9cdc-5bc5662202b7,113,,,"[82.0, 45.0]",16289,1,,,,1.8925469,,Left Foot,,,,"[80.0, 51.0]",,Ground Pass,,6.3245554,,,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,1,Regular Play,Philippe Coutinho Correia,3501.0,Left Wing,7,Barcelona,217,"['460b01b4-2810-4344-bf87-0c8c02624cc9', 'd987decb-ef33-47f9-8207-f33a726796fc']",51,,,,,,,,,,,,,,,,,Barcelona,217,00:01:51.869,Pass,True,2018/2019
,,,,,,,,,,,,,,,,1.8955,,,,,,,,,,,,,9eb84eb6-9720-4c2c-87f4-dbf532959971,116,,,"[77.0, 47.0]",16289,1,,,,-1.6124389,,Right Foot,,,,"[76.0, 23.0]",,Ground Pass,,24.020824,,,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Arthur Henrique Ramos de Oliveira Melo,11392.0,Left Center Midfield,7,Barcelona,217,['2afac516-33a4-4864-9cd4-3b1356de0699'],53,,,,,,,,,,,,,,,,,Barcelona,217,00:01:53.396,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.1674,,,,,,,,,,,,,3c8f60b5-db8e-44e4-b7e3-161a70b5d633,119,,,"[77.0, 18.0]",16289,1,,,,0.41822433,,Left Foot,,,,"[86.0, 22.0]",,Ground Pass,,9.848858,,,,,Philippe Coutinho Correia,3501.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,7,Barcelona,217,['9e48fca5-bfc1-4004-87bd-ddb46b335549'],56,,,,,,,,,,,,,,,,,Barcelona,217,00:01:56.629,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.9134,,,,,,,,,,,,,7cf23688-04af-45fd-8507-ce54f4f99d26,123,,,"[86.0, 13.0]",16289,1,,,,3.1415927,,Right Foot,,,,"[80.0, 13.0]",,Ground Pass,,6.0,,,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Philippe Coutinho Correia,3501.0,Left Wing,7,Barcelona,217,"['962775df-5003-4251-9901-1eb51ad62e56', '9ec2e74e-59b8-43e9-b4fa-050688ba21e3']",59,,,,,,,,,,,,,,,,,Barcelona,217,00:01:59.377,Pass,True,2018/2019
