ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,54b270dc-6de1-4923-99aa-9fb9e575cc84,2061,,"[55.4, 5.8]",69325,49,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,116,Barcelona,217,['28887e00-c0f2-429c-a67c-2b8669aac385'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:04:11.557,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,357beb98-96a5-4995-83a8-554fefde7a93,2064,,"[45.3, 9.8]",69325,49,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,116,Barcelona,217,['45438b24-798c-41c1-b459-ed6f6458813f'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:04:14.910,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,a98a29f5-0fca-4d30-b7d9-7521d07afe98,2067,,"[69.8, 10.9]",69325,49,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Andrés Iniesta Luján,5216.0,Left Wing Back,116,Barcelona,217,['0dc2a742-39ef-47ce-b994-324ce4f7ad85'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:04:17.562,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,4ec5dc4d-e392-4e67-bc02-53be08443072,2071,,"[50.9, 11.5]",69325,49,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,116,Barcelona,217,['819d540b-5732-4296-a6e9-68cdd38fccba'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:04:19.892,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,28627f20-1b90-4ea2-b567-44b93bb5287d,2075,,"[55.6, 30.5]",69325,49,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Thiago Alcântara do Nascimento,5208.0,Right Defensive Midfield,116,Barcelona,217,['dbc5970e-7ce7-41fe-9f26-be43fff12bdb'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:04:24.064,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,d0177515-3954-419a-aefd-c64c2cd6a276,2078,,"[77.8, 74.1]",69325,49,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Javier Alejandro Mascherano,5506.0,Right Center Back,116,Barcelona,217,['477a677b-d695-4d30-b515-13764d32a4d1'],28,,,,,,,,,,,,,,,,,Barcelona,217,00:04:28.986,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,089112d7-b330-4b2b-b9a4-2775c1a005f7,2081,,"[111.3, 66.0]",69325,49,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Alexis Alejandro Sánchez Sánchez,3385.0,Left Center Forward,116,Barcelona,217,"['97a296ab-7ebb-4d47-be35-d2436f367b95', 'bc5493f0-7650-44aa-b1fa-c9bcf24e4e89']",31,,,,,,,,,,,,,,,,,Barcelona,217,00:04:31.735,Ball Receipt*,True,2011/2012
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,66ee4f48-362b-41cd-92b3-65822ed1d30a,2085,,"[91.2, 14.4]",69325,50,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Gonzalo Castro Irizábal,6740.0,Left Midfield,117,Mallorca,1043,['c56ddb0c-e0d1-4816-bb2d-30a8ffc75645'],5,,,,,,,,,,,,,,,,,Mallorca,1043,00:05:05.863,Ball Receipt*,,2011/2012
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,4963e858-8cf1-4564-8ac4-65f5ea4e8ebb,2088,,"[75.0, 8.9]",69325,50,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Víctor Casadesús Castaño,23791.0,Left Center Forward,117,Mallorca,1043,['77078054-4290-4d11-8585-9a41cdbf44c9'],12,,,,,,,,,,,,,,,,,Mallorca,1043,00:05:12.873,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,cb28a41d-d173-4472-a185-8283f0bab29a,2091,,"[51.5, 66.6]",69325,50,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Francesc Fàbregas i Soler,3478.0,Center Attacking Midfield,117,Mallorca,1043,"['9bc4a55a-1204-4255-86bb-fcebd4b7522d', 'd7aee57e-8eb9-4c51-a8fd-91ddf7be2e97']",13,,,,,,,,,,,,,,,,,Barcelona,217,00:05:13.820,Ball Receipt*,True,2011/2012
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,70f8a07d-2f4f-4c66-8539-74036282450e,2093,,"[57.0, 75.2]",69325,50,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Javier Alejandro Mascherano,5506.0,Right Center Back,117,Mallorca,1043,['ead017e3-d60a-47b1-be3a-3fa9f739f9ba'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:05:15.126,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,53e88c96-59f3-4e51-83ad-0af4a9e7b719,2096,,"[114.4, 10.7]",69325,50,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Álvaro Giménez Candela,24053.0,Right Center Forward,118,Mallorca,1043,"['3f25f97d-b2f5-42f7-a853-995256c8f14e', '6c710981-ba1e-463a-8188-3f62fa95483f']",21,,,,,,,,,,,,,,,,,Mallorca,1043,00:05:21.371,Ball Receipt*,True,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,07517f63-1ca1-478b-8aab-b10ba45be424,2101,,"[5.7, 40.5]",69325,50,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Víctor Valdés Arribas,20176.0,Goalkeeper,118,Mallorca,1043,['5e1014c5-f62e-4270-8a1a-1d387f16ccea'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:05:25.855,Ball Receipt*,,2011/2012
