ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.047973,,,,,,,,,,,,83cd12a5-8aa2-4d4f-b23d-8be652654e13,47,,"[57.0, 61.3]",15956,0,,,,,0.9234042,,Right Foot,,,,"[69.4, 77.7]",,Ground Pass,,20.560156,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['a580513e-301d-4a5a-ad3e-c10f88d40021'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.518,Pass,,2018/2019
,,,,,,,,,,,,,,,0.813782,,,,,,,,,,,,871c25d9-df7f-4ce9-9e7d-3c616cb2b50c,51,,"[72.2, 75.7]",15956,0,,,,,0.15991312,,Left Foot,,,,"[84.6, 77.7]",,Ground Pass,,12.560255,,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,"['3d031e6d-1e62-4fb4-9e32-5f7bcf7d839f', 'fb4e2681-cf5f-4fb9-ad7b-f97a8f64cfa0']",40,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.947,Pass,True,2018/2019
,,,,,,,,,,,,,,,0.786496,,,,,,,,,,,,db360737-640a-4dcb-9321-de37d44724e5,54,,"[84.6, 77.7]",15956,0,,,,,-0.94200003,,Right Foot,,,,"[88.6, 72.2]",,Ground Pass,,6.8007355,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['3dfc28fa-830f-40ec-b536-4e0b929d9a2d'],41,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.801,Pass,,2018/2019
,,,,,,,,,,,,,,,0.133896,,,,,,,,,,,,ea2cff5e-a931-448e-8e89-42ab6638ee94,57,,"[86.2, 71.9]",15956,0,,,,,0.86217004,,Right Foot,,,,"[88.6, 74.7]",,Low Pass,,3.6878178,,Incomplete,,,,,,,,,,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,"['344f17c3-6a04-41c6-8f22-43ad81bc34e7', 'be6a5c81-b358-4d16-aee1-c0ff2d8f2f2c']",42,,,,,,,,,,,,,,,,,Barcelona,217,00:00:42.588,Pass,True,2018/2019
,,,,,,,,,,,,,,,0.876312,,,,,,,,,,,,5aa98744-c8c7-42e2-a136-1fe4f1e35690,59,,"[76.3, 80.0]",15956,0,,,,,-0.7291196,,,,,,"[83.8, 73.3]",,Low Pass,,10.056838,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Throw-in,1,From Throw In,Sergi Roberto Carnicer,6379.0,Right Back,3,Barcelona,217,['14f47cc0-4109-4f51-b058-ea95d7f5cc6f'],50,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.121,Pass,,2018/2019
,,,,,,,,,,,,,,,0.759154,,,,,,,,,,,,95610501-e7d0-4798-8f2e-895a9e74beea,63,,"[81.4, 72.5]",15956,0,,,,,2.04971,,Right Foot,,,,"[78.7, 77.7]",,Ground Pass,,5.859181,,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,3,Barcelona,217,"['20f1b86c-4bbd-48a4-8a89-eefc57df1cd9', 'ba4092c0-d691-4c53-805a-df29141e219d']",51,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.898,Pass,True,2018/2019
,,,,,,,,,,,,,,,0.150398,,,,,,,,,,,,251bb3c3-7236-498f-a58a-7b972f0db257,66,,"[80.3, 77.0]",15956,0,,,,,-2.4980915,,Right Foot,,,,"[77.9, 75.2]",,Ground Pass,,3.0,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Throw In,Sergi Roberto Carnicer,6379.0,Right Back,3,Barcelona,217,"['25b05986-68c7-4d90-9c16-eee0400a4394', '723f533a-f647-48f1-abee-4878419d7531']",53,,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.576,Pass,,2018/2019
,,,,,,,,,,,,,,,0.501519,,,,,,,,,,,,ae50b1e1-44ca-4f5e-93c6-d6ba63784a34,71,,"[45.2, 10.3]",15956,0,,,,,2.709185,,Left Foot,,,,"[38.7, 13.3]",,Ground Pass,,7.1589108,,,,Borja Fernández Fernández,11294.0,,,,,,,1,Regular Play,Óscar Plano Pedreño,11296.0,Left Center Forward,4,Real Valladolid,901,['40321e03-40cd-4724-b3e8-65838de619f3'],55,,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:55.459,Pass,,2018/2019
,,,,,,,,,,,,,,,1.067434,,,,,,,,,,,,5019e681-77f8-4f38-b25c-220ff215f673,74,,"[38.7, 13.3]",15956,0,,,,,-0.6870045,,Right Foot,,,,"[51.5, 2.8]",,Ground Pass,,16.555664,,,,Rubén Alcaraz Jiménez,11300.0,,,,,,,1,Regular Play,Borja Fernández Fernández,11294.0,Center Defensive Midfield,4,Real Valladolid,901,['b0760458-c7e3-49e9-8efa-a8a330c324ee'],56,,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:56.081,Pass,,2018/2019
,,,,,,,,,,,,,,,1.172287,,,,,,,,,,,,c583cae6-f6e7-40a8-8d8d-18b8143d1212,78,,"[69.9, 6.8]",15956,1,,,,,0.45881674,,Left Foot,,,,"[86.5, 15.0]",,Ground Pass,,18.514858,,Incomplete,,Enes Ünal,6760.0,,,,,,,1,Regular Play,Rubén Alcaraz Jiménez,11300.0,Left Center Midfield,4,Real Valladolid,901,"['b0f77f23-fd17-4b70-9198-a698c061719a', 'e7a8257b-e287-4551-bd95-5f30077942fd']",1,,,,,,,,,,,,,,,,,Real Valladolid,901,00:01:01.465,Pass,,2018/2019
