50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.949929,,,,,,,,,,,,8abc0311-71b8-4682-a1b2-0cafac81ecf4,3059,,"[41.4, 56.6]",16149,76,,,,-2.0195196,,Right Foot,,,"[33.6, 40.4]",,Ground Pass,,17.979988,,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,143,Barcelona,217,['0d3044a3-42a1-4d92-96ff-f6c9f270e261'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:31:05.258,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.82664,,,,,,,,,,,,22f041c5-6cff-4aeb-8da0-1f3fc42aab8a,3062,,"[34.5, 36.0]",16149,76,,,,-0.9223651,,Right Foot,,,"[49.2, 16.6]",,Ground Pass,,24.340296,,,,Jordi Alba Ramos,5211.0,,,,,,2,Regular Play,Arthur Henrique Ramos de Oliveira Melo,11392.0,Left Center Midfield,143,Barcelona,217,['e86a6c8c-ef25-4050-b4f4-ed7a55956e3f'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:31:07.248,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.326655,,,,,,,,,,,,179e0c56-460e-4087-a150-0723e47df0be,3065,,"[62.4, 15.5]",16149,76,,,,-0.45202023,,Right Foot,,,"[79.7, 7.1]",,Ground Pass,,19.231485,,,,Philippe Coutinho Correia,3501.0,,,,,,2,Regular Play,Jordi Alba Ramos,5211.0,Left Back,143,Barcelona,217,['d3626b0c-09cc-48ed-ae06-ad4dc8b19485'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:31:11.399,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,2.28279,,,,,,,,,,,,78714205-63ce-4b32-8645-b814f019e08f,3068,,"[86.0, 14.4]",16149,76,,,,1.2704328,,Right Foot,,,"[100.0, 59.6]",,High Pass,,47.318497,,,,Ivan Rakitić,5470.0,,True,,,,2,Regular Play,Philippe Coutinho Correia,3501.0,Left Wing,143,Barcelona,217,['62f36c6a-e45e-44ea-bbf9-1cfd8c8b52b6'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:31:15.202,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.630499,,,,,,,,,,,,365d4c79-0eb9-4b81-b7fc-28f5cae2988b,3071,,"[98.9, 60.0]",16149,76,,,,-0.97059923,,Right Foot,,,"[115.6, 35.6]",,High Pass,,29.567719,,,,Philippe Coutinho Correia,3501.0,,,,,,2,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,143,Barcelona,217,['a186f06c-17dd-49b5-b1db-0fd15fed909f'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:31:18.693,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.683149,,,,,,,,,,,,a39ca393-916a-435e-b853-2054a103b647,3073,,"[115.6, 35.6]",16149,76,,,,2.1479886,,Head,,,"[112.8, 39.9]",,High Pass,,5.1312766,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,2,Regular Play,Philippe Coutinho Correia,3501.0,Left Wing,143,Barcelona,217,['b8ff9e35-a520-41c9-9b3d-73991bd09cd3'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:31:20.536,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.142488,,,,,,,,,,,,f936d398-a239-4b3f-82b8-b9212268903f,3076,,"[113.0, 41.0]",16149,76,,,,2.872425,02bcc8d6-8ee5-48fc-94e4-82b7bead5d8d,Right Foot,,,"[110.1, 41.8]",,Low Pass,,3.0083218,,,,Lionel Andrés Messi Cuccittini,5503.0,True,,,,,2,Regular Play,Luis Alberto Suárez Díaz,5246.0,Center Forward,143,Barcelona,217,"['361c903d-0586-41ae-afd9-2a02b5f70773', '6950dbdd-1017-478a-ad3b-f56a15fecd59']",22,,,,,,,,,,,,,,,,,Barcelona,217,00:31:22.219,Pass,True,2018/2019
,,,,,,,,,,,,,,,,,,1.134503,,,,,,,,,,,,0ebd9542-0d99-48a1-a707-1507e1ed768f,3081,,"[120.0, 80.0]",16149,77,,,,-2.659929,,Left Foot,,,"[115.6, 77.7]",,Ground Pass,,4.9648767,,,,Philippe Coutinho Correia,3501.0,,,,,Corner,2,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,144,Barcelona,217,['cf4f73d6-ddd7-4b3d-9c56-61373a2428d6'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:32:06.585,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.246004,,,,,,,,,,,,a06a1c94-9256-4e3a-ab0c-53d7a9ec6211,3084,,"[116.1, 77.7]",16149,77,,,,-2.917358,,Right Foot,,,"[104.7, 75.1]",,Ground Pass,,11.692733,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,2,From Corner,Philippe Coutinho Correia,3501.0,Left Wing,144,Barcelona,217,['057ac7bc-3926-4b25-8e62-3714f4b350bc'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:32:08.550,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.405036,,,,,,,,,,,,5c48b9e0-bec4-4d05-8f77-76fbd6185b91,3087,,"[101.1, 74.3]",16149,77,,,,-2.4156854,,Left Foot,,,"[84.2, 59.3]",,Ground Pass,,22.596682,,,,Sergio Busquets i Burgos,5203.0,,,,,,2,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,144,Barcelona,217,['d522d4e8-7108-4a2b-8891-ff22e5f35622'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:32:10.493,Pass,,2018/2019
