50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5c0e3895-41e1-46cf-8825-fc196295a8b1,3110,,"[49.5, 57.4]",303479,74,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,133,Real Sociedad,210,,35,,,,,,,,,,,,,,,,,Barcelona,217,00:29:35.402,Miscontrol,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3fd4d90f-728a-44e4-8cd2-0dfb2c7c89a0,3128,,"[53.8, 3.5]",303479,75,,True,True,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Martin Braithwaite Christensen,4447.0,Left Wing,134,Barcelona,217,,4,,,,,,,,,,,,,,,,,Barcelona,217,00:30:04.912,Miscontrol,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,503dcbed-8383-4011-8f78-6278e7cd55be,3170,,"[84.1, 56.8]",303479,75,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Mikel Merino Zazón,3042.0,Left Defensive Midfield,135,Real Sociedad,210,,40,,,,,,,,,,,,,,,,,Real Sociedad,210,00:30:40.406,Miscontrol,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bbe5ff84-1d31-4408-a58d-8b6486dfdfd0,3221,,"[69.6, 10.8]",303479,81,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Mikel Oyarzabal Ugarte,6685.0,Left Wing,139,Real Sociedad,210,,54,,,,,,,,,,,,,,,,,Real Sociedad,210,00:36:54.868,Miscontrol,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3df22832-43d4-4e7a-a7e5-4669db548591,3309,,"[100.4, 27.3]",303479,83,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Ignacio Monreal Eraso,3498.0,Left Back,141,Real Sociedad,210,,11,,,,,,,,,,,,,,,,,Real Sociedad,210,00:38:11.489,Miscontrol,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9da03fde-ee79-42cc-af5a-f5d22fd4e604,3335,,"[99.2, 36.8]",303479,84,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ander Guevara Lajo,24236.0,Right Defensive Midfield,144,Real Sociedad,210,,47,,,,,,,,,,,,,,,,,Real Sociedad,210,00:39:47.620,Miscontrol,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3d847a92-d668-48f5-b527-54943e82fa90,3386,,"[110.7, 15.8]",303479,85,,,True,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Mikel Merino Zazón,3042.0,Left Defensive Midfield,145,Real Sociedad,210,,44,,,,,,,,,,,,,,,,,Real Sociedad,210,00:40:44.010,Miscontrol,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,90c71c0a-e23b-4af2-b8e1-ffbf5c518e49,3510,,"[108.0, 49.1]",303479,90,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,155,Barcelona,217,,55,,,,,,,,,,,,,,,,,Barcelona,217,00:45:55.110,Miscontrol,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ca601104-c038-4204-9e4d-204411c6d2be,3558,,"[108.9, 77.3]",303479,91,,,True,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Andoni Gorosabel Espinosa,6670.0,Right Back,156,Real Sociedad,210,,52,,,,,,,,,,,,,,,,,Real Sociedad,210,00:46:52.640,Miscontrol,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cb1e8545-03ed-4f09-adea-0517cc2eaab9,3596,,"[113.2, 52.8]",303479,93,,,True,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,159,Barcelona,217,['bbe849c5-0abb-4859-8032-248a45f18463'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:48:05.490,Miscontrol,True,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b8b03002-2bf5-428d-bf8d-d12c64edf592,190,,"[85.0, 44.1]",303479,3,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Cristian Portugués Manzanera,6582.0,Right Wing,9,Barcelona,217,"['327f0beb-1f86-4893-95be-d3996fe54bd7', '32dcb586-9cfd-4f1c-aa57-1197d019eaad']",22,,,,,,,,,,,,,,,,,Real Sociedad,210,00:03:22.177,Dribbled Past,,2019/2020
,,,,,,,,,,True,,,,,0.0,,,,,,,,,,,,,,7443d198-84da-4fca-a6db-ec226b975e8e,755,,"[67.0, 34.0]",303479,15,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ander Guevara Lajo,24236.0,Right Defensive Midfield,37,Real Sociedad,210,"['4ac87eff-5568-433c-af30-d3cb260f2704', 'c4b126c1-e90f-4d38-9c3f-04d2366105cb']",50,,,,,,,,,,,,,,,,,Real Sociedad,210,00:15:50.389,Dribbled Past,,2019/2020
,,,,,,,,,,True,,,,,0.0,,,,,,,,,,,,,,685cd9c7-087f-46f3-9af4-d0649b7bf555,1311,,"[8.1, 65.9]",303479,28,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andoni Gorosabel Espinosa,6670.0,Right Back,64,Barcelona,217,"['ae7a4bbb-988c-4810-b1b4-dc2836466487', 'c81e9934-e7ce-4e8a-8ac1-055b565bce49']",52,,,,,,,,,,,,,,,,,Real Sociedad,210,00:28:52.591,Dribbled Past,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,27c5ce52-b8e2-43ac-af16-2e50d0099f23,1446,,"[23.5, 30.2]",303479,31,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Robin Aime Robert Le Normand,22128.0,Left Center Back,70,Barcelona,217,['8cb4405d-096f-4a1a-97e0-93d3aa8ff5d2'],53,,,,,,,,,,,,,,,,,Real Sociedad,210,00:31:53.488,Dribbled Past,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,32071572-5d89-4c6b-8c09-c325e121145c,1467,,"[64.0, 78.3]",303479,32,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,71,Real Sociedad,210,"['02e7ab23-4735-442c-b6bd-eb6ff57f6c4a', '179c1538-4f99-46f2-bf1d-a5564eea1a50']",9,,,,,,,,,,,,,,,,,Barcelona,217,00:32:09.067,Dribbled Past,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,59d05e2e-a85e-4f5b-b1c0-09c3c606f0fc,1482,,"[42.5, 31.2]",303479,32,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ander Guevara Lajo,24236.0,Right Defensive Midfield,72,Barcelona,217,"['03351c07-52db-4a00-98fe-ae5fd4803c4c', 'fd9235c6-5bca-442b-8d33-e97802e95654']",27,,,,,,,,,,,,,,,,,Real Sociedad,210,00:32:27.970,Dribbled Past,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0b58e13c-a3b2-420b-b175-5e671586b334,1567,,"[63.9, 26.2]",303479,34,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Alexander Isak,8819.0,Center Forward,75,Barcelona,217,"['345824ed-5aa8-4a1c-bfea-65542a660f0b', '9aff251c-f635-4761-ab4a-0aacd198863b']",6,,,,,,,,,,,,,,,,,Real Sociedad,210,00:34:06.774,Dribbled Past,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0987dd7d-2807-47d8-b831-e801af1b457a,1964,,"[47.4, 2.2]",303479,41,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Mikel Merino Zazón,3042.0,Left Defensive Midfield,87,Barcelona,217,"['09880440-db1c-40a5-aa61-083eb12a5d5a', 'f084694d-edb7-4f6a-86a0-f3b3a16ac8bd']",8,,,,,,,,,,,,,,,,,Real Sociedad,210,00:41:08.436,Dribbled Past,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ca812f0a-f5e8-4585-ac84-754b5150a4f8,1974,,"[17.9, 4.0]",303479,41,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ander Barrenetxea Muguruza,22321.0,Left Wing,87,Barcelona,217,"['8e771fbf-a13c-4008-9974-f80233304230', 'dae71957-a32c-44b8-a848-4067a10f29d5']",13,,,,,,,,,,,,,,,,,Real Sociedad,210,00:41:13.691,Dribbled Past,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,56a0ec1d-a025-4b79-b9d4-f6caaaf0ff6c,2016,,"[13.2, 2.7]",303479,43,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,91,Real Sociedad,210,"['5f4c2256-cde4-434f-89b5-3373ac2d8415', '824b7f80-a552-4115-b93a-1a0d393b445a', 'e8627728-9b66-4f79-89a1-e78aa45e3429']",31,,,,,,,,,,,,,,,,,Barcelona,217,00:43:31.744,Dribbled Past,,2019/2020
