50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,47cd80ad-3a1f-44fb-ab50-8437765be054,2388,,"[69.2, 74.6]",68348,78,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Juan Francisco Torres Belén,6375.0,Right Wing,167,Espanyol,214,,17,,,,,,,,,,,,,,,,,,Espanyol,214,00:33:17.275,Block,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fb6431b9-c220-4b36-ade2-f7d5aaf3f424,2416,,"[28.7, 34.2]",68348,79,,,True,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Giovanni van Bronckhorst,17797.0,Left Back,170,Espanyol,214,['09b1d692-026f-4c53-b940-4e36def83b22'],13,,,,,,,,,,,,,,,,,,Barcelona,217,00:34:13.073,Block,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7f972853-cd14-43c8-8baa-b7b844843e53,2490,,"[15.4, 48.5]",68348,81,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Alberto Lopo García,26107.0,Right Center Back,178,Barcelona,217,['0ee93dde-b5b3-4b62-a075-ee7cb9bbdb5b'],54,,,,,,,,,,,,,,,,,,Espanyol,214,00:36:54.545,Block,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ecef9cc9-2367-4de4-bde0-9320973e4110,2547,,"[31.2, 18.9]",68348,84,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Eduardo Nascimento Costa,26108.0,Right Defensive Midfield,182,Barcelona,217,['5e072e15-f863-440a-955d-5222c470de5e'],9,,,,,,,,,,,,,,,,,,Espanyol,214,00:39:09.312,Block,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fbcc0994-7544-4aa3-99c9-f6850f5f8386,2754,,"[28.6, 11.3]",68348,93,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Ferrán Corominas Telechea,26102.0,Left Wing,201,Barcelona,217,['a159a1be-941b-422a-a6e8-c750d08f1c37'],26,,,,,,,,,,,,,,,,,,Espanyol,214,00:48:26.643,Block,,2005/2006
,,,,,,,,,,,True,,,,,,0.0,,,,,,,,,,,,,,69419fc4-2a97-4835-b6fd-a9f04cdb0cc4,114,Won,"[27.4, 52.7]",68348,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alberto Lopo García,26107.0,Right Center Back,5,Espanyol,214,['432f2f42-ce79-42f6-878b-8a63ca74e34d'],7,,,,,,,,,,,,,,,,,,Espanyol,214,00:02:07.639,Interception,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3d55d047-dd91-40c2-a736-0a450fbbef1e,206,Success In Play,"[53.3, 74.6]",68348,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Armando Miguel Correia de Sa,26106.0,Right Back,10,Barcelona,217,['f15d7880-af70-4613-8f92-221669ed7893'],3,,,,,,,,,,,,,,,,,,Espanyol,214,00:04:03.683,Interception,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b3fb0311-5a49-4a77-9e36-5a5cfa9dfcf5,558,Lost Out,"[48.2, 18.2]",68348,14,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Giovanni van Bronckhorst,17797.0,Left Back,39,Espanyol,214,['07563462-0166-4f68-952c-897779530a89'],37,,,,,,,,,,,,,,,,,,Barcelona,217,00:14:37.823,Interception,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9f477ce2-6991-4f96-aaae-33a4baffe31f,637,Lost In Play,"[32.7, 45.6]",68348,16,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Pablo Javier Zabaleta Girod,3052.0,Right Wing,43,Barcelona,217,['d81226a7-64fa-4b00-8dc7-a28f0b85c1ea'],12,,,,,,,,,,,,,,,,,,Espanyol,214,00:16:12.381,Interception,,2005/2006
,,,,,,,,,,,True,,,,,,0.0,,,,,,,,,,,,,,6d7ba766-bafc-412c-a83c-872be903797a,1203,Won,"[26.4, 24.0]",68348,38,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Didier Domi,24797.0,Left Back,84,Espanyol,214,['1e664cee-a51c-45f2-8467-625ac8af6180'],1,,,,,,,,,,,,,,,,,,Espanyol,214,00:38:01.550,Interception,,2005/2006
