bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.911877,,,,,,,,,,,,3ccbdd33-5ccf-438b-8901-826a65582d76,49,,"[72.2, 70.8]",9602,0,,,,,-2.4374964,,Right Foot,,,,"[64.9, 64.6]",,Ground Pass,,9.577578,,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['718be90f-07a5-4353-9a69-21912a04944d'],40,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.583,Pass,,2017/2018
,,,,,,,,,,,,,,,,,2.220854,,,,,,,,,,,,11f2c602-8d2d-4f09-86d0-5d2ca2cf2513,52,,"[64.4, 63.2]",9602,0,,,,,-1.7922354,,Right Foot,,,,"[55.8, 25.0]",,Ground Pass,,39.156097,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['3db427a9-07cb-45f6-b0ef-e6e525178ee6'],43,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.144,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.559798,,,,,,,,,,,,d2702798-6b3a-4d38-9ba6-793ec31b10a0,55,,"[63.6, 19.8]",9602,0,,,,,-0.85388297,,Right Foot,,,,"[76.5, 5.0]",,Ground Pass,,19.632881,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['eb980977-fa8a-4fd5-a132-e423bffd8dea'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.868,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.635802,,,,,,,,,,,,dc040fd9-2118-4696-bf99-c5a606905857,58,,"[76.5, 5.0]",9602,0,,,,,1.4968573,,Left Foot,,,,"[77.1, 13.1]",,Ground Pass,,8.122191,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['ae638651-8ed0-46c3-946e-eed347fae982'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.419,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.670088,,,,,,,,,,,,1591bff3-5d7d-49a5-8359-0c9a67e9f551,61,,"[76.5, 13.4]",9602,0,,,,,-2.317454,,Right Foot,,,,"[70.3, 6.7]",,Ground Pass,,9.128527,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,['82af8f1e-d996-4435-9f85-f6dd5ba691b2'],50,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.100,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.736545,,,,,,,,,,,,9cdce1a6-4193-494c-aff3-8f95cb995577,63,,"[70.3, 6.7]",9602,0,,,,,1.9908748,,Left Foot,,,,"[63.6, 21.7]",,Ground Pass,,16.42833,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['a617899e-1c2b-4670-b513-0d82f40b3fe9'],50,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.770,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.659357,,,,,,,,,,,,f924e46e-815c-4236-a136-bbdf52c9967c,66,,"[63.6, 22.5]",9602,0,,,,,1.5524161,,Right Foot,,,,"[64.1, 49.7]",,Ground Pass,,27.204596,,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['dbccfb6a-4a80-46eb-ad6b-9cf034acc1a0'],54,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.453,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.132392,,,,,,,,,,,,b8728e0c-a1fe-47f8-bbdf-aa3e92061672,69,,"[66.6, 54.1]",9602,0,,,,,0.8605253,,Right Foot,,,,"[79.5, 69.1]",,Ground Pass,,19.784084,,,,Ousmane Dembélé,5477.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['9ff766b9-5fd9-4f6c-9602-56f4d3b0ecbc'],57,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.875,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.588406,,,,,,,,,,,,a463d870-55a3-4ab2-bdbc-0337b542256d,73,,"[78.7, 69.1]",9602,0,,,,,2.8527973,,Right Foot,,,,"[64.9, 73.2]",,Ground Pass,,14.39618,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Ousmane Dembélé,5477.0,Right Wing,2,Barcelona,217,"['ad2fdb17-7585-49af-9b69-845ff7df789c', 'f2788adb-1569-42a4-add7-cd00213be80c']",59,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.111,Pass,True,2017/2018
,,,,,,,,,,,,,,,,,0.735788,,,,,,,,,,,,d59313f9-3f38-4b44-aebb-ba6008a57392,76,,"[62.5, 72.9]",9602,1,,,,,-0.6177557,,Right Foot,,,,"[70.1, 67.5]",,Ground Pass,,9.32309,,,,Ousmane Dembélé,5477.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['c7a654ac-7455-4d6a-a216-fbc3c0dbb203'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.360,Pass,,2017/2018
