50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.866757,,,,,,,,,,,81b65413-de80-4788-85d8-5eb885be3a39,69,,"[62.3, 4.5]",16131,0,,,,0.26625204,,Left Foot,,,,"[73.3, 7.5]",,Ground Pass,11.401754,,,Philippe Coutinho Correia,3501.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['1ee2b413-ac61-4e15-abd3-429bb894806c'],58,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.356,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.589921,,,,,,,,,,,502dd95d-8bcc-4e30-87e3-56eff2b6abba,72,,"[73.3, 7.5]",16131,0,,,,-2.7969453,,Right Foot,,,,"[65.5, 4.7]",,Ground Pass,8.28734,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Philippe Coutinho Correia,3501.0,Left Wing,3,Barcelona,217,['a07a190c-9bbc-44ae-96c2-789c56116982'],59,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.303,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.244589,,,,,,,,,,,f1f75e04-b45a-4916-b0da-6dbb6fb5c477,74,,"[64.0, 4.7]",16131,0,,,,2.5946004,,Left Foot,,,,"[48.4, 14.2]",,Ground Pass,18.264994,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['965b0791-c73d-44c7-96c3-6dad56107bc7'],59,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.893,Pass,,2018/2019
,,,,,,,,,,,,,,,,2.034662,,,,,,,,,,,80e5d064-4640-4bb6-b96b-d22c3e6da421,77,,"[48.4, 14.2]",16131,1,,,,1.7278838,,Right Foot,,,,"[41.7, 56.5]",,Ground Pass,42.827328,,,Gerard Piqué Bernabéu,5213.0,,True,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['c40faf07-774b-42a5-83e2-7abfcddfd7b1'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:01:02.610,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.098527,,,,,,,,,,,dee34395-2af8-4115-a4a5-48536fde417f,80,,"[55.3, 59.7]",16131,1,,,,0.79873073,,Right Foot,,,,"[70.1, 74.9]",,Ground Pass,21.21509,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['3a226623-68df-4d58-a0c0-6dc9e3a3872a'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.573,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.987465,,,,,,,,,,,b243a6d8-6e9d-4293-8ecf-ad9784f13389,82,,"[70.1, 74.9]",16131,1,,,,-0.411723,,Right Foot,,,,"[93.0, 64.9]",,Low Pass,24.988197,,,Ivan Rakitić,5470.0,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Back,3,Barcelona,217,['0c19e79a-7250-4360-b63b-b58d96dce0d8'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.672,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.206907,,,,,,,,,,,a8d3e434-2cb7-4978-b1d2-6ef793554e7f,86,,"[102.1, 67.5]",16131,1,,,,-0.9242832,,Left Foot,,,,"[110.1, 56.9]",,Ground Pass,13.28006,Incomplete,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,3,Barcelona,217,"['8c1f88df-b3ae-42c5-9848-49d67a8f3248', 'dd9d74a1-b6b7-4e80-b7ee-43e770551fb4']",14,,,,,,,,,,,,,,,,,Barcelona,217,00:01:14.442,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.240338,,,,,,,,,,,92464fbf-c909-4c15-980f-5a6fced8e983,89,,"[120.0, 80.0]",16131,1,,,,-2.6199064,,Left Foot,,,,"[107.3, 72.7]",,Ground Pass,14.648549,,,Philippe Coutinho Correia,3501.0,,,,,Corner,1,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,4,Barcelona,217,['ac2c1ebb-b3e6-4b97-b29f-203b98124fbb'],40,,,,,,,,,,,,,,,,,Barcelona,217,00:01:40.061,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.481469,,,,,,,,,,,deeb1612-2863-421a-9649-4a4c8b62c79c,92,,"[105.8, 70.5]",16131,1,,,,-2.4595044,,Right Foot,,,,"[89.3, 57.1]",,Ground Pass,21.255823,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,1,From Corner,Philippe Coutinho Correia,3501.0,Left Wing,4,Barcelona,217,['dab5fafc-6552-4d48-b40a-cec007aee739'],42,,,,,,,,,,,,,,,,,Barcelona,217,00:01:42.560,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.257621,,,,,,,,,,,def0988e-3e71-4b59-9213-ab006abc22cf,95,,"[89.3, 57.1]",16131,1,,,,0.9609313,,Right Foot,,,,"[100.2, 72.7]",,Ground Pass,19.030764,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Corner,Arthur Henrique Ramos de Oliveira Melo,11392.0,Left Center Midfield,4,Barcelona,217,['dfa5aa17-4f57-400e-91a2-d8f5f99a7ab6'],44,,,,,,,,,,,,,,,,,Barcelona,217,00:01:44.738,Pass,,2018/2019
