50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0572ede1-4d92-4add-998c-daabd36dd23c,1170,,"[55.9, 37.3]",68323,30,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Andrés Iniesta Luján,5216.0,Right Center Midfield,92,Celta Vigo,209,['05109743-cb3c-41eb-83a4-8ae73ecfe77b'],44,,,,,,,,,,,,,,,,,Barcelona,217,00:30:44.665,Ball Receipt*,,2005/2006
,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7d28ec71-c262-4383-a76d-153ec6788d33,1173,,"[64.0, 45.4]",68323,30,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,João Fernando Nelo,25988.0,Center Forward,92,Celta Vigo,209,['5bb3ad1a-bb73-48e4-a275-baa326d6abae'],44,,,,,,,,,,,,,,,,,Celta Vigo,209,00:30:44.856,Ball Receipt*,,2005/2006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d36792c2-1261-4fb2-bf93-f83821594280,1178,,"[79.0, 27.4]",68323,30,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,João Fernando Nelo,25988.0,Center Forward,92,Celta Vigo,209,['48fc48c2-0729-4ef2-b928-5d75c6737f96'],49,,,,,,,,,,,,,,,,,Celta Vigo,209,00:30:49.198,Ball Receipt*,,2005/2006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711ebe86-1163-4e94-be59-0fa5cda612fd,1182,,"[71.6, 23.7]",68323,30,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Diego Rodolfo Placente,25976.0,Left Back,92,Celta Vigo,209,"['57a4cd3f-e8c2-4f19-8c8c-38d80d083261', '8f09d72e-7e92-408a-a16a-be37075289a3']",50,,,,,,,,,,,,,,,,,Celta Vigo,209,00:30:50.477,Ball Receipt*,True,2005/2006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39d1ab50-1df3-414b-b21e-8f5f4c15c6b9,1190,,"[110.3, 52.3]",68323,31,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Matías Emanuel Lequi,25973.0,Left Center Back,93,Celta Vigo,209,['9dddaa41-82a3-4443-99fa-7fd40c0a6ea0'],20,,,,,,,,,,,,,,,,,Celta Vigo,209,00:31:20.614,Ball Receipt*,,2005/2006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29dd29ca-b210-48bd-b998-b3c2ddf8617d,1192,,"[107.1, 42.4]",68323,31,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Antonio Núñez Tena,25982.0,Right Wing,93,Celta Vigo,209,['971dbcc3-c996-47a4-af85-6d5e18ec0300'],21,,,,,,,,,,,,,,,,,Celta Vigo,209,00:31:21.915,Ball Receipt*,,2005/2006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8ed800bc-5a94-4c04-bce8-474a4af5d9b5,1201,,"[97.6, 58.2]",68323,31,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Matías Emanuel Lequi,25973.0,Left Center Back,93,Celta Vigo,209,['5627b9b9-94da-4aa2-9178-02173acc1aac'],27,,,,,,,,,,,,,,,,,Celta Vigo,209,00:31:27.536,Ball Receipt*,,2005/2006
,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9ed39bdf-ccd6-4632-8ffd-c52f08694d61,1203,,"[110.8, 35.2]",68323,31,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,David Josué Jiménez Silva,3064.0,Left Wing,93,Celta Vigo,209,['273bd574-8c24-4d79-9ec4-f71433ae318b'],29,,,,,,,,,,,,,,,,,Celta Vigo,209,00:31:29.086,Ball Receipt*,,2005/2006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c79559bc-3a5b-4d06-89ce-f6fcff9b630b,1205,,"[22.0, 62.6]",68323,31,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Oleguer Presas Renom,25873.0,Right Back,94,Barcelona,217,['6779a480-0cce-4d63-b97a-4f7609caba9f'],34,,,,,,,,,,,,,,,,,Barcelona,217,00:31:34.475,Ball Receipt*,,2005/2006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fce871eb-9fb2-4f02-b86f-00c79eae9d3b,1207,,"[61.8, 71.3]",68323,31,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ronaldo de Assis Moreira,25879.0,Left Wing,94,Barcelona,217,['5a470e02-c81d-41d9-9962-d600a139a77b'],39,,,,,,,,,,,,,,,,,Barcelona,217,00:31:39.178,Ball Receipt*,,2005/2006
