ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.230159,,,,,,,,,,,,,,fe51bd9e-4fd7-454e-b715-24f93e6fa757,57,,,"[79.0, 40.5]",69154,1,,,,,-2.48751,,Right Foot,,,,"[73.0, 35.9]",,Ground Pass,,7.5604234,,,,Anderson Luís de Souza,19757.0,,,,,,1,From Free Kick,Javier Pedro Saviola Fernández,25962.0,Center Forward,5,Barcelona,217,['06e48b46-f570-471c-85b0-f74c00163dbd'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.140,Pass,,2006/2007
,,,,,,,,,,,,,,,,2.752682,,,,,,,,,,,,,,8162d124-3c46-4ddb-b169-938af226e824,60,,,"[73.2, 35.7]",69154,1,,,,,-0.7390737,,Right Foot,,,,"[96.9, 14.1]",,High Pass,,32.066338,,,,Ronaldo de Assis Moreira,25879.0,,,,,,1,From Free Kick,Anderson Luís de Souza,19757.0,Right Center Midfield,5,Barcelona,217,['b2e90003-7d84-4f32-a64f-31319fbb3119'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.410,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.367107,,,,,,,,,,,,,,130c7160-0228-469b-b395-dba07cfc4665,63,,,"[96.9, 13.6]",69154,1,,,,,-0.118932895,,Right Foot,,,,"[112.8, 11.7]",,Ground Pass,,16.013119,,,,Gianluca Zambrotta,15774.0,,,,,,1,From Free Kick,Ronaldo de Assis Moreira,25879.0,Left Wing,5,Barcelona,217,['8aec9342-900f-4ee5-8ed0-4ca1871a208a'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.688,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.3284,,,,,,,,,,,,,,a026caf7-a903-4a65-b6bd-0153e2c25bef,67,,,"[113.9, 10.8]",69154,1,,,,,1.788564,,Left Foot,True,,,"[108.7, 34.3]",,Ground Pass,,24.068443,,,Incomplete,Javier Pedro Saviola Fernández,25962.0,,,,,,1,From Free Kick,Gianluca Zambrotta,15774.0,Left Back,5,Barcelona,217,"['034b9878-8aca-404f-8d33-77d41b84a4e9', '078bac0c-535a-45a2-ac0b-f694f95fcef5', '0c7ba86c-911f-4fb7-9a44-e6c2fc2fa6d3']",17,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:17.284,Pass,True,2006/2007
,,,,,,,,,,,,,,,,0.926892,,,,,,,,,,,,,,9df1833e-74ae-4730-bded-54bd7a447e38,70,,,"[107.7, 1.0]",69154,1,,,,,2.145685,,,,,,"[103.1, 8.1]",,Low Pass,,8.459906,,,,Ronaldo de Assis Moreira,25879.0,,,,,Throw-in,1,From Throw In,Gianluca Zambrotta,15774.0,Left Back,6,Barcelona,217,['fca4ecff-83ea-4297-a1b7-406457faaf67'],23,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.870,Pass,,2006/2007
,,,,,,,,,,,,,,,,0.778351,,,,,,,,,,,,,,eea4fb06-e0cc-408a-83e1-96a0f356758c,73,,,"[103.1, 8.1]",69154,1,,,,,-0.9197196,,Right Foot,,,,"[106.3, 3.9]",,Low Pass,,5.2801514,,,,Gianluca Zambrotta,15774.0,,,,,,1,From Throw In,Ronaldo de Assis Moreira,25879.0,Left Wing,6,Barcelona,217,['d8231cf9-47d0-40d6-95bf-e659e4e6d7f5'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:24.837,Pass,,2006/2007
,,,,,,,,,,,,,,,,3.2977,,,,,,,,,,,,,,9645a1c2-f2e2-4da8-a3de-526c5968aee8,80,,,"[10.2, 65.8]",69154,1,,True,,,-0.10574929,,Right Foot,,,,"[63.9, 60.1]",,High Pass,,54.001667,,,,Juan José Expósito Ruíz,26066.0,,,,,,1,Regular Play,Javier Ángel Balboa Osa,26419.0,Right Center Forward,7,Racing Santander,1217,['027c01e7-13dd-4127-b465-c0c9f370ec41'],31,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:01:31.854,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.531269,,,,,,,,,,,,,,3200e4ab-5b52-4e54-9e84-d6de2ea28672,83,,,"[63.9, 60.1]",69154,1,,,,True,1.8583722,,,,,,"[61.8, 67.2]",,Low Pass,,7.4040527,,,,Gonzalo Colsa Albendea,26073.0,,,,,,1,Regular Play,Juan José Expósito Ruíz,26066.0,Left Center Forward,7,Racing Santander,1217,"['2fed958a-3d7b-4f95-9f8a-22b833eb6b1a', 'e34615c8-297f-409b-9e77-c92c598b733d']",35,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:01:35.593,Pass,True,2006/2007
,,,,,,,,,,,,,,,,3.052067,,,,,,,,,,,,,,be496c24-c0c9-4665-a380-9b4f7a5d2e54,87,,,"[62.5, 68.3]",69154,1,,,,,-1.5294406,,Right Foot,,,,"[63.7, 39.3]",,Ground Pass,,29.024817,,,Incomplete,Víctor Javier Añino Bermúdez,26071.0,,,,,,1,Regular Play,Gonzalo Colsa Albendea,26073.0,Left Defensive Midfield,7,Racing Santander,1217,"['10915e1e-2e1f-49e3-a4d2-1e31347e0285', 'b8d4a213-1629-48f3-b0fe-32d587d4e184']",42,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:01:42.635,Pass,,2006/2007
,,,,,,,,,,,,,,,,0.835167,,,,,,,,,,,,,,216be361-4d09-4a43-9498-063bd0cdc84a,91,,,"[64.7, 42.8]",69154,1,,,,,0.3712596,,Right Foot,,,,"[77.8, 47.9]",,Ground Pass,,14.057738,,,,Javier Pedro Saviola Fernández,25962.0,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Wing,8,Barcelona,217,['27587281-e2d1-4c3c-aa33-73b30b135b50'],46,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:46.947,Pass,,2006/2007
