50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,2.038581,,,,,,,,,,,,,,25e60a8d-cfc2-40df-ae5e-05cfe788e663,52,,"[42.0, 23.6]",9880,1,True,,,1.620139,,Right Foot,,,,"[40.0, 64.1]",,Ground Pass,,40.549355,,,,,Gerard Piqué Bernabéu,5213.0,,,True,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,5,Barcelona,217,['42c1faba-7122-4ed3-99a2-dc90c935cc1b'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:19.857,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.50663,,,,,,,,,,,,,,fc2f3a2e-c61a-45e7-913f-39c7d696083b,54,,"[44.2, 65.5]",9880,1,,,,0.26195496,,Right Foot,,,,"[71.8, 72.9]",,Ground Pass,,28.574814,,,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,5,Barcelona,217,['7744931d-ad29-412a-97d3-4d0b1bdb5d7d'],23,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.089,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.897713,,,,,,,,,,,,,,f2ebd07f-fa1f-443c-951f-2ad1b54e0f54,61,,"[60.1, 69.5]",9880,1,,,,-2.452469,,Right Foot,,,,"[42.5, 55.0]",,Ground Pass,,22.803728,,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Free Kick,Sergi Roberto Carnicer,6379.0,Right Back,5,Barcelona,217,['b1407d35-31a5-4062-b826-44be5951e468'],27,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:27.934,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.172331,,,,,,,,,,,,,,3583a6a7-69be-4da7-8a7c-e53f224fd36a,64,,"[53.3, 38.9]",9880,1,,,,-1.436243,,Right Foot,,,,"[56.4, 16.0]",,Ground Pass,,23.108873,,,,,Samuel Yves Umtiti,5492.0,,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,5,Barcelona,217,['d179684f-8999-44e1-9f96-6d51aedfcceb'],33,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:33.512,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.212296,,,,,,,,,,,,,,6f29b032-f409-44fa-a815-6a69e7b93e8d,67,,"[63.7, 16.0]",9880,1,,,,-0.90975314,,Right Foot,,,,"[73.5, 3.4]",,Ground Pass,,15.962456,,,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Free Kick,Samuel Yves Umtiti,5492.0,Left Center Back,5,Barcelona,217,['9b970929-b0c6-4d8a-9905-c82873d5cb3c'],35,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:35.809,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.573572,,,,,,,,,,,,,,e7dd42c0-6117-4dd4-9572-1c91c5f9af07,71,,"[75.3, 3.9]",9880,1,,,,1.3611565,,Left Foot,,,,"[76.3, 8.6]",,Low Pass,,4.8052053,,,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,5,Barcelona,217,"['65275d77-dee9-48f1-a2f7-9f39047db884', '96428689-594a-4eda-9d0d-56bdc920335c', 'a7df0495-12f4-401c-9cc1-e11913f9afe3']",38,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:38.145,Pass,True,2017/2018
,,,,,,,,,,,,,,,,1.220912,,,,,,,,,,,,,,42c7f687-2200-452e-9174-4e31570f7b0f,76,,"[42.9, 74.2]",9880,1,,,,2.8284378,,Right Foot,,,,"[32.4, 77.6]",,Ground Pass,,11.0367565,,,,,Rúben Miguel Nunes Vezo,6592.0,,,,,,,1,Regular Play,Carlos Soler Barragán,6583.0,Right Midfield,6,Valencia,207,['474d5111-0356-40a5-8afc-51e627486a20'],39,,,,,,,,,,,,,,,,,,Valencia,207,00:01:39.462,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.152099,,,,,,,,,,,,,,fef7f8d2-b932-48fa-b6d4-860a9aeb7bb1,78,,"[32.4, 77.6]",9880,1,,,,-2.909489,,Left Foot,,,,"[21.4, 75.0]",,Ground Pass,,11.303097,,,,,Ezequiel Marcelo Garay,6891.0,,,,,,,1,Regular Play,Rúben Miguel Nunes Vezo,6592.0,Right Back,6,Valencia,207,['f340e93b-06c6-47e8-a42f-58454421b998'],40,,,,,,,,,,,,,,,,,,Valencia,207,00:01:40.683,Pass,,2017/2018
,,,,,,,,,,,,,,,,3.040203,,,,,,,,,,,,,,90f8799d-60ad-4fa1-b514-4f2c7905565e,81,,"[22.8, 74.6]",9880,1,,,,-0.2896331,,Right Foot,,,,"[68.1, 61.1]",,High Pass,,47.268806,,,Incomplete,,Santiago Mina Lorenzo,6594.0,,,,,,,1,Regular Play,Ezequiel Marcelo Garay,6891.0,Right Center Back,6,Valencia,207,"['4bff2708-0e8b-43a4-af21-ca346c26c18a', '70a194b1-cb18-4027-9929-3abcd7c51c77', '925b2c39-e945-4b9a-b5be-6e56bd518d00']",41,,,,,,,,,,,,,,,,,,Valencia,207,00:01:41.835,Pass,True,2017/2018
,,,,,,,,,,,,,,,,1.117282,,,,,,,,,,,,,,c0d299b9-9b96-4701-aa52-36dd4facfa08,85,,"[56.0, 80.0]",9880,1,True,,,-1.1493771,,,,,,"[65.1, 59.7]",,Low Pass,,22.246347,,,,,Geoffrey Kondogbia,6589.0,,,,,,Throw-in,1,From Throw In,Rúben Miguel Nunes Vezo,6592.0,Right Back,7,Valencia,207,['f4658496-a005-4f54-ad22-5f311de30d9d'],56,,,,,,,,,,,,,,,,,,Valencia,207,00:01:56.112,Pass,,2017/2018
