ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.55,,,,,,,,,,,,,,,,a8296567-b1ed-44f4-8308-66be0e843ef9,54,,"[27.6, 38.1]",68324,0,,,,-0.018179815,,Right Foot,,"[55.1, 37.6]",High Pass,,27.504545,,,,Rodolfo Bodipo Díaz,25987.0,,,,,,1,Regular Play,Eduardo Alonso Álvarez,25979.0,Right Back,6,Deportivo Alavés,206,['c963f2a1-1f6c-4ddd-a339-43fa4e18607a'],51,,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:51.489,Pass,,2005/2006
,,,,,,,,,,,,,,,,,0.451211,,,,,,,,,,,,,,,,24b897fe-90b4-46b3-8c66-09cfc87bccf1,57,,"[55.2, 37.8]",68324,0,,,,2.2878082,,Right Foot,,"[51.8, 41.7]",Ground Pass,,5.1739736,,,,John Aloisi,25856.0,,,,,,1,Regular Play,Rodolfo Bodipo Díaz,25987.0,Left Center Forward,6,Deportivo Alavés,206,['f7e98345-1642-46a0-90d0-d043474b6164'],53,,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:53.845,Pass,,2005/2006
,,,,,,,,,,,,,,,,,0.621556,,,,,,,,,,,,,,,,7edb6812-cc38-42ca-a93d-8eb2393bb3d0,62,,"[50.7, 41.3]",68324,0,,,,-0.61824816,,Right Foot,,"[64.9, 31.2]",Low Pass,,17.425556,,,,Rodolfo Bodipo Díaz,25987.0,,,,,Recovery,1,Regular Play,Alejandro Castro Fernández,25977.0,Left Center Midfield,6,Deportivo Alavés,206,['f529e7fd-712d-485b-81a6-e0682dcfd764'],55,,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:55.796,Pass,,2005/2006
,,,,,,,,,,,,,,,,,1.5177,,,,,,,,,,,,,,,,e00d6d62-871a-4d99-a745-f5b45eebd7eb,65,,"[65.4, 30.1]",68324,0,,,,-2.617272,,Right Foot,,"[57.1, 25.3]",Ground Pass,,9.588014,,,,Santiago Carpintero Fernández,25981.0,,,,,,1,Regular Play,Rodolfo Bodipo Díaz,25987.0,Left Center Forward,6,Deportivo Alavés,206,['0db30f4e-22ee-47a0-a9c5-1f5a49ddaa73'],57,,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:57.461,Pass,,2005/2006
,,,,,,,,,,,,,,,,,1.3149,,,,,,,,,,,,,,,,aec33691-db43-421b-9f0a-af2f52adb1be,68,,"[57.1, 25.3]",68324,0,,,,-1.2120256,,Right Foot,,"[63.7, 7.7]",Ground Pass,,18.796808,,,,Anderson Luis de Carvalho,25764.0,,,,,,1,Regular Play,Santiago Carpintero Fernández,25981.0,Right Center Midfield,6,Deportivo Alavés,206,['feec68fa-ccb9-4d6b-bf0d-fc7996ca5668'],59,,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:59.019,Pass,,2005/2006
,,,,,,,,,,,,,,,,,1.0855,,,,,,,,,,,,,,,,325a934f-1a87-4f4c-9569-e66dd15dca06,76,,"[40.8, 65.1]",68324,1,,,,-1.418519,,Right Foot,,"[43.9, 44.9]",Ground Pass,,20.436487,,,,Andrés Iniesta Luján,5216.0,,,,,,1,Regular Play,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,7,Barcelona,217,['dc8b706f-f720-4559-b62e-f4123b31750d'],7,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.232,Pass,,2005/2006
,,,,,,,,,,,,,,,,,2.1162,,,,,,,,,,,,,,,,aebe8307-593b-45f3-834a-e73d47ad1c77,80,,"[42.0, 37.6]",68324,1,,,,-1.807954,,Left Foot,,"[36.9, 16.5]",Ground Pass,,21.707602,,,,Sylvio Mendes Campos Junior,25854.0,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,7,Barcelona,217,"['7145c3d7-c0e2-4ee7-a7d7-55d3c8d302f9', 'de51be33-4897-463e-aa26-14ae410b8cc1']",9,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.789,Pass,True,2005/2006
,,,,,,,,,,,,,,,,,1.3157,,,,,,,,,,,,,,,,a2d3756b-30f1-44ed-be9c-cb461a3244c5,83,,"[41.1, 16.8]",68324,1,,,,0.86217004,,Left Foot,,"[47.7, 24.5]",Ground Pass,,10.141499,,,,Andrés Iniesta Luján,5216.0,,,,,,1,Regular Play,Sylvio Mendes Campos Junior,25854.0,Left Back,7,Barcelona,217,['32fd4e67-24f9-4ad2-845b-fd4026958835'],12,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:12.860,Pass,,2005/2006
,,,,,,,,,,,,,,,,,1.2852,,,,,,,,,,,,,,,,56aa40a7-d278-47fe-ac03-d39af3452eaa,86,,"[45.3, 28.4]",68324,1,,,,1.6732036,,Right Foot,,"[42.7, 53.7]",Ground Pass,,25.433247,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,7,Barcelona,217,['60c66e9f-e288-411e-ae01-03c47ee1ae1a'],15,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.771,Pass,,2005/2006
,,,,,,,,,,,,,,,,,0.517591,,,,,,,,,,,,,,,,686c2c4d-cb09-4199-8b0f-1d6565e18884,89,,"[51.0, 56.5]",68324,1,,,,-0.45774797,,Right Foot,,"[64.6, 49.8]",Ground Pass,,15.160805,,,,Mark van Bommel,19296.0,,,,,,1,Regular Play,Rafael Márquez Álvarez,5558.0,Right Center Back,7,Barcelona,217,['caa5c054-4800-4a7f-940d-524ad0f58ca0'],19,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:19.682,Pass,,2005/2006
