bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.364022,,,,,,,,,,,b8127f3e-16a4-4de5-bf1e-8f062afadf01,2767,,"[76.5, 71.0]",303674,61,,,,,-2.9510396,,Right Foot,,,,"[56.8, 67.2]",Ground Pass,,20.06315,,,,Jules Koundé,4445.0,,,,,,2,Regular Play,Jesús Navas González,6821.0,Right Back,132,Sevilla,213,['fcceaf87-fb98-4e9a-94d4-076c3071e586'],27,,,,,,,,,,,,,,,,Sevilla,213,00:16:27.107,Pass,,2019/2020
,,,,,,,,,,,,,,,,,3.614661,,,,,,,,,,,ffee3cf3-bf32-40ef-a837-dc0231d1d668,2769,,"[55.9, 67.2]",303674,61,,,,,-1.3045443,,Right Foot,,,,"[64.0, 37.5]",Ground Pass,,30.784737,,Incomplete,,Éver Maximiliano David Banega,5504.0,,,,,,2,Regular Play,Jules Koundé,4445.0,Right Center Back,132,Sevilla,213,"['045dda52-510b-4555-9668-4619ec0868f7', '344031b2-d232-4dfc-b8b3-a70573986524']",28,,,,,,,,,,,,,,,,Sevilla,213,00:16:28.471,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.149256,,,,,,,,,,,ca559f67-9c2f-4322-a70f-8847bf83e81c,2774,,"[93.7, 39.6]",303674,61,,,,,-1.0990188,,Left Foot,,,,"[101.2, 24.9]",Ground Pass,,16.502728,,,,Martin Braithwaite Christensen,4447.0,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,132,Sevilla,213,['3ce1bc11-693d-43f4-b5f7-97e093ac123e'],37,,,,,,,,,,,,,,,,Barcelona,217,00:16:37.848,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.308029,,,,,,,,,,,387230d0-2cd6-4982-9142-a5833f7f6cee,2777,,"[98.4, 26.0]",303674,61,,,,,0.8960554,,Right Foot,,,,"[111.2, 42.0]",High Pass,,20.489998,,Incomplete,,Arturo Erasmo Vidal Pardo,8206.0,,,,,,2,Regular Play,Martin Braithwaite Christensen,4447.0,Left Midfield,132,Sevilla,213,"['03ba1c7f-b60d-4dea-aefa-273e93443517', '6ffa251d-a765-4b02-a9bd-3d526e05cc8e']",39,,,,,,,,,,,,,,,,Barcelona,217,00:16:39.658,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.957307,,,,,,,,,,,43fe93e2-390d-419b-942c-9c2b6f35d300,2782,,"[15.7, 71.1]",303674,61,,,,,-1.8045396,,Left Foot,,,,"[13.2, 60.6]",Ground Pass,,10.793516,,,,Jules Koundé,4445.0,,,,,,2,Regular Play,Jesús Joaquín Fernández Sáez de la Torre,7022.0,Right Wing,132,Sevilla,213,['5c5f5a77-756a-4c21-8a47-15e7caaf1496'],44,,,,,,,,,,,,,,,,Sevilla,213,00:16:44.049,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.059815,,,,,,,,,,,34612dae-9321-4b72-9fdd-001224d670c1,2785,,"[15.0, 61.3]",303674,61,,,,,1.6924154,,Right Foot,,,,"[13.9, 70.3]",Ground Pass,,9.066973,,,,Jesús Joaquín Fernández Sáez de la Torre,7022.0,,,,,,2,Regular Play,Jules Koundé,4445.0,Right Center Back,132,Sevilla,213,['90eb5d73-68be-4f6e-8bcd-aa17d3c1fbf2'],45,,,,,,,,,,,,,,,,Sevilla,213,00:16:45.277,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.354168,,,,,,,,,,,1a6b37bc-e086-414e-8036-34b508b76640,2788,,"[15.3, 70.5]",303674,61,,,,,-0.51419973,,Left Foot,,,,"[28.4, 63.1]",Ground Pass,,15.045597,,Unknown,,,,,,,,,2,Regular Play,Jesús Joaquín Fernández Sáez de la Torre,7022.0,Right Wing,132,Sevilla,213,,48,,,,,,,,,,,,,,,,Sevilla,213,00:16:48.146,Pass,,2019/2020
,,,,,,,,,,,,,,,,,5.128054,,,,,,,,,,,0da21a17-7839-485d-927c-035372771b44,2794,,"[90.8, 17.7]",303674,62,,,,,1.0533313,,Left Foot,True,,,"[120.0, 69.0]",High Pass,,59.028214,,Out,,,,,True,,,Free Kick,2,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,133,Barcelona,217,,34,,,,,,,,,,,,,,,,Barcelona,217,00:17:34.935,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.357908,,,,,,,,,,,529e4b8e-f3f1-4765-af39-452a2a9d0cef,2795,,"[6.0, 44.0]",303674,62,,True,,,0.6173238,,Right Foot,,,,"[22.2, 55.5]",Ground Pass,,19.866806,,,,Jules Koundé,4445.0,,,,,Goal Kick,2,From Goal Kick,Tomáš Vaclík,11541.0,Goalkeeper,134,Sevilla,213,['1d469ea7-02d5-4bd5-9371-fb444d87d310'],54,,,,,,,,,,,,,,,,Sevilla,213,00:17:54.212,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.833049,,,,,,,,,,,24a37c5a-366e-426a-b782-52a8460c779c,2797,,"[24.8, 57.4]",303674,62,,,,,0.98279375,,Right Foot,,,,"[33.4, 70.3]",High Pass,,15.50387,,Incomplete,,,,,,,,,2,From Goal Kick,Jules Koundé,4445.0,Right Center Back,134,Sevilla,213,['a6fdde79-25e0-42bf-9770-5f9beb8f8c1e'],56,,,,,,,,,,,,,,,,Sevilla,213,00:17:56.050,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.000584,,,,,,,,,,,98043df1-41ea-480a-92d6-46e96531a41d,2799,,"[47.9, 80.0]",303674,63,,,,,-1.4968573,,,,,,"[48.7, 69.2]",Low Pass,,10.829589,,,,Éver Maximiliano David Banega,5504.0,,,,,Throw-in,2,From Throw In,Jesús Navas González,6821.0,Right Back,135,Sevilla,213,['5b1e8df4-90b2-43d0-b973-32bd06246f7b'],15,,,,,,,,,,,,,,,,Sevilla,213,00:18:15.681,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.891676,,,,,,,,,,,72c40d64-76ed-46f1-8401-14ee0a51b1f1,2803,,"[49.0, 67.8]",303674,63,,,,,1.5707964,,Right Foot,,,,"[49.0, 74.7]",Low Pass,,6.9,,,,Jesús Navas González,6821.0,,,,,,2,From Throw In,Éver Maximiliano David Banega,5504.0,Left Center Midfield,135,Sevilla,213,['35743527-6ef4-4dac-8dcb-ef79fd903ffc'],17,,,,,,,,,,,,,,,,Sevilla,213,00:18:17.909,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.944793,,,,,,,,,,,a666c45e-7fd4-4351-ae4d-07b4bb839917,2806,,"[48.7, 72.8]",303674,63,,,,,-1.5707964,,Right Foot,,,,"[48.7, 63.6]",Low Pass,,9.2,,,,Éver Maximiliano David Banega,5504.0,,,,,,2,From Throw In,Jesús Navas González,6821.0,Right Back,135,Sevilla,213,['1540acfc-7be8-4401-9ab6-ab1d6d45d9e7'],19,,,,,,,,,,,,,,,,Sevilla,213,00:18:19.051,Pass,,2019/2020
,,,,,,,,,,,,,,,,,4.786096,,,,,,,,,,,82732ddd-d7d8-44c5-859f-cd0c368b7507,2809,,"[49.0, 63.3]",303674,63,,,,,-0.68602866,,Left Foot,,,,"[103.6, 18.6]",High Pass,,70.563805,,,,Lucas Ariel Ocampos,4345.0,,True,,,,2,From Throw In,Éver Maximiliano David Banega,5504.0,Left Center Midfield,135,Sevilla,213,['b2517bd9-5bd7-47b3-b3cc-e1a62976bd17'],20,,,,,,,,,,,,,,,,Sevilla,213,00:18:20.759,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.73097,,,,,,,,,,,464dff6d-c7b1-45f6-809c-cc1d011b0282,2814,,"[95.4, 21.3]",303674,63,,,,,-0.6055447,,Left Foot,,,,"[104.5, 15.0]",Ground Pass,,11.067972,,,,Lucas Ariel Ocampos,4345.0,,,,,Recovery,2,From Throw In,Sergio Reguilón Rodríguez,18620.0,Left Back,135,Sevilla,213,['45a165b1-3865-4d51-a51a-93c93da687fb'],28,,,,,,,,,,,,,,,,Sevilla,213,00:18:28.268,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.743494,,,,,,,,,,,bf3786e5-e75f-453d-9fb8-6c4325ac815d,2817,,"[100.3, 21.3]",303674,63,,,,,2.0344439,,Right Foot,,,,"[96.4, 29.1]",Ground Pass,,8.720665,,,,Jesús Joaquín Fernández Sáez de la Torre,7022.0,,,,,,2,From Throw In,Lucas Ariel Ocampos,4345.0,Left Wing,135,Sevilla,213,['8664187c-2226-4325-b4b8-0d762f6ecb39'],30,,,,,,,,,,,,,,,,Sevilla,213,00:18:30.876,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.700823,,,,,,,,,,,0db23722-e542-4d01-b16e-e89ffcac38c6,2820,,"[98.9, 28.6]",303674,63,,,,,-0.4454678,,Left Foot,,,,"[110.0, 23.3]",High Pass,,12.300406,,Incomplete,,Lucas Ariel Ocampos,4345.0,,,,,,2,From Throw In,Jesús Joaquín Fernández Sáez de la Torre,7022.0,Right Wing,135,Sevilla,213,"['19999be6-5651-4027-8934-459c8aeb1ba9', '539e6c3c-04a8-48fd-a271-fa52fa68e932']",31,,,,,,,,,,,,,,,,Sevilla,213,00:18:31.658,Pass,,2019/2020
