50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.8167,,,,,,,,,,,,,,,dca45ead-5722-4738-bc29-9d8a302b3a63,1153,,"[65.3, 53.0]",266741,30,,,,,0.897081,,Right Foot,,,,"[84.3, 76.8]",,Ground Pass,,30.4539,,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,1,From Free Kick,Ivan Rakitić,5470.0,Right Center Midfield,63,Barcelona,217,['c03678a6-48db-4ca7-a17f-1080baa648a9'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:30:27.957,Pass,,2014/2015
,,,,,,,,,,,,,,,,0.7578,,,,,,,,,,,,,,,aad78804-9c9c-4156-822c-5b52a86195ce,1156,,"[77.9, 72.0]",266741,30,,,,,-1.5552937,,Right Foot,,,,"[78.1, 59.1]",,Ground Pass,,12.90155,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Free Kick,Pedro Eliezer Rodríguez Ledesma,3958.0,Center Forward,63,Barcelona,217,['e187ddb8-9bbd-4f51-8848-f5896e064ed8'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:30:33.011,Pass,,2014/2015
,,,,,,,,,,,,,,,,0.8863,,,,,,,,,,,,,,,1058f66d-614e-4890-ac29-5fd7850362af,1158,,"[78.1, 59.1]",266741,30,,,,,2.4227626,,Right Foot,,,,"[70.9, 65.4]",,Ground Pass,,9.567131,,,,,Ivan Rakitić,5470.0,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,63,Barcelona,217,['e862f953-e6c5-4f92-81dc-9eaa1b358671'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:30:33.769,Pass,,2014/2015
,,,,,,,,,,,,,,,,0.791,,,,,,,,,,,,,,,94d56f37-cc96-42af-a080-392521c977bf,1161,,"[73.7, 66.0]",266741,30,,,,,-1.2399826,,Right Foot,,,,"[77.1, 56.1]",,Ground Pass,,10.467569,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Free Kick,Ivan Rakitić,5470.0,Right Center Midfield,63,Barcelona,217,['0502e67f-5911-4b74-8e09-bdda5b739e0c'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:30:37.146,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.391932,,,,,,,,,,,,,,,3b000131-a90c-40f3-8b52-6282e674f928,1172,,"[6.0, 36.0]",266741,32,,,,,-0.92092586,,Right Foot,,,,"[28.8, 6.0]",,Ground Pass,,37.680763,,,,,Antonio García Aranda,6784.0,,,,,Goal Kick,1,From Goal Kick,Diego Mariño Villar,23843.0,Goalkeeper,65,Levante UD,221,['e65b5011-c6ca-44c4-9773-52b54535197b'],2,,,,,,,,,,,,,,,,,Levante UD,221,00:32:02.397,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.649608,,,,,,,,,,,,,,,039b0107-71f3-4af3-8fce-7d596401f2a4,1175,,"[28.8, 6.8]",266741,32,,,,,2.333471,,Left Foot,,,,"[11.6, 24.8]",,Ground Pass,,24.896585,,,,,Diego Mariño Villar,23843.0,,,,,,1,From Goal Kick,Antonio García Aranda,6784.0,Left Back,65,Levante UD,221,['abb761b7-ae22-4cd2-913f-fd4175037e3f'],4,,,,,,,,,,,,,,,,,Levante UD,221,00:32:04.403,Pass,,2014/2015
,,,,,,,,,,,,,,,,2.838342,,,,,,,,,,,,,,,ca95932a-8d14-4dac-91a4-53fcc91b81dd,1178,,"[23.9, 26.3]",266741,32,,,,,-0.051036194,,Right Foot,,,,"[74.8, 23.7]",,High Pass,,50.966362,,,Unknown,,,,,,,,,1,From Goal Kick,Diego Mariño Villar,23843.0,Goalkeeper,65,Levante UD,221,,14,,,,,,,,,,,,,,,,,Levante UD,221,00:32:14.537,Pass,,2014/2015
,,,,,,,,,,,,,,,,0.8306,,,,,,,,,,,,,,,b2f28b16-44fc-4e32-a726-cfafa4eb0fa5,1181,,"[45.3, 56.4]",266741,32,,,,,1.9124118,,Right Foot,,,,"[43.7, 60.9]",,Ground Pass,,4.7759814,,,,,Sergio Busquets i Burgos,5203.0,,,,,Free Kick,1,From Free Kick,Xavier Hernández Creus,20131.0,Left Center Midfield,66,Barcelona,217,['45839241-1fa3-4d64-88a4-cc0d76bed6ba'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:32:25.447,Pass,,2014/2015
,,,,,,,,,,,,,,,,0.869,,,,,,,,,,,,,,,ca7ba0b3-063a-4280-8168-57b3b6303aa5,1184,,"[46.0, 61.3]",266741,32,,,,,0.38248658,,Right Foot,,,,"[54.7, 64.8]",,Ground Pass,,9.377633,,,,,Ivan Rakitić,5470.0,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,66,Barcelona,217,['3d930976-e3fe-4150-88b6-1c0e47af9540'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:32:27.859,Pass,,2014/2015
,,,,,,,,,,,,,,,,0.696,,,,,,,,,,,,,,,54c6d65a-8ec3-4125-b6df-43c66776f7f8,1186,,"[54.7, 64.8]",266741,32,,,,,-2.25021,,Right Foot,,,,"[48.4, 57.0]",,Ground Pass,,10.026465,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Free Kick,Ivan Rakitić,5470.0,Right Center Midfield,66,Barcelona,217,['6c4f6ff1-6fd1-477e-beef-308490ad736b'],28,,,,,,,,,,,,,,,,,Barcelona,217,00:32:28.728,Pass,,2014/2015
