50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.045953,,,,,,,,,,,3636d080-dacb-45e2-bd4f-9a2f60e56751,53,,"[94.0, 58.0]",16120,0,,,,0.124354996,,Right Foot,,,,"[102.0, 59.0]",,Ground Pass,,8.062258,,,Dimitri Foulquier,4546.0,,,,,,Interception,1,From Throw In,Mauro Wilney Arambarri Rosa,6863.0,Left Defensive Midfield,3,Barcelona,217,"['62fe8054-e118-401e-b649-9b6cbb184d7e', '8c569c5e-4f5d-4dd6-9712-ab482be559b1']",45,,,,,,,,,,,,,,,,,,Getafe,216,00:00:45.128,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,0.9704,,,,,,,,,,,e1673c3d-58b6-4d33-ad6e-063bc2c7c4f8,57,,"[5.0, 19.0]",16120,0,,,,-0.98279375,,Left Foot,,,,"[11.0, 10.0]",,Ground Pass,,10.816654,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,Recovery,1,From Throw In,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,['f928b77d-1883-43c9-8b23-87da531563ef'],48,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.589,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,0.6322,,,,,,,,,,,2aabceea-d189-4c5b-8fd4-8a21e620f35d,61,,"[10.0, 16.0]",16120,0,,,,0.8960554,,Right Foot,,,,"[14.0, 21.0]",,Ground Pass,,6.4031243,,,Ivan Rakitić,5470.0,,,,,,,1,From Throw In,Arthur Henrique Ramos de Oliveira Melo,11392.0,Left Center Midfield,3,Barcelona,217,['0c4e7595-a0d7-423a-ab9f-ab9e3d697549'],51,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.083,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.427415,,,,,,,,,,,14fa75a2-d73d-4637-8267-bc6f3d1a539b,63,,"[14.0, 21.0]",16120,0,,,,-2.9229238,,Right Foot,,,,"[5.0, 19.0]",,Ground Pass,,9.219544,,,Clément Lenglet,6826.0,,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Center Defensive Midfield,3,Barcelona,217,['99755f83-1244-46b6-964e-6c6b661f50e4'],51,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.716,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,2.328923,,,,,,,,,,,ede304b2-cd58-4247-86d2-12d61e8b7c81,66,,"[5.0, 13.0]",16120,0,,,,0.4201967,,Left Foot,,,,"[52.0, 34.0]",,High Pass,,51.47815,Incomplete,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,From Throw In,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,"['773dd343-0bab-4209-8a34-b250b51a192e', 'a519e7fb-9fee-40ce-8cde-c467edf37576']",54,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.290,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.652311,,,,,,,,,,,773dd343-0bab-4209-8a34-b250b51a192e,68,,"[69.0, 47.0]",16120,0,,,,0.34555557,,Left Foot,,,,"[94.0, 56.0]",,Low Pass,,26.57066,Incomplete,,Ángel Luis Rodríguez Díaz,6611.0,,,,,,Recovery,1,From Throw In,Leandro Daniel Cabrera Sasía,6635.0,Left Center Back,3,Barcelona,217,"['0406b2f0-6d6d-40ca-bb60-bf077b064ddd', '60d7624f-8be8-4c47-8b2b-ada114f4e6d1', 'ede304b2-cd58-4247-86d2-12d61e8b7c81']",56,,,,,,,,,,,,,,,,,,Getafe,216,00:00:56.619,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,0.75509,,,,,,,,,,,0406b2f0-6d6d-40ca-bb60-bf077b064ddd,70,,"[27.0, 25.0]",16120,0,,,,-0.38050637,,Left Foot,,,,"[32.0, 23.0]",,Low Pass,,5.3851647,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,Recovery,1,From Throw In,Ivan Rakitić,5470.0,Center Defensive Midfield,3,Barcelona,217,"['67e6b743-5de7-4469-b4b3-93323e9d0c0f', '773dd343-0bab-4209-8a34-b250b51a192e']",58,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.272,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,2.292741,,,,,,,,,,,da6562ed-5d1f-4d44-8eea-eb28bb9f2ef7,73,,"[32.0, 27.0]",16120,1,,,,1.2793396,,Right Foot,,,,"[44.0, 67.0]",,High Pass,,41.761227,,,Sergi Roberto Carnicer,6379.0,,,True,,,,1,From Throw In,Arthur Henrique Ramos de Oliveira Melo,11392.0,Left Center Midfield,3,Barcelona,217,['96cb64e5-1c43-484c-95e1-a8f1c2899b5f'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.069,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,0.9973,,,,,,,,,,,d1deab96-38ee-463d-a6c8-6e16e9d9c087,76,,"[50.0, 66.0]",16120,1,,,,-0.844154,,Right Foot,,,,"[58.0, 57.0]",,Ground Pass,,12.0415945,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Throw In,Sergi Roberto Carnicer,6379.0,Right Back,3,Barcelona,217,['bd069b51-258b-4c60-80f6-3260ae6d9d04'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.478,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.447834,,,,,,,,,,,a1a1da38-89a1-49ad-ba87-6e123764eb4e,79,,"[58.0, 58.0]",16120,1,,,,2.4980915,,Left Foot,,,,"[50.0, 64.0]",,Ground Pass,,10.0,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,3,Barcelona,217,['dede1394-333b-42c0-bda2-c9dfb28d8002'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.476,Pass,,2018/2019
