ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.8131,,,,,,,,,,,,,76baba42-5e71-4a5c-a884-67eec7c9439d,49,,"[35.2, 4.2]",69262,0,,,,1.805212,,Left Foot,,,"[33.6, 10.9]",,Ground Pass,,6.8883963,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,4,Barcelona,217,"['3f19c1c9-708f-4604-9548-83e4fb609b43', 'a3c231b9-52eb-4357-af3b-58555ce81e7b']",49,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.055,Pass,True,2009/2010
,,,,,,,,,,,,,,,,0.2144,,,,,,,,,,,,,f48b6ab8-e8ed-4841-bede-d1ab69da2c2f,53,,"[41.6, 11.8]",69262,0,,,,-0.8824375,,Right Foot,,,"[46.7, 5.6]",,Ground Pass,,8.028076,,Incomplete,,Seydou Kéita,20169.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,"['115a00c7-196a-4df7-a848-b7d9d0ec95d1', '326c450b-e124-4cb4-a2ee-e3cb3aaa9a21', '7424d856-d9c2-4e75-8b37-9cab4be1edd8']",52,,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.502,Pass,True,2009/2010
,,,,,,,,,,,,,,,,2.416808,,,,,,,,,,,,,1d4fd40d-cac2-4681-93b5-05a42e6cd425,56,,"[43.8, 1.0]",69262,1,,,,2.7030795,,,,,"[29.3, 7.8]",,Low Pass,,16.015305,,,,Gerard Piqué Bernabéu,5213.0,,,,,Throw-in,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,5,Barcelona,217,['2af7ff7c-f0fb-41c4-bd27-db2409a5d4d8'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.764,Pass,,2009/2010
,,,,,,,,,,,,,,,,3.306762,,,,,,,,,,,,,73f088c6-a48b-450b-9ef7-033a33717464,59,,"[31.4, 13.8]",69262,1,,,,1.4767351,,Right Foot,,,"[35.4, 56.2]",,Low Pass,,42.58826,,,,Daniel Alves da Silva,4324.0,,True,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Left Center Back,5,Barcelona,217,['968ee06c-bc28-44ee-8385-b7801a9a381f'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.172,Pass,,2009/2010
,,,,,,,,,,,,,,,,0.95942,,,,,,,,,,,,,3b0604f3-cae0-491c-86a4-c6ed2d9ee4f8,62,,"[35.9, 61.6]",69262,1,,,,-0.6638287,,Right Foot,,,"[48.3, 51.9]",,Ground Pass,,15.743253,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,5,Barcelona,217,['8dbac2c2-4333-4f6b-96cb-6205ef1573c3'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:01:10.490,Pass,,2009/2010
,,,,,,,,,,,,,,,,3.461103,,,,,,,,,,,,,a184fa14-7b11-449c-8d18-d4c2e40d2a78,65,,"[52.0, 54.0]",69262,1,,,,-0.02666035,,Right Foot,,,"[97.0, 52.8]",,Low Pass,,45.016,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,5,Barcelona,217,"['31442e9a-d951-491c-a1c7-16de56ed65d5', 'fccb8343-4d96-4be0-97a0-cfb86f43125e']",14,,,,,,,,,,,,,,,,,Barcelona,217,00:01:14.326,Pass,,2009/2010
,,,,,,,,,,,,,,,,0.970417,,,,,,,,,,,,,7f9a268b-fd4c-4dfa-8ab3-733184fa753b,68,,"[84.9, 80.0]",69262,1,,,,-2.3629057,,,,,"[77.4, 72.6]",,Low Pass,,10.536128,,,,Xavier Hernández Creus,20131.0,,,,,Throw-in,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,6,Barcelona,217,['6756a9b1-a491-4db5-b30f-a090d6a353e0'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:01:26.419,Pass,,2009/2010
,,,,,,,,,,,,,,,,0.923126,,,,,,,,,,,,,4cfff7b0-d515-4dbd-938f-6f0daad215f3,72,,"[78.2, 70.4]",69262,1,,,,-2.112321,,Right Foot,,,"[70.2, 57.1]",,Ground Pass,,15.520632,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,6,Barcelona,217,"['64c64448-8e11-4f04-a731-e8eb83524e8d', '9a90f0de-c7cb-4cff-8086-6050a0c22199']",29,,,,,,,,,,,,,,,,,Barcelona,217,00:01:29.597,Pass,True,2009/2010
,,,,,,,,,,,,,,,,1.044849,,,,,,,,,,,,,50010610-8658-4ec3-854d-4b278dd2bd09,75,,"[70.2, 57.0]",69262,1,,,,0.9285973,,Right Foot,,,"[79.4, 69.3]",,Ground Pass,,15.360013,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,6,Barcelona,217,['f2558832-2d52-4c30-b2bd-18df33f12978'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:01:30.680,Pass,,2009/2010
,,,,,,,,,,,,,,,,2.215296,,,,,,,,,,,,,1031828d-ea0d-4000-9d9c-27cee988c8ab,79,,"[78.8, 69.9]",69262,1,,,,0.016338415,,Right Foot,,,"[109.4, 70.4]",,Ground Pass,,30.604084,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,6,Barcelona,217,"['6fa8805d-3915-4afd-ab67-de257e2b5bcd', 'c0a6cd48-6d4c-4a5a-8d80-0583742d03ba']",32,,,,,,,,,,,,,,,,,Barcelona,217,00:01:32.653,Pass,True,2009/2010
,,,,,,,,,,,,,,,,2.815141,,,,,,,,,,,,,acb1dc54-3446-499b-be9e-e5b6b30207e5,82,,"[113.3, 72.3]",69262,1,,,,-1.4461558,,Right Foot,True,,"[118.7, 29.2]",,High Pass,,43.436966,,Out,,Thierry Henry,15516.0,,True,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,6,Barcelona,217,['ebfa1116-504d-4b6b-bbdc-ba0918dc3770'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:01:35.676,Pass,,2009/2010
,,,,,,,,,,,,,,,,3.273,,,,,,,,,,,,,af112f70-c539-43dc-a95b-3531297d90a4,84,,"[7.0, 37.0]",69262,2,,,,0.003002994,,Left Foot,,,"[73.6, 37.2]",,High Pass,,66.6003,,Incomplete,,Ricardo Izecson dos Santos Leite,26712.0,,,,,Goal Kick,1,From Goal Kick,Iker Casillas Fernández,11179.0,Goalkeeper,7,Real Madrid,220,"['1f8c8863-0143-4fa5-863f-43de31740ebb', 'cee95f52-1168-4037-81d3-2527bff7d065']",1,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:01.568,Pass,,2009/2010
,,,,,,,,,,,,,,,,0.852305,,,,,,,,,,,,,3837c921-b85a-4828-956c-6e89969e40eb,91,,"[54.5, 56.5]",69262,2,,,,-2.2311025,,Left Foot,,,"[47.2, 47.1]",,Ground Pass,,11.901681,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,8,Barcelona,217,"['716f1953-3023-4950-8595-04eade9d16b9', 'c9280628-97d1-41b8-ab43-04376cfe48f8']",7,,,,,,,,,,,,,,,,,Barcelona,217,00:02:07.895,Pass,True,2009/2010
