ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.4283,,,,,,,,,,,,,9fe01045-153c-45b2-8b20-4a54b9dff0da,3270,,"[59.0, 35.0]",266230,76,,,,,1.9786137,,Right Foot,,,,"[50.1, 55.6]",,Ground Pass,22.440365,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,2,Regular Play,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,138,Barcelona,217,['5872f01d-3415-438c-bee8-4d16938c538e'],14,,,,,,,,,,,,,,,,Barcelona,217,00:31:14.199,Pass,,2014/2015
,,,,,,,,,,,,,,,1.717,,,,,,,,,,,,,a1576188-4d78-436f-8e4a-65273e619bad,3273,,"[51.3, 58.0]",266230,76,,,,,0.68861413,,Right Foot,,,,"[73.9, 76.6]",,Ground Pass,29.26978,,,,Daniel Alves da Silva,4324.0,,,,,,,2,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,138,Barcelona,217,['09748c46-b0c7-47db-92a8-c2c3718770d6'],17,,,,,,,,,,,,,,,,Barcelona,217,00:31:17.557,Pass,,2014/2015
,,,,,,,,,,,,,,,1.691191,,,,,,,,,,,,,dd8d923b-b93a-4c53-94cb-544a8125ffe5,3275,,"[73.9, 76.6]",266230,76,,,,,-0.7561178,,Right Foot,,,,"[86.2, 65.0]",,Low Pass,16.907099,,,,Ivan Rakitić,5470.0,,,,,,,2,Regular Play,Daniel Alves da Silva,4324.0,Right Back,138,Barcelona,217,['b17a8adf-8703-494b-8268-925b8e4f04bc'],19,,,,,,,,,,,,,,,,Barcelona,217,00:31:19.274,Pass,,2014/2015
,,,,,,,,,,,,,,,0.929114,,,,,,,,,,,,,c389f47c-1d5f-4c2c-b736-1014574f0c2a,3278,,"[86.2, 65.0]",266230,76,,,,,-3.0084562,,Left Foot,,,,"[75.0, 63.5]",,Ground Pass,11.3,,,,Daniel Alves da Silva,4324.0,,,,,,,2,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,138,Barcelona,217,['197a0ab3-4be1-4d53-9c4b-27ddf4a648e1'],21,,,,,,,,,,,,,,,,Barcelona,217,00:31:21.855,Pass,,2014/2015
,,,,,,,,,,,,,,,1.0194,,,,,,,,,,,,,8a85458b-cb71-428b-8b37-81a6f0267b1b,3281,,"[75.0, 63.5]",266230,76,,,,,-1.5707964,,Right Foot,,,,"[75.0, 52.3]",,Ground Pass,11.2,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,2,Regular Play,Daniel Alves da Silva,4324.0,Right Back,138,Barcelona,217,['79c52887-9ee4-4445-8163-1f16bf9e7d78'],23,,,,,,,,,,,,,,,,Barcelona,217,00:31:23.307,Pass,,2014/2015
,,,,,,,,,,,,,,,0.887194,,,,,,,,,,,,,622bc14d-ef9e-4008-b9b7-db83af3754c5,3284,,"[78.4, 51.3]",266230,76,,,,,-1.1099111,,Left Foot,,,,"[85.6, 36.8]",,Ground Pass,16.189194,,,,Rafael Alcântara do Nascimento,6998.0,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,138,Barcelona,217,['8bf19419-9ffe-468b-b868-74bada695db5'],25,,,,,,,,,,,,,,,,Barcelona,217,00:31:25.323,Pass,,2014/2015
,,,,,,,,,,,,,,,2.831592,,,,,,,,,,,,,d3857d01-0501-4ab9-a240-744a7da06336,3291,,"[90.5, 30.7]",266230,76,,,,,-0.3318286,,Left Foot,,,,"[117.2, 21.5]",,Ground Pass,28.240574,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,,2,Regular Play,Rafael Alcântara do Nascimento,6998.0,Left Center Midfield,138,Barcelona,217,['c540c15c-9952-49ef-8205-e19050f08435'],28,,,,,,,,,,,,,,,,Barcelona,217,00:31:28.740,Pass,,2014/2015
,,,,,,,,,,,,,,,1.1536,,,,,,,,,,,,,8a1ccb87-318c-4cfa-b424-8407bd2b6923,3294,,"[116.8, 22.9]",266230,76,,,,,1.9244086,6a27a3b6-af7d-413d-99e9-6e18082e254d,Right Foot,True,True,,"[111.3, 37.8]",,Low Pass,15.882695,,,,Lionel Andrés Messi Cuccittini,5503.0,True,,,,,,2,Regular Play,Luis Alberto Suárez Díaz,5246.0,Center Forward,138,Barcelona,217,['b535bfb8-de94-43d6-af7f-c24d64a542da'],32,,,,,,,,,,,,,,,,Barcelona,217,00:31:32.796,Pass,,2014/2015
,,,,,,,,,,,,,,,1.8177,,,,,,,,,,,,,7c0b3ddc-a6bc-49b1-853c-2472f7aa2f93,3299,,"[120.0, 0.1]",266230,77,,,,,1.7104346,,Right Foot,,,,"[113.9, 43.5]",,High Pass,43.82659,,Incomplete,,,,,True,True,Straight,,Corner,2,From Corner,Ivan Rakitić,5470.0,Right Center Midfield,139,Barcelona,217,['6f93757d-f190-4304-b680-f3ee73ee971d'],6,,,,,,,,,,,,,,,,Barcelona,217,00:32:06.572,Pass,,2014/2015
,,,,,,,,,,,,,,,1.0761,,,,,,,,,,,,,c67f9848-e678-40db-9dd3-a7a9c300f7e1,3302,,"[95.2, 60.5]",266230,77,,,,,-1.9500965,,Left Foot,,,,"[89.5, 46.2]",,Low Pass,15.394155,,,,Daniel Alves da Silva,4324.0,,,,,,Recovery,2,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,139,Barcelona,217,['ca01a58f-95fd-4e20-bfc4-52e58705e3dd'],11,,,,,,,,,,,,,,,,Barcelona,217,00:32:11.269,Pass,,2014/2015
