50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,2.4079,,,,,,,,,,,,,,,29870638-5f8c-4a40-8ddd-62cc84b58e8a,3760,,,"[63.2, 28.8]",267596,90,,,,,1.127348,,Left Foot,,,"[84.1, 72.8]",,High Pass,,48.7115,,,,,Nabil El Zhar,6608.0,,,True,,,,2,From Kick Off,Diego Rico Salguero,6895.0,Left Back,172,Leganés,205,['3397b4ef-04f3-4f27-ab39-3ab039b8b455'],16,,,,,,,,,,,,,,,,Leganés,205,00:45:16.477,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.2667,,,,,,,,,,,,,,,913b8be0-f9fe-49b6-8fa0-da067b6e22b8,3763,,,"[89.5, 76.2]",267596,90,,,,,-0.5404195,,Right Foot,,,"[92.0, 74.7]",,Ground Pass,,2.9154758,,,Incomplete,,Unai López Cabrera,11746.0,,,,,,,2,From Kick Off,Nabil El Zhar,6608.0,Right Midfield,172,Leganés,205,"['4f0a0619-a2ef-40e1-8dd7-9aac60be604f', 'aeae84f2-0203-4a26-add2-00027fb64140']",20,,,,,,,,,,,,,,,,Leganés,205,00:45:20.424,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.6569,,,,,,,,,,,,,,,610f27f6-754e-4ce1-a3f0-53906568475e,3771,,,"[84.1, 74.4]",267596,90,,,,,0.026309717,,Right Foot,,,"[99.3, 74.8]",,Ground Pass,,15.205262,,,,,Nabil El Zhar,6608.0,,,,,,Free Kick,2,From Free Kick,Unai López Cabrera,11746.0,Right Center Midfield,173,Leganés,205,['341c2ff9-6ee2-42d1-9eeb-9f9fcfd4b630'],35,,,,,,,,,,,,,,,,Leganés,205,00:45:35.591,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.946,,,,,,,,,,,,,,,23a4cca5-71c7-43d0-b96b-de2a7cf68b3d,3774,,,"[101.5, 75.1]",267596,90,,,,,-1.2240052,,Right Foot,True,,"[119.1, 26.4]",,High Pass,,51.78272,,,Out,,,,,,True,,,,2,From Free Kick,Nabil El Zhar,6608.0,Right Midfield,173,Leganés,205,['020bdacd-4ed8-4446-bff0-b79e34fa3836'],37,,,,,,,,,,,,,,,,Leganés,205,00:45:37.248,Pass,True,2016/2017
,,,,,,,,,,,,,,,,2.032936,,,,,,,,,,,,,,,fbb7ac8c-20b2-4578-ab2b-e8dccfa2f1e5,3775,,,"[6.0, 44.0]",267596,91,,True,,,1.5575812,,Right Foot,,,"[6.3, 66.7]",,Ground Pass,,22.701982,,,,,Samuel Yves Umtiti,5492.0,,,,,,Goal Kick,2,From Goal Kick,Marc-André ter Stegen,20055.0,Goalkeeper,174,Barcelona,217,['786fb8ae-9ffb-4b04-8fd1-728e96d9cf9f'],21,,,,,,,,,,,,,,,,Barcelona,217,00:46:21.997,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.3056,,,,,,,,,,,,,,,25e9fb01-a16c-4a69-8f0d-b7dca5d0c54e,3777,,,"[9.8, 66.0]",267596,91,,,,,-2.083939,,Right Foot,,,"[2.7, 53.4]",,Ground Pass,,14.46271,,,,,Marc-André ter Stegen,20055.0,,,,,,,2,From Goal Kick,Samuel Yves Umtiti,5492.0,Right Center Back,174,Barcelona,217,['4d116fcc-9b27-4270-8d69-30377118c3a2'],25,,,,,,,,,,,,,,,,Barcelona,217,00:46:25.146,Pass,,2016/2017
,,,,,,,,,,,,,,,,4.4447,,,,,,,,,,,,,,,4f2ef006-bdc2-4738-bfae-966c5838da95,3779,,,"[2.5, 53.3]",267596,91,,,,,0.24409056,,Right Foot,,,"[55.5, 66.5]",,High Pass,,54.619045,,,Incomplete,,,,,,,,,,2,From Goal Kick,Marc-André ter Stegen,20055.0,Goalkeeper,174,Barcelona,217,['85f2ae2d-09f7-4845-b6bc-cf5b6a42ce32'],26,,,,,,,,,,,,,,,,Barcelona,217,00:46:26.451,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.2664,,,,,,,,,,,,,,,0609d813-cf66-460a-a84b-302037bea9fc,3783,,,"[62.2, 9.1]",267596,91,,,,,0.4346702,,Left Foot,,,"[65.0, 10.4]",,Ground Pass,,3.0870697,,,Incomplete,,Darwin Daniel Machís Marcano,11501.0,,,,,,,2,Regular Play,Diego Rico Salguero,6895.0,Left Back,175,Leganés,205,"['34a1b191-131e-46cc-8f90-8c9039a05c48', '3f1ac1b5-f871-4913-a472-07a82d580eba', '8f54b08b-24da-4ab6-a0fc-eb068f111199']",32,,,,,,,,,,,,,,,,Leganés,205,00:46:32.343,Pass,True,2016/2017
,,,,,,,,,,,,,,,,1.441782,,,,,,,,,,,,,,,d5d7086f-9bc3-494e-806a-a8bffe737a49,3788,,,"[69.0, 17.8]",267596,91,,,,,2.7145667,,Right Foot,,,"[50.1, 26.4]",,Ground Pass,,20.764633,,,,,Martín Maximiliano Mantovani,6833.0,,,,,,,2,Regular Play,Alberto Martín Romo García Adámez,24704.0,Center Defensive Midfield,175,Leganés,205,['14c4ac4b-25c4-44f0-8686-11e53605c406'],34,,,,,,,,,,,,,,,,Leganés,205,00:46:34.610,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.0935,,,,,,,,,,,,,,,0d293b50-f99f-4b4a-ab15-8d8d321efcfa,3791,,,"[73.5, 61.4]",267596,91,,,,,-0.69115084,,Right Foot,,,"[84.5, 52.3]",,Ground Pass,,14.276204,,,,,Nabil El Zhar,6608.0,,,,,,,2,Regular Play,Martín Maximiliano Mantovani,6833.0,Right Center Back,175,Leganés,205,['87e65041-2fdd-4c26-9309-91cf4966c1af'],41,,,,,,,,,,,,,,,,Leganés,205,00:46:41.688,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.63,,,,,,,,,,,,,,,c235a846-5abd-43bb-a1f2-dbdff98837c6,3800,,,"[70.4, 56.0]",267596,91,,,,,0.96499807,,Right Foot,,,"[84.6, 76.5]",,Ground Pass,,24.937723,,,,,Unai López Cabrera,11746.0,,,,,,,2,Regular Play,Nabil El Zhar,6608.0,Right Midfield,175,Leganés,205,['38f4801e-4297-4cd4-b558-231ed0a17984'],45,,,,,,,,,,,,,,,,Leganés,205,00:46:45.807,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.0437,,,,,,,,,,,,,,,54becdcc-5b1f-4f4b-8b06-361c6a35374f,3803,,,"[82.3, 75.2]",267596,91,,,,,-0.98279375,,Left Foot,,,"[83.5, 73.4]",,Low Pass,,2.1633308,,,Incomplete,,,,,,,,,,2,Regular Play,Unai López Cabrera,11746.0,Right Center Midfield,175,Leganés,205,['6f1781bb-e65f-450c-b7e8-7b9afd9fd7a5'],49,,,,,,,,,,,,,,,,Leganés,205,00:46:49.224,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.74004,,,,,,,,,,,,,,,9c3c17e0-a1e6-4f1b-af6c-e50f71f38290,3805,,,"[55.9, 80.0]",267596,91,,,,,-2.6579478,,,,,"[36.1, 69.6]",,Low Pass,,22.365152,,,,,Martín Maximiliano Mantovani,6833.0,,,,,,Throw-in,2,From Throw In,Roberto Román Triguero,6914.0,Right Back,176,Leganés,205,['c808f330-0739-472f-8e2d-3676b816bd49'],56,,,,,,,,,,,,,,,,Leganés,205,00:46:56.312,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.6976,,,,,,,,,,,,,,,f4e7404a-ff25-4026-bd0f-e5615d7e07eb,3808,,,"[30.7, 67.4]",267596,91,,,,,-2.1794856,,Left Foot,,,"[14.6, 44.3]",,Ground Pass,,28.157059,,,,,Iago Herrerín Buisán,6662.0,,,,,,,2,From Throw In,Martín Maximiliano Mantovani,6833.0,Right Center Back,176,Leganés,205,['fd576446-ac10-4d8c-9d94-c447a84a5f40'],59,,,,,,,,,,,,,,,,Leganés,205,00:46:59.822,Pass,,2016/2017
,,,,,,,,,,,,,,,,3.1158,,,,,,,,,,,,,,,f1e72c0f-2cfa-4d75-971a-f1a1b9b48fc0,3811,,,"[22.4, 42.9]",267596,92,,,,,-0.05751806,,Right Foot,,,"[74.5, 39.9]",,High Pass,,52.186302,,,Incomplete,,,,,,,,,,2,From Throw In,Iago Herrerín Buisán,6662.0,Goalkeeper,176,Leganés,205,['126acd34-c274-4fea-9234-74e024c2536f'],4,,,,,,,,,,,,,,,,Leganés,205,00:47:04.239,Pass,,2016/2017
