bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,2f1818ed-1f24-4bef-9741-59fbc929e303,3243,,"[113.2, 16.0]",70286,70,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Alexis Alejandro Sánchez Sánchez,3385.0,Right Wing,139,Barcelona,217,['e81c2b42-45be-442c-8987-4180cf57f0e4'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:25:08.953,Dribble,True,2012/2013
,,,,,,,,,,,,,True,Incomplete,,,,0.0,,,,,,,,,,,,,7801bb08-33f0-4282-abbb-cea8208bd7ef,3295,,"[109.8, 37.0]",70286,71,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,140,Barcelona,217,['4abc4f90-f1bf-4c1d-9bf1-39475ce7d84d'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:26:02.913,Dribble,True,2012/2013
,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,a5693e09-bac4-443c-bb1b-849becc268f4,3349,,"[55.6, 55.0]",70286,72,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,146,Barcelona,217,['f3b706f4-e722-400e-96a6-53dc40c8fb30'],25,,,,,,,,,,,,,,,,,,Barcelona,217,00:27:25.528,Dribble,True,2012/2013
,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,5132b3c9-21ec-4169-aa00-b35eba164953,3518,,"[71.5, 58.6]",70286,77,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,154,Barcelona,217,['cb44a008-442b-47ae-82ea-e2a28b440b66'],38,,,,,,,,,,,,,,,,,,Barcelona,217,00:32:38.647,Dribble,True,2012/2013
,,,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,,a50da459-97cd-47c9-9a20-795a4811c402,3669,,"[89.4, 30.4]",70286,80,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Fernando Rubén Gago,26036.0,Left Center Midfield,156,Valencia,207,['272df473-4743-4924-90ae-3af4b0e44c6b'],15,,,,,,,,,,,,,,,,,,Valencia,207,00:35:15.115,Dribble,True,2012/2013
,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,8cfe2eef-8fd7-45e8-817b-9037c4b2ecbe,3801,,"[56.4, 26.8]",70286,84,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Alexis Alejandro Sánchez Sánchez,3385.0,Right Wing,166,Barcelona,217,"['b6556c79-baf3-4d70-9e58-e202bccde9e6', 'edd5c3f0-42e0-4743-930b-f37f086011f0']",34,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:34.989,Dribble,True,2012/2013
,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,9e7cf727-a742-4af4-bf28-c083febd1f30,3967,,"[37.7, 17.5]",70286,88,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Fernando Rubén Gago,26036.0,Left Center Midfield,174,Valencia,207,['448394d5-9959-46dd-bc53-2e9ac55a5399'],56,,,,,,,,,,,,,,,,,,Valencia,207,00:43:56.854,Dribble,True,2012/2013
,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,23eade6b-a027-4647-a7cd-0e98d53e4b4a,3994,,"[91.9, 62.4]",70286,90,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Jonas Gonçalves Oliveira,17083.0,Center Attacking Midfield,177,Valencia,207,['6fc2bb25-e9d9-4dff-9763-fed37115e3ea'],16,,,,,,,,,,,,,,,,,,Valencia,207,00:45:16.740,Dribble,True,2012/2013
,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,e062ba40-66a4-4f93-809b-515aabea1ce0,4019,,"[9.3, 75.4]",70286,91,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Adil Rami,3253.0,Right Center Back,179,Valencia,207,['da3de953-25f4-4985-8dc5-db91721c3815'],10,,,,,,,,,,,,,,,,,,Valencia,207,00:46:10.149,Dribble,True,2012/2013
,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,d5b9e28b-92be-4a90-8251-229ca1ea211f,4077,,"[87.0, 64.5]",70286,92,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,182,Barcelona,217,['53d57db5-f416-4697-9c19-6ff4b4f8094a'],16,,,,,,,,,,,,,,,,,,Barcelona,217,00:47:16.536,Dribble,True,2012/2013
