50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.429633,,,,,,,,,,,,,38c0b7b4-9645-43f9-a9c9-a3f409693699,47,,,"[77.4, 4.9]",70259,0,,,,,2.6401722,,Left Foot,,,"[63.9, 12.3]",,Ground Pass,,15.395129,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['e5539ff3-794b-464d-a857-01241a80d8d0'],45,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:45.132,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.043481,,,,,,,,,,,,,c4f4aa86-9ae0-4907-834e-ce6f051ba259,50,,,"[63.9, 20.1]",70259,0,,,,,1.5917357,,Right Foot,,,"[63.5, 39.2]",,Ground Pass,,19.104189,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['46ec406b-e3de-4de5-854e-7a7353496658'],49,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.018,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.977082,,,,,,,,,,,,,7659c391-30dd-4526-b75a-57a88f754ddc,53,,,"[63.5, 39.2]",70259,0,,,,,-1.5462614,,Right Foot,,,"[63.9, 22.9]",,Ground Pass,,16.304907,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['bb2889af-7ffc-4414-a7e9-7e005a5de45b'],50,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.400,Pass,,2012/2013
,,,,,,,,,,,,,,,,,2.305676,,,,,,,,,,,,,e7fbef04-9921-4f72-bf46-e1faea316e66,56,,,"[63.8, 25.8]",70259,0,,,,,0.99349666,,Right Foot,,,"[93.5, 71.4]",,High Pass,,54.419205,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,True,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['d891fd72-34aa-4d56-861f-1f97efa929ed'],53,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.720,Pass,,2012/2013
,,,,,,,,,,,,,,,,,3.1304,,,,,,,,,,,,,a3e8815a-aa92-4ca5-992e-47e1be687628,59,,,"[93.6, 65.1]",70259,0,,,,,-0.40388978,,Right Foot,,,"[117.7, 54.8]",,Ground Pass,,26.208776,,Incomplete,,Daniel Alves da Silva,4324.0,,,,,,,1,From Kick Off,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,2,Barcelona,217,"['0f13bbf7-d41e-4d89-8c65-c3f6ebdd28dc', '1ffb8eaf-acce-4ecf-a4c9-0bda3c3c36c7']",57,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.219,Pass,,2012/2013
,,,,,,,,,,,,,,,,,7.339042,,,,,,,,,,,,,73e92e14-f791-4417-ba62-e19b22764361,63,,,"[19.3, 48.1]",70259,1,,,,,0.3372033,,Drop Kick,,,"[112.0, 80.6]",,High Pass,,98.23207,,Out,,,,,,,,,,1,Regular Play,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,3,Real Sociedad,210,,12,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:12.170,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.2713,,,,,,,,,,,,,11f49936-7548-429d-8987-10bab096b525,64,,,"[11.5, 1.0]",70259,1,,,,,0.15741688,,,,,"[30.4, 4.0]",,High Pass,,19.136614,,Incomplete,,Francesc Fàbregas i Soler,3478.0,,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,4,Barcelona,217,"['9cf4bec3-71a5-4928-8bb7-89a505cbbb6c', 'ccc12001-2624-479c-bb96-0488b7111b36']",29,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:29.812,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.1279,,,,,,,,,,,,,9cf4bec3-71a5-4928-8bb7-89a505cbbb6c,66,,,"[90.6, 77.0]",70259,1,,,,,0.050462175,,Head,,,"[100.5, 77.5]",,Low Pass,,9.912619,,Incomplete,,,,,,,,,Recovery,1,From Throw In,Daniel Estrada Agirrezablaga,26441.0,Right Back,4,Barcelona,217,"['11f49936-7548-429d-8987-10bab096b525', '30884b9c-4e45-4459-a832-5261ff94135d']",31,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:31.083,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.0975,,,,,,,,,,,,,14cfc169-6e11-41bc-95db-b5fcd653934e,74,,,"[100.9, 80.0]",70259,1,,,,,-1.1577384,,,,,"[108.0, 63.8]",,Low Pass,,17.687567,,Incomplete,,,,,,,,,Throw-in,1,From Throw In,Daniel Estrada Agirrezablaga,26441.0,Right Back,5,Real Sociedad,210,['19836d21-df0e-4b62-b551-93e96b202a14'],45,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:45.294,Pass,,2012/2013
,,,,,,,,,,,,,,,,,3.1129,,,,,,,,,,,,,21feaf08-cfe0-4e68-883f-3bd73b24bab0,76,,,"[90.6, 59.7]",70259,1,,,,,-0.10987597,,Right Foot,,,"[118.7, 56.6]",,High Pass,,28.27048,,Incomplete,,,,,,,,,Recovery,1,From Throw In,Gorka Elustondo Urkola,12191.0,Center Defensive Midfield,5,Real Sociedad,210,['0be91c55-724d-4acb-9a14-1f4c307f10a5'],48,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:48.258,Pass,,2012/2013
