50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.978734,,,,,,,,,,,807128fb-5523-4a61-845c-93f75a1dfa06,1272,,"[88.6, 57.3]",69166,34,,,,,1.4735432,,Left Foot,,,"[89.4, 65.5]",,Ground Pass,,8.238932,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Thierry Henry,15516.0,Center Forward,65,Barcelona,217,['401e9f51-c09b-48bc-a629-7277f56cbdae'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:34:05.315,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.072563,,,,,,,,,,,1fa46d55-891b-4d5b-9984-7e1cb1bcd3f1,1279,,"[82.3, 57.7]",69166,34,,,,,-2.6997995,,Right Foot,,,"[74.9, 54.2]",,Ground Pass,,8.185964,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,65,Barcelona,217,['e107cf59-22ff-42b8-9c1c-c7219ff79977'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:34:09.449,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.04519,,,,,,,,,,,18e0e952-8295-46ae-b4a3-44294010b0b6,1282,,"[74.9, 54.2]",69166,34,,,,,-1.7164247,,Right Foot,,,"[71.6, 31.7]",,Ground Pass,,22.740713,,,Andrés Iniesta Luján,5216.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,65,Barcelona,217,['b89f8419-7f11-4c75-a601-a6387b8a45e0'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:34:11.371,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.380331,,,,,,,,,,,eb931d9b-39c8-47e3-9bee-3b42c9081b20,1285,,"[72.6, 26.2]",69166,34,,,,,-1.3063079,,Right Foot,,,"[79.1, 2.2]",,Ground Pass,,24.864634,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,65,Barcelona,217,['954a8c55-3ef1-4db1-8b58-e56e72ff046b'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:34:14.577,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.893405,,,,,,,,,,,51b7acb2-07e7-4e21-afa6-bcd9c2e5dd7b,1288,,"[85.0, 6.9]",69166,34,,,,,-0.37739596,,Left Foot,,,"[96.1, 2.5]",,Ground Pass,,11.940268,,,Ronaldo de Assis Moreira,25879.0,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,65,Barcelona,217,['16e17956-2ff8-4a46-9112-15441ac4c0e8'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:34:17.451,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.439154,,,,,,,,,,,2c7ed0e9-a2e2-43d4-8f9e-d56d456912c7,1293,,"[82.5, 15.7]",69166,34,,,,,-2.4248693,,Right Foot,,,"[72.4, 6.9]",,Ground Pass,,13.395895,,,Andrés Iniesta Luján,5216.0,,,,,,1,Regular Play,Ronaldo de Assis Moreira,25879.0,Left Wing,65,Barcelona,217,"['04949af4-ec9b-45d5-aa64-74d3e35ffc49', 'ad8e26f9-f6bb-4dd7-8a55-b264cd1ae9ce']",27,,,,,,,,,,,,,,,,,Barcelona,217,00:34:27.529,Pass,True,2007/2008
,,,,,,,,,,,,,,,,,1.606416,,,,,,,,,,,c83ee1f3-b1f1-4dfc-8587-372834662e8f,1296,,"[72.4, 7.1]",69166,34,,,,,1.7617195,,Right Foot,,,"[65.5, 42.8]",,Ground Pass,,36.360695,,,Gnégnéri Yaya Touré,3087.0,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,65,Barcelona,217,"['04949af4-ec9b-45d5-aa64-74d3e35ffc49', 'ca14cc06-093e-4f7c-93fd-2bfd6a67f4c3']",31,,,,,,,,,,,,,,,,,Barcelona,217,00:34:31.307,Pass,True,2007/2008
,,,,,,,,,,,,,,,,,0.9798,,,,,,,,,,,56820424-5ba1-49f2-8228-465bd6f2f0f0,1299,,"[68.6, 49.3]",69166,34,,,,,-0.040793683,,Right Foot,,,"[83.3, 48.7]",,Ground Pass,,14.71224,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,65,Barcelona,217,['e485df5b-7285-4324-9dae-617fee462249'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:34:35.190,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.839858,,,,,,,,,,,65b956d7-49cb-477e-8136-c763917710f7,1302,,"[82.7, 48.9]",69166,34,,,,,2.867144,,Right Foot,,,"[72.4, 51.8]",,Ground Pass,,10.700467,,,Gnégnéri Yaya Touré,3087.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,65,Barcelona,217,['1b8e1ed3-145f-4d08-a6e2-e630d36dd4fb'],36,,,,,,,,,,,,,,,,,Barcelona,217,00:34:36.210,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.927778,,,,,,,,,,,09808bf1-2a9f-4ef2-a0b9-a38b042c6f2b,1305,,"[72.4, 51.8]",69166,34,,,,,0.11291966,,Right Foot,,,"[82.1, 52.9]",,Ground Pass,,9.762172,Incomplete,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,65,Barcelona,217,"['159f9aae-85ae-4670-af98-2da3767f9179', '18297e67-de00-4958-bf2c-1ed9e77b1504']",38,,,,,,,,,,,,,,,,,Barcelona,217,00:34:38.268,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.243568,,,,,,,,,,,67059c7d-df57-4b1d-b556-5297c4a8bef4,1314,,"[73.6, 23.4]",69166,34,,,,,2.0803885,,Other,,,"[71.7, 26.8]",,Low Pass,,3.8948684,Incomplete,,Alberto Rivera Pizarro,25893.0,,,,,,1,Regular Play,Mark Dennis González Hoffmann,25908.0,Left Wing,65,Barcelona,217,"['33f1d288-a8c6-42cf-b0a5-a0d8c1c8a181', 'cd284205-5018-490e-b40e-8a99cdee2db3']",44,,,,,,,,,,,,,,,,,Real Betis,218,00:34:44.534,Pass,,2007/2008
