ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,2.087081,,,,,,,,,,,,,,5042e836-2892-42f5-8336-2f1690c82fb6,56,,"[113.9, 10.5]",69222,0,,,,,1.4834769,55e1f8ba-ddec-4ff1-a420-4425f9290284,Left Foot,True,,,"[116.5, 40.2]",True,Ground Pass,,29.813587,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,Regular Play,Thierry Henry,15516.0,Left Wing,5,Barcelona,217,"['04dcda96-5d80-4b5e-9f21-e952f049e558', 'c0ec33c2-9388-4896-993b-cb5043cf2ae2']",43,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.001,Pass,True,2008/2009
,,,,,,,,,,,,,,,0.01984,,,,,,,,,,,,,,1889c3ea-f7a2-4481-aa73-d2278d93b67b,60,,"[61.0, 41.0]",69222,1,,True,,,-2.1025205,,Right Foot,,,,"[60.0, 39.3]",,Ground Pass,,1.9723083,,,,Rafael Barber Rodríguez,26080.0,,,,,,Kick Off,1,From Kick Off,Javier Camuñas Gallego,26169.0,Left Midfield,6,Recreativo Huelva,1220,['9e002d4e-2a0c-4a37-bc9e-15fa6277dfd9'],47,,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:01:47.519,Pass,,2008/2009
,,,,,,,,,,,,,,,1.792711,,,,,,,,,,,,,,ba1fc9e9-4b2d-4464-b71a-1ad7fdd71c95,62,,"[59.6, 44.4]",69222,1,,True,,,0.5925434,,Right Foot,,,,"[105.2, 75.1]",,Ground Pass,,54.971355,,,,Marco Gastón Ruben Rodríguez,25426.0,,,,,,,1,From Kick Off,Rafael Barber Rodríguez,26080.0,Right Midfield,6,Recreativo Huelva,1220,['749d57d9-8d92-4599-811b-743ce3bcb19a'],47,,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:01:47.579,Pass,,2008/2009
,,,,,,,,,,,,,,,1.4111,,,,,,,,,,,,,,2554a244-6848-4060-8d09-2e21829b653b,64,,"[106.7, 75.4]",69222,1,,,,,-1.3525002,,Left Foot,True,,,"[113.0, 47.0]",,High Pass,,29.090376,,Incomplete,,,,,,,,,,1,From Kick Off,Marco Gastón Ruben Rodríguez,25426.0,Left Center Forward,6,Recreativo Huelva,1220,['e755b8f7-42b3-4d71-97ef-d1021542d429'],50,,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:01:50.296,Pass,,2008/2009
,,,,,,,,,,,,,,,1.0099,,,,,,,,,,,,,,bb4830df-e3b7-49c9-8bc1-b3d3638b6190,66,,"[107.5, 62.4]",69222,1,,,,,-2.3921502,,Head,,,,"[100.3, 55.7]",,Low Pass,,9.835141,,,,Sebastián Ricardo Nayar,26643.0,,,,,,Recovery,1,From Kick Off,Marco Gastón Ruben Rodríguez,25426.0,Left Center Forward,6,Recreativo Huelva,1220,['39245aaa-fd69-4665-b9fa-f841a3e27676'],54,,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:01:54.066,Pass,,2008/2009
,,,,,,,,,,,,,,,0.6255,,,,,,,,,,,,,,d7c9a72c-1bd2-4ce1-bdbe-e8f58dd742c6,69,,"[99.3, 56.1]",69222,1,,,,,0.8648764,,Right Foot,,,,"[104.5, 62.2]",,Low Pass,,8.01561,,,,Rafael Barber Rodríguez,26080.0,,,,,,,1,From Kick Off,Sebastián Ricardo Nayar,26643.0,Right Defensive Midfield,6,Recreativo Huelva,1220,['d8cf742b-107f-422d-8f4a-0e4de0012e30'],55,,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:01:55.194,Pass,,2008/2009
,,,,,,,,,,,,,,,0.4556,,,,,,,,,,,,,,2745080a-4560-46ac-94b3-7e1c616d9c07,73,,"[107.5, 63.7]",69222,1,,,,,-1.3453934,,Right Foot,True,,,"[111.1, 48.0]",,Ground Pass,,16.107452,,Incomplete,,Marco Gastón Ruben Rodríguez,25426.0,,,,,,,1,From Kick Off,Rafael Barber Rodríguez,26080.0,Right Midfield,6,Recreativo Huelva,1220,"['9cc6cedf-099a-4b12-b552-da32f2616484', 'bd695129-6b24-4df5-9fee-25e159122bfb']",57,,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:01:57.543,Pass,,2008/2009
,,,,,,,,,,,,,,,1.3091,,,,,,,,,,,,,,ef2926a3-19bc-4285-882e-7cff5bd02ed3,77,,"[76.2, 59.5]",69222,2,,,,,0.9812967,,Head,,,,"[86.5, 74.9]",,High Pass,,18.527008,,,,Rafael Barber Rodríguez,26080.0,,,,,,Recovery,1,From Kick Off,Mogammat Nasief Morris,26642.0,Right Center Back,6,Recreativo Huelva,1220,['43295a4f-00ed-4e70-8a9e-e10a2e029d3e'],1,,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:02:01.838,Pass,,2008/2009
,,,,,,,,,,,,,,,1.004202,,,,,,,,,,,,,,28a3b745-7410-4c5b-882f-325a156b39d8,81,,"[81.0, 69.2]",69222,2,,,,,0.33473682,,Right Foot,,,,"[92.5, 73.2]",,Ground Pass,,12.175796,,,,Sisinio González Martínez,26189.0,,,,,,,1,From Kick Off,Rafael Barber Rodríguez,26080.0,Right Midfield,6,Recreativo Huelva,1220,"['0fab9296-5bbf-4d28-9649-698e90caca75', '36843160-f8a3-4256-b2dd-3da434dadac6']",6,,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:02:06.030,Pass,True,2008/2009
,,,,,,,,,,,,,,,3.687803,,,,,,,,,,,,,,6e9f4e60-1561-4112-b096-b642311b7b69,85,,"[83.8, 78.8]",69222,2,,,,,-0.3775302,,Right Foot,,,,"[112.8, 67.3]",,Ground Pass,,31.196955,True,Incomplete,,Rafael Barber Rodríguez,26080.0,,,,,,,1,From Kick Off,Sisinio González Martínez,26189.0,Right Center Forward,6,Recreativo Huelva,1220,"['02215d4f-813c-4f5b-a067-00a4d6a24ee0', '9d98aafe-c84f-49a4-822b-c7ba5f0d63fc']",9,,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:02:09.509,Pass,,2008/2009
