50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,"[110.9, 77.2]",,,,,,,,,,,,0.749337,,,,,,,,,,,,,e430862e-ab6b-4520-bfac-03e32cf2b7b2,2715,,,"[109.4, 77.7]",3825637,76,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Ander Capa Rodríguez,6699.0,Right Back,181,Eibar,322,"['47d5f174-cdc5-407a-b533-49aa29b43a67', 'e8e03adc-0c50-4daa-b106-8aa192762dce']",33,,,,,,,,,,,,,,,,,Eibar,322,00:31:33.680,Carry,,2015/2016
,,,,,,"[118.4, 14.4]",,,,,,,,,,,,3.82524,,,,,,,,,,,,,5e72f84a-b119-4129-b509-584a2b421404,2722,,,"[98.2, 11.9]",3825637,76,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Takashi Inui,5687.0,Left Wing,181,Eibar,322,"['9753e488-3bb8-41e3-b354-b13765dfe5f2', 'ade08b4b-7e6b-4f8c-a96a-38371752ae69', 'd46f1708-0b7a-4ad1-b7fd-e46db678ec39']",41,,,,,,,,,,,,,,,,,Eibar,322,00:31:41.042,Carry,True,2015/2016
,,,,,,"[65.3, 68.0]",,,,,,,,,,,,3.123472,,,,,,,,,,,,,72d972a0-0825-465e-af69-8912b1d74ad1,2728,,,"[56.4, 75.3]",3825637,76,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Luis Alberto Suárez Díaz,5246.0,Center Forward,182,Barcelona,217,"['a0e21911-e6a3-4837-8fff-6c024eed8781', 'a404c3a2-d5ae-462e-b9ec-a9faa885db15']",49,,,,,,,,,,,,,,,,,Barcelona,217,00:31:49.908,Carry,,2015/2016
,,,,,,"[34.0, 35.2]",,,,,,,,,,,,2.66489,,,,,,,,,,,,,2daa5a80-c9c9-4e80-83c6-3ba910489deb,2737,,,"[34.0, 35.1]",3825637,77,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,183,Barcelona,217,"['5feb441a-1fa6-409f-9b20-6bedd899544f', '6f8a8ade-205e-469c-bc66-c9e8618674fd']",9,,,,,,,,,,,,,,,,,Barcelona,217,00:32:09.833,Carry,,2015/2016
,,,,,,"[47.0, 13.4]",,,,,,,,,,,,1.798108,,,,,,,,,,,,,4d8ff41a-6301-42fe-a782-fb139a5c25e6,2740,,,"[39.5, 13.4]",3825637,77,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jérémy Mathieu,10609.0,Left Center Back,183,Barcelona,217,"['0c240bea-7481-418a-a82f-458343926e50', 'f764b8d7-a5fa-4d49-a3a5-613abcdcbb88']",13,,,,,,,,,,,,,,,,,Barcelona,217,00:32:13.800,Carry,,2015/2016
,,,,,,"[52.3, 37.5]",,,,,,,,,,,,1.521619,,,,,,,,,,,,,5a591e97-d40f-4c60-901b-74064eaf463a,2743,,,"[51.1, 32.8]",3825637,77,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Left Center Midfield,183,Barcelona,217,"['6bb7f967-8436-4183-a880-bd0cf4abd19c', 'ec4c6ca1-241a-4138-adaf-eadc92d0f953']",16,,,,,,,,,,,,,,,,,Barcelona,217,00:32:16.738,Carry,,2015/2016
,,,,,,"[48.0, 54.0]",,,,,,,,,,,,0.04,,,,,,,,,,,,,777fd184-b772-42df-a20e-266125524782,2746,,,"[46.8, 54.1]",3825637,77,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,183,Barcelona,217,"['41d78d32-9add-44c5-a45d-d7878bf68f6f', 'ffd30d73-92bc-4201-8b10-a00d22c001a9']",20,,,,,,,,,,,,,,,,,Barcelona,217,00:32:20.047,Carry,,2015/2016
,,,,,,"[61.6, 56.4]",,,,,,,,,,,,0.97798,,,,,,,,,,,,,b4748341-d826-4198-b038-19636cbe1ca3,2749,,,"[58.8, 53.0]",3825637,77,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,183,Barcelona,217,"['6b15b795-266b-4159-bc02-761f72406c5d', 'ce24b432-8329-4d8d-96c1-a0a83a90ffde']",20,,,,,,,,,,,,,,,,,Barcelona,217,00:32:20.943,Carry,,2015/2016
,,,,,,"[93.9, 71.1]",,,,,,,,,,,,5.351102,,,,,,,,,,,,,a31bda97-05e1-46ea-b03d-15fffe3a7cd0,2752,,,"[75.5, 78.5]",3825637,77,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Daniel Alves da Silva,4324.0,Right Back,183,Barcelona,217,"['9176d692-edc2-410b-bfd7-0283f56adc07', 'e5b131c9-ea41-42c4-8f17-d5733c108a98']",24,,,,,,,,,,,,,,,,,Barcelona,217,00:32:24.023,Carry,,2015/2016
,,,,,,"[103.7, 78.8]",,,,,,,,,,,,0.872485,,,,,,,,,,,,,b9fd28c8-32cf-483e-9307-5a19cda842f1,2755,,,"[106.1, 77.3]",3825637,77,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,183,Barcelona,217,"['9bd65b91-ab24-491b-bfba-ff5681d760d4', 'e19e483e-d586-46b0-98fa-a14a70bd8de1']",30,,,,,,,,,,,,,,,,,Barcelona,217,00:32:30.747,Carry,,2015/2016
