50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,2.977838,,,,,,,,,,,,,eae33271-619d-4647-9328-60864e4fdb32,44,,,"[64.0, 42.1]",69230,0,,,,,-0.8014396,,Right Foot,,,"[100.8, 4.1]",,High Pass,,52.89839,,,,Thierry Henry,15516.0,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,"['6e5fb0df-594e-488d-98c9-81febbe964d7', '9858127a-0607-4155-ab5c-61b5ea733634']",31,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.778,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,,2.074455,,,,,,,,,,,,,aadd7f60-9f8a-4ccc-a7ec-6e74a45a02f0,47,,,"[106.9, 5.3]",69230,0,,,,,2.469411,,Right Foot,,,"[87.8, 20.5]",,Ground Pass,,24.410038,,,,Seydou Kéita,20169.0,,,,,,,1,Regular Play,Thierry Henry,15516.0,Left Wing,3,Barcelona,217,['15deed1d-322b-4a29-9642-1c76ff058df8'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.003,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.128317,,,,,,,,,,,,,c068c843-f1ec-4d9f-8861-0c6e54bb3ad8,50,,,"[87.8, 20.5]",69230,0,,,,,2.3729997,,Left Foot,,,"[75.7, 32.2]",,Ground Pass,,16.831518,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,Regular Play,Seydou Kéita,20169.0,Left Center Midfield,3,Barcelona,217,['70ed3836-9fa8-473a-bf66-8816a571e9de'],41,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.414,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.799308,,,,,,,,,,,,,396dd4b5-acce-4030-84c2-d8da2db4e868,53,,,"[75.7, 32.4]",69230,0,,,,,2.3561945,,Right Foot,,,"[62.6, 45.5]",,Ground Pass,,18.526197,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['a09cb26e-6d26-4785-9e1a-57e5c8db1500'],43,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.191,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.694431,,,,,,,,,,,,,7449061d-d77a-451d-b3bc-820a5031cdef,56,,,"[62.6, 45.5]",69230,0,,,,,-1.5273454,,Right Foot,,,"[63.8, 17.9]",,Low Pass,,27.626074,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['7617cbf5-6bba-49bd-a5c4-9030e552321e'],45,,,,,,,,,,,,,,,,,Barcelona,217,00:00:45.188,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,2.3147,,,,,,,,,,,,,b0e92395-8dc0-4e28-918a-914366b55a66,60,,,"[72.5, 14.3]",69230,0,,,,,1.1314354,,Left Foot,,,"[81.9, 34.3]",,Ground Pass,,22.09887,,,Incomplete,Sergio Busquets i Burgos,5203.0,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,3,Barcelona,217,"['a22098de-2c09-4520-90f9-85ebedd16bae', 'a39bbd70-2f19-4ae1-afc8-1e80f577442c', 'd27a8c64-b583-4b33-bb99-55bb67d84c3d']",48,,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.659,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,,1.06,,,,,,,,,,,,,e66e0939-9efd-4340-b7cf-d6102de19bc3,64,,,"[46.1, 49.1]",69230,0,,,,,0.9557733,,Left Foot,,,"[53.8, 60.0]",,Ground Pass,,13.345411,,,,Walter Gerardo Pandiani Urquiza,26516.0,,,,,,,1,Regular Play,Krisztián Vadócz,26660.0,Center Attacking Midfield,4,Osasuna,422,['da7a9186-b02f-472b-843a-0b726b0e4d86'],51,,,,,,,,,,,,,,,,,Osasuna,422,00:00:51.596,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.4877,,,,,,,,,,,,,0872c1a0-6adb-4ac4-b365-aa67f3374dea,68,,,"[52.9, 61.9]",69230,0,,,,,1.19154,,Right Foot,,,"[58.4, 75.7]",,Ground Pass,,14.8556385,,,,Juan Francisco Torres Belén,6375.0,,,,,,,1,Regular Play,Walter Gerardo Pandiani Urquiza,26516.0,Center Forward,4,Osasuna,422,"['a5257f56-a42b-44cd-b2cb-603994eac470', 'e3ba4392-c455-4ce7-a260-234c5dc1c485']",53,,,,,,,,,,,,,,,,,Osasuna,422,00:00:53.613,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,,0.271,,,,,,,,,,,,,70b4479a-6ad6-47ac-aaaf-38474e66a928,76,,,"[65.0, 4.6]",69230,0,,,,,0.6267429,,Left Foot,,,"[67.9, 6.7]",,Ground Pass,,3.5805027,,,Incomplete,Thierry Henry,15516.0,,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,4,Osasuna,422,"['a20ff8a8-db5d-419e-8930-91101c7f80df', 'b91abd4d-b784-40ad-9703-b37f37dfcfab', 'f5c22b6a-7b36-4a1e-bf5d-0bce931a8481']",58,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.310,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,,1.034,,,,,,,,,,,,,7be597c3-223a-4a44-a4c8-b8ccde08d784,79,,,"[62.8, 1.0]",69230,1,,,,,0.18684945,,,,,"[82.9, 4.8]",,Low Pass,,20.45605,,,,Thierry Henry,15516.0,,,,,,Throw-in,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,5,Barcelona,217,['c44d2d0b-4d92-4212-ae25-0d79714b4f8c'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:01:14.312,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.5833,,,,,,,,,,,,,91622d30-3cd9-4fd5-b66d-582b34a786e4,83,,,"[34.9, 80.0]",69230,1,,,,,-0.2711116,,,,,"[66.2, 71.3]",,High Pass,,32.486614,,,Incomplete,Walter Gerardo Pandiani Urquiza,26516.0,,,,,,Throw-in,1,From Throw In,César Azpilicueta Tanco,3957.0,Right Back,6,Osasuna,422,"['25386004-df31-47b0-a252-8d9043e850e4', 'a370df51-6827-49c5-b37f-c6023f390bf4']",31,,,,,,,,,,,,,,,,,Osasuna,422,00:01:31.704,Pass,,2008/2009
