50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,,1.8347,,,,,,,,,,,9fe0397a-2a62-4abb-b663-31204a52eb5a,2251,,"[37.9, 57.1]",69252,52,,,,,-1.4613454,,Right Foot,,,,"[41.9, 20.7]",Ground Pass,,36.61912,,,,Carles Puyol i Saforcada,20125.0,,,,,,,2,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,116,Barcelona,217,"['0a14a1e8-bdeb-4f22-bd03-9711cefc70aa', 'facd198c-c77d-45de-a4a5-7df6fe2e46df']",41,,,,,,,,,,,,,,,,,Barcelona,217,00:07:41.942,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,,,0.9778,,,,,,,,,,,881aee04-2c78-4ac1-8052-96d23477ef96,2254,,"[44.0, 20.5]",69252,52,,,,,0.10749768,,Left Foot,,,,"[57.9, 22.0]",Ground Pass,,13.980701,,,,Seydou Kéita,20169.0,,,,,,,2,From Free Kick,Carles Puyol i Saforcada,20125.0,Left Center Back,116,Barcelona,217,['c701d65e-a792-4d19-a17f-4eaaaad7d88b'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:07:46.154,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,,0.9699,,,,,,,,,,,64e6df6f-0e10-4a77-9a8d-399394309e17,2257,,"[56.2, 19.3]",69252,52,,,,,-1.2508541,,Right Foot,,,,"[61.7, 2.7]",Ground Pass,,17.487425,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,2,From Free Kick,Seydou Kéita,20169.0,Right Center Midfield,116,Barcelona,217,['65eb436d-364a-4f50-9aac-a660ed637b77'],48,,,,,,,,,,,,,,,,,Barcelona,217,00:07:48.218,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,,1.1844,,,,,,,,,,,54532248-07d1-44fb-9171-4a140f66a54a,2261,,"[60.8, 2.2]",69252,52,,,,,2.4393358,,Left Foot,,,,"[54.3, 7.7]",Ground Pass,,8.514693,,,,Seydou Kéita,20169.0,,,,,,,2,From Free Kick,Eric-Sylvain Bilal Abidal,20177.0,Left Back,116,Barcelona,217,"['f680ffcc-f8d3-477f-bbab-b8526055db84', 'f8e2cb0e-b763-44ba-8e39-5693511d4b7d']",49,,,,,,,,,,,,,,,,,Barcelona,217,00:07:49.847,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,,,0.9112,,,,,,,,,,,0fee4521-a760-4c74-be51-22159ddbd5cf,2265,,"[52.9, 8.6]",69252,52,,,,,1.041043,,Left Foot,,,,"[65.9, 30.8]",Ground Pass,,25.726252,,,,Xavier Hernández Creus,20131.0,,,,,,,2,From Free Kick,Seydou Kéita,20169.0,Right Center Midfield,116,Barcelona,217,['612b6a16-de0d-44f8-8abd-8c5681cbfa24'],53,,,,,,,,,,,,,,,,,Barcelona,217,00:07:53.162,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,,0.8632,,,,,,,,,,,859728a1-34c2-4a58-a5fd-4be422a5e000,2267,,"[65.9, 30.8]",69252,52,,,,,1.331297,,No Touch,,,,"[68.0, 39.4]",Ground Pass,,8.852683,True,,,Andrés Iniesta Luján,5216.0,,,,,,,2,From Free Kick,Xavier Hernández Creus,20131.0,Left Center Midfield,116,Barcelona,217,['5ccdf568-6d20-4d99-90e2-0e441f1b337d'],54,,,,,,,,,,,,,,,,,Barcelona,217,00:07:54.073,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,,1.0983,,,,,,,,,,,2692447c-3377-4110-acbe-8f0b46889de2,2270,,"[68.0, 39.4]",69252,52,,,,,3.0231028,,Right Foot,,,,"[55.4, 40.9]",Ground Pass,,12.6889715,,,,Gnégnéri Yaya Touré,3087.0,,,,,,,2,From Free Kick,Andrés Iniesta Luján,5216.0,Left Wing,116,Barcelona,217,['52062aec-4f92-4619-a5f0-69ea655f3619'],54,,,,,,,,,,,,,,,,,Barcelona,217,00:07:54.976,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,,1.5849,,,,,,,,,,,ed1c94d0-faaa-4529-8f3e-5fb94f0809c4,2272,,"[55.4, 40.9]",69252,52,,,,,1.2545102,,Right Foot,,,,"[64.4, 68.4]",Ground Pass,,28.935272,,,,Daniel Alves da Silva,4324.0,,,,,,,2,From Free Kick,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,116,Barcelona,217,['1534bbf2-e9f5-46bb-88ba-b0e3303833c3'],56,,,,,,,,,,,,,,,,,Barcelona,217,00:07:56.075,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,,1.063817,,,,,,,,,,,ed0b7da4-e747-4cbc-806d-231a3df641ca,2275,,"[64.4, 68.0]",69252,52,,,,,0.3479836,,Right Foot,,,,"[84.8, 75.4]",Ground Pass,,21.700691,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,2,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,116,Barcelona,217,['e2c89189-e304-4fdb-b7f2-387f366c2f02'],58,,,,,,,,,,,,,,,,,Barcelona,217,00:07:58.385,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,,1.492878,,,,,,,,,,,6ebc711a-2e0a-46b3-a276-904cd95b2b3d,2278,,"[88.6, 72.6]",69252,53,,,,,-2.0728865,,Left Foot,,,,"[80.2, 57.3]",Ground Pass,,17.454226,,,,Daniel Alves da Silva,4324.0,,,,,,,2,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,116,Barcelona,217,['7d655aaa-1b09-416d-96d3-6dd5baabb4d0'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:08:01.768,Pass,,2009/2010
