50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,1.091419,,,,,,,,,,,,,,38f8aef7-47e7-409f-a807-c3f0af748150,665,,,"[63.6, 19.3]",68366,12,,,,,2.5944393,,Right Foot,,,,"[54.9, 24.6]",,Ground Pass,,10.187247,,,,,Angelos Basinas,19771.0,,,,,,,1,Regular Play,Pierre Achille Webó Kouamo,25876.0,Right Center Forward,43,Mallorca,1043,['f7b04d93-af1a-47fc-950d-9d3fdc348c18'],52,,,,,,,,,,,,,,,,,,Mallorca,1043,00:12:52.233,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.13254,,,,,,,,,,,,,,7477619b-1b9d-4691-8bbb-95265a16cd03,667,,,"[54.9, 24.6]",68366,12,,,,,-1.7547398,,Right Foot,,,,"[50.9, 3.1]",,Low Pass,,21.868927,,,,,Fernando Navarro i Corbacho,6913.0,,,,,,,1,Regular Play,Angelos Basinas,19771.0,Left Center Midfield,43,Mallorca,1043,['f6ba97a7-44ca-45dc-ba70-43ef5927fda3'],53,,,,,,,,,,,,,,,,,,Mallorca,1043,00:12:53.325,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.352208,,,,,,,,,,,,,,cbf8adc0-8c9e-4e20-a71e-9fda80c5dcdf,670,,,"[50.9, 3.1]",68366,12,,,,,1.8610612,,Right Foot,,,,"[46.3, 18.5]",,Ground Pass,,16.072336,,,,,Angelos Basinas,19771.0,,,,,,,1,Regular Play,Fernando Navarro i Corbacho,6913.0,Left Back,43,Mallorca,1043,['c41ac485-71bd-448b-b26e-8bbf0ddac34c'],56,,,,,,,,,,,,,,,,,,Mallorca,1043,00:12:56.638,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.502058,,,,,,,,,,,,,,ae1744a6-a570-4a56-b074-17591c0215b2,673,,,"[46.3, 18.5]",68366,12,,,,,1.5570041,,Right Foot,,,,"[46.7, 47.5]",,Ground Pass,,29.002758,,,,,Borja Valero Iglesias,6997.0,,,,,,,1,Regular Play,Angelos Basinas,19771.0,Left Center Midfield,43,Mallorca,1043,['9bc188e1-cfd6-4c9b-ba38-1e0f817c848d'],59,,,,,,,,,,,,,,,,,,Mallorca,1043,00:12:59.976,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.411675,,,,,,,,,,,,,,b371ebdf-f57c-46f0-8acb-9abe97099be3,678,,,"[47.0, 46.5]",68366,13,,,,,-0.82802635,,Right Foot,,,,"[57.1, 35.5]",,Ground Pass,,14.933519,,,,,Angelos Basinas,19771.0,,,,,,,1,Regular Play,Borja Valero Iglesias,6997.0,Right Center Midfield,43,Mallorca,1043,"['736f04c8-8e4b-4bed-a916-50652f9c0053', '80014b6f-a7a6-499e-9360-2ec52a49654e']",1,,,,,,,,,,,,,,,,,,Mallorca,1043,00:13:01.638,Pass,True,2007/2008
,,,,,,,,,,,,,,,,,,,0.884792,,,,,,,,,,,,,,c860d5a0-c84d-4852-8962-cfb67117dc07,681,,,"[57.4, 43.7]",68366,13,,,,,0.23008615,,Right Foot,,,,"[68.5, 46.3]",,Ground Pass,,11.400438,,,,,Juan Fernando Arango Sáenz,25995.0,,,,,,,1,Regular Play,Angelos Basinas,19771.0,Left Center Midfield,43,Mallorca,1043,['4efffbaf-ece2-499d-910a-11f58b6d1d6d'],4,,,,,,,,,,,,,,,,,,Mallorca,1043,00:13:04.294,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.174385,,,,,,,,,,,,,,03df51fe-7a15-426a-9e42-91aad43d9461,684,,,"[68.5, 46.5]",68366,13,,,,,-2.205823,,Right Foot,,,,"[64.3, 40.8]",,Ground Pass,,7.080254,,,,,Borja Valero Iglesias,6997.0,,,,,,,1,Regular Play,Juan Fernando Arango Sáenz,25995.0,Right Midfield,43,Mallorca,1043,['f517db8b-616c-4c1a-81df-2bdb2a75b36b'],6,,,,,,,,,,,,,,,,,,Mallorca,1043,00:13:06.896,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.49496,,,,,,,,,,,,,,b056fe6e-60ee-4a05-9d41-c30e570bb937,687,,,"[64.3, 38.3]",68366,13,,,,,-1.2833993,,Right Foot,,,,"[75.0, 2.1]",,Low Pass,,37.748245,,,,,Fernando Varela Ramos,26201.0,,,,,,,1,Regular Play,Borja Valero Iglesias,6997.0,Right Center Midfield,43,Mallorca,1043,['d88f8a8b-6454-4035-a8d0-1f7d55526ce5'],8,,,,,,,,,,,,,,,,,,Mallorca,1043,00:13:08.944,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,0.856812,,,,,,,,,,,,,,e711bdf8-ab5e-4b38-bd87-2591a7598535,691,,,"[90.2, 19.1]",68366,13,,,,,2.38082,,Right Foot,,,,"[79.8, 29.0]",,Low Pass,,14.358621,,,,,Juan Fernando Arango Sáenz,25995.0,,,,,,,1,Regular Play,Fernando Varela Ramos,26201.0,Left Midfield,43,Mallorca,1043,['544161ec-0731-447b-a50d-fdbf6a2e3a0a'],14,,,,,,,,,,,,,,,,,,Mallorca,1043,00:13:14.650,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.25432,,,,,,,,,,,,,,80e0f685-b477-49f6-a77d-2c624ba8d6ce,694,,,"[81.2, 28.0]",68366,13,,,,,0.45277846,,Left Foot,,,,"[103.4, 38.8]",,High Pass,,24.687649,,,Incomplete,,Fernando Varela Ramos,26201.0,,,,Through Ball,True,,1,Regular Play,Juan Fernando Arango Sáenz,25995.0,Right Midfield,43,Mallorca,1043,"['44f4d4f8-b016-4ee8-9d19-048aacd6a251', 'ca524010-7b74-4a52-b92e-aaf3d3da01ba']",16,,,,,,,,,,,,,,,,,,Mallorca,1043,00:13:16.716,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.839605,,,,,,,,,,,,,,060a1bc6-8ae3-4164-8d72-23c4a952109f,702,,,"[11.6, 45.1]",68366,13,,,,,0.72498786,,Keeper Arm,,,,"[37.9, 68.4]",,Ground Pass,,35.13659,,,,,Gianluca Zambrotta,15774.0,,,,,,,1,From Keeper,José Manuel Pinto Colorado,26005.0,Goalkeeper,45,Barcelona,217,['a9d5d7b9-9822-41d4-9172-484153c49d50'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:13:29.828,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.147521,,,,,,,,,,,,,,4deff6d7-72e6-4709-a5b5-310a7809d89a,705,,,"[42.9, 74.5]",68366,13,,,,,-1.3927034,,Right Foot,,,,"[46.5, 54.5]",,Ground Pass,,20.321417,,,,,Gnégnéri Yaya Touré,3087.0,,,,,,,1,Regular Play,Gianluca Zambrotta,15774.0,Right Back,46,Barcelona,217,['3ae7cd75-5c88-4868-87c0-c6921e78b9ee'],33,,,,,,,,,,,,,,,,,,Barcelona,217,00:13:33.453,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.269345,,,,,,,,,,,,,,ddeefd89-c959-44cf-b322-8ec0953b425c,708,,,"[60.5, 42.7]",68366,13,,,,,-0.9882433,,Right Foot,,,,"[66.1, 34.2]",,Ground Pass,,10.1789,,,,,Anderson Luís de Souza,19757.0,,,,,,,1,Regular Play,Gnégnéri Yaya Touré,3087.0,Right Center Midfield,47,Barcelona,217,['4668b209-f808-4eca-b7c7-787fbeca3a10'],38,,,,,,,,,,,,,,,,,,Barcelona,217,00:13:38.354,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.116408,,,,,,,,,,,,,,f6e1852b-78b8-42a5-992e-dc98f5ce63ea,711,,,"[78.4, 32.7]",68366,13,,,,,-0.81524,,Right Foot,,,,"[84.9, 25.8]",,Ground Pass,,9.479451,,,,,Samuel Eto''o Fils,19298.0,,,,,,,1,Regular Play,Anderson Luís de Souza,19757.0,Left Center Midfield,48,Barcelona,217,['41d6efae-2cef-4fb3-8e22-9eaa743cccd4'],41,,,,,,,,,,,,,,,,,,Barcelona,217,00:13:41.962,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,0.272772,,,,,,,,,,,,,,0c6fa934-a2e8-4225-9e37-c73d237c71c4,714,,,"[84.2, 34.7]",68366,13,,,,,0.52807444,,Right Foot,,,,"[86.6, 36.1]",,Ground Pass,,2.7784889,,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Samuel Eto''o Fils,19298.0,Center Forward,49,Barcelona,217,"['14d18d0c-b9e5-48e4-9b6b-7c6d0bf7a4d0', 'a7e41d32-d357-4a15-a313-0f2c44a64b39']",46,,,,,,,,,,,,,,,,,,Barcelona,217,00:13:46.436,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,0.875671,,,,,,,,,,,,,,e572b6b1-99a0-48e1-a430-c3d6e704fbf8,717,,,"[71.9, 28.0]",68366,13,,,,,0.89760095,,Left Foot,,,,"[78.2, 35.9]",,Ground Pass,,10.104454,,,,,Gnégnéri Yaya Touré,3087.0,,,,,,Recovery,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,50,Barcelona,217,['e2c390cd-0aa8-4414-9aaa-6d602ee77edd'],48,,,,,,,,,,,,,,,,,,Barcelona,217,00:13:48.955,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.826908,,,,,,,,,,,,,,62b6bb02-9915-4154-a998-5a7e0f7abe17,721,,,"[80.0, 29.1]",68366,13,,,,,-1.6951513,,Right Foot,,,,"[78.2, 14.7]",,Ground Pass,,14.512064,,,,,Anderson Luís de Souza,19757.0,,,,,,,1,Regular Play,Gnégnéri Yaya Touré,3087.0,Right Center Midfield,50,Barcelona,217,"['0b38bba2-43ae-49ec-b397-4c00b9240807', 'a23989e2-ffff-4021-a55a-7e53cd66339d']",53,,,,,,,,,,,,,,,,,,Barcelona,217,00:13:53.850,Pass,True,2007/2008
,,,,,,,,,,,,,,,,,,,1.216334,,,,,,,,,,,,,,0d4064b4-6040-4751-a189-919d8f322a17,724,,,"[78.1, 14.6]",68366,13,,,,,2.847358,,Right Foot,,,,"[68.2, 17.6]",,Ground Pass,,10.3445635,,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,Regular Play,Anderson Luís de Souza,19757.0,Left Center Midfield,50,Barcelona,217,['2c0fcba3-ecfb-4bac-8bf6-ce0b7b774779'],55,,,,,,,,,,,,,,,,,,Barcelona,217,00:13:55.896,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.992116,,,,,,,,,,,,,,d452effa-a393-4a46-aaa7-8237f31bc547,727,,,"[66.0, 19.2]",68366,13,,,,,2.2621334,,Right Foot,,,,"[56.4, 30.8]",,Ground Pass,,15.057224,,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,50,Barcelona,217,['85a16de2-d27f-4d6b-9249-d75ea1aac5af'],57,,,,,,,,,,,,,,,,,,Barcelona,217,00:13:57.505,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.531633,,,,,,,,,,,,,,810f7205-db2f-4782-910e-0c67dbab37ed,730,,,"[56.4, 30.8]",68366,13,,,,,-1.3567356,,Right Foot,,,,"[58.9, 19.3]",,Ground Pass,,11.768602,,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,50,Barcelona,217,['2dd5d14b-760d-4e3c-86be-c1f61241327a'],59,,,,,,,,,,,,,,,,,,Barcelona,217,00:13:59.547,Pass,,2007/2008
