bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.97313,,,,,,,,,,,,,1b80184f-5607-4b90-83f6-0f13f05b6669,60,,"[50.7, 21.5]",70262,1,,,,,-1.6647221,,Head,,,"[49.4, 7.7]",,Low Pass,,13.861096,,,Cristian Tello Herrera,6658.0,,,,,,1,Regular Play,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,6,Barcelona,217,['4bcd82ad-49fc-4518-9fbb-6fb068967557'],17,,,,,,,,,,,,,,,,Barcelona,217,00:01:17.268,Pass,,2012/2013
,,,,,,,,,,,,,,,1.356888,,,,,,,,,,,,,bf7553b1-a19e-4aad-9521-c82d9e1d356e,63,,"[49.4, 7.7]",70262,1,,,,,1.506599,,Right Foot,,,"[50.3, 21.7]",,Low Pass,,14.028899,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,Regular Play,Cristian Tello Herrera,6658.0,Left Wing,6,Barcelona,217,['60252f77-e6ff-4ebf-a430-4541d93a9d91'],18,,,,,,,,,,,,,,,,Barcelona,217,00:01:18.281,Pass,,2012/2013
,,,,,,,,,,,,,,,2.194629,,,,,,,,,,,,,28432faa-51c7-4efa-a01e-7ad7db301874,70,,"[52.6, 31.9]",70262,1,,,,,0.7893822,,Right Foot,,,"[77.6, 57.1]",,High Pass,,35.497044,Incomplete,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,,1,Regular Play,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,6,Barcelona,217,"['ca11321f-f399-43bd-8aff-9fe7218f4948', 'd1344bef-144c-4c12-bde2-dcf1ee0ace2d']",22,,,,,,,,,,,,,,,,Barcelona,217,00:01:22.430,Pass,,2012/2013
,,,,,,,,,,,,,,,0.838738,,,,,,,,,,,,,ca11321f-f399-43bd-8aff-9fe7218f4948,72,,"[43.4, 23.9]",70262,1,,,,,1.4056476,,Head,,,"[44.8, 32.3]",,Low Pass,,8.515867,,,Miguel Flaño Bezunartea,24313.0,,,,,Recovery,1,Regular Play,Damià Abella Pérez,25896.0,Left Back,7,Osasuna,422,"['28432faa-51c7-4efa-a01e-7ad7db301874', '4e193cfa-eefa-4732-9b0a-bca422593e55']",24,,,,,,,,,,,,,,,,Osasuna,422,00:01:24.624,Pass,,2012/2013
,,,,,,,,,,,,,,,1.349904,,,,,,,,,,,,,6c003b1c-43df-472f-a45c-a908e05361de,75,,"[41.5, 33.0]",70262,1,,,,,2.8209374,,Right Foot,,,"[14.1, 42.1]",,Ground Pass,,28.871613,,,Andrés Eduardo Fernández Moreno,8697.0,,,,,,1,Regular Play,Miguel Flaño Bezunartea,24313.0,Left Center Back,7,Osasuna,422,['cea4bb2a-4199-435b-b79d-c6cf8043ff41'],27,,,,,,,,,,,,,,,,Osasuna,422,00:01:27.143,Pass,,2012/2013
,,,,,,,,,,,,,,,3.3821,,,,,,,,,,,,,298971c2-4e0f-4f0a-ae0e-62f61d016505,79,,"[14.3, 44.6]",70262,1,,,,,0.26420707,,Right Foot,,,"[76.4, 61.4]",,High Pass,,64.33234,Incomplete,,,,,,,,,1,Regular Play,Andrés Eduardo Fernández Moreno,8697.0,Goalkeeper,7,Osasuna,422,"['629f0af0-afad-45fa-820d-153b06e49ac9', '8a0b02f2-88dc-46a6-aaed-c0e3e70a71b6']",30,,,,,,,,,,,,,,,,Osasuna,422,00:01:30.205,Pass,True,2012/2013
,,,,,,,,,,,,,,,1.48118,,,,,,,,,,,,,8a0b02f2-88dc-46a6-aaed-c0e3e70a71b6,80,,"[44.6, 19.6]",70262,1,,,,,0.8697049,,Head,,,"[51.1, 27.3]",,Low Pass,,10.076706,,,Sergio Busquets i Burgos,5203.0,,,,,Recovery,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,8,Barcelona,217,"['298971c2-4e0f-4f0a-ae0e-62f61d016505', '46793662-8225-4cf5-bd0c-96a2832f6285']",33,,,,,,,,,,,,,,,,Barcelona,217,00:01:33.587,Pass,,2012/2013
,,,,,,,,,,,,,,,1.051267,,,,,,,,,,,,,433ae352-7066-4e67-b4d5-e10bab47ec46,83,,"[51.1, 27.3]",70262,1,,,,,-1.0722284,,Right Foot,,,"[56.0, 18.3]",,Ground Pass,,10.247438,,,Cristian Tello Herrera,6658.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,8,Barcelona,217,['b5f095df-2a1a-46db-96d6-2231343f2d38'],35,,,,,,,,,,,,,,,,Barcelona,217,00:01:35.149,Pass,,2012/2013
,,,,,,,,,,,,,,,0.817146,,,,,,,,,,,,,3ece4ac1-eaf8-4795-a3c8-26ee2ee1eaca,86,,"[54.7, 18.6]",70262,1,,,,,1.5874615,,Right Foot,,,"[54.5, 30.6]",,Low Pass,,12.001667,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,Regular Play,Cristian Tello Herrera,6658.0,Left Wing,8,Barcelona,217,['c1d471d2-b8f8-45c4-a8c4-5bf5c820d57f'],36,,,,,,,,,,,,,,,,Barcelona,217,00:01:36.280,Pass,,2012/2013
,,,,,,,,,,,,,,,4.554753,,,,,,,,,,,,,4aa146b6-659a-4c31-9933-cea3a9f22c45,90,,"[52.6, 31.1]",70262,1,,,,,2.266149,,Right Foot,,,"[25.9, 63.1]",,Low Pass,,41.676014,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,8,Barcelona,217,"['986d4be7-5c84-4ca7-b74e-30c309678ff5', 'ba94a3e1-dbcf-463b-82f1-cfdeb5ac0182']",38,,,,,,,,,,,,,,,,Barcelona,217,00:01:38.148,Pass,True,2012/2013
,,,,,,,,,,,,,,,1.337,,,,,,,,,,,,,4484be2b-1a9d-41eb-871f-ab047f3b473b,93,,"[26.1, 64.8]",70262,1,,,,,-1.990993,,Right Foot,,,"[21.9, 55.4]",,Ground Pass,,10.29563,,,Carles Puyol i Saforcada,20125.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,8,Barcelona,217,['9c2ab999-dde2-4299-9dc5-63bea76af52f'],43,,,,,,,,,,,,,,,,Barcelona,217,00:01:43.425,Pass,,2012/2013
,,,,,,,,,,,,,,,1.129932,,,,,,,,,,,,,b164193c-ffaf-467b-be20-840678729a01,96,,"[24.6, 50.8]",70262,1,,,,,-0.17871778,,Left Foot,,,"[40.1, 48.0]",,Ground Pass,,15.750873,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,8,Barcelona,217,['5ddd7e1f-e2d6-45ff-a415-99c9603491de'],46,,,,,,,,,,,,,,,,Barcelona,217,00:01:46.133,Pass,,2012/2013
,,,,,,,,,,,,,,,1.610227,,,,,,,,,,,,,e1b1bff2-9263-49d7-b1b0-da2dcc1cad26,100,,"[40.3, 49.1]",70262,1,,,,,1.9103732,,Right Foot,,,"[33.8, 67.5]",,Ground Pass,,19.514353,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,8,Barcelona,217,"['21ca29d7-6929-4d67-b378-b544e3f10f87', 'fb37f61b-5ac9-4a28-934a-16a71c0fc794']",47,,,,,,,,,,,,,,,,Barcelona,217,00:01:47.847,Pass,True,2012/2013
,,,,,,,,,,,,,,,1.201778,,,,,,,,,,,,,86041717-524e-431c-b943-446cb4eb8144,103,,"[35.2, 70.9]",70262,1,,,,,0.10062058,,Right Foot,,,"[56.0, 73.0]",,Ground Pass,,20.90574,,,Andrés Iniesta Luján,5216.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,8,Barcelona,217,['2b083813-c92b-475c-8917-22e17dc6517f'],50,,,,,,,,,,,,,,,,Barcelona,217,00:01:50.438,Pass,,2012/2013
,,,,,,,,,,,,,,,0.818734,,,,,,,,,,,,,6603e82c-81ff-46e3-8e97-763ae92e4970,107,,"[51.6, 67.9]",70262,1,,,,,2.2881181,,Right Foot,,,"[47.5, 72.6]",,Ground Pass,,6.2369866,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,8,Barcelona,217,"['0a7420f3-e1bf-44ad-8738-3dada50b626f', '6eefc886-a581-48cc-a4fd-930eb47ebd19']",54,,,,,,,,,,,,,,,,Barcelona,217,00:01:54.868,Pass,True,2012/2013
