bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.54,,,,,,,,,,,,8617d702-3188-4bb9-a621-67897ca92346,33,,"[14.0, 11.0]",9765,0,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,André Filipe Tavares Gomes,10802.0,Left Wing,2,Real Betis,218,"['16c363c3-f752-4bb2-8d47-a41f06c4adeb', '5502f38f-b267-4e47-9152-9e5c414fef37', 'f01080de-7b7d-4b6a-8d70-b895284a977b']",28,,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.816,Pressure,,2017/2018
,,,,,,,,,,,,,,,1.177,,,,,,,,,,,,0a9709bf-c44d-40f4-9385-d8d36e616ba7,39,,"[29.0, 20.0]",9765,0,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Left Center Midfield,2,Real Betis,218,"['9b47db70-be94-461e-815c-27ee9645ef3d', 'c2906461-c711-4adc-a2a8-769a5c2267f0']",34,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.282,Pressure,,2017/2018
,,,,,,,,,,,,,,,1.094,,,,,,,,,,,,b36b236c-46b0-454e-ac17-373dd309b67a,41,,"[49.0, 48.0]",9765,0,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,2,Real Betis,218,"['037af2bd-bdd8-41c4-8f4a-d1ece5da1e79', '3d37cdb5-87eb-4224-a495-1b01ca238bd4']",37,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.810,Pressure,,2017/2018
,,,,,,,,,,,,,,,1.122,,,,,,,,,,,,b61de39c-6341-4724-aae6-f30efcfbe3a7,50,,"[71.0, 70.0]",9765,0,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,2,Real Betis,218,['37e361c9-9c71-4a12-a4e4-2148395437cb'],44,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.148,Pressure,,2017/2018
,,,,,,,,,,,,,,,0.416,,,,,,,,,,,,3093c839-39e1-4f9f-b255-21a8aeaaa10e,54,,"[84.0, 59.0]",9765,0,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Left Center Forward,2,Real Betis,218,"['0fe43dfe-8d7c-48a0-ada3-80968b3b1f07', 'f2218d1c-5be0-428a-9afc-161d5e996d0b']",46,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.540,Pressure,,2017/2018
,,,,,,,,,,,,,,,1.205,,,,,,,,,,,,d81364e5-8072-464e-b274-7739b7fab89e,56,,"[75.0, 39.0]",9765,0,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,André Filipe Tavares Gomes,10802.0,Left Wing,2,Real Betis,218,"['9e2182d6-c57d-4bc6-bb60-cd0de3133a49', 'b57cf3cb-6ff6-41c6-9f7b-9cde881bba3e', 'e70145a6-8a5a-4424-8c37-3e486d3b703b']",47,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.400,Pressure,,2017/2018
,,,,,,,,,,,,,,,1.875,,,,,,,,,,,,def8a21e-7fbe-4149-84b7-6cb6a815cced,62,,"[96.0, 56.0]",9765,0,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Left Center Forward,2,Real Betis,218,['67a3e0b4-0828-4f1f-b683-af95b7e94b17'],50,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.879,Pressure,,2017/2018
,,,,,,,,,True,,,,,,1.441,,,,,,,,,,,,87883cb1-9078-42b8-8b22-57914a82c376,74,,"[57.0, 29.0]",9765,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Cristian Tello Herrera,6658.0,Left Center Forward,3,Barcelona,217,['c4d37546-6307-48c3-8a75-60a4815eeb85'],59,,,,,,,,,,,,,,,,,Real Betis,218,00:00:59.487,Pressure,,2017/2018
,,,,,,,,,,,,,,,2.57,,,,,,,,,,,,80b22945-78d0-442b-8933-5cd54057b3fd,80,,"[42.0, 26.0]",9765,1,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Cristian Tello Herrera,6658.0,Left Center Forward,3,Barcelona,217,"['32c1a29e-b586-475e-a168-2c9eb3b712b3', 'f2e8616b-6900-4cae-8add-ba4e24c0ca64']",3,,,,,,,,,,,,,,,,,Real Betis,218,00:01:03.945,Pressure,,2017/2018
,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,a38ac074-f710-4c98-87d5-46f613418724,82,,"[55.0, 27.0]",9765,1,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Joaquín Sánchez Rodríguez,6651.0,Center Attacking Midfield,3,Barcelona,217,"['29d8c77d-2c1e-4e4d-9bb3-983ec1f83198', 'e6c4a2af-8d2d-4f82-91e3-82d1f889ce93', 'f14d1363-31c8-4580-82d7-811cecb662fb']",7,,,,,,,,,,,,,,,,,Real Betis,218,00:01:07.503,Pressure,,2017/2018
