50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.856802,,,,,,,,,,,,,1457e19b-331d-4701-9f4e-514ade2ecf92,56,,"[80.3, 46.1]",267670,0,,,,,-1.6713732,,Right Foot,,,,"[79.2, 35.2]",,Ground Pass,,10.955364,,,,Felipe Alejandro Gutiérrez Leiva,12789.0,,,,,,,1,From Throw In,Álvaro Cejudo Carmona,26723.0,Right Wing Back,3,Real Betis,218,"['063bce4e-2842-42c0-a2d3-5f39f62f0cf8', 'fb7351ed-c841-4c00-916a-2e1021c31c57']",54,,,,,,,,,,,,,,,,Real Betis,218,00:00:54.794,Pass,True,2016/2017
,,,,,,,,,,,,,,,,1.3465,,,,,,,,,,,,,1462abf9-b44a-44ae-b72e-bb5150cff0fd,59,,"[84.5, 28.5]",267670,0,,,,,-0.7222851,,Left Foot,,,,"[98.8, 15.9]",,Ground Pass,,19.059118,,Incomplete,,Riza Durmisi,6646.0,,,,,,,1,From Throw In,Felipe Alejandro Gutiérrez Leiva,12789.0,Left Center Midfield,3,Real Betis,218,"['70ee10e0-58e0-48df-8a9e-03c2321e8e20', '7b62cac7-987a-4dda-afee-8f4bc9861df7']",57,,,,,,,,,,,,,,,,Real Betis,218,00:00:57.091,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.4196,,,,,,,,,,,,,6b9af155-43b5-4cae-a39e-8cfde67d62ee,68,,"[95.8, 18.4]",267670,1,,,,,0.86630225,,Left Foot,,,,"[99.2, 22.4]",,Ground Pass,,5.249762,,,,Rubén Castro Martín,6832.0,,,,,,,1,From Throw In,Riza Durmisi,6646.0,Left Wing Back,3,Real Betis,218,['483dbda9-a900-4af2-a714-024e8e9bc408'],0,,,,,,,,,,,,,,,,Real Betis,218,00:01:00.132,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.050491,,,,,,,,,,,,,6f9f109a-410d-4b66-9d1a-1430e373b2e8,77,,"[99.2, 12.1]",267670,1,,,,,1.7245039,,Right Foot,,,,"[98.1, 19.2]",,Ground Pass,,7.184706,,,,Riza Durmisi,6646.0,,,,,,,1,From Throw In,Rubén Castro Martín,6832.0,Left Center Forward,3,Real Betis,218,['f02367b5-6836-40ad-b84e-8e6b1e8d5ec3'],4,,,,,,,,,,,,,,,,Real Betis,218,00:01:04.620,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.00253,,,,,,,,,,,,,8adb194c-dc2f-4ad2-bfa7-8521626110de,83,,"[2.4, 68.9]",267670,1,,,,,0.104876935,,Right Foot,,,,"[4.3, 69.1]",,Low Pass,,1.9104973,,Incomplete,,Ivan Rakitić,5470.0,,,,,,Recovery,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Real Betis,218,"['6399c024-0040-499f-9ee1-fc3a2323225c', 'f8bd683e-91f1-431f-a5a1-4c1015af00de']",10,,,,,,,,,,,,,,,,Barcelona,217,00:01:10.094,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.3935,,,,,,,,,,,,,ad17fff7-805c-4d10-bdd6-b1c756c70d3f,87,,"[120.0, 0.1]",267670,1,,,,,1.8080031,,Left Foot,,,,"[111.2, 36.5]",,High Pass,,37.44863,,Incomplete,True,,,,,,Outswinging,,Corner,1,From Corner,Felipe Alejandro Gutiérrez Leiva,12789.0,Left Center Midfield,4,Real Betis,218,['52c6ba09-9a64-468f-932a-0ee9c4814ab3'],37,,,,,,,,,,,,,,,,Real Betis,218,00:01:37.786,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.431054,,,,,,,,,,,,,6e375167-9dc9-4a94-b6c1-0213b131f381,91,,"[95.4, 16.7]",267670,1,,,,,-1.2298174,,Left Foot,,,,"[99.8, 4.3]",,Ground Pass,,13.157507,,,,Felipe Alejandro Gutiérrez Leiva,12789.0,,,,,,,1,From Corner,Jonas Martin,2950.0,Right Center Midfield,4,Real Betis,218,['a9fac033-6ee0-4619-ac84-3c82965f6152'],42,,,,,,,,,,,,,,,,Real Betis,218,00:01:42.571,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.087,,,,,,,,,,,,,38be103d-1222-4f54-b90d-e316e6d709db,94,,"[100.7, 3.5]",267670,1,,,,,2.953371,,Left Foot,,,,"[98.6, 3.9]",,Ground Pass,,2.1377559,,Incomplete,,Riza Durmisi,6646.0,,,,,,,1,From Corner,Felipe Alejandro Gutiérrez Leiva,12789.0,Left Center Midfield,4,Real Betis,218,"['01a8b4ed-1250-4f02-a855-f70ba1813891', '5ed911ad-31d6-4315-a557-e3cefbb1cd0e']",45,,,,,,,,,,,,,,,,Real Betis,218,00:01:45.090,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.2904,,,,,,,,,,,,,2be1e213-2912-4551-a668-8fd490b73018,97,,"[91.8, 0.1]",267670,1,,,,,0.61232215,,,,,,"[100.2, 6.0]",,Low Pass,,10.264989,,Incomplete,,Felipe Alejandro Gutiérrez Leiva,12789.0,,,,,,Throw-in,1,From Throw In,Riza Durmisi,6646.0,Left Wing Back,5,Real Betis,218,"['d8b1d7b6-91b0-495d-8121-6a63ea9933d9', 'fe1e932a-d0fd-453c-b3c8-691ca64bc4cb']",55,,,,,,,,,,,,,,,,Real Betis,218,00:01:55.605,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.768272,,,,,,,,,,,,,1311270e-6ec5-4db8-bd93-3d8d8c11fcd0,104,,"[15.0, 80.0]",267670,2,,,,,-0.76350385,,,,,,"[22.0, 73.3]",,High Pass,,9.689685,,,,Ivan Rakitić,5470.0,,,,,,Throw-in,1,From Throw In,Sergi Roberto Carnicer,6379.0,Right Back,6,Barcelona,217,['6bd37671-72a1-4be5-801c-f93c21bf9b6a'],4,,,,,,,,,,,,,,,,Barcelona,217,00:02:04.611,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.6474,,,,,,,,,,,,,1cac0d25-61ea-4e78-8d5b-9cc67774643d,107,,"[22.0, 73.3]",267670,2,,,,,2.8160968,,Right Foot,,,,"[14.0, 76.0]",,Low Pass,,8.44334,,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Right Center Midfield,6,Barcelona,217,['d61da0ad-1574-4d06-94d8-fdfdfd12929d'],5,,,,,,,,,,,,,,,,Barcelona,217,00:02:05.419,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.51942,,,,,,,,,,,,,120713b0-4e5d-4192-a8b4-2855dca3d3fe,111,,"[12.1, 72.9]",267670,2,,,,,2.9982526,,Right Foot,,,,"[2.4, 74.3]",,Ground Pass,,9.80051,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Throw In,Sergi Roberto Carnicer,6379.0,Right Back,6,Barcelona,217,['349c24d3-de15-4b61-8c25-3be7b06b9d5d'],9,,,,,,,,,,,,,,,,Barcelona,217,00:02:09.425,Pass,,2016/2017
,,,,,,,,,,,,,,,,3.4454,,,,,,,,,,,,,08409d8d-1637-433f-b0fb-6d68ce9f36a8,114,,"[2.4, 74.3]",267670,2,,,,,-0.21888906,,Right Foot,,,,"[50.5, 63.6]",,High Pass,,49.275753,,Incomplete,,,,,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,6,Barcelona,217,['bfc84f22-c65a-4d6c-9abd-91d841ae58cf'],10,,,,,,,,,,,,,,,,Barcelona,217,00:02:10.985,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.1369,,,,,,,,,,,,,bfc84f22-c65a-4d6c-9abd-91d841ae58cf,115,,"[69.6, 16.5]",267670,2,,,,,0.7587378,,Head,,,,"[77.3, 23.8]",,Low Pass,,10.610373,,,,Jonas Martin,2950.0,,,,,,Recovery,1,Regular Play,Petros Matheus dos Santos Araújo,27346.0,Center Defensive Midfield,7,Real Betis,218,"['08409d8d-1637-433f-b0fb-6d68ce9f36a8', '19102950-c95b-46e2-b4c2-54088f62264d']",14,,,,,,,,,,,,,,,,Real Betis,218,00:02:14.430,Pass,,2016/2017
,,,,,,,,,,,,,,,,2.16595,,,,,,,,,,,,,3b3b5d75-216c-4e6f-8a08-3bb4cb3b44a0,118,,"[77.3, 23.8]",267670,2,,,,,-3.113029,,Right Foot,,,,"[56.3, 23.2]",,High Pass,,21.00857,,,,Aïssa Mandi,6648.0,,,,,,,1,Regular Play,Jonas Martin,2950.0,Right Center Midfield,7,Real Betis,218,['a79bcb5f-bd96-4e91-b30d-4aa723741f91'],15,,,,,,,,,,,,,,,,Real Betis,218,00:02:15.580,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.2964,,,,,,,,,,,,,71bdb9ad-749e-49fb-8351-99ec78d2b5f4,121,,"[56.3, 23.2]",267670,2,,,,,-0.31531978,,Right Foot,,,,"[75.0, 17.1]",,High Pass,,19.669773,,Incomplete,,Felipe Alejandro Gutiérrez Leiva,12789.0,,,,,,,1,Regular Play,Aïssa Mandi,6648.0,Center Back,7,Real Betis,218,"['7be0cc06-d4a2-4861-a0d3-e85e6c2a4158', 'ed0d08db-f83d-4864-86f3-afd16526e22e']",17,,,,,,,,,,,,,,,,Real Betis,218,00:02:17.790,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.696763,,,,,,,,,,,,,19877ffd-9fee-4332-b40d-313f07ece9ba,126,,"[49.5, 61.1]",267670,2,,,,,-1.2319325,,Right Foot,,,,"[58.1, 36.7]",,Low Pass,,25.87122,,,,Denis Suárez Fernández,6609.0,,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,8,Barcelona,217,"['552dd754-d172-483c-886d-d8558d921dd8', '6c827cab-2c40-47dc-b844-64841e1e1537']",20,,,,,,,,,,,,,,,,Barcelona,217,00:02:20.107,Pass,True,2016/2017
,,,,,,,,,,,,,,,,1.656027,,,,,,,,,,,,,f05150c0-d713-4b6a-906f-35b38857e43d,129,,"[64.2, 36.3]",267670,2,,,,,-0.7415239,,Right Foot,,,,"[85.6, 16.7]",,Low Pass,,29.019304,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,Regular Play,Denis Suárez Fernández,6609.0,Left Center Midfield,8,Barcelona,217,['d76f805d-e602-48ca-8fd0-8b655561a31d'],22,,,,,,,,,,,,,,,,Barcelona,217,00:02:22.859,Pass,,2016/2017
