ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.8087,,,,,,,,,,,,,,bc7c2b4b-eb33-464a-8832-66df16ff2af6,43,,"[37.8, 42.0]",266952,0,,,,0.81835324,,Head,,,,"[51.0, 56.1]",,High Pass,19.314503,,,,Jonathan dos Santos Ramírez,6357.0,,,,,Recovery,1,From Throw In,Álvaro González Soberón,6762.0,Left Center Back,3,Villarreal,222,"['5ee2cf20-de31-4d3d-83e1-cf2fa402f13e', 'f12bd56f-c2f2-434a-89e5-afa84f1441d4']",48,,,,,,,,,,,,,,,,,Villarreal,222,00:00:48.966,Pass,,2016/2017
,,,,,,,,,,,,,,,1.397481,,,,,,,,,,,,,,4bc2fef3-4e71-4b48-a3f7-8c9abb560fcd,45,,"[51.0, 56.1]",266952,0,,,,2.53861,,Left Foot,,,,"[32.7, 68.7]",,High Pass,22.218235,,,,Mario Gaspar Pérez Martínez,6772.0,,,,,,1,From Throw In,Jonathan dos Santos Ramírez,6357.0,Right Midfield,3,Villarreal,222,['7fb0970c-3b86-4f5b-8769-82f8c792507e'],50,,,,,,,,,,,,,,,,,Villarreal,222,00:00:50.774,Pass,,2016/2017
,,,,,,,,,,,,,,,0.8604,,,,,,,,,,,,,,94dc12b7-9e0d-4594-b61b-226511aaed2f,48,,"[30.7, 75.6]",266952,0,,,,0.15210079,,Right Foot,,,,"[44.4, 77.7]",,Ground Pass,13.860014,,,,Jonathan dos Santos Ramírez,6357.0,,,,,,1,From Throw In,Mario Gaspar Pérez Martínez,6772.0,Right Back,3,Villarreal,222,['c79f71bb-6b0f-4384-b323-67bc5388d21f'],53,,,,,,,,,,,,,,,,,Villarreal,222,00:00:53.675,Pass,,2016/2017
,,,,,,,,,,,,,,,1.4075,,,,,,,,,,,,,,da030f41-f134-4eb0-92d3-36a1c30d5c59,54,,"[33.6, 80.0]",266952,1,,,,-0.2065907,,,,,,"[50.3, 76.5]",,High Pass,17.062824,,Incomplete,,Cédric Bakambu,6862.0,,,,,Throw-in,1,From Throw In,Mario Gaspar Pérez Martínez,6772.0,Right Back,4,Villarreal,222,"['45f9f11a-e0eb-41c7-a06f-37a2bab130d6', 'cae97a64-80ed-4e73-8049-a5a82ed76d25']",7,,,,,,,,,,,,,,,,,Villarreal,222,00:01:07.047,Pass,,2016/2017
,,,,,,,,,,,,,,,1.7118,,,,,,,,,,,,,,45f9f11a-e0eb-41c7-a06f-37a2bab130d6,56,,"[69.8, 3.6]",266952,1,,,,2.0626056,,Head,,,,"[65.3, 12.0]",,High Pass,9.5294285,,,,Sergio Busquets i Burgos,5203.0,,,,,Recovery,1,Regular Play,Lucas Digne,6849.0,Left Back,5,Barcelona,217,"['33ad8772-2d12-40ad-893a-452f095a25a0', 'da030f41-f134-4eb0-92d3-36a1c30d5c59']",8,,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.455,Pass,,2016/2017
,,,,,,,,,,,,,,,0.9523,,,,,,,,,,,,,,09e421b6-af6d-40cd-bd49-35d489e9be50,59,,"[65.7, 15.6]",266952,1,,,,0.67474097,,Other,,,,"[69.7, 18.8]",,High Pass,5.1224995,,,,Ivan Rakitić,5470.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Barcelona,217,['cc28ff34-80b7-4211-af15-cdb6a7b2a82b'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:01:10.207,Pass,,2016/2017
,,,,,,,,,,,,,,,2.672015,,,,,,,,,,,,,,2a9e0a06-c6d1-4b4d-a9c1-e225341100e2,62,,"[69.7, 18.8]",266952,1,,,,-0.778988,,Left Foot,,,,"[85.4, 3.3]",,Low Pass,22.062185,,Incomplete,,Neymar da Silva Santos Junior,4320.0,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,5,Barcelona,217,"['e0c7a119-fbaf-4c8f-a3ab-0d1599a1b3a6', 'fd375144-d659-4e5b-a742-28b7305d628c']",11,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.221,Pass,,2016/2017
,,,,,,,,,,,,,,,0.765583,,,,,,,,,,,,,,96549437-6e2b-4b14-90b0-1d7834e981b5,65,,"[89.0, 0.1]",266952,1,True,,,2.1013541,,,,,,"[84.6, 7.6]",,Low Pass,8.695401,,,,Andrés Iniesta Luján,5216.0,,,,,Throw-in,1,From Throw In,Lucas Digne,6849.0,Left Back,6,Barcelona,217,['cad77cbd-8555-4095-8289-8eaa72b124b0'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:01:18.362,Pass,,2016/2017
,,,,,,,,,,,,,,,0.903805,,,,,,,,,,,,,,d2067211-cb76-4a68-9955-81c96a1550b2,67,,"[85.6, 8.0]",266952,1,True,,,-1.2560387,,Left Foot,,,,"[87.0, 3.7]",,High Pass,4.5221677,,,,Lucas Digne,6849.0,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Left Center Midfield,6,Barcelona,217,['841d83c9-f82f-4936-9730-c4bcf6d5f2be'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:01:19.289,Pass,,2016/2017
,,,,,,,,,,,,,,,1.404424,,,,,,,,,,,,,,5b86ff55-6ee1-47c0-b4f6-e6b3f0414d13,69,,"[87.6, 3.8]",266952,1,,,,-3.0944579,,Right Foot,,,,"[66.4, 2.8]",,Ground Pass,21.223572,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Throw In,Lucas Digne,6849.0,Left Back,6,Barcelona,217,['ce041330-8e6e-46b5-b647-0d704ec1c677'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:01:20.951,Pass,,2016/2017
