bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.9786,,,,,,,,,,,,,,897f09a0-a27f-44f5-a74a-2ca4ba54dbf3,15,,"[41.9, 55.4]",69176,0,,,,,0.6378301,,Head,,,"[50.4, 61.7]",,Low Pass,,10.58017,,,,Xavier Hernández Creus,20131.0,,,,,,Recovery,1,From Kick Off,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,2,Atlético Madrid,212,"['816aa8b1-8a9b-414e-93b4-3a3ff923ccbb', '85be512b-b96d-4c84-94c1-e6bfd18bd0a7']",11,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.644,Pass,,2006/2007
,,,,,,,,,,,,,,1.953337,,,,,,,,,,,,,,887ab9d5-9d80-4444-8372-afa3d1d363eb,17,,"[50.4, 61.7]",69176,0,,,,,-0.3453901,,Right Foot,,,"[71.8, 54.0]",,High Pass,,22.743132,,Incomplete,,,,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Left Center Midfield,2,Atlético Madrid,212,['7595d589-3a98-43c0-9fe0-7bf14a3e783b'],12,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.623,Pass,,2006/2007
,,,,,,,,,,,,,,1.146931,,,,,,,,,,,,,,002f99b4-5e86-49ed-9dfc-b2572f483da4,21,,"[43.9, 29.9]",69176,0,,,,,1.4808145,,Right Foot,,,"[45.1, 43.2]",,Ground Pass,,13.354026,,,,Nuno Ricardo de Oliveira Ribeiro,19760.0,,,,,,,1,From Kick Off,Peter Luccin,26123.0,Right Center Midfield,2,Atlético Madrid,212,['b9cfa5a4-6cdf-4ac7-9851-7591b5e1c773'],17,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:17.549,Pass,,2006/2007
,,,,,,,,,,,,,,0.920547,,,,,,,,,,,,,,d9e26f16-6e95-4221-a929-d541327100b0,24,,"[45.1, 43.2]",69176,0,,,,,2.8526173,,Right Foot,,,"[34.0, 46.5]",,Ground Pass,,11.580155,,,,José Eduardo Rosa Vale de Castro,26222.0,,,,,,,1,From Kick Off,Nuno Ricardo de Oliveira Ribeiro,19760.0,Left Center Midfield,2,Atlético Madrid,212,['d208d84f-6da4-4603-932b-fed9a2d627a5'],18,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:18.863,Pass,,2006/2007
,,,,,,,,,,,,,,1.4081,,,,,,,,,,,,,,4f0c6831-62b7-4e24-a7e3-3395fc44f43f,27,,"[34.0, 46.5]",69176,0,,,,,0.044491168,,Right Foot,,,"[63.2, 47.8]",,Low Pass,,29.228924,,,,José Manuel Jurado Marín,6870.0,,,,,,,1,From Kick Off,José Eduardo Rosa Vale de Castro,26222.0,Right Center Back,2,Atlético Madrid,212,['95c68ced-adf4-4062-88de-0950d0b110ce'],19,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:19.901,Pass,,2006/2007
,,,,,,,,,,,,,,1.2567,,,,,,,,,,,,,,6e94105f-e023-4337-8a20-8511d7b61e08,30,,"[63.2, 47.8]",69176,0,,,,,2.2142975,,Right Foot,,,"[55.4, 58.2]",,Low Pass,,13.0,,Incomplete,,Nuno Ricardo de Oliveira Ribeiro,19760.0,,,,,,,1,From Kick Off,José Manuel Jurado Marín,6870.0,Center Attacking Midfield,2,Atlético Madrid,212,"['8005b911-b681-4e5c-8638-f25952f05c5b', '8aa2def3-7946-4478-b107-3bcbd9ca02b5']",21,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:21.312,Pass,,2006/2007
,,,,,,,,,,,,,,1.4286,,,,,,,,,,,,,,8aa2def3-7946-4478-b107-3bcbd9ca02b5,32,,"[65.6, 22.8]",69176,0,,,,,2.6197584,,Right Foot,,,"[57.6, 27.4]",,Low Pass,,9.228217,,,,Xavier Hernández Creus,20131.0,,,,,,Recovery,1,Regular Play,Ronaldo de Assis Moreira,25879.0,Left Wing,3,Barcelona,217,"['5b2399fa-dbd4-4a3a-9dfb-c8a3ba4ce1cf', '6e94105f-e023-4337-8a20-8511d7b61e08']",22,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.568,Pass,,2006/2007
,,,,,,,,,,,,,,0.6921,,,,,,,,,,,,,,6cd20782-aaab-4830-a31d-93bd6e38e0dc,35,,"[57.6, 27.4]",69176,0,,,,True,-0.22471116,,,,,"[64.6, 25.8]",,Low Pass,,7.180529,,,,Ronaldo de Assis Moreira,25879.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,3,Barcelona,217,"['426403f0-d4ff-46b4-a492-60835d0b77fa', '7cd66b4b-dade-40ef-a2e4-089729bee343']",23,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.997,Pass,True,2006/2007
,,,,,,,,,,,,,,1.08,,,,,,,,,,,,,,48814666-910b-4421-afa1-6ef0e8386dd8,37,,"[64.6, 25.8]",69176,0,,,,,1.963557,,Right Foot,,,"[61.7, 32.8]",,Low Pass,,7.5769386,,,,Anderson Luís de Souza,19757.0,,,,,,,1,Regular Play,Ronaldo de Assis Moreira,25879.0,Left Wing,3,Barcelona,217,['f88d7656-72a7-4ba5-bf64-9a5f710349c4'],24,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.689,Pass,,2006/2007
,,,,,,,,,,,,,,1.1084,,,,,,,,,,,,,,07bb8f76-9b46-457e-9ea6-e8379b29f05c,39,,"[62.5, 32.8]",69176,0,,,,,-0.8530912,,Right Foot,,,"[68.0, 26.5]",,Low Pass,,8.363014,,Incomplete,,Ronaldo de Assis Moreira,25879.0,,,,,,,1,Regular Play,Anderson Luís de Souza,19757.0,Right Center Midfield,3,Barcelona,217,"['c8b1eb3f-3b54-4f95-9e0b-5078ee3ae9eb', 'ef00eb30-1673-4176-925f-ded49f4f3b38']",25,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.769,Pass,,2006/2007
,,,,,,,,,,,,,,0.789576,,,,,,,,,,,,,,8e42f697-8563-4a47-9f7a-b8733937ded6,43,,"[52.0, 50.6]",69176,0,,,,,0.56192154,,Right Foot,,,"[57.4, 54.0]",,Ground Pass,,6.3812222,,,,José Manuel Jurado Marín,6870.0,,,,,,,1,Regular Play,Nuno Ricardo de Oliveira Ribeiro,19760.0,Left Center Midfield,4,Atlético Madrid,212,['b2ae08be-8522-4a90-8418-82eb8fb46ecf'],27,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:27.502,Pass,,2006/2007
,,,,,,,,,,,,,,0.581968,,,,,,,,,,,,,,f4a936d6-ca6b-4650-aeb4-3358a87acda7,47,,"[58.5, 54.1]",69176,0,,,,,-2.863293,,Right Foot,,,"[55.0, 53.1]",,Ground Pass,,3.640055,,,,Nuno Ricardo de Oliveira Ribeiro,19760.0,,,,,,,1,Regular Play,José Manuel Jurado Marín,6870.0,Center Attacking Midfield,4,Atlético Madrid,212,"['4970c22e-b17f-4d93-bc3b-d16716b29128', 'f7763e1b-6253-478e-8c65-1cdfe9222846']",28,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:28.848,Pass,True,2006/2007
,,,,,,,,,,,,,,1.490725,,,,,,,,,,,,,,4fdbe90d-0f00-4ea3-a16d-0c6afb90e84d,50,,"[52.5, 53.5]",69176,0,,,,,2.3971553,,Right Foot,,,"[39.8, 65.2]",,Ground Pass,,17.267889,,,,Giorgios Seitaridis,19767.0,,,,,,,1,Regular Play,Nuno Ricardo de Oliveira Ribeiro,19760.0,Left Center Midfield,4,Atlético Madrid,212,['1c10c4a4-a084-423e-8855-e6a8895fd23b'],30,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:30.062,Pass,,2006/2007
,,,,,,,,,,,,,,1.200543,,,,,,,,,,,,,,96447526-5d94-4b04-a86a-03a5dc0b62a7,53,,"[39.8, 65.2]",69176,0,,,,,-2.0260172,,Right Foot,,,"[32.8, 50.9]",,Ground Pass,,15.92137,,,,José Eduardo Rosa Vale de Castro,26222.0,,,,,,,1,Regular Play,Giorgios Seitaridis,19767.0,Right Back,4,Atlético Madrid,212,['0529043f-d362-40c0-98d2-b911355be6c8'],31,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:31.593,Pass,,2006/2007
,,,,,,,,,,,,,,2.177798,,,,,,,,,,,,,,89003f73-a511-42f5-a750-32bc50fd0c47,56,,"[36.1, 49.5]",69176,0,,,,,-2.2480466,,Right Foot,,,"[20.5, 30.1]",,Low Pass,,24.894176,,,,Fabiano Eler dos Santos,26392.0,,,,,,,1,Regular Play,José Eduardo Rosa Vale de Castro,26222.0,Right Center Back,4,Atlético Madrid,212,['e40ae444-96d3-4efe-8ea6-a414ebbf7292'],36,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:36.174,Pass,,2006/2007
,,,,,,,,,,,,,,1.505118,,,,,,,,,,,,,,292215e5-8ebc-4cd4-b1ac-570484a9db1a,59,,"[20.2, 24.9]",69176,0,,,,,-0.9438226,,Left Foot,,,"[34.4, 5.3]",,Ground Pass,,24.203306,,,,Antonio López Guerrero,26118.0,,,,,,,1,Regular Play,Fabiano Eler dos Santos,26392.0,Left Center Back,4,Atlético Madrid,212,['4158b5ad-9a89-479f-a561-516af2175614'],39,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:39.736,Pass,,2006/2007
,,,,,,,,,,,,,,7.522449,,,,,,,,,,,,,,8c9061c7-1c96-4763-bf4c-d54a2d70d92c,62,,"[35.1, 3.3]",69176,0,,,,,0.041396454,,Left Foot,,,"[119.6, 6.8]",,High Pass,,84.57246,,Out,,Martin Petrov,19888.0,,,,,,,1,Regular Play,Antonio López Guerrero,26118.0,Left Back,4,Atlético Madrid,212,['8757fafc-de2f-4e7f-bd13-ab50a7b75e5b'],42,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:42.528,Pass,,2006/2007
,,,,,,,,,,,,,,3.412599,,,,,,,,,,,,,,a8b51768-7319-4f21-bd8c-9b2ff13d50d4,64,,"[7.0, 45.0]",69176,1,,,,,-0.49752384,,Right Foot,,,"[80.1, 5.3]",,High Pass,,83.18473,,,,Ronaldo de Assis Moreira,25879.0,,,,,,Goal Kick,1,From Goal Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,5,Barcelona,217,['32918fb3-05fa-47ec-b54e-32a168fe9cb5'],14,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:14.116,Pass,,2006/2007
,,,,,,,,,,,,,,1.595159,,,,,,,,,,,,,,d2300562-3591-449c-b1db-5932c665525e,68,,"[42.9, 80.0]",69176,1,,,,,-0.74481136,,,,,"[63.4, 61.1]",,High Pass,,27.882969,,,,Fernando José Torres Sanz,6382.0,,,,,,Throw-in,1,From Throw In,Giorgios Seitaridis,19767.0,Right Back,6,Atlético Madrid,212,['84fcfd42-06cd-42b6-800e-c0694b2b8952'],23,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:01:23.799,Pass,,2006/2007
,,,,,,,,,,,,,,0.573984,,,,,,,,,,,,,,a2e90122-5b20-441e-8ca2-35b93dc3c907,72,,"[66.8, 56.0]",69176,1,,,,,-1.092444,,Right Foot,,,"[69.6, 50.6]",,Ground Pass,,6.0827627,,Incomplete,,José Manuel Jurado Marín,6870.0,,,,,,,1,From Throw In,Fernando José Torres Sanz,6382.0,Center Forward,6,Atlético Madrid,212,"['040c543c-edb0-4be0-9723-2dcf46b79561', 'b0cdc881-a51f-4368-9307-f58f7c0f25c1']",28,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:01:28.441,Pass,,2006/2007
,,,,,,,,,,,,,,1.2362,,,,,,,,,,,,,,763bc9b9-8682-4e93-b552-d4a590235080,75,,"[44.4, 35.6]",69176,1,,,,,2.4370985,,Right Foot,,,"[36.4, 42.4]",,Ground Pass,,10.499524,,,,Lilian Thuram,15071.0,,,,,,Recovery,1,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,7,Barcelona,217,['9b04200a-e4cf-480e-9f6a-746d713b90e2'],30,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:30.316,Pass,,2006/2007
,,,,,,,,,,,,,,1.432977,,,,,,,,,,,,,,4d28020c-237a-4cdf-b625-f68db463b70a,79,,"[35.7, 47.0]",69176,1,,,,,0.2947301,,Right Foot,,,"[63.7, 55.5]",,Low Pass,,29.26175,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Lilian Thuram,15071.0,Right Center Back,7,Barcelona,217,['2e98de00-50f0-404f-a661-70232f01c504'],31,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:31.811,Pass,,2006/2007
,,,,,,,,,,,,,,1.608807,,,,,,,,,,,,,,ef9c0f4c-0e7a-4a67-b60d-ac36299ce600,82,,"[44.3, 25.6]",69176,1,,,,,-0.8919696,,Left Foot,,,"[53.9, 13.7]",,Ground Pass,,15.289539,,,,Nuno Ricardo de Oliveira Ribeiro,19760.0,,,,,,Recovery,1,Regular Play,Fabiano Eler dos Santos,26392.0,Left Center Back,8,Atlético Madrid,212,['a42a4086-a1ac-495a-8fce-8fe0f9bcd89f'],34,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:01:34.912,Pass,,2006/2007
,,,,,,,,,,,,,,1.128827,,,,,,,,,,,,,,632e0513-72c1-46e8-840e-d43e0878496c,85,,"[43.3, 12.3]",69176,1,,,,,2.1819787,,Right Foot,,,"[33.0, 27.0]",,Ground Pass,,17.949373,,,,Fabiano Eler dos Santos,26392.0,,,,,,,1,Regular Play,Nuno Ricardo de Oliveira Ribeiro,19760.0,Left Center Midfield,8,Atlético Madrid,212,['168a411a-9fb2-4392-972b-891e58cec4eb'],37,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:01:37.981,Pass,,2006/2007
,,,,,,,,,,,,,,0.9176,,,,,,,,,,,,,,57131e66-4046-40ac-9c86-4d5295d4b3f2,91,,"[120.0, 80.0]",69176,2,,,,,-1.8009124,,Right Foot,,,"[113.3, 51.4]",,High Pass,True,29.374308,,Incomplete,,,,,,,Inswinging,,Corner,1,From Corner,Xavier Hernández Creus,20131.0,Left Center Midfield,9,Barcelona,217,['79bc33de-bc4d-4851-aba3-f8cf762e520e'],4,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:04.373,Pass,,2006/2007
,,,,,,,,,,,,,,2.025221,,,,,,,,,,,,,,341c4eda-1ec0-4b7e-8fca-e03cd4fd3fa2,93,,"[83.0, 40.0]",69176,2,,,,,-0.94139045,,Left Foot,,,"[97.2, 20.5]",,Ground Pass,,24.122396,,,,Ronaldo de Assis Moreira,25879.0,,,,,,Recovery,1,From Corner,Giovanni van Bronckhorst,17797.0,Left Back,9,Barcelona,217,['d09e55e3-deaa-4d26-86a2-e22b18e13ffd'],8,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:08.200,Pass,,2006/2007
,,,,,,,,,,,,,,0.2637,,,,,,,,,,,,,,c20f1b2a-de58-4f31-a747-a76a5b804b32,97,,"[118.2, 21.6]",69176,2,,,,,1.5707964,,Left Foot,,,"[118.2, 24.7]",,Low Pass,,3.1,,Incomplete,,,,,,,,,,1,From Corner,Ronaldo de Assis Moreira,25879.0,Left Wing,9,Barcelona,217,"['c447632a-b64d-4b9a-99d5-2c1c2b7ef28d', 'df7358e3-0e2a-43aa-baf9-d9690fe738a0']",14,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:14.892,Pass,True,2006/2007
,,,,,,,,,,,,,,1.9806,,,,,,,,,,,,,,ba0dd5de-47a1-4d42-adb8-cb5afe8d894d,99,,"[120.0, 1.0]",69176,2,,,,,1.7275193,,Left Foot,,,"[113.3, 43.4]",,High Pass,,42.926098,,Incomplete,True,,,,,True,Outswinging,,Corner,1,From Corner,Giovanni van Bronckhorst,17797.0,Left Back,10,Barcelona,217,['ea7e0808-98bd-47d1-a0ed-c32e6bc371f2'],34,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:34.742,Pass,,2006/2007
,,,,,,,,,,,,,,1.7513,,,,,,,,,,,,,,ec83794b-a249-4a42-b4df-e6308e945a21,106,,"[35.4, 31.5]",69176,2,,,,,1.3471937,,Right Foot,,,"[43.2, 65.8]",,Low Pass,,35.1757,,,,Gianluca Zambrotta,15774.0,,,,,,,1,From Corner,Lilian Thuram,15071.0,Right Center Back,10,Barcelona,217,"['75e1797e-0e27-4372-82b4-360988fedeb3', '9251d580-6edd-41fc-92d4-ae9627dca025']",45,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:45.770,Pass,True,2006/2007
,,,,,,,,,,,,,,1.1029,,,,,,,,,,,,,,2cc9047e-52cf-4cfb-bd82-f55ce139737b,109,,"[45.3, 67.0]",69176,2,,,,,-0.55777425,,Right Foot,,,"[56.2, 60.2]",,Ground Pass,,12.847178,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Corner,Gianluca Zambrotta,15774.0,Right Back,10,Barcelona,217,['f67013e3-dab3-4d06-bafb-e59d37c32dcd'],49,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:49.257,Pass,,2006/2007
