bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,3.12275,,,,,,,,,,,,,,,,41f08baa-a11f-45f5-a4f7-4ae3df3ded64,49,,"[35.4, 73.3]",69170,0,,,,,-1.6061246,,Left Foot,,,,"[33.7, 25.2]",,High Pass,,48.13003,,,,Gabriel Alejandro Milito,25919.0,,True,,,,1,From Kick Off,Gianluca Zambrotta,15774.0,Right Back,2,Barcelona,217,['928f3a98-38f0-4bc4-93e5-2d825a65ab58'],37,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.706,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.099978,,,,,,,,,,,,,,,,a2d2c7fd-d187-47c4-b0ea-8a699722e816,52,,"[34.6, 16.7]",69170,0,,,,,0.518423,,Left Foot,,,,"[49.5, 25.2]",,Ground Pass,,17.154009,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Gabriel Alejandro Milito,25919.0,Left Center Back,2,Barcelona,217,['e3de0c0b-d122-4711-b8a8-21f6bad7ecda'],43,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.814,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.649296,,,,,,,,,,,,,,,,b7e29997-fd76-4c06-952d-fdbdf6c6cf4c,56,,"[56.1, 53.9]",69170,0,,,,,1.4735432,,Right Foot,,,,"[56.9, 62.1]",,Ground Pass,,8.238932,,,,Antonio Tomás González,26064.0,,,,,Recovery,1,Regular Play,Julián de Guzmán,26214.0,Left Center Midfield,3,RC Deportivo La Coruña,219,['dac093eb-ee50-4ff0-8e59-a3dbee955ba6'],47,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:47.090,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.708525,,,,,,,,,,,,,,,,41e22988-49d7-4b8f-a9b7-1e612fc23ecd,60,,"[55.7, 62.1]",69170,0,,,,,3.1415927,,Right Foot,,,,"[34.9, 62.1]",,Ground Pass,,20.8,,,,Adrián López Rodríguez,26218.0,,,,,,1,Regular Play,Antonio Tomás González,26064.0,Right Center Midfield,3,RC Deportivo La Coruña,219,"['331f6de3-4063-437d-aa23-6c6c800330e0', 'f2eb5c88-e3fb-4f1a-aa3d-8317fd15c1c4']",48,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:48.559,Pass,True,2007/2008
,,,,,,,,,,,,,,,,,4.217035,,,,,,,,,,,,,,,,0c68653a-8f88-4301-a57e-093a7e235515,64,,"[35.7, 66.7]",69170,0,,,,,-0.21187146,,Right Foot,,,,"[105.9, 51.6]",,High Pass,,71.80564,,Incomplete,,Francisco Jiménez Tejada,23929.0,,,,,,1,Regular Play,Adrián López Rodríguez,26218.0,Right Center Back,3,RC Deportivo La Coruña,219,"['50064b31-4838-46bf-a21f-a1be6861b7ce', '895f552e-03f5-4163-bb6b-b95abbe53a23']",51,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:51.465,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.705661,,,,,,,,,,,,,,,,9979e45b-6631-45ec-97ba-b1a62d8ed1c6,68,,"[12.7, 36.7]",69170,0,,,,,0.9870794,,Right Foot,,,,"[23.4, 52.9]",,Ground Pass,,19.414684,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,4,Barcelona,217,['09a769df-5489-4897-ad80-8bba7eee8a2c'],57,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.438,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.34997,,,,,,,,,,,,,,,,ba8f49be-abad-4e21-bdf2-083a28869196,71,,"[28.7, 51.4]",69170,1,,,,,0.609276,,Right Foot,,,,"[42.6, 61.1]",,Ground Pass,,16.949926,,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,4,Barcelona,217,['986f73c0-66c4-40d6-a35a-eb1e34bc6e37'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:02.605,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.247264,,,,,,,,,,,,,,,,0ad2da03-dcc2-4870-b299-2b2f55f3b128,74,,"[43.4, 63.8]",69170,1,,,,,0.8039834,,Right Foot,,,,"[56.6, 77.5]",,Ground Pass,,19.024458,,,,Gianluca Zambrotta,15774.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,4,Barcelona,217,['36200901-dcc9-4f19-adfe-477e64d1561f'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.792,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.055025,,,,,,,,,,,,,,,,8aed429f-e594-4778-895e-c5312e1a4e44,77,,"[57.5, 73.9]",69170,1,,,,,-2.3561945,,Right Foot,,,,"[49.9, 66.3]",,Ground Pass,,10.748023,,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Gianluca Zambrotta,15774.0,Right Back,4,Barcelona,217,['650104f2-6099-4cfb-a4ee-96770df59be8'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.412,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.284508,,,,,,,,,,,,,,,,f4170614-c17c-4f59-a656-bb44e7ce6a30,80,,"[49.1, 65.5]",69170,1,,,,,-2.3159478,,Right Foot,,,,"[34.8, 50.0]",,Ground Pass,,21.08886,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,4,Barcelona,217,['fcc83058-48ca-4267-ad69-74d5c6e69413'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:10.177,Pass,,2007/2008
