ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,3.525042,,,,,,,,,,,,,,,,a4b41592-bd60-431b-84ea-a73576adea7d,59,,"[120.7, 56.1]",69158,0,,,,,-2.497208,,Right Foot,,,"[84.5, 28.9]",High Pass,,45.280018,,,Incomplete,,Felipe Melo de Carvalho,25430.0,,,,,,,1,Regular Play,Bruno Saltor Grau,3095.0,Right Back,3,Barcelona,217,"['0e2274ca-f811-4e80-b3f8-8faa85dc528c', '481a5c9a-e547-4548-b9ad-e723d6e42662']",48,,,,,,,,,,,,,,,,,,Almería,403,00:00:48.709,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.2848,,,,,,,,,,,,,,,,1a217e9a-0d0e-46f4-9da7-b7ed61abfc40,65,,"[65.3, 33.3]",69158,1,,True,,,-1.2774293,,Right Foot,,,"[68.2, 23.7]",Ground Pass,,10.02846,,,,,Xavier Hernández Creus,20131.0,,,,,,Free Kick,1,From Free Kick,Andrés Iniesta Luján,5216.0,Right Center Midfield,4,Barcelona,217,['bf7b99d5-442c-4927-a068-4921cc2ebea0'],23,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.496,Pass,,2007/2008
,,,,,,,,,,,,,,,,0.6861,,,,,,,,,,,,,,,,b719d3cb-c352-4cd0-8e09-a4d8668173b6,67,,"[68.0, 24.1]",69158,1,,True,,,1.0656296,,Right Foot,,,"[75.3, 37.3]",Ground Pass,,15.084098,,,,,Gnégnéri Yaya Touré,3087.0,,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Left Center Midfield,4,Barcelona,217,['35394499-e22d-4fe1-b9cf-6ecc033f2da7'],25,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:25.284,Pass,,2007/2008
,,,,,,,,,,,,,,,,0.718046,,,,,,,,,,,,,,,,4d46b6f6-63d4-461b-a157-0d1c8a6ec418,71,,"[75.1, 37.3]",69158,1,,,,,-2.1185362,,Right Foot,,,"[69.0, 27.3]",Ground Pass,,11.713667,,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Free Kick,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,4,Barcelona,217,"['af6ac29e-e9b8-45ce-b025-5fc80d75b800', 'fd19aff3-15ff-4189-b2f6-159ae9c4684f']",25,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:25.975,Pass,True,2007/2008
,,,,,,,,,,,,,,,,1.281568,,,,,,,,,,,,,,,,e6ea92d4-88f7-409c-8d4f-6bae31f007c5,74,,"[77.0, 22.4]",69158,1,,,,,-1.7947009,,Right Foot,,,"[72.4, 2.2]",Ground Pass,,20.717142,,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Left Center Midfield,4,Barcelona,217,['7804d97f-418f-4f48-8fad-8e77bfe4fee9'],28,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:28.106,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.695811,,,,,,,,,,,,,,,,75393416-b6c9-4841-8dc4-c7e344ea7955,78,,"[73.2, 2.9]",69158,1,,,,,2.425154,,Left Foot,,,"[55.4, 18.4]",Ground Pass,,23.602755,,,,,Gabriel Alejandro Milito,25919.0,,,,,,,1,From Free Kick,Eric-Sylvain Bilal Abidal,20177.0,Left Back,4,Barcelona,217,['84d782ad-1fa4-4779-ba12-8a8d3eabbd50'],30,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:30.159,Pass,,2007/2008
,,,,,,,,,,,,,,,,0.5843,,,,,,,,,,,,,,,,3e23585d-b9a8-41be-8438-32cff1158d7e,81,,"[69.0, 7.3]",69158,1,,,,,-1.4523064,,Left Foot,,,"[69.5, 3.1]",Ground Pass,,4.229657,,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,From Free Kick,Gabriel Alejandro Milito,25919.0,Left Center Back,4,Barcelona,217,['6c8779dd-de9c-43b7-893d-c44ae4fbf01f'],35,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:35.059,Pass,,2007/2008
,,,,,,,,,,,,,,,,5.8908,,,,,,,,,,,,,,,,7b393b9d-5082-447b-ac8c-e1cd0ea772b4,85,,"[69.7, 2.0]",69158,1,,,,,3.0393386,,Left Foot,,,"[16.1, 7.5]",Low Pass,,53.881443,,,,,Víctor Valdés Arribas,20176.0,,,,,,,1,From Free Kick,Eric-Sylvain Bilal Abidal,20177.0,Left Back,4,Barcelona,217,['150d101f-01eb-4088-a441-d6ff0e01a617'],35,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:35.723,Pass,,2007/2008
,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,38dff4cd-bf97-4112-80ea-95479eefb70d,88,,"[15.9, 13.2]",69158,1,,,,,0.9971297,,Right Foot,,,"[24.3, 26.2]",Ground Pass,,15.477726,,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Free Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,4,Barcelona,217,['6e490bcd-9ee0-4a43-a1f7-31dc15441983'],42,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:42.428,Pass,,2007/2008
,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,b8e9181e-4aa3-4ac0-ae5f-2a9a3ffad7a5,91,,"[26.8, 28.1]",69158,1,,,,,-0.62158996,,Right Foot,,,"[40.9, 18.0]",Ground Pass,,17.344164,,,,,Gabriel Alejandro Milito,25919.0,,,,,,,1,From Free Kick,Carles Puyol i Saforcada,20125.0,Right Center Back,4,Barcelona,217,['ac61292a-b22b-4f3c-bf2f-9055d917fa74'],46,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:46.246,Pass,,2007/2008
