50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,3.4897,,,,,,,,,,,,,,d3210b72-2c90-45c3-aeeb-91e1b60daf48,49,,"[51.8, 76.2]",69270,0,,,,,-0.9013968,,Right Foot,,,"[77.2, 44.1]",,High Pass,,40.933727,,Incomplete,,Nicolás Ladislao Fedor Flores,26685.0,,,,,Recovery,1,Regular Play,Pablo César Pintos Cabral,26722.0,Right Back,4,Barcelona,217,"['4774374e-9231-46f3-9780-9cb3a8a084e1', '7587cd0c-d574-4f1b-b03e-e96a05507837']",42,,,,,,,,,,,,,,,,,,Getafe,216,00:00:42.503,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.1643,,,,,,,,,,,,,,ddfdcf31-7de8-4cce-9d0d-8dea191c317f,53,,"[42.8, 31.7]",69270,0,,,,True,-1.048962,,,,,"[47.4, 23.7]",,High Pass,,9.228217,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,4,Barcelona,217,"['2ff03334-143f-49bf-89b7-88d0cb783e2d', '993907a1-3bb4-4ba7-bbd2-fc47fe4e775c']",47,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.379,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,0.0746,,,,,,,,,,,,,,13b3b723-1ab7-425b-9e78-c2a21f12757d,57,,"[47.8, 24.5]",69270,0,,,,,0.6365082,,Right Foot,,,"[50.1, 26.2]",,Low Pass,,2.86007,,Incomplete,,,,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,4,Barcelona,217,['ec149f77-ed4e-4c85-a025-5ace32f0e865'],48,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.569,Pass,,2010/2011
,,,,,,,,,,,,,,,,,0.7214,,,,,,,,,,,,,,e1ceb777-8a71-43de-95c3-8871e951f348,59,,"[36.3, 26.2]",69270,0,,,,,0.28067777,,Right Foot,,,"[47.4, 29.4]",,Low Pass,,11.552056,,,,Javier Alejandro Mascherano,5506.0,,,,,Recovery,1,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,4,Barcelona,217,['a1b8becd-03c7-4d40-8f56-32846c564c68'],50,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.565,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.652075,,,,,,,,,,,,,,919c11b6-809e-44dd-b2ee-3a96aac2bf9f,62,,"[38.4, 32.3]",69270,0,,,,,0.39681813,,Right Foot,,,"[69.9, 45.5]",,Low Pass,,34.153915,,Incomplete,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,4,Barcelona,217,"['2f911aa5-27d4-45fe-8592-47ea687c45f8', 'f1e80090-1dc1-4014-929e-c363d4d2a5ef']",52,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.636,Pass,,2010/2011
,,,,,,,,,,,,,,,,,2.454233,,,,,,,,,,,,,,2f911aa5-27d4-45fe-8592-47ea687c45f8,64,,"[51.1, 35.5]",69270,0,,,,,-1.0631673,,Head,,,"[60.0, 19.5]",,Low Pass,,18.30874,,,,Manuel del Moral Fernández,24507.0,,,,,Recovery,1,Regular Play,José Manuel Jiménez Ortiz,26436.0,Left Back,5,Getafe,216,"['831e755f-c14b-4ca5-b4e4-fcad2ba858bc', '919c11b6-809e-44dd-b2ee-3a96aac2bf9f']",54,,,,,,,,,,,,,,,,,,Getafe,216,00:00:54.289,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.498328,,,,,,,,,,,,,,0813abdc-bdc7-496c-9eec-a688d94be5a3,68,,"[54.1, 22.4]",69270,0,,,,,2.69461,,Right Foot,,,"[29.9, 34.0]",,Ground Pass,,26.836542,,,,Rafael López Gómez,24614.0,,,,,,1,Regular Play,Manuel del Moral Fernández,24507.0,Left Wing,5,Getafe,216,"['6c220b21-2ef2-43e8-b718-a42b12232fec', 'df443259-3f58-43de-89a5-1672eeaf45bb']",56,,,,,,,,,,,,,,,,,,Getafe,216,00:00:56.863,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,1.8153,,,,,,,,,,,,,,86c0f2e1-cc18-4c09-ade9-f61497bfd573,71,,"[29.7, 34.0]",69270,0,,,,,2.8559198,,No Touch,,,"[15.4, 38.2]",,Ground Pass,,14.904026,True,,,Jordi Codina Rodríguez,26686.0,,,,,,1,Regular Play,Rafael López Gómez,24614.0,Left Center Back,5,Getafe,216,['bef9705d-e725-4735-bccb-4190eb4563a2'],58,,,,,,,,,,,,,,,,,,Getafe,216,00:00:58.424,Pass,,2010/2011
,,,,,,,,,,,,,,,,,3.4031,,,,,,,,,,,,,,ffec9803-9ef3-42b5-ab09-99afe3c011e9,74,,"[14.3, 38.0]",69270,1,,,,,0.19112824,,Right Foot,,,"[69.6, 48.7]",,High Pass,,56.32566,,Incomplete,,Nicolás Ladislao Fedor Flores,26685.0,,,,,,1,Regular Play,Jordi Codina Rodríguez,26686.0,Goalkeeper,5,Getafe,216,"['1c993b6b-3fef-4572-8faf-fd49ca143bd2', 'c75b06b4-ffb1-4d5c-aa0f-6ef330442dfa']",0,,,,,,,,,,,,,,,,,,Getafe,216,00:01:00.392,Pass,,2010/2011
,,,,,,,,,,,,,,,,,3.5366,,,,,,,,,,,,,,1c993b6b-3fef-4572-8faf-fd49ca143bd2,76,,"[51.4, 32.3]",69270,1,,,,,-0.4647429,,Head,,,"[87.9, 14.0]",,High Pass,,40.830627,,Incomplete,,David Villa Sánchez,12737.0,,,,,Recovery,1,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,5,Getafe,216,"['47c93406-988a-478a-be17-853976921b86', '83ea84ef-3441-4833-89c3-cacf8897c1f9', 'ffec9803-9ef3-42b5-ab09-99afe3c011e9']",3,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.795,Pass,,2010/2011
