bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17fc5f40-6482-40d5-a063-28e7259a3c26,1606,,"[66.6, 49.2]",9661,39,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Sergi Roberto Carnicer,6379.0,Right Back,104,Barcelona,217,['2cff560c-6cb3-4a3b-9728-ec4ef32f3f48'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:15.922,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c6059a86-559a-46ca-b648-186a3b0bd0de,1609,,"[91.8, 72.9]",9661,39,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Ivan Rakitić,5470.0,Right Midfield,104,Barcelona,217,['2ed681ee-f2ba-49d8-a4cf-88d645786147'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:19.422,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58699456-006b-499a-ae42-c0aa42a34a71,1613,,"[90.0, 67.3]",9661,39,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,104,Barcelona,217,"['7c1dcbe6-5301-4c89-81ff-d5e26119ad3f', 'ce49353d-619e-4501-9736-a5ec58ee8b61']",21,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:21.721,Ball Receipt*,True,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ce88f84d-695b-4725-9776-d4f7ce6e9326,1615,,"[94.5, 76.2]",9661,39,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Ivan Rakitić,5470.0,Right Midfield,104,Barcelona,217,['d1755e8f-53e0-4225-ab83-50c419b75407'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:22.823,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e6743c4f-2f82-4b4a-a2b1-41f2a45e1a1a,1619,,"[110.6, 59.2]",9661,39,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,104,Barcelona,217,"['7f69e8fc-8150-4874-a9b4-8e43a91eeb67', '835c5444-6ded-4853-a195-b5f50a25de97']",24,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:24.836,Ball Receipt*,True,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3267cd77-d1f3-4f45-b7e4-e904fc351b16,1622,,"[110.1, 47.7]",9661,39,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,José Paulo Bezzera Maciel Júnior,5542.0,Left Defensive Midfield,104,Barcelona,217,['06a7db3d-bead-4de2-bb97-6dc3930236aa'],25,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:25.965,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f64ce925-c966-469b-b324-6e0a7681e56a,1641,,"[57.8, 12.6]",9661,39,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Íñigo Lekue Martínez,6392.0,Left Back,106,Athletic Club,215,['b75dac5d-30c3-4683-a42a-44f17720cb35'],57,,,,,,,,,,,,,,,,,,Athletic Club,215,00:39:57.282,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bc9eb677-27ef-4395-b619-12c5a0a5095a,1643,,"[90.1, 39.3]",9661,40,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Raúl García Escudero,6391.0,Center Attacking Midfield,106,Athletic Club,215,['67eb6877-b184-4f31-b58d-37caa974a181'],1,,,,,,,,,,,,,,,,,,Athletic Club,215,00:40:01.211,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ccc2ff5f-6bd0-43db-bf45-74febc793695,1650,,"[61.6, 6.8]",9661,40,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Mikel San José Domínguez,6389.0,Left Defensive Midfield,106,Athletic Club,215,"['2ebc5cf6-4026-44f5-b147-81ecb787cb3d', '88c0a379-78fb-4aa5-8057-fdd6726ea94e']",9,,,,,,,,,,,,,,,,,,Athletic Club,215,00:40:09.687,Ball Receipt*,True,2017/2018
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eb84e4e2-cafd-42a5-8307-ada6998afc23,1653,,"[76.2, 2.4]",9661,40,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Iñigo Córdoba Kerejeta,6387.0,Left Wing,106,Athletic Club,215,['968d183e-fa6b-4820-bf89-65b7fdf47810'],10,,,,,,,,,,,,,,,,,,Athletic Club,215,00:40:10.200,Ball Receipt*,,2017/2018
