ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,1.9346,,,,,,,,,,,,,,529f5e39-f91a-4524-ab57-9185c4664837,47,,,"[40.4, 6.5]",70273,0,,,,,0.6183423,,Head,,,,"[55.3, 17.1]",,High Pass,18.285788,,,,Munir El Haddadi Mohamed,6616.0,,,,,Recovery,1,From Throw In,Jérémy Mathieu,10609.0,Left Center Back,3,Athletic Club,215,"['5f0cd1b1-0cb5-4b31-ae31-9687f7975475', 'd92e3084-bb22-4eca-a6d1-9f9dda5ecfd9']",45,,,,,,,,,,,,,,,,,Barcelona,217,00:00:45.678,Pass,,2014/2015
,,,,,,,,,,,,,,1.8836,,,,,,,,,,,,,,eacddbc1-ff41-4259-ab12-bc044477b6cb,51,,,"[64.1, 70.8]",70273,0,,,,,-1.6989785,,Left Foot,,,,"[61.2, 48.3]",,Ground Pass,22.68612,,,,Ander Iturraspe Derteano,6388.0,,,,,Recovery,1,From Throw In,Markel Susaeta Laskurain,6390.0,Right Wing,3,Athletic Club,215,['a343591b-4650-4664-9591-085349e29852'],48,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:48.721,Pass,,2014/2015
,,,,,,,,,,,,,,1.9471,,,,,,,,,,,,,,4d128eb2-a3b7-43aa-a235-b3cb56168deb,54,,,"[61.8, 48.3]",70273,0,,,,,-2.0344439,,Left Foot,,,,"[51.0, 26.7]",,Ground Pass,24.149534,,,,Mikel Balenziaga Oruesagasti,6789.0,,,,,,1,From Throw In,Ander Iturraspe Derteano,6388.0,Right Defensive Midfield,3,Athletic Club,215,"['357647eb-f444-48b7-9e9c-50522109a631', 'efcda3f2-73b0-42ee-9f97-4fa09ce6824f']",50,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:50.604,Pass,True,2014/2015
,,,,,,,,,,,,,,0.8222,,,,,,,,,,,,,,18cd7605-599c-463c-8314-b28b2861ba89,57,,,"[62.9, 17.5]",70273,0,,,,,0.5467888,,Left Foot,,,,"[76.7, 25.9]",,Ground Pass,16.155495,,,,Mikel Rico Moreno,6656.0,,,,,,1,From Throw In,Mikel Balenziaga Oruesagasti,6789.0,Left Back,3,Athletic Club,215,['f92ef701-759a-4080-8a30-1c616518a51d'],55,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:55.359,Pass,,2014/2015
,,,,,,,,,,,,,,1.3639,,,,,,,,,,,,,,10c1cb04-a7eb-444f-8f02-c86600e24eb2,59,,,"[76.7, 25.9]",70273,0,,,,,-1.6297995,,Right Foot,,,,"[75.3, 2.2]",,Ground Pass,23.741314,,,,Iker Muniain Goñi,6842.0,,,,,,1,From Throw In,Mikel Rico Moreno,6656.0,Left Defensive Midfield,3,Athletic Club,215,['0f8a52cd-8c92-4a89-9fed-455959f1fb03'],56,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:56.181,Pass,,2014/2015
,,,,,,,,,,,,,,1.160499,,,,,,,,,,,,,,0010530a-af11-4ea5-a057-0d82ab216d54,66,,,"[96.2, 6.3]",70273,1,,,,,1.3383869,,Right Foot,,,,"[100.2, 23.2]",,Ground Pass,17.366922,,,,Beñat Etxebarria Urkiaga,6396.0,,,,,,1,From Throw In,Iker Muniain Goñi,6842.0,Left Wing,3,Athletic Club,215,['da2768e7-d2e8-4e2d-a2cf-e5bef84fc94f'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:00.260,Pass,,2014/2015
,,,,,,,,,,,,,,0.8302,,,,,,,,,,,,,,891a4efd-69e8-466e-9d41-f1d349913898,69,,,"[109.4, 22.6]",70273,1,,,,,1.1046977,,Left Foot,True,,,"[117.6, 38.9]",,High Pass,18.24637,,Incomplete,,Markel Susaeta Laskurain,6390.0,,,,,,1,From Throw In,Beñat Etxebarria Urkiaga,6396.0,Center Attacking Midfield,3,Athletic Club,215,"['1e150f42-f355-4f46-b8e9-b3a823969a45', '3ca3ced7-1978-4e68-b93a-60939e97d06f']",2,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:02.944,Pass,,2014/2015
,,,,,,,,,,,,,,1.825781,,,,,,,,,,,,,,1b6a22b7-0a37-4232-90f2-6c4fd30d776d,75,,,"[3.8, 3.9]",70273,1,,,,,0.12853907,,Left Foot,,,,"[33.2, 7.7]",,High Pass,29.644562,,Incomplete,,,,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,3,Athletic Club,215,['fd936147-2908-4f35-ba4f-5aeb85959a95'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.330,Pass,,2014/2015
,,,,,,,,,,,,,,1.9187,,,,,,,,,,,,,,fd936147-2908-4f35-ba4f-5aeb85959a95,76,,,"[87.8, 73.3]",70273,1,,,,,0.05371173,,Head,,,,"[106.4, 74.3]",,Low Pass,18.626862,,,,Markel Susaeta Laskurain,6390.0,,,,,Recovery,1,From Throw In,Óscar de Marcos Arana,6649.0,Right Back,3,Athletic Club,215,"['1b6a22b7-0a37-4232-90f2-6c4fd30d776d', '6c93c700-ead5-4da1-92eb-38901774a875']",11,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:11.155,Pass,,2014/2015
,,,,,,,,,,,,,,0.387345,,,,,,,,,,,,,,096717a9-1c03-4507-b1f3-81359c49c661,80,,,"[102.1, 67.5]",70273,1,,,,,2.0054665,,Right Foot,,,,"[99.5, 73.1]",,Low Pass,6.1741395,,Incomplete,,Óscar de Marcos Arana,6649.0,,,,,,1,From Throw In,Markel Susaeta Laskurain,6390.0,Right Wing,3,Athletic Club,215,"['1a881477-49bc-4afa-bd64-f3b7a1fcb277', '2cdf2b08-0354-43d3-9d16-11f7eb7bfc66']",14,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:14.019,Pass,,2014/2015
