bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.691747,,,,,,,,,,,,,dd587235-3cbb-44ac-80d0-a9b29e0eebca,50,,,"[51.7, 36.6]",3773586,0,,,,,1.6365451,,Right Foot,,,,"[50.1, 60.9]",,Ground Pass,,24.352617,,,,,Óscar Mingueza García,43728.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Center Back,2,Barcelona,217,['4f5153a9-72a3-484e-8308-2684427bd326'],41,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.706,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.404356,,,,,,,,,,,,,e7581db7-ed7b-4aa9-8899-ef9235ce63a4,53,,,"[55.6, 63.1]",3773586,0,,,,,0.7853982,,Right Foot,,,,"[70.2, 77.7]",,Ground Pass,,20.647518,,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Óscar Mingueza García,43728.0,Right Center Back,2,Barcelona,217,['28d1b59e-e52e-4544-b84f-05f8088e3b38'],43,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.827,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.303169,,,,,,,,,,,,,cbe1a003-b2b2-44b6-9007-07db1aaaadff,56,,,"[70.2, 77.7]",3773586,0,,,,,-2.2302818,,Right Foot,,,,"[63.3, 68.8]",,Ground Pass,,11.261438,,,,,Óscar Mingueza García,43728.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Wing Back,2,Barcelona,217,['578f3bb3-28ed-41e6-8406-566f74cccde2'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.823,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.655521,,,,,,,,,,,,,89020bff-a8d6-4893-aa1c-da90ae36237c,59,,,"[64.1, 67.1]",3773586,0,,,,,-1.9300455,,Right Foot,,,,"[55.5, 44.2]",,Ground Pass,,24.461603,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Óscar Mingueza García,43728.0,Right Center Back,2,Barcelona,217,['c4e662cd-0a94-4dd1-a42b-7723a68734e4'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.139,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.743763,,,,,,,,,,,,,9d39f049-e9f1-466b-aa1c-27d86f956fab,62,,,"[64.6, 40.1]",3773586,0,,,,,1.9288213,,Right Foot,,,,"[59.1, 54.8]",,Ground Pass,,15.695222,,,,,Óscar Mingueza García,43728.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Center Back,2,Barcelona,217,['7ea103e7-96d5-474a-ba66-9ce27209b94a'],54,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.581,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.804612,,,,,,,,,,,,,eea88ef7-3a1e-41d9-913d-467ebcb0f765,65,,,"[63.8, 55.8]",3773586,0,,,,,0.08130187,,Right Foot,,,,"[77.3, 56.9]",,Ground Pass,,13.544741,,,,,Antoine Griezmann,5487.0,,,,,,1,From Kick Off,Óscar Mingueza García,43728.0,Right Center Back,2,Barcelona,217,['ae683faa-fa49-4922-919f-92a637cb1257'],57,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.341,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.689088,,,,,,,,,,,,,83889013-914b-4451-806a-0485cdb8b423,68,,,"[77.3, 56.9]",3773586,0,,,,,1.5608957,,Left Foot,,,,"[77.5, 77.1]",,Ground Pass,,20.20099,,,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Antoine Griezmann,5487.0,Left Center Forward,2,Barcelona,217,['011d0902-53a5-46ef-9688-396d2313e058'],58,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.229,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.853681,,,,,,,,,,,,,2f9c7f66-34b5-4911-b903-a4daec36cf6b,71,,,"[78.7, 77.1]",3773586,1,,,,,-1.5355996,,Right Foot,,,,"[79.2, 62.9]",,Ground Pass,,14.2088,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Right Center Midfield,2,Barcelona,217,['84659565-570a-4913-abda-d324cd3df12c'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.749,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.134309,,,,,,,,,,,,,ce72f5cc-aacb-454d-bde9-be1bfdbcd45f,74,,,"[79.2, 62.9]",3773586,1,,,,,1.7700403,,Right Foot,,,,"[77.1, 73.3]",,Ground Pass,,10.609901,,,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['60e18577-cba7-4396-acef-7b40bee594b6'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:01:02.707,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.590156,,,,,,,,,,,,,5d464f6b-6db5-4d7f-b10b-957053bbaa89,77,,,"[77.5, 68.8]",3773586,1,,,,,-2.0782607,,Right Foot,,,,"[64.6, 45.6]",,Ground Pass,,26.545244,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Right Center Midfield,2,Barcelona,217,['52de86f4-45a3-42ec-a1cc-3455b780ee9e'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.850,Pass,,2020/2021
