bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.00499,,,,,,,,,,,,,,,12a7077e-80a9-4ca2-9085-f3ccfb5d07ca,1557,,"[65.8, 11.3]",266106,36,,,,,-0.6998929,,Right Foot,,,,"[73.4, 4.9]",Ground Pass,9.935794,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,59,Barcelona,217,['2afb51c7-16a4-40a6-b71b-21faf6995a48'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:36:24.607,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,1.024779,,,,,,,,,,,,,,,8c454f3a-766a-48ee-8421-fcdc57fd904e,1559,,"[73.4, 4.9]",266106,36,,,,,2.0516837,,Right Foot,,,,"[69.8, 11.8]",Ground Pass,7.782673,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Throw In,Neymar da Silva Santos Junior,4320.0,Left Wing,59,Barcelona,217,['b094005b-3ba5-4843-90fb-fff6b2bf63d2'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:36:25.612,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,0.781488,,,,,,,,,,,,,,,b0b63f84-48d1-41c4-b7b8-2258bc9aa51d,1561,,"[69.8, 11.8]",266106,36,,,,,-0.9357696,,Left Foot,,,,"[74.0, 6.1]",Ground Pass,7.080254,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,59,Barcelona,217,['510a4c04-0819-480d-9bbb-b94b78f2fc29'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:36:26.637,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,0.958943,,,,,,,,,,,,,,,86256995-576e-4eb8-b14a-389983fa130d,1563,,"[74.0, 6.1]",266106,36,,,,,2.2142975,,Left Foot,,,,"[69.8, 11.7]",Ground Pass,7.0,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Throw In,Neymar da Silva Santos Junior,4320.0,Left Wing,59,Barcelona,217,['730601ea-1f08-489d-8843-fec4143019c8'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:36:27.418,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,1.331515,,,,,,,,,,,,,,,0e1fecaa-fa78-4bf7-90a9-6ac3e655328f,1566,,"[66.7, 14.6]",266106,36,,,,,2.3561945,,Left Foot,,,,"[55.1, 26.2]",Ground Pass,16.404877,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,59,Barcelona,217,['141f364b-2869-412c-b3ab-55b5cdf965f8'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:36:29.817,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,1.562895,,,,,,,,,,,,,,,3956ca2a-aeb4-4dec-8ceb-df9a41b22089,1569,,"[55.1, 26.2]",266106,36,,,,,1.8203121,,Left Foot,,,,"[48.5, 52.1]",Ground Pass,26.727701,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Throw In,Javier Alejandro Mascherano,5506.0,Left Center Back,59,Barcelona,217,['9fa3b3b3-f217-4ed0-a6c4-4c3671c8ece8'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:36:32.081,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,1.578701,,,,,,,,,,,,,,,945fd388-ae4e-4721-809d-c6253f4f21b2,1572,,"[49.5, 53.5]",266106,36,,,,,1.0742149,,Right Foot,,,,"[60.5, 73.8]",Ground Pass,23.088741,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,59,Barcelona,217,['4f97843b-4fb1-4703-b21a-6448622c10a4'],34,,,,,,,,,,,,,,,,,Barcelona,217,00:36:34.953,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,1.043528,,,,,,,,,,,,,,,d85fe443-44b7-4707-8574-49cdb9f7c6fe,1575,,"[64.6, 73.5]",266106,36,,,,,0.3779683,,Left Foot,,,,"[78.2, 78.9]",Ground Pass,14.63284,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Sergi Roberto Carnicer,6379.0,Right Back,59,Barcelona,217,['632bd3da-8353-4d08-b618-27241916ace9'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:36:37.665,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,0.708963,,,,,,,,,,,,,,,8f5a08a9-44d5-4303-b7ae-489d6621a5ce,1578,,"[78.2, 78.9]",266106,36,,,,,-1.6428365,,Left Foot,,,,"[77.5, 69.2]",Ground Pass,9.7252245,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,59,Barcelona,217,['43b59c68-f9e5-4926-8c9d-03148083380a'],40,,,,,,,,,,,,,,,,,Barcelona,217,00:36:40.343,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,0.905629,,,,,,,,,,,,,,,43b7e22d-d6c6-446a-a9d4-5bd23f5c5376,1581,,"[77.5, 69.2]",266106,36,,,,,1.5825605,,Right Foot,,,,"[77.4, 77.7]",Ground Pass,8.500588,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Sergi Roberto Carnicer,6379.0,Right Back,59,Barcelona,217,['7ba1b77d-3791-4193-a034-ec1ad662b21f'],41,,,,,,,,,,,,,,,,,Barcelona,217,00:36:41.374,Pass,,2015/2016
