ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.363507,,,,,,,,,,,,,,b43651f1-c131-4d3a-b9ce-67db9ca7492c,65,,"[67.7, 39.3]",69149,0,,,,0.82514995,,Right Foot,,,"[84.6, 57.6]",,Ground Pass,,24.909838,,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Eiður Smári Guðjohnsen,11270.0,Left Center Midfield,4,Barcelona,217,"['5d1cfff0-68a6-47cb-b688-c44c690104e7', 'b3d93a55-86ed-4d31-9dfd-7df659d91905']",40,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.449,Pass,True,2008/2009
,,,,,,,,,,,,,,,,1.567571,,,,,,,,,,,,,,29e9b6a5-b860-4a06-81c3-9be017d9f1f4,68,,"[82.9, 58.1]",69149,0,,,,2.3204954,,Right Foot,,,"[69.4, 72.6]",,Ground Pass,,19.811613,,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,4,Barcelona,217,['40a20440-8bea-4212-91a5-d3a50fe19d2a'],41,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.893,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.721504,,,,,,,,,,,,,,daf690c7-69e3-4e74-a10b-4da95df42371,71,,"[75.5, 66.4]",69149,0,,,,-1.4164776,,Right Foot,,,"[79.0, 43.9]",,Ground Pass,,22.770596,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['468131be-a965-424b-b568-559aa5250f66'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.071,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.189862,,,,,,,,,,,,,,59e9aaec-8b11-4b01-b722-d3f62b634770,74,,"[77.8, 45.4]",69149,0,,,,1.0605587,,Left Foot,,,"[91.4, 69.7]",,Low Pass,,27.846903,,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,4,Barcelona,217,['0255d10c-8995-494c-a534-393efbf24f2b'],48,,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.963,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.485,,,,,,,,,,,,,,4fbc468d-28dc-4bb6-b0ab-244392f005f0,77,,"[98.1, 68.5]",69149,0,,,,-1.4210486,,Right Foot,True,,"[102.4, 40.0]",,High Pass,,28.822561,,Incomplete,,Eiður Smári Guðjohnsen,11270.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,4,Barcelona,217,"['145293bb-154b-48c0-ab0c-62883227adee', 'f0c90db6-1544-4214-84eb-d6c3e1eba124']",52,,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.221,Pass,,2008/2009
,,,,,,,,,,,,,,,,2.846711,,,,,,,,,,,,,,693aa063-545d-451a-af5d-7b1d6204e369,81,,"[84.8, 40.3]",69149,0,,,True,-2.3429327,,,,,"[66.2, 21.2]",,High Pass,,26.66027,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,Recovery,1,Regular Play,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,4,Barcelona,217,"['0011f416-eca4-496f-ba90-48c3aceb415d', '7a2db85b-a324-457c-94bc-87c75ee8d9e7']",56,,,,,,,,,,,,,,,,,Barcelona,217,00:00:56.397,Pass,True,2008/2009
,,,,,,,,,,,,,,,,1.76779,,,,,,,,,,,,,,c8d06b0b-e169-40c8-a8e4-c15356a3521b,84,,"[63.1, 14.5]",69149,0,,,,2.3645976,,Left Foot,,,"[51.1, 26.3]",,Ground Pass,,16.829735,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,4,Barcelona,217,['5095e2db-d0d0-4fdd-b96b-9ca00aeedca4'],59,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.975,Pass,,2008/2009
,,,,,,,,,,,,,,,,2.607794,,,,,,,,,,,,,,daa78a36-5f29-409b-abfb-808bffc9b97e,87,,"[65.6, 37.2]",69149,1,,,,-1.19029,,Right Foot,,,"[80.2, 0.7]",,Low Pass,,39.311703,,Out,,Thierry Henry,15516.0,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,4,Barcelona,217,['91325aea-2403-4aa8-b500-cfe562c4cd1e'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.693,Pass,,2008/2009
,,,,,,,,,,,,,,,,2.451478,,,,,,,,,,,,,,ab50e67f-dd99-4062-8023-1530f12244cd,89,,"[37.1, 80.0]",69149,1,,,,-1.5770463,,,,,"[36.9, 48.0]",,Low Pass,,32.000626,,Incomplete,,Raúl Albiol i Tortajada,7030.0,,,,,Throw-in,1,From Throw In,Luís Miguel Brito Garcia Monteiro,20070.0,Right Back,5,Valencia,207,"['33f2fa5a-ba46-4d93-bf38-10df02bca5d8', 'b8ccf6ec-83d3-47d7-95bc-77546e0300f3']",25,,,,,,,,,,,,,,,,,Valencia,207,00:01:25.835,Pass,,2008/2009
,,,,,,,,,,,,,,,,2.152802,,,,,,,,,,,,,,827ca48a-405a-44e3-a50e-38aa427073a8,101,,"[11.1, 62.5]",69149,1,,,,0.5130978,,Right Foot,,,"[37.9, 77.6]",,Ground Pass,,30.761177,,,,Joaquín Sánchez Rodríguez,6651.0,,,,,,1,From Throw In,Luís Miguel Brito Garcia Monteiro,20070.0,Right Back,5,Valencia,207,['9bbc770d-fd0a-4534-ab3b-53781487f085'],35,,,,,,,,,,,,,,,,,Valencia,207,00:01:35.215,Pass,,2008/2009
