ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.1329,,,,,,,,,,,,,,1661b6d8-acfd-475e-bc78-a4bc29894b69,45,,"[98.1, 62.1]",266433,0,,,,,-2.983824,,Left Foot,,,,"[89.3, 60.7]",,Ground Pass,,8.910667,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,2,Barcelona,217,['8083d459-bd5e-40f8-b8d9-bad133f27206'],37,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.767,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.38,,,,,,,,,,,,,,ba19bf4b-1847-4812-9fc3-4be49f652b46,47,,"[89.7, 63.5]",266433,0,,,,,1.5350972,,Left Foot,,,,"[90.1, 74.7]",,Ground Pass,,11.207141,,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['49abbefe-6546-49f0-bb8d-dc86f5589117'],38,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.900,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.5833,,,,,,,,,,,,,,65464bd3-cf13-428f-9fc1-0a47a994f366,49,,"[90.3, 73.5]",266433,0,,,,,-2.0344439,,Right Foot,,,,"[83.6, 60.1]",,Ground Pass,,14.981655,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['413c9d3b-5efd-4202-8c76-5ea74c0a4456'],40,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.280,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.1531,,,,,,,,,,,,,,11d08e1d-acf7-4bd0-9983-42e65c2cd660,54,,"[35.9, 16.7]",266433,0,,,,,1.2870022,,Right Foot,,,,"[36.6, 19.1]",,Ground Pass,,2.5,Incomplete,,Víctor Sánchez Mata,6758.0,,,,,Recovery,1,From Kick Off,Simão Pedro Fonseca Sabrosa,19765.0,Left Wing,2,Barcelona,217,"['b3c6f148-f07d-462b-86f3-a905a0a7cd74', 'bdbb1b4a-7d45-48d8-87f3-9c0425238e13', 'eddfbfdf-2638-4a3e-ac46-fd3708a315b3']",42,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:42.386,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,0.7799,,,,,,,,,,,,,,5efb20e9-9e27-41cb-bff3-fb0f19405799,58,,"[35.6, 20.1]",266433,0,,,,,0.0,,Left Foot,,,,"[42.0, 20.1]",,Low Pass,,6.4,,,Simão Pedro Fonseca Sabrosa,19765.0,,,,,Recovery,1,Regular Play,Víctor Sánchez Mata,6758.0,Left Defensive Midfield,3,Espanyol,214,['005accc1-f3cf-4414-88ae-ff49570109d2'],43,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:43.842,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.6081,,,,,,,,,,,,,,68013b42-ccda-410e-af23-51aafbc92174,62,,"[40.4, 22.6]",266433,0,,,,,1.3868529,,Right Foot,,,,"[42.0, 31.2]",,Ground Pass,,8.747571,,,Joan Verdú Fernández,26211.0,,,,,,1,Regular Play,Simão Pedro Fonseca Sabrosa,19765.0,Left Wing,3,Espanyol,214,"['1c722649-75f4-4fd6-971c-019754447b03', 'f51e2a5e-2700-4add-8d98-02c56f52afa3']",45,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:45.636,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,0.9533,,,,,,,,,,,,,,b8631b19-4f7c-4de0-88a5-047b9d199c69,69,,"[63.3, 75.6]",266433,0,,,,,-0.24848743,,Right Foot,,,,"[70.0, 73.9]",,Ground Pass,,6.9123077,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['ce6c73cf-37be-489d-b450-12b947833f61'],51,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.773,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.704,,,,,,,,,,,,,,a03e8d1d-73c2-4afd-a473-6b6f6f4a9696,71,,"[70.2, 73.8]",266433,0,,,,,3.0671039,,Left Foot,,,,"[63.5, 74.3]",,Ground Pass,,6.718631,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,4,Barcelona,217,['acd18288-66d9-4746-9d30-4b5ba040414f'],52,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.727,Pass,,2012/2013
,,,,,,,,,,,,,,,,,2.4432,,,,,,,,,,,,,,9d0b8a09-d0c6-4413-a67c-16782b8f8a76,74,,"[63.5, 72.6]",266433,0,,,,,-1.884547,,Right Foot,,,,"[57.4, 53.8]",,Ground Pass,,19.764868,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['eb8b5490-e731-4cd2-b5a8-6dabf1b856d5'],54,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.546,Pass,,2012/2013
,,,,,,,,,,,,,,,,,2.3132,,,,,,,,,,,,,,5b674fad-ab27-4814-8c7b-d09dc613cb4d,77,,"[57.5, 51.3]",266433,0,,,,,-1.4130276,,Right Foot,,,,"[63.8, 11.7]",,Ground Pass,,40.098003,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,4,Barcelona,217,['c103191e-575d-4959-8467-2f84f9bc5a1f'],57,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.966,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.5198,,,,,,,,,,,,,,a73e831f-b5e3-4094-b5b2-9563f28ae47e,80,,"[65.7, 8.5]",266433,1,,,,,-0.43702668,,Left Foot,,,,"[79.4, 2.1]",,Ground Pass,,15.121178,,,Andrés Iniesta Luján,5216.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,4,Barcelona,217,['38222992-e18a-4049-ba0c-03986ec6b3df'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.383,Pass,,2012/2013
,,,,,,,,,,,,,,,,,2.043852,,,,,,,,,,,,,,efc86ae9-f57c-4641-b0be-5f3876c2934a,87,,"[18.9, 78.8]",266433,1,,,,,0.015684988,,Right Foot,,,,"[44.4, 79.2]",,Ground Pass,,25.503138,,,Joan Verdú Fernández,26211.0,,,,,,1,Regular Play,Javier López Rodríguez,6791.0,Right Back,5,Espanyol,214,['ec54bc26-d73f-44df-9760-371a0c45b118'],11,,,,,,,,,,,,,,,,,,Espanyol,214,00:01:11.781,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.5363,,,,,,,,,,,,,,39593c59-1a8e-4176-98b3-dc2ffcdc2498,91,,"[44.3, 77.9]",266433,1,,,,,-2.961739,,Left Foot,,,,"[37.7, 76.7]",,Ground Pass,,6.708204,,,José Raúl Baena Urdiales,26607.0,,,,,,1,Regular Play,Joan Verdú Fernández,26211.0,Center Attacking Midfield,5,Espanyol,214,['3e6e9489-4d33-4133-886d-30da1287e9f4'],15,,,,,,,,,,,,,,,,,,Espanyol,214,00:01:15.024,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.1026,,,,,,,,,,,,,,6c8df4ff-2247-4f76-a5a7-d870f8552b60,94,,"[37.7, 76.7]",266433,1,,,,,-0.13255154,,Right Foot,,,,"[42.2, 76.1]",,High Pass,,4.539824,Incomplete,,,,,,,,,1,Regular Play,José Raúl Baena Urdiales,26607.0,Right Wing,5,Espanyol,214,['27f8cc7b-5282-4b6c-b9d2-c1ff5efd026d'],15,,,,,,,,,,,,,,,,,,Espanyol,214,00:01:15.600,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.3933,,,,,,,,,,,,,,2397ec7c-fd70-4683-a57b-250c5a74dd5c,96,,"[42.2, 80.0]",266433,1,,,,,-0.07369182,,,,,,"[57.1, 78.9]",,Low Pass,,14.940549,Incomplete,,José Raúl Baena Urdiales,26607.0,,,,,Throw-in,1,From Throw In,Javier López Rodríguez,6791.0,Right Back,6,Espanyol,214,"['6b755f75-2119-46a0-bc51-c4f5e054e5fd', 'a1192953-95ac-47ce-8710-f00b3533bfd6']",30,,,,,,,,,,,,,,,,,,Espanyol,214,00:01:30.823,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.1697,,,,,,,,,,,,,,6b755f75-2119-46a0-bc51-c4f5e054e5fd,98,,"[63.9, 2.1]",266433,1,,,,,0.0,,Left Foot,,,,"[76.0, 2.1]",,Ground Pass,,12.1,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,Interception,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,6,Espanyol,214,"['171e7319-08a5-445c-acc4-bc6bce1f40a8', '2397ec7c-fd70-4683-a57b-250c5a74dd5c', 'e4fe1574-314f-40b8-946a-3ddd8ae87cb9']",32,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:32.217,Pass,,2012/2013
,,,,,,,,,,,,,,,,,3.3388,,,,,,,,,,,,,,e4fe1574-314f-40b8-946a-3ddd8ae87cb9,100,,"[45.0, 78.9]",266433,1,,,,,0.073460646,,Right Foot,,,,"[68.1, 80.6]",,High Pass,,23.16247,Out,,,,,,,,Recovery,1,From Throw In,Javier López Rodríguez,6791.0,Right Back,6,Espanyol,214,['6b755f75-2119-46a0-bc51-c4f5e054e5fd'],33,,,,,,,,,,,,,,,,,,Espanyol,214,00:01:33.386,Pass,,2012/2013
