ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,"[53.3, 36.2]",,,,,,,,,,,0.04,,,,,,,,,,,,,,3eb47f31-4ae2-4b1d-ae1a-b38b3a7c83e6,1801,,"[53.3, 36.2]",70309,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,69,Barcelona,217,"['4a653660-3c00-4a97-869d-c9ce858074b8', '91c0d2c5-67e4-4103-a875-eae6ea9139c8']",35,,,,,,,,,,,,,,,,,,Barcelona,217,00:37:35.633,Carry,,2012/2013
,,,"[48.0, 29.3]",,,,,,,,,,,0.5456,,,,,,,,,,,,,,2264f752-b845-4b87-82ed-71f936207a03,1804,,"[47.6, 30.4]",70309,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alexandre Dimitri Song-Billong,27053.0,Center Defensive Midfield,69,Barcelona,217,"['9315bfb7-45d7-44da-952a-2f7d32d429ca', 'e41aec22-f2e4-4bdb-b697-b9c5670948ca']",36,,,,,,,,,,,,,,,,,,Barcelona,217,00:37:36.598,Carry,,2012/2013
,,,"[82.9, 8.2]",,,,,,,,,,,3.9794,,,,,,,,,,,,,,26f0d30c-358a-4e88-8e8b-269c9366aad9,1807,,"[66.1, 18.6]",70309,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,69,Barcelona,217,"['26f288d1-8b84-4234-85ba-07a04c40595a', '3c5b281e-5266-4b91-8825-c42d583df7de', 'bd2b247b-5f2d-4ad1-9fcc-cbb89951d8b7']",38,,,,,,,,,,,,,,,,,,Barcelona,217,00:37:38.117,Carry,True,2012/2013
,,,"[103.5, 14.3]",,,,,,,,,,,6.5955,,,,,,,,,,,,,,06bfe13d-1b5c-4e1d-b040-1f44203e2f88,1811,,"[82.9, 8.2]",70309,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,69,Barcelona,217,"['0353302c-2bda-4831-a712-bbaee59870c3', '1029c593-64fc-43e2-853a-07a1053b6e78', '3ef6df31-6324-4a11-a46c-a47d90c47144', 'bd2b247b-5f2d-4ad1-9fcc-cbb89951d8b7']",42,,,,,,,,,,,,,,,,,,Barcelona,217,00:37:42.096,Carry,True,2012/2013
,,,"[22.7, 71.8]",,,,,,,,,,,2.0509,,,,,,,,,,,,,,0144b723-843e-4cfb-ba88-47c09405552a,1817,,"[16.2, 68.3]",70309,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jose María Movilla Cubero,25920.0,Right Defensive Midfield,69,Barcelona,217,"['348fb4e3-7a36-4430-9f5e-38be5ab5537e', '78a6b631-6cd3-4013-b866-91abff6aac27', 'b544e838-ec6c-4218-9248-b023963560a8']",49,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:37:49.896,Carry,True,2012/2013
,,,"[9.1, 26.4]",,,,,,,,,,,1.640009,,,,,,,,,,,,,,68dd22c9-80be-44bc-8b21-4112a8ff5ea0,1823,,"[8.8, 17.5]",70309,38,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,69,Barcelona,217,"['29f38da5-d4c7-4a3e-a561-d6e995f546bf', '93069961-d877-41fa-83b5-3a8d3096f258']",0,,,,,,,,,,,,,,,,,,Barcelona,217,00:38:00.484,Carry,,2012/2013
,,,"[33.9, 47.8]",,,,,,,,,,,1.3103,,,,,,,,,,,,,,3395ba29-9fee-42d1-8a14-308bc359dca8,1826,,"[24.3, 39.7]",70309,38,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,69,Barcelona,217,"['307ea680-88ca-4d15-85c1-8c18fc773fd6', '37e9ad0b-3bb3-4c41-aea1-47c2869c8d03']",4,,,,,,,,,,,,,,,,,,Barcelona,217,00:38:04.282,Carry,,2012/2013
,,,"[55.2, 59.8]",,,,,,,,,,,1.7809,,,,,,,,,,,,,,b1c720b0-aa6e-4cc6-97a1-18f2bc63cae0,1829,,"[48.9, 58.7]",70309,38,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,69,Barcelona,217,"['6daee17d-df89-4746-a72b-f01eed8247fe', 'a93fddaa-7d34-478c-b685-fc6b5011ed6e']",7,,,,,,,,,,,,,,,,,,Barcelona,217,00:38:07.556,Carry,,2012/2013
,,,"[49.6, 63.9]",,,,,,,,,,,0.040000003,,,,,,,,,,,,,,8ccbff3e-01d1-4245-be26-ec7d97f315f2,1841,,"[43.5, 61.3]",70309,38,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,70,Real Zaragoza,395,"['261f73ff-706b-421e-9f9a-ac6b005263b2', '4259a147-e8f9-4385-9aef-495ee5a8eaee', 'db59a3a3-0fd6-403c-9103-cdd40680ef23']",39,,,,,,,,,,,,,,,,,,Barcelona,217,00:38:39.165,Carry,True,2012/2013
,,,"[52.3, 9.9]",,,,,,,,,,,1.218905,,,,,,,,,,,,,,1aa2ea82-fd86-4920-8682-e602f6f1e60c,1846,,"[51.0, 16.0]",70309,38,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Álvaro González Soberón,6762.0,Left Center Back,70,Real Zaragoza,395,"['4265ff3e-cfd9-4276-b59d-5fd581afa618', '57eb4a6c-47ea-4ffd-8233-a3911f52b380', 'cc8f2dc4-dbea-4cf3-81b5-feced3e13265']",42,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:38:42.732,Carry,True,2012/2013
,,,"[51.2, 7.5]",,,,,,,,,,,1.377305,,,,,,,,,,,,,,cb0b831f-7376-4191-bcb3-8b9402aa0b04,1850,,"[52.3, 9.9]",70309,38,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Álvaro González Soberón,6762.0,Left Center Back,70,Real Zaragoza,395,"['89262227-f3fa-4cfd-973b-7c3cc5edd018', '91dfac31-2b23-4489-8f63-32a8690744e2', 'cc8f2dc4-dbea-4cf3-81b5-feced3e13265']",43,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:38:43.950,Carry,True,2012/2013
