bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.841958,,,,,,,,,,,,,,,,,ffdf6d2d-6e1f-49d9-9b33-c40431d591d3,17,,"[19.8, 22.7]",69174,0,,,,,1.6080462,,Right Foot,,,"[18.6, 54.9]",Ground Pass,,32.22235,,,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,From Kick Off,Lilian Thuram,15071.0,Left Center Back,2,Barcelona,217,['d46c60a7-7162-4727-8ee9-4d018367128e'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.411,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,1.318718,,,,,,,,,,,,,,,,,c438cf73-8d65-4b8e-961f-a15c82c8d52e,20,,"[18.6, 54.9]",69174,0,,,,,-1.1377515,,Right Foot,,,"[27.8, 35.0]",Ground Pass,,21.92373,,,,,José Edmílson Gomes de Moraes,25910.0,,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Right Center Back,2,Barcelona,217,['f876d471-2b15-4c79-ac55-83430a39008b'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.454,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,1.46505,,,,,,,,,,,,,,,,,47465655-d167-45a9-b907-5df406108a1b,24,,"[30.5, 34.6]",69174,0,,,,,2.1893394,,Right Foot,,,"[14.7, 56.8]",Ground Pass,,27.248486,,,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,From Kick Off,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,2,Barcelona,217,"['0e7c277f-e7fc-483b-91d8-fb21d4f38076', 'eef6f2bf-dae0-4ec3-8370-ef3c33387afa']",13,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.153,Pass,True,2006/2007
,,,,,,,,,,,,,,,,,,2.559278,,,,,,,,,,,,,,,,,8da5aaba-adb6-47db-b7e2-bff18bc791b7,28,,"[12.1, 58.2]",69174,0,,,,,-0.26836622,,Right Foot,,,"[56.1, 46.1]",High Pass,,45.63343,,,Incomplete,,,,,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Right Center Back,2,Barcelona,217,"['5496c072-fa8d-4052-810b-d978712ab684', '791703c8-19ec-4773-a80a-319f6409f85a']",16,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.087,Pass,True,2006/2007
,,,,,,,,,,,,,,,,,,1.864046,,,,,,,,,,,,,,,,,791703c8-19ec-4773-a80a-319f6409f85a,29,,"[64.9, 34.9]",69174,0,,,,,-0.44183898,,Left Foot,,,"[89.0, 23.5]",High Pass,,26.66027,,,Incomplete,,Iván Sánchez Rico Soto,26055.0,,,,,,Recovery,1,From Kick Off,Sergio González Soriano,26206.0,Right Defensive Midfield,2,Barcelona,217,"['4b036f86-d8f9-424e-8da5-963574e6fb6c', '8da5aaba-adb6-47db-b7e2-bff18bc791b7', 'fd92b630-19ee-47bc-980d-3191c42184a6']",18,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:18.646,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,1.4053,,,,,,,,,,,,,,,,,9b2d5fb4-b023-4837-be5d-45389d444ef9,35,,"[91.5, 6.8]",69174,0,,,,,2.8080084,,Right Foot,,,"[81.4, 10.3]",Ground Pass,,10.689247,,,,,Joan Capdevila Méndez,20134.0,,,,,,,1,Regular Play,Iván Sánchez Rico Soto,26055.0,Center Forward,3,RC Deportivo La Coruña,219,"['71880820-b3ee-4d75-9554-23af56404de2', 'ab6acc43-170e-4ae1-9d51-193d1d54293e']",24,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:24.464,Pass,True,2006/2007
,,,,,,,,,,,,,,,,,,1.0492,,,,,,,,,,,,,,,,,2a45a4fb-22c9-4756-acef-2d5beefc966e,39,,"[77.7, 3.4]",69174,0,,,,,0.24768136,,Left Foot,,,"[86.4, 5.6]",Ground Pass,,8.973851,,,,,Iván Sánchez Rico Soto,26055.0,,,,,,,1,Regular Play,Joan Capdevila Méndez,20134.0,Left Back,3,RC Deportivo La Coruña,219,"['59d7f1b5-61fb-4c71-a029-32c12303d6b4', '887fb7b3-0e75-4e05-9721-0d02debabbeb']",28,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:28.110,Pass,True,2006/2007
,,,,,,,,,,,,,,,,,,2.4872,,,,,,,,,,,,,,,,,8f52f7f0-53e8-4a9e-bdae-48a9551205c1,42,,"[87.3, 6.5]",69174,0,,,,,0.011810474,,Left Foot,,,"[112.7, 6.8]",Ground Pass,,25.401772,,,,,Joan Capdevila Méndez,20134.0,,,,,,,1,Regular Play,Iván Sánchez Rico Soto,26055.0,Center Forward,3,RC Deportivo La Coruña,219,['0cea8148-8f6a-44e1-b1fe-a7cb8e864eb5'],30,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:30.420,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,1.473,,,,,,,,,,,,,,,,,c5553481-6ba5-4709-9dfa-d66487d96389,45,,"[112.7, 7.3]",69174,0,,,,,1.697444,,Left Foot,True,,"[108.6, 39.5]",High Pass,,32.459976,,,,,Joan Verdú Fernández,26211.0,,,,,,,1,Regular Play,Joan Capdevila Méndez,20134.0,Left Back,3,RC Deportivo La Coruña,219,['f80149ca-4e1c-4284-8c23-ce4d6d9453ef'],33,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:33.079,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,2.006776,,,,,,,,,,,,,,,,,d9f86862-bbea-4e57-918f-ffaa566e0c26,51,,"[9.8, 23.5]",69174,0,,True,,,-0.7043263,,Keeper Arm,,,"[27.1, 8.8]",Ground Pass,,22.701982,,,,,Lilian Thuram,15071.0,,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,4,Barcelona,217,['3399550e-742b-4e20-8720-7fd0782dfa96'],47,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.969,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,1.266242,,,,,,,,,,,,,,,,,3bb8f67a-717a-49fb-85d1-f87dafb49fd8,53,,"[42.3, 11.9]",69174,1,,True,,,0.024686342,,Right Foot,,,"[66.6, 12.5]",Ground Pass,,24.307405,,,,,Anderson Luís de Souza,19757.0,,,,,,,1,Regular Play,Lilian Thuram,15071.0,Left Center Back,4,Barcelona,217,['a9f0862c-24cc-41fa-95a0-b2597e25ca8e'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.997,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,0.776133,,,,,,,,,,,,,,,,,2658cfc3-57d1-4a71-b028-6d724f2c6376,55,,"[65.8, 21.5]",69174,1,,True,,,2.7233684,,Right Foot,,,"[54.1, 26.7]",Ground Pass,,12.803515,,,,,José Edmílson Gomes de Moraes,25910.0,,,,,,,1,Regular Play,Anderson Luís de Souza,19757.0,Left Center Midfield,4,Barcelona,217,['5a8ef3af-94e2-4291-9a8b-615b427b1135'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:02.463,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,1.505671,,,,,,,,,,,,,,,,,0481750f-20c7-403a-8d52-9676dab77eb4,57,,"[54.4, 27.9]",69174,1,,,,,2.1224513,,Right Foot,,,"[40.8, 50.0]",Ground Pass,,25.949373,,,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,Regular Play,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,4,Barcelona,217,['ea2b0eea-806a-4a6d-9ccf-e79a0f712f6b'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.954,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,1.222626,,,,,,,,,,,,,,,,,7970ee37-6060-4931-b5c6-a307c7950943,60,,"[39.3, 49.1]",69174,1,,,,,-1.1500329,,Right Foot,,,"[49.1, 27.2]",Ground Pass,,23.992706,,,,,José Edmílson Gomes de Moraes,25910.0,,,,,,,1,Regular Play,Rafael Márquez Álvarez,5558.0,Right Center Back,4,Barcelona,217,['f8a89348-a63a-4840-8043-c414959adf2f'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.439,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,1.902487,,,,,,,,,,,,,,,,,c47b903d-9dac-4f7a-80f7-37b0a4c8c0b6,63,,"[42.7, 32.9]",69174,1,,,,,-1.5453781,,Left Foot,,,"[43.3, 9.3]",Ground Pass,,23.607626,,,,,Lilian Thuram,15071.0,,,,,,,1,Regular Play,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,4,Barcelona,217,['15a2147f-2543-470a-b9a9-9cbcd815f5c0'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.726,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,1.580472,,,,,,,,,,,,,,,,,8466f05a-a9d0-46c5-b496-f7ad4813eea8,66,,"[43.1, 9.1]",69174,1,,,,,-0.34500217,,Right Foot,,,"[55.9, 4.5]",Ground Pass,,13.601471,,,,,Giovanni van Bronckhorst,17797.0,,,,,,,1,Regular Play,Lilian Thuram,15071.0,Left Center Back,4,Barcelona,217,['f85ee259-cbcf-477d-abff-59ab8edfa5e0'],12,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:12.110,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,1.272296,,,,,,,,,,,,,,,,,e3a5e8f1-ac41-444c-a5f1-6cef5a9896f8,70,,"[60.7, 4.6]",69174,1,,,,,2.9235253,,Left Foot,,,"[43.1, 8.5]",Ground Pass,,18.026924,,,,,Lilian Thuram,15071.0,,,,,,,1,Regular Play,Giovanni van Bronckhorst,17797.0,Left Back,4,Barcelona,217,['6cf4757f-d530-476f-ba9d-31112d01998a'],16,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:16.244,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,0.896245,,,,,,,,,,,,,,,,,96d9c4c3-bb41-4ea0-ab19-4c8594d21dce,73,,"[45.6, 9.3]",69174,1,,,,,1.2649175,,Left Foot,,,"[50.4, 24.5]",Ground Pass,,15.939887,,,,,José Edmílson Gomes de Moraes,25910.0,,,,,,,1,Regular Play,Lilian Thuram,15071.0,Left Center Back,4,Barcelona,217,['44b94d83-c7d3-46ad-a4ea-0d1d61638e33'],21,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:21.455,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,1.278021,,,,,,,,,,,,,,,,,85921ee9-7c4e-4f0b-9d7b-b03cca3e9680,76,,"[50.1, 24.5]",69174,1,,,,,-1.6466738,,Right Foot,,,"[48.8, 7.4]",Ground Pass,,17.149343,,,,,Lilian Thuram,15071.0,,,,,,,1,Regular Play,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,4,Barcelona,217,['74c461be-4cae-4be6-920c-83f741497767'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:22.561,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,1.183442,,,,,,,,,,,,,,,,,fedd6ccc-e607-42c4-9c3b-52f222e0d04a,79,,"[48.8, 7.4]",69174,1,,,,,-0.5456551,,Left Foot,,,"[57.2, 2.3]",Ground Pass,,9.8270035,,,,,Giovanni van Bronckhorst,17797.0,,,,,,,1,Regular Play,Lilian Thuram,15071.0,Left Center Back,4,Barcelona,217,['1f770962-45a1-4653-a192-0b013f483a67'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:24.358,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,1.183285,,,,,,,,,,,,,,,,,b817f6e6-4df3-4873-928d-3717b1b19181,82,,"[55.9, 2.6]",69174,1,,,,,2.462708,,Left Foot,,,"[47.1, 9.7]",Ground Pass,,11.307077,,,,,Lilian Thuram,15071.0,,,,,,,1,Regular Play,Giovanni van Bronckhorst,17797.0,Left Back,4,Barcelona,217,['9fba9c6f-0ff6-4fef-b146-52d596a90cc2'],25,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:25.582,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,1.232839,,,,,,,,,,,,,,,,,de6d92d5-62a3-492d-a900-5d7d1b8c2d4b,85,,"[49.4, 11.7]",69174,1,,,,,1.8609785,,Left Foot,,,"[45.1, 26.1]",Ground Pass,,15.028307,,,,,José Edmílson Gomes de Moraes,25910.0,,,,,,,1,Regular Play,Lilian Thuram,15071.0,Left Center Back,4,Barcelona,217,['0b06e799-cb2d-4616-8ba1-e39f3e83e6b9'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:29.750,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,1.132088,,,,,,,,,,,,,,,,,49e6a26b-cda1-400d-abed-463afac66723,89,,"[50.5, 12.4]",69174,1,,,,,-1.8778421,,Right Foot,,,"[47.9, 4.2]",Ground Pass,,8.602325,,,,,Lilian Thuram,15071.0,,,,,,,1,Regular Play,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,4,Barcelona,217,"['1326902d-86c2-44dc-bf37-5a78c6e92250', '9e14f03e-7ce9-4591-8786-8435ecfa7e7a']",35,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:35.515,Pass,True,2006/2007
,,,,,,,,,,,,,,,,,,1.1211,,,,,,,,,,,,,,,,,daa2871f-c1ec-4940-8075-ecf408ad4cd9,92,,"[48.4, 2.8]",69174,1,,,,,0.46748635,,Left Foot,,,"[69.2, 13.3]",Low Pass,,23.3,,,Incomplete,,Ronaldo de Assis Moreira,25879.0,,,,,,,1,Regular Play,Lilian Thuram,15071.0,Left Center Back,4,Barcelona,217,"['1982f6e2-14b9-4682-98c6-4208146d1438', '9fef398e-151a-4d6c-90d9-f5b50076909d']",38,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:38.298,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,0.963,,,,,,,,,,,,,,,,,3bfcb190-7c9c-4521-a43b-44a3d484d36e,97,,"[54.6, 69.9]",69174,1,,,,,2.459987,,Right Foot,,,"[49.3, 74.2]",Ground Pass,,6.824954,,,,,Ángel Javier Arizmendi de Lucas,26217.0,,,,,,,1,Regular Play,Sergio González Soriano,26206.0,Right Defensive Midfield,5,RC Deportivo La Coruña,219,"['7fb5d9ce-fb3f-4029-879b-f28fc608568d', 'd629e3e5-c4b0-4c64-9af6-1a195979d8dc']",40,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:01:40.822,Pass,True,2006/2007
,,,,,,,,,,,,,,,,,,1.3721,,,,,,,,,,,,,,,,,c12b99ac-ca6b-4e9a-af37-31bca3414393,106,,"[65.5, 80.0]",69174,1,,,,,-0.4303266,,,,,"[77.7, 74.4]",Low Pass,,13.42386,,,,,Ángel Javier Arizmendi de Lucas,26217.0,,,,,,Throw-in,1,From Throw In,Álvaro Arbeloa Coca,20215.0,Right Back,6,RC Deportivo La Coruña,219,['3d81a050-5828-47ff-802e-4219e55b5cc9'],55,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:01:55.931,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,0.6431,,,,,,,,,,,,,,,,,a23895b2-1d36-4570-aec1-5e082c31f31a,110,,"[78.7, 68.3]",69174,1,,,,,-3.0132694,,Right Foot,,,"[69.4, 67.1]",Ground Pass,,9.3771,,,,,Sergio González Soriano,26206.0,,,,,,,1,From Throw In,Ángel Javier Arizmendi de Lucas,26217.0,Right Wing,6,RC Deportivo La Coruña,219,['0277b9ce-7006-49bf-9197-f1db2886bf2d'],59,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:01:59.596,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,0.9835,,,,,,,,,,,,,,,,,71f198fb-1f71-4759-8911-d842475c309d,113,,"[69.6, 67.7]",69174,2,,,,,-2.2905953,,Right Foot,,,"[56.8, 53.1]",Ground Pass,,19.416489,,,,,Fabricio Coloccini,26207.0,,,,,,,1,From Throw In,Sergio González Soriano,26206.0,Right Defensive Midfield,6,RC Deportivo La Coruña,219,['19cfaa04-f273-43ec-915b-7c96399c18a7'],2,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:02:02.166,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,1.9296,,,,,,,,,,,,,,,,,40508f09-d296-44dc-b9c6-1510befc0706,116,,"[56.6, 54.1]",69174,2,,,,,-0.5114701,,Right Foot,,,"[87.6, 36.7]",Low Pass,,35.549404,True,,Incomplete,,Joan Verdú Fernández,26211.0,,,,,,,1,From Throw In,Fabricio Coloccini,26207.0,Left Defensive Midfield,6,RC Deportivo La Coruña,219,"['554ce27f-9c62-48e5-a5e2-5e9320af2e20', '6feed042-6855-437a-a242-dfeca8e546d2']",3,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:02:03.222,Pass,,2006/2007
