bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.659807,,,,,,,,,,,,,9615be30-8d6e-4a92-8afe-9263fa697d43,59,,"[39.2, 1.0]",68325,1,,,,,0.14189705,,,,,,"[72.8, 5.8]",,High Pass,,33.941124,,,,Víctor Casadesús Castaño,23791.0,,,,,,Throw-in,1,From Throw In,Fernando Navarro i Corbacho,6913.0,Left Back,7,Mallorca,1043,['03659cd9-3f5b-45b0-9be9-fcf45ff07f0a'],26,,,,,,,,,,,,,,,,,Mallorca,1043,00:01:26.559,Pass,,2005/2006
,,,,,,,,,,,,,,,0.780254,,,,,,,,,,,,,ac2b36c6-e69d-4d73-8d5a-54c1b141210e,63,,"[68.2, 8.3]",68325,1,,,,,2.2778568,,Right Foot,,,,"[54.7, 24.1]",,Ground Pass,,20.781963,,,,Cristiano Doni,25996.0,,,,,,,1,From Throw In,Víctor Casadesús Castaño,23791.0,Center Forward,7,Mallorca,1043,['8ce439db-e299-499d-9691-92d76592ef83'],30,,,,,,,,,,,,,,,,,Mallorca,1043,00:01:30.138,Pass,,2005/2006
,,,,,,,,,,,,,,,2.1369,,,,,,,,,,,,,07c33b28-7ead-4004-9ddd-6db24bf98030,69,,"[54.5, 24.7]",68325,1,,,,,-0.08809052,,Right Foot,,,,"[89.6, 21.6]",,High Pass,,35.23663,,Incomplete,,,,,,,,,Free Kick,1,From Free Kick,Francisco Javier Farinós Zapata,25998.0,Left Defensive Midfield,8,Mallorca,1043,['cdbda99c-e257-414a-91ef-19130bb9fe0e'],35,,,,,,,,,,,,,,,,,Mallorca,1043,00:01:35.563,Pass,,2005/2006
,,,,,,,,,,,,,,,0.973784,,,,,,,,,,,,,cdbda99c-e257-414a-91ef-19130bb9fe0e,70,,"[31.4, 59.4]",68325,1,,,,,1.0673027,,Head,,,,"[37.9, 71.2]",,High Pass,,13.471823,,,,Oleguer Presas Renom,25873.0,,,,,,Recovery,1,Regular Play,Rafael Márquez Álvarez,5558.0,Left Center Back,9,Barcelona,217,"['07c33b28-7ead-4004-9ddd-6db24bf98030', 'af5b01d5-a25c-4051-92ca-d6c753f65b94']",37,,,,,,,,,,,,,,,,,Barcelona,217,00:01:37.700,Pass,,2005/2006
,,,,,,,,,,,,,,,0.920776,,,,,,,,,,,,,dfc49882-a474-4052-b0a1-249d3ab96472,73,,"[37.9, 71.2]",68325,1,,,,,0.5543075,,Right Foot,,,,"[48.4, 77.7]",,Ground Pass,,12.349089,,,,Ludovic Giuly,25878.0,,,,,,,1,Regular Play,Oleguer Presas Renom,25873.0,Right Back,9,Barcelona,217,['6dacc1d2-6508-4c69-acf0-a614c196534a'],40,,,,,,,,,,,,,,,,,Barcelona,217,00:01:40.112,Pass,,2005/2006
,,,,,,,,,,,,,,,0.830425,,,,,,,,,,,,,ecb85f69-bcc9-4d3e-9dbe-98e601d1b6e2,79,,"[81.6, 4.6]",68325,1,,,,,0.5485494,,Left Foot,,,,"[88.8, 9.0]",,Ground Pass,,8.438009,,,,Yoshito Ōkubo,25993.0,,,,,,,1,Regular Play,Juan Fernando Arango Sáenz,25995.0,Left Wing,10,Mallorca,1043,['61066699-b874-4953-9f4d-3da3a964fa58'],43,,,,,,,,,,,,,,,,,Mallorca,1043,00:01:43.968,Pass,,2005/2006
,,,,,,,,,,,,,,,1.320089,,,,,,,,,,,,,78626b3d-31a7-4d7b-9af9-f613c6954fbe,83,,"[83.1, 6.0]",68325,1,,,,,-0.4958945,,Right Foot,,,,"[89.2, 2.7]",,Ground Pass,,6.935416,,,,Fernando Navarro i Corbacho,6913.0,,,,,,,1,Regular Play,Yoshito Ōkubo,25993.0,Center Attacking Midfield,10,Mallorca,1043,['91eb1e03-e6bb-4019-a3a7-e6dae120935f'],47,,,,,,,,,,,,,,,,,Mallorca,1043,00:01:47.550,Pass,,2005/2006
,,,,,,,,,,,,,,,1.830509,,,,,,,,,,,,,08158a3b-9241-4127-9fad-0696b0ccd436,89,,"[84.2, 9.6]",68325,2,,,,,0.42037287,,Right Foot,,,,"[114.4, 23.1]",,High Pass,,33.080055,,Pass Offside,,Yoshito Ōkubo,25993.0,,,,,,Free Kick,1,From Free Kick,Francisco Javier Farinós Zapata,25998.0,Left Defensive Midfield,11,Mallorca,1043,['a34af7db-3da9-4a68-a5be-39dc25b91b90'],19,,,,,,,,,,,,,,,,,Mallorca,1043,00:02:19.114,Pass,,2005/2006
,,,,,,,,,,,,,,,2.214225,,,,,,,,,,,,,ddd128e7-8f52-4448-925d-ca9cc8a8bd73,91,,"[7.0, 45.0]",68325,2,,,,,-0.8060442,,Right Foot,,,,"[23.6, 27.7]",,Ground Pass,,23.97603,,,,Carles Puyol i Saforcada,20125.0,,,,,,Free Kick,1,From Free Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,12,Barcelona,217,['a948b825-8ba8-44e7-b025-80db3ceaad02'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:02:37.102,Pass,,2005/2006
,,,,,,,,,,,,,,,1.054708,,,,,,,,,,,,,44b009fd-4a36-40cb-94fe-a32db44e9eb7,94,,"[27.2, 33.4]",68325,2,,,,,1.5638999,,Left Foot,,,,"[27.4, 62.4]",,Ground Pass,,29.00069,,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,From Free Kick,Carles Puyol i Saforcada,20125.0,Right Center Back,12,Barcelona,217,['7afa22e9-b90b-4828-9ee4-b6da5d585081'],40,,,,,,,,,,,,,,,,,Barcelona,217,00:02:40.371,Pass,,2005/2006
