bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,2.343933,,,,,,,,,,,,,,fb53063c-d32a-4bbd-af0f-a6dd8a44ee9d,55,,"[78.6, 49.2]",69232,1,,,,,-1.7558469,,Right Foot,,,"[74.8, 28.9]",,Ground Pass,,20.652603,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,3,Barcelona,217,"['4b07ce86-5ebd-42b9-850c-709583915003', 'cd81eda1-9da7-4757-880f-b8ff0251c35a']",0,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.024,Pass,True,2008/2009
,,,,,,,,,,,,,,0.7266,,,,,,,,,,,,,,d70e7854-2553-48d6-b0bc-e2904ba39596,58,,"[75.3, 27.8]",69232,1,,,,,0.03388533,,Left Foot,,,"[93.0, 28.4]",,Ground Pass,,17.710167,,Incomplete,,Samuel Eto''o Fils,19298.0,,,,,,1,From Free Kick,Eric-Sylvain Bilal Abidal,20177.0,Left Back,3,Barcelona,217,"['8616a5eb-9ce1-4823-bc18-00472da6d137', 'c51d9fe4-2c9e-476a-ad4d-889aab954994']",2,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:02.528,Pass,,2008/2009
,,,,,,,,,True,,,,,2.0325,,,,,,,,,,,,,,c51d9fe4-2c9e-476a-ad4d-889aab954994,60,,"[28.0, 52.6]",69232,1,,,,,-0.94903094,,Right Foot,,,"[41.4, 33.9]",,Low Pass,,23.005434,,,,Albert Crusat Domene,26437.0,,,,,Interception,1,Regular Play,Bruno Saltor Grau,3095.0,Right Back,4,Almería,403,"['72672212-9c27-41ac-8695-e02a556e46d4', 'd70e7854-2553-48d6-b0bc-e2904ba39596']",3,,,,,,,,,,,,,,,,,,Almería,403,00:01:03.254,Pass,,2008/2009
,,,,,,,,,,,,,,0.645908,,,,,,,,,,,,,,a1f8ce05-0d34-4c61-ad80-3ab3658568f8,66,,"[76.4, 58.2]",69232,1,,,,,0.25690654,,Right Foot,,,"[88.2, 61.3]",,Ground Pass,,12.20041,,Incomplete,,Juan Manuel Ortiz Palazón,26440.0,,,,,,1,Regular Play,Albert Crusat Domene,26437.0,Left Center Forward,4,Almería,403,"['1be0f900-7945-4b26-89ba-19d3cb3a9012', '717e5d2a-53c1-495b-a9c6-2376d94f33ce']",11,,,,,,,,,,,,,,,,,,Almería,403,00:01:11.079,Pass,,2008/2009
,,,,,,,,,,,,,,0.533894,,,,,,,,,,,,,,17155bbe-7e17-4eb0-a3d8-c8406ffea043,70,,"[29.3, 22.5]",69232,1,,,,,3.033322,,Left Foot,,,"[24.7, 23.0]",,Ground Pass,,4.6270943,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,4,Almería,403,['41ca9276-e542-4e91-a717-ed7b76440bce'],13,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:13.610,Pass,,2008/2009
,,,,,,,,,,,,,,2.728235,,,,,,,,,,,,,,8026abbc-ba07-438e-82a7-159203026bc1,73,,"[23.3, 22.5]",69232,1,,,,,-0.5858628,,Left Foot,,,"[55.7, 1.0]",,High Pass,,38.88457,,Out,,Thierry Henry,15516.0,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,4,Almería,403,['9373266f-c8c9-4f0a-8342-f3695e4a96c7'],14,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:14.924,Pass,,2008/2009
,,,,,,,,,,,,,,1.1859,,,,,,,,,,,,,,f4c2ee00-f101-498d-8510-2df194852a7a,75,,"[78.4, 80.0]",69232,1,,,,,-0.6738935,,,,,"[92.8, 68.5]",,High Pass,,18.42851,,,,Álvaro Negredo Sánchez,20542.0,,,,,Throw-in,1,From Throw In,Bruno Saltor Grau,3095.0,Right Back,5,Almería,403,['6ffdbc47-8b58-42e7-b9a0-84722824cdcd'],33,,,,,,,,,,,,,,,,,,Almería,403,00:01:33.463,Pass,,2008/2009
,,,,,,,,,,,,,,0.771,,,,,,,,,,,,,,9c64f760-a641-41af-afe2-c13e0ddaff51,80,,"[110.2, 77.8]",69232,1,,,,,-3.0722594,,Left Foot,,,"[103.0, 77.3]",,Ground Pass,,7.21734,,,,Juan Manuel Ortiz Palazón,26440.0,,,,,,1,From Throw In,Álvaro Negredo Sánchez,20542.0,Right Center Forward,5,Almería,403,['b9be891b-324c-4a43-b99c-891bc2a9cb30'],38,,,,,,,,,,,,,,,,,,Almería,403,00:01:38.917,Pass,,2008/2009
,,,,,,,,,,,,,,1.2214,,,,,,,,,,,,,,5e580b43-5841-43e4-bfe2-458c823981dd,83,,"[99.5, 76.0]",69232,1,,,,,-1.3574277,5f334471-dcfa-49e8-a8ab-3bfdee8f0834,Left Foot,True,,"[106.0, 46.0]",,High Pass,,30.69609,,,,Albert Crusat Domene,26437.0,True,,,,,1,From Throw In,Juan Manuel Ortiz Palazón,26440.0,Right Midfield,5,Almería,403,['e7c4d406-9434-4d4a-9302-d182a1b34bb3'],40,,,,,,,,,,,,,,,,,,Almería,403,00:01:40.981,Pass,,2008/2009
,,,,,,,,,,,,,,3.771655,,,,,,,,,,,,,,41a0cc3a-8098-4b9a-9941-54277d6f51f5,87,,"[6.0, 36.0]",69232,2,,,,,-0.15345477,,Right Foot,,,"[71.3, 25.9]",,High Pass,,66.07647,,Incomplete,,Thierry Henry,15516.0,,,,,Goal Kick,1,From Goal Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,6,Barcelona,217,"['06d94063-c848-407f-ad1c-0c393669f0e4', 'b5cc7300-ccc8-425d-a69f-956aed90b81a']",9,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:09.745,Pass,,2008/2009
,,,,,,,,,,,,,,1.8943,,,,,,,,,,,,,,06d94063-c848-407f-ad1c-0c393669f0e4,89,,"[49.7, 55.1]",69232,2,,,,,-0.42171416,,Left Foot,,,"[78.9, 42.0]",,High Pass,,32.003906,,Incomplete,,,,,,,,Recovery,1,From Goal Kick,Miguel Ángel García Pérez Roldán,26432.0,Left Midfield,6,Barcelona,217,"['41a0cc3a-8098-4b9a-9941-54277d6f51f5', 'c3313487-f563-40f4-a4b5-14aa6be1f0af']",13,,,,,,,,,,,,,,,,,,Almería,403,00:02:13.517,Pass,,2008/2009
,,,,,,,,,,,,,,1.670253,,,,,,,,,,,,,,c3313487-f563-40f4-a4b5-14aa6be1f0af,90,,"[42.1, 39.0]",69232,2,,,,,-0.20788993,,Head,,,"[54.9, 36.3]",,High Pass,,13.081667,,,,Xavier Hernández Creus,20131.0,,,,,Recovery,1,From Goal Kick,Rafael Márquez Álvarez,5558.0,Right Center Back,6,Barcelona,217,"['06d94063-c848-407f-ad1c-0c393669f0e4', '0d7a1f08-6d9d-453d-b9e3-172de2cd78b2']",15,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:15.411,Pass,,2008/2009
,,,,,,,,,,,,,,1.802237,,,,,,,,,,,,,,820b79ea-c356-4e15-b7a0-41795c637f73,94,,"[55.2, 43.1]",69232,2,,,,,1.6896367,,Right Foot,,,"[52.8, 63.2]",,Ground Pass,,20.242777,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Goal Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,6,Barcelona,217,"['0d79c981-96b9-49ad-9582-11c15d3f70ad', '7602358f-4e63-4158-9340-d4d3aa3a72a1']",18,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:18.831,Pass,True,2008/2009
