ID_Partido,Fecha,Temporada,Rival,URL_FBref
881,2020-06-23,2019-2020,Athletic Club,https://fbref.com/en/matches/7d493bcc/Barcelona-Athletic-Club-June-23-2020-La-Liga
882,2020-06-27,2019-2020,Celta Vigo,https://fbref.com/en/matches/5b3eeff7/Celta-Vigo-Barcelona-June-27-2020-La-Liga
883,2020-06-30,2019-2020,Atlético Madrid,https://fbref.com/en/matches/b6be11d4/Barcelona-Atletico-Madrid-June-30-2020-La-Liga
884,2020-07-05,2019-2020,Villarreal,https://fbref.com/en/matches/52c9281f/Villarreal-Barcelona-July-5-2020-La-Liga
885,2020-07-08,2019-2020,Espanyol,https://fbref.com/en/matches/5fcbe609/Barcelona-Espanyol-July-8-2020-La-Liga
886,2020-07-11,2019-2020,Valladolid,https://fbref.com/en/matches/2acdcbb0/Valladolid-Barcelona-July-11-2020-La-Liga
887,2020-07-16,2019-2020,Osasuna,https://fbref.com/en/matches/7ff03cb7/Barcelona-Osasuna-July-16-2020-La-Liga
888,2020-07-19,2019-2020,Alavés,https://fbref.com/en/matches/0ca0697f/Alaves-Barcelona-July-19-2020-La-Liga
891,2020-09-27,2020-2021,Villarreal,https://fbref.com/en/matches/67e47686/Barcelona-Villarreal-September-27-2020-La-Liga
892,2020-10-01,2020-2021,Celta Vigo,https://fbref.com/en/matches/9b6cefe1/Celta-Vigo-Barcelona-October-1-2020-La-Liga
893,2020-10-04,2020-2021,Sevilla,https://fbref.com/en/matches/3c20c9a2/Barcelona-Sevilla-October-4-2020-La-Liga
894,2020-10-17,2020-2021,Getafe,https://fbref.com/en/matches/ffc25afd/Getafe-Barcelona-October-17-2020-La-Liga
896,2020-10-24,2020-2021,Real Madrid,https://fbref.com/en/matches/9b07dcbc/El-Clasico-Barcelona-Real-Madrid-October-24-2020-La-Liga
898,2020-10-31,2020-2021,Alavés,https://fbref.com/en/matches/87d962cb/Alaves-Barcelona-October-31-2020-La-Liga
900,2020-11-07,2020-2021,Real Betis,https://fbref.com/en/matches/1c5be3e6/Barcelona-Real-Betis-November-7-2020-La-Liga
901,2020-11-21,2020-2021,Atlético Madrid,https://fbref.com/en/matches/43512e62/Atletico-Madrid-Barcelona-November-21-2020-La-Liga
903,2020-11-29,2020-2021,Osasuna,https://fbref.com/en/matches/10b5cb6c/Barcelona-Osasuna-November-29-2020-La-Liga
905,2020-12-05,2020-2021,Cádiz,https://fbref.com/en/matches/b0c1990b/Cadiz-Barcelona-December-5-2020-La-Liga
907,2020-12-13,2020-2021,Levante,https://fbref.com/en/matches/5ef7c398/Barcelona-Levante-December-13-2020-La-Liga
908,2020-12-16,2020-2021,Real Sociedad,https://fbref.com/en/matches/be0928c2/Barcelona-Real-Sociedad-December-16-2020-La-Liga
909,2020-12-19,2020-2021,Valencia,https://fbref.com/en/matches/29e2c236/Barcelona-Valencia-December-19-2020-La-Liga
910,2020-12-22,2020-2021,Valladolid,https://fbref.com/en/matches/086be9c6/Valladolid-Barcelona-December-22-2020-La-Liga
912,2021-01-03,2020-2021,Huesca,https://fbref.com/en/matches/200fff0a/Huesca-Barcelona-January-3-2021-La-Liga
913,2021-01-06,2020-2021,Athletic Club,https://fbref.com/en/matches/31a74d4f/Athletic-Club-Barcelona-January-6-2021-La-Liga
914,2021-01-09,2020-2021,Granada,https://fbref.com/en/matches/820f8ab3/Granada-Barcelona-January-9-2021-La-Liga
920,2021-01-31,2020-2021,Athletic Club,https://fbref.com/en/matches/cdbd8802/Barcelona-Athletic-Club-January-31-2021-La-Liga
922,2021-02-07,2020-2021,Real Betis,https://fbref.com/en/matches/36d21ebb/Real-Betis-Barcelona-February-7-2021-La-Liga
924,2021-02-13,2020-2021,Alavés,https://fbref.com/en/matches/e1aa194a/Barcelona-Alaves-February-13-2021-La-Liga
926,2021-02-21,2020-2021,Cádiz,https://fbref.com/en/matches/6d9fe2eb/Barcelona-Cadiz-February-21-2021-La-Liga
927,2021-02-24,2020-2021,Elche,https://fbref.com/en/matches/f613c734/Barcelona-Elche-February-24-2021-La-Liga
928,2021-02-27,2020-2021,Sevilla,https://fbref.com/en/matches/cf4341cf/Sevilla-Barcelona-February-27-2021-La-Liga
930,2021-03-06,2020-2021,Osasuna,https://fbref.com/en/matches/5c84db99/Osasuna-Barcelona-March-6-2021-La-Liga
932,2021-03-15,2020-2021,Huesca,https://fbref.com/en/matches/f1c35bb5/Barcelona-Huesca-March-15-2021-La-Liga
933,2021-03-21,2020-2021,Real Sociedad,https://fbref.com/en/matches/2073a485/Real-Sociedad-Barcelona-March-21-2021-La-Liga
934,2021-04-05,2020-2021,Valladolid,https://fbref.com/en/matches/e7c2cb0b/Barcelona-Valladolid-April-5-2021-La-Liga
935,2021-04-10,2020-2021,Real Madrid,https://fbref.com/en/matches/80b7ff24/El-Clasico-Real-Madrid-Barcelona-April-10-2021-La-Liga
937,2021-04-22,2020-2021,Getafe,https://fbref.com/en/matches/cfa56fb6/Barcelona-Getafe-April-22-2021-La-Liga
938,2021-04-25,2020-2021,Villarreal,https://fbref.com/en/matches/bcc4bf4f/Villarreal-Barcelona-April-25-2021-La-Liga
939,2021-04-29,2020-2021,Granada,https://fbref.com/en/matches/6f566040/Barcelona-Granada-April-29-2021-La-Liga
940,2021-05-02,2020-2021,Valencia,https://fbref.com/en/matches/ce4cd915/Valencia-Barcelona-May-2-2021-La-Liga
941,2021-05-08,2020-2021,Atlético Madrid,https://fbref.com/en/matches/820b4053/Barcelona-Atletico-Madrid-May-8-2021-La-Liga
942,2021-05-11,2020-2021,Levante,https://fbref.com/en/matches/69a3efe4/Levante-Barcelona-May-11-2021-La-Liga
943,2021-05-16,2020-2021,Celta Vigo,https://fbref.com/en/matches/da47580f/Barcelona-Celta-Vigo-May-16-2021-La-Liga
