ID_Partido,Jugador,Posicion,Titular,Minutos,Goles,Asistencias,Amarillas,Rojas,xG
1002,Sergi Roberto,DF,1,45,0,1,0,0,
1002,Gerard Piqué,DF,0,45,0,0,0,0,
1002,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1003,Ferrán Torres,FW,1,56,0,0,0,0,
1003,Ousmane Dembélé,MF,0,34,1,0,0,0,
1003,Memphis,FW,1,56,0,0,0,0,
1003,Robert Lewandowski,FW,0,34,1,2,0,0,
1003,Raphinha,FW,1,71,0,0,1,0,
1003,Ansu Fati,FW,0,19,1,0,0,0,
1003,Gavi,MF,1,56,0,0,0,0,
1003,Pedri,MF,0,34,0,0,0,0,
1003,Sergio Busquets,MF,1,90,0,0,1,0,
1003,Frenkie de Jong,MF,1,90,1,0,0,0,
1003,Alejandro Balde,DF,1,77,0,0,0,0,
1003,Marcos Alonso,DF,0,13,0,0,0,0,
1003,Gerard Piqué,DF,1,90,0,0,0,0,
1003,Ronald Araújo,DF,1,90,0,0,0,0,
1003,Héctor Bellerín,DF,1,90,0,0,0,0,
1003,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1004,Ousmane Dembélé,MF,1,79,0,0,0,0,
1004,Ansu Fati,FW,0,11,0,0,0,0,
1004,Robert Lewandowski,FW,1,90,0,0,0,0,
1004,Raphinha,FW,1,60,0,0,0,0,
1004,Ferrán Torres,FW,0,30,0,0,0,0,
1004,Pedri,MF,1,90,0,0,0,0,
1004,Sergio Busquets,MF,1,79,0,0,1,0,
1004,Franck Kessié,MF,0,11,0,0,0,0,
1004,Gavi,MF,1,60,0,0,0,0,
1004,Frenkie de Jong,MF,0,30,0,0,0,0,
1004,Marcos Alonso,DF,1,90,0,0,0,0,
1004,Andreas Christensen,DF,1,69,0,0,0,0,
1004,Eric García,DF,0,21,0,0,0,0,
1004,Ronald Araújo,DF,1,90,0,0,0,0,
1004,Jules Koundé,DF,1,90,0,0,0,0,
1004,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1005,Memphis,FW,1,58,1,0,0,0,
1005,Ansu Fati,FW,0,32,0,0,0,0,
1005,Robert Lewandowski,FW,1,71,2,0,0,0,
1005,Ferrán Torres,FW,0,19,0,0,1,0,
1005,Ousmane Dembélé,MF,1,59,0,0,0,0,
1005,Raphinha,FW,0,31,0,0,0,0,
1005,Pedri,MF,1,90,0,0,0,0,
1005,Frenkie de Jong,MF,1,90,0,0,0,0,
1005,Franck Kessié,MF,1,45,0,0,1,0,
1005,Gavi,MF,0,45,0,0,0,0,
1005,Alejandro Balde,DF,1,90,0,2,0,0,
1005,Eric García,DF,1,58,0,0,0,0,
1005,Héctor Bellerín,DF,0,32,0,0,0,0,
1005,Ronald Araújo,DF,1,90,0,0,0,0,
1005,Jules Koundé,DF,1,90,0,0,0,0,
1005,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1006,Ansu Fati,FW,1,66,0,1,0,0,
1006,Raphinha,FW,0,24,0,0,0,0,
1006,Robert Lewandowski,FW,1,90,1,0,0,0,
1006,Ousmane Dembélé,MF,1,79,0,0,0,0,
1006,Ferrán Torres,FW,0,11,0,0,0,0,
1006,Gavi,MF,1,90,0,0,0,0,
1006,Sergio Busquets,MF,1,90,0,0,1,0,
1006,Franck Kessié,MF,1,66,0,0,1,0,
1006,Pedri,MF,0,24,0,0,0,0,
1006,Jordi Alba,DF,1,79,0,0,0,0,
1006,Sergi Roberto,DF,0,11,0,0,0,0,
1006,Andreas Christensen,DF,1,90,0,0,1,0,
1006,Gerard Piqué,DF,1,90,0,0,1,0,
1006,Alejandro Balde,DF,1,90,0,0,0,0,
1006,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1007,Ousmane Dembélé,MF,1,90,0,0,0,0,
1007,Robert Lewandowski,FW,1,90,0,0,0,0,
1007,Raphinha,FW,1,62,0,0,0,0,
1007,Ansu Fati,FW,0,28,0,0,0,0,
1007,Pedri,MF,1,90,0,0,0,0,
1007,Sergio Busquets,MF,1,90,0,0,1,0,
1007,Gavi,MF,1,82,0,0,1,0,
1007,Franck Kessié,MF,0,8,0,0,0,0,
1007,Marcos Alonso,DF,1,62,0,0,0,0,
1007,Alejandro Balde,DF,0,28,0,0,0,0,
1007,Eric García,DF,1,90,0,0,0,0,
1007,Andreas Christensen,DF,1,57,0,0,0,0,
1007,Gerard Piqué,DF,0,33,0,0,0,0,
1007,Sergi Roberto,DF,1,90,0,0,0,0,
1007,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1008,Ferrán Torres,FW,1,62,0,0,0,0,
1008,Ansu Fati,FW,0,28,0,0,0,0,
1008,Robert Lewandowski,FW,1,90,0,0,0,0,
1008,Raphinha,FW,1,63,0,0,0,0,
1008,Ousmane Dembélé,MF,0,27,0,0,0,0,
1008,Pedri,MF,1,62,1,0,0,0,
1008,Frenkie de Jong,MF,0,28,0,0,0,0,
1008,Sergio Busquets,MF,1,90,0,0,1,0,
1008,Gavi,MF,1,90,0,0,0,0,
1008,Jordi Alba,DF,1,85,0,0,1,0,
1008,Eric García,DF,0,5,0,0,0,0,
1008,Marcos Alonso,DF,1,90,0,0,0,0,
1008,Gerard Piqué,DF,1,90,0,0,0,0,
1008,Alejandro Balde,DF,1,76,0,0,0,0,
1008,Sergi Roberto,DF,0,14,0,0,0,0,
1008,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1009,Raphinha,FW,1,63,0,0,0,0,
1009,Ansu Fati,FW,0,27,0,0,0,0,
1009,Robert Lewandowski,FW,1,90,2,0,0,0,
1009,Ousmane Dembélé,MF,1,90,1,0,1,0,
1009,Pedri,MF,1,90,0,0,0,0,
1009,Sergio Busquets,MF,1,63,0,0,0,0,
1009,Frenkie de Jong,MF,0,27,0,0,0,0,
1009,Gavi,MF,1,81,0,0,0,0,
1009,Ferrán Torres,FW,0,9,0,0,0,0,
1009,Marcos Alonso,DF,1,71,0,0,0,0,
1009,Alejandro Balde,DF,0,19,0,0,0,0,
1009,Eric García,DF,1,90,0,0,0,0,
1009,Gerard Piqué,DF,1,90,0,0,0,0,
1009,Sergi Roberto,DF,1,71,0,1,1,0,
1009,Franck Kessié,MF,0,19,0,0,0,0,
1009,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1010,Ousmane Dembélé,MF,1,72,0,0,0,0,
1010,Ansu Fati,FW,0,18,0,0,0,0,
1010,Robert Lewandowski,FW,1,90,0,1,0,0,
1010,Raphinha,FW,1,59,0,0,0,0,
1010,Ferrán Torres,FW,0,31,1,0,0,0,
1010,Pedri,MF,1,82,0,0,0,0,
1010,Franck Kessié,MF,0,8,0,0,1,0,
1010,Sergio Busquets,MF,1,59,0,0,0,0,
1010,Gavi,MF,0,31,0,0,1,0,
1010,Frenkie de Jong,MF,1,90,0,0,0,0,
1010,Alejandro Balde,DF,1,59,0,0,0,0,
1010,Jordi Alba,DF,0,31,0,0,0,0,
1010,Eric García,DF,1,90,0,0,0,0,
1010,Jules Koundé,DF,1,90,0,0,0,0,
1010,Sergi Roberto,DF,1,90,0,0,0,0,
1010,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1011,Ansu Fati,FW,1,74,1,0,0,0,
1011,Raphinha,FW,0,16,0,0,0,0,
1011,Robert Lewandowski,FW,1,74,2,0,0,0,
1011,Ousmane Dembélé,MF,0,16,0,0,0,0,
1011,Ferrán Torres,FW,1,90,0,0,0,0,
1011,Pedri,MF,1,90,0,0,0,0,
1011,Frenkie de Jong,MF,1,69,0,0,0,0,
1011,Sergio Busquets,MF,0,21,0,0,0,0,
1011,Gavi,MF,1,90,0,1,0,0,
1011,Jordi Alba,DF,1,90,0,1,0,0,
1011,Marcos Alonso,DF,1,90,0,0,0,0,
1011,Jules Koundé,DF,1,77,0,0,0,0,
1011,Gerard Piqué,DF,0,13,0,0,0,0,
1011,Sergi Roberto,DF,1,69,0,0,0,0,
1011,Héctor Bellerín,DF,0,21,0,0,0,0,
1011,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1012,Gavi,MF,1,33,0,0,0,0,
1012,Franck Kessié,MF,0,57,0,0,0,0,
1012,Robert Lewandowski,FW,1,62,1,1,0,0,
1012,Ansu Fati,FW,0,28,0,0,0,0,
1012,Ousmane Dembélé,MF,1,76,1,3,0,0,
1012,Pablo Torre,FW,0,14,0,0,0,0,
1012,Pedri,MF,1,62,0,0,0,0,
1012,Ferrán Torres,FW,0,28,1,0,0,0,
1012,Sergio Busquets,MF,1,90,0,0,1,0,
1012,Frenkie de Jong,MF,1,90,0,0,0,0,
1012,Alejandro Balde,DF,1,90,0,0,0,0,
1012,Eric García,DF,1,90,0,0,1,0,
1012,Jules Koundé,DF,1,62,0,0,0,0,
1012,Marcos Alonso,DF,0,28,0,0,0,0,
1012,Sergi Roberto,DF,1,90,1,0,0,0,
1012,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1013,Pedri,MF,1,57,0,0,0,0,
1013,Raphinha,FW,0,33,0,0,0,0,
1013,Robert Lewandowski,FW,1,81,0,0,0,0,
1013,Pablo Torre,FW,0,9,0,0,0,0,
1013,Ousmane Dembélé,MF,1,66,0,0,0,0,
1013,Ansu Fati,FW,0,24,0,0,0,0,
1013,Frenkie de Jong,MF,1,90,0,0,0,0,
1013,Sergio Busquets,MF,1,57,0,0,1,0,
1013,Ferrán Torres,FW,0,33,0,0,0,0,
1013,Franck Kessié,MF,1,90,0,0,0,0,
1013,Alejandro Balde,DF,1,90,0,0,0,0,
1013,Marcos Alonso,DF,1,90,0,0,0,0,
1013,Jules Koundé,DF,1,66,0,0,0,0,
1013,Eric García,DF,0,24,0,0,0,0,
1013,Héctor Bellerín,DF,1,90,0,0,0,0,
1013,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1014,Ansu Fati,FW,1,56,0,0,0,0,
1014,Raphinha,FW,0,34,0,1,0,0,
1014,Robert Lewandowski,FW,1,90,1,0,0,0,
1014,Ousmane Dembélé,MF,1,55,0,0,0,0,
1014,Ferrán Torres,FW,0,35,0,0,1,0,
1014,Pedri,MF,1,90,0,0,0,0,
1014,Sergio Busquets,MF,1,55,0,0,0,0,
1014,Gavi,MF,0,35,0,0,1,0,
1014,Frenkie de Jong,MF,1,90,0,0,0,0,
1014,Jordi Alba,DF,1,90,0,0,0,0,
1014,Eric García,DF,1,41,0,0,1,0,
1014,Marcos Alonso,DF,0,49,0,0,1,0,
1014,Jules Koundé,DF,1,73,0,0,0,0,
1014,Gerard Piqué,DF,0,17,0,0,1,0,
1014,Alejandro Balde,DF,1,90,0,0,0,0,
1014,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1015,Ferrán Torres,FW,1,90,2,0,1,0,
1015,Ansu Fati,FW,1,90,0,1,0,0,
1015,Raphinha,FW,1,76,0,2,0,0,
1015,Ousmane Dembélé,MF,0,14,0,0,0,0,
1015,Gavi,MF,1,90,0,0,1,0,
1015,Franck Kessié,MF,1,66,0,0,0,0,
1015,Marc Casado,MF,0,24,0,0,0,0,
1015,Pablo Torre,FW,1,76,1,0,1,0,
1015,Alvaro Sanz,MF,0,14,0,0,0,0,
1015,Jordi Alba,DF,1,56,0,1,0,0,
1015,Alejandro Balde,DF,0,34,0,0,0,0,
1015,Marcos Alonso,DF,1,90,1,0,0,0,
1015,Gerard Piqué,DF,1,90,0,0,0,0,
1015,Héctor Bellerín,DF,1,90,0,0,0,0,
1015,Iñaki Peña,GK,1,90,0,0,0,0,
1016,Ferrán Torres,FW,1,60,0,0,1,0,
1016,Ansu Fati,FW,0,30,0,0,0,0,
1016,Robert Lewandowski,FW,1,90,0,0,0,0,
1016,Ousmane Dembélé,MF,1,67,1,0,1,0,
1016,Raphinha,FW,0,23,0,0,0,0,
1016,Frenkie de Jong,MF,1,90,1,0,0,0,
1016,Sergio Busquets,MF,1,67,0,1,0,0,
1016,Gavi,MF,0,23,0,0,0,0,
1016,Pedri,MF,1,90,0,0,0,0,
1016,Jordi Alba,DF,1,90,0,0,0,0,
1016,Marcos Alonso,DF,1,90,0,0,0,0,
1016,Gerard Piqué,DF,1,84,0,0,0,0,
1016,Andreas Christensen,DF,0,6,0,0,0,0,
1016,Alejandro Balde,DF,1,90,0,0,0,0,
1016,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1018,Ansu Fati,FW,1,61,0,0,1,0,
1018,Ferrán Torres,FW,0,29,0,0,1,0,
1018,Robert Lewandowski,FW,1,90,0,0,0,0,
1018,Raphinha,FW,1,61,0,0,1,0,
1018,Ousmane Dembélé,MF,0,29,0,0,0,0,
1018,Pedri,MF,1,90,0,0,1,0,
1018,Frenkie de Jong,MF,1,81,0,0,0,0,
1018,Jules Koundé,DF,0,9,0,0,0,0,
1018,Gavi,MF,1,51,0,0,1,0,
1018,Sergio Busquets,MF,0,39,0,0,0,0,
1018,Jordi Alba,DF,1,77,0,0,2,1,
1018,Marcos Alonso,DF,1,90,1,0,0,0,
1018,Andreas Christensen,DF,1,90,0,1,0,0,
1018,Sergi Roberto,DF,1,81,0,0,0,0,
1018,Alejandro Balde,DF,0,9,0,0,0,0,
1018,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1019,Memphis,FW,1,73,0,0,0,0,
1019,Ansu Fati,FW,0,47,1,0,0,0,
1019,Ferrán Torres,FW,1,60,0,0,0,0,
1019,Raphinha,FW,0,60,1,1,0,0,
1019,Ousmane Dembélé,MF,1,104,1,0,0,0,
1019,Alejandro Balde,DF,0,16,0,0,0,0,
1019,Pablo Torre,FW,1,59,0,1,1,0,
1019,Gavi,MF,0,61,0,1,0,0,
1019,Sergio Busquets,MF,1,120,0,0,0,0,
1019,Franck Kessié,MF,1,120,0,0,0,0,
1019,Jordi Alba,DF,1,120,0,1,0,0,
1019,Jules Koundé,DF,1,120,0,0,0,0,
1019,Ronald Araújo,DF,1,59,1,0,0,0,
1019,Eric García,DF,0,61,0,0,0,0,
1019,Héctor Bellerín,DF,1,82,0,0,0,0,
1019,Marcos Alonso,DF,0,38,0,0,0,0,
1019,Iñaki Peña,GK,1,120,0,0,0,0,
1020,Pedri,MF,1,90,0,0,0,0,
1020,Ansu Fati,FW,1,56,0,0,0,0,
1020,Ferrán Torres,FW,0,33,0,0,0,1,
1020,Ousmane Dembélé,MF,1,90,1,0,0,0,
1020,Frenkie de Jong,MF,1,57,0,0,0,0,
1020,Franck Kessié,MF,0,33,0,0,0,0,
1020,Sergio Busquets,MF,1,80,0,0,0,0,
1020,Sergi Roberto,DF,0,10,0,0,0,0,
1020,Gavi,MF,1,72,0,1,0,0,
1020,Raphinha,FW,0,18,0,0,1,0,
1020,Alejandro Balde,DF,1,80,0,0,0,0,
1020,Marcos Alonso,DF,0,10,0,0,0,0,
1020,Andreas Christensen,DF,1,90,0,0,1,0,
1020,Ronald Araújo,DF,1,90,0,0,1,0,
1020,Jules Koundé,DF,1,90,0,0,0,0,
1020,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1021,Ousmane Dembélé,MF,1,62,0,0,0,0,
1021,Ferrán Torres,FW,0,58,0,0,0,0,
1021,Robert Lewandowski,FW,1,120,1,0,0,0,
1021,Raphinha,FW,1,89,0,0,1,0,
1021,Ansu Fati,FW,0,31,1,0,0,0,
1021,Pedri,MF,1,120,0,0,0,0,
1021,Frenkie de Jong,MF,1,62,0,0,0,0,
1021,Sergio Busquets,MF,0,58,0,0,0,0,
1021,Gavi,MF,1,95,0,0,0,0,
1021,Franck Kessié,MF,0,25,0,0,0,0,
1021,Jordi Alba,DF,1,78,0,0,0,0,
1021,Marcos Alonso,DF,0,42,0,0,0,0,
1021,Jules Koundé,DF,1,120,0,0,0,0,
1021,Ronald Araújo,DF,1,120,0,0,0,0,
1021,Sergi Roberto,DF,1,77,0,0,1,0,
1021,Andreas Christensen,DF,0,43,0,0,0,0,
1021,Marc-André ter Stegen,GK,1,120,0,0,0,0,
1022,Robert Lewandowski,FW,1,90,1,1,0,0,
1022,Gavi,MF,1,89,1,2,0,0,
1022,Ansu Fati,FW,0,1,0,0,0,0,
1022,Pedri,MF,1,89,1,0,0,0,
1022,Sergi Roberto,DF,0,1,0,0,0,0,
1022,Ousmane Dembélé,MF,1,77,0,0,0,0,
1022,Raphinha,FW,0,13,0,0,0,0,
1022,Frenkie de Jong,MF,1,86,0,0,0,0,
1022,Franck Kessié,MF,0,4,0,0,0,0,
1022,Sergio Busquets,MF,1,90,0,0,0,0,
1022,Alejandro Balde,DF,1,90,0,0,0,0,
1022,Andreas Christensen,DF,1,90,0,0,1,0,
1022,Jules Koundé,DF,1,90,0,0,0,0,
1022,Ronald Araújo,DF,1,85,0,0,1,0,
1022,Eric García,DF,0,5,0,0,0,0,
1022,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1023,Ferrán Torres,FW,1,59,0,0,0,0,
1023,Ansu Fati,FW,0,31,1,0,0,0,
1023,Robert Lewandowski,FW,1,90,2,0,0,0,
1023,Raphinha,FW,1,79,1,1,0,0,
1023,Ángel Alarcón,FW,0,11,0,0,0,0,
1023,Pablo Torre,FW,1,45,0,0,0,0,
1023,Gavi,MF,0,45,0,0,0,0,
1023,Sergi Roberto,DF,1,72,0,0,0,0,
1023,Sergio Busquets,MF,0,18,0,0,0,0,
1023,Franck Kessié,MF,1,90,1,2,0,0,
1023,Jordi Alba,DF,1,90,0,1,0,0,
1023,Marcos Alonso,DF,1,72,0,0,0,0,
1023,Andreas Christensen,DF,0,18,0,0,0,0,
1023,Eric García,DF,1,90,0,1,0,0,
1023,Héctor Bellerín,DF,1,90,0,0,0,0,
1023,Iñaki Peña,GK,1,90,0,0,0,0,
1024,Raphinha,FW,1,61,0,1,0,0,
1024,Franck Kessié,MF,0,29,0,0,0,0,
1024,Ansu Fati,FW,1,90,0,0,0,0,
1024,Ousmane Dembélé,MF,1,90,0,0,1,0,
1024,Gavi,MF,1,90,0,0,0,0,
1024,Sergio Busquets,MF,1,90,0,0,0,0,
1024,Pedri,MF,1,90,1,0,0,0,
1024,Alejandro Balde,DF,1,45,0,0,0,0,
1024,Jordi Alba,DF,0,45,0,0,0,0,
1024,Andreas Christensen,DF,1,45,0,0,0,0,
1024,Eric García,DF,0,45,0,0,0,0,
1024,Jules Koundé,DF,1,90,0,0,0,0,
1024,Sergi Roberto,DF,1,76,0,0,0,0,
1024,Marcos Alonso,DF,0,14,0,0,0,0,
1024,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1025,Gavi,MF,1,90,0,0,0,0,
1025,Robert Lewandowski,FW,1,90,0,0,0,0,
1025,Ousmane Dembélé,MF,1,83,1,0,0,0,
1025,Ansu Fati,FW,0,7,0,0,0,0,
1025,Frenkie de Jong,MF,1,90,0,0,0,0,
1025,Sergio Busquets,MF,1,90,0,0,1,0,
1025,Pedri,MF,1,76,0,0,1,0,
1025,Franck Kessié,MF,0,14,0,0,0,0,
1025,Alejandro Balde,DF,1,77,0,0,0,0,
1025,Raphinha,FW,0,13,0,0,0,0,
1025,Andreas Christensen,DF,1,89,0,0,0,0,
1025,Marcos Alonso,DF,0,1,0,0,0,0,
1025,Ronald Araújo,DF,1,90,0,0,0,0,
1025,Jules Koundé,DF,1,90,0,1,0,0,
1025,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1026,Ousmane Dembélé,MF,1,25,0,0,0,0,
1026,Pedri,MF,0,65,1,0,1,0,
1026,Ansu Fati,FW,1,80,0,0,1,0,
1026,Alejandro Balde,DF,0,10,0,0,0,0,
1026,Raphinha,FW,1,87,0,0,0,0,
1026,Franck Kessié,MF,0,3,0,0,0,0,
1026,Frenkie de Jong,MF,1,90,0,0,0,0,
1026,Sergio Busquets,MF,1,90,0,0,0,0,
1026,Gavi,MF,1,90,0,0,1,0,
1026,Marcos Alonso,DF,1,45,0,0,0,0,
1026,Jordi Alba,DF,0,45,0,1,0,0,
1026,Eric García,DF,1,90,0,0,0,0,
1026,Ronald Araújo,DF,1,90,0,0,0,0,
1026,Jules Koundé,DF,1,90,0,0,0,0,
1026,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1027,Gavi,MF,1,83,0,0,0,0,
1027,Ferrán Torres,FW,0,7,0,0,0,0,
1027,Robert Lewandowski,FW,1,90,1,0,0,0,
1027,Raphinha,FW,1,79,1,0,0,0,
1027,Ansu Fati,FW,0,11,0,0,0,0,
1027,Pedri,MF,1,89,0,0,0,0,
1027,Franck Kessié,MF,0,1,0,0,0,0,
1027,Sergio Busquets,MF,1,90,0,0,0,0,
1027,Frenkie de Jong,MF,1,90,0,0,0,0,
1027,Alejandro Balde,DF,1,90,0,1,0,0,
1027,Andreas Christensen,DF,1,90,0,0,0,0,
1027,Ronald Araújo,DF,1,90,0,1,0,0,
1027,Jules Koundé,DF,1,90,0,0,0,0,
1027,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1028,Gavi,MF,1,79,1,0,0,0,
1028,Ansu Fati,FW,0,11,0,0,0,0,
1028,Robert Lewandowski,FW,1,90,0,0,0,0,
1028,Raphinha,FW,1,83,1,1,0,0,
1028,Ferrán Torres,FW,0,7,0,0,0,0,
1028,Frenkie de Jong,MF,1,90,0,0,0,0,
1028,Sergio Busquets,MF,1,7,0,0,0,0,
1028,Franck Kessié,MF,0,83,0,1,0,0,
1028,Pedri,MF,1,90,0,0,0,0,
1028,Jordi Alba,DF,1,82,1,1,0,0,
1028,Alejandro Balde,DF,0,8,0,0,0,0,
1028,Andreas Christensen,DF,1,90,0,0,0,0,
1028,Ronald Araújo,DF,1,79,0,0,0,0,
1028,Marcos Alonso,DF,0,11,0,0,0,0,
1028,Jules Koundé,DF,1,90,0,0,0,0,
1028,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1029,Gavi,MF,1,90,0,0,0,0,
1029,Robert Lewandowski,FW,1,90,0,1,0,0,
1029,Raphinha,FW,1,80,0,0,1,0,
1029,Ferrán Torres,FW,0,10,0,0,0,0,
1029,Franck Kessié,MF,1,88,0,0,0,0,
1029,Jordi Alba,DF,0,2,0,0,0,0,
1029,Frenkie de Jong,MF,1,90,0,0,1,0,
1029,Pedri,MF,1,90,1,0,0,0,
1029,Alejandro Balde,DF,1,90,0,0,0,0,
1029,Andreas Christensen,DF,1,90,0,0,0,0,
1029,Ronald Araújo,DF,1,90,0,0,1,0,
1029,Jules Koundé,DF,1,90,0,0,1,0,
1029,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1030,Gavi,MF,1,90,0,0,1,0,
1030,Robert Lewandowski,FW,1,90,0,0,0,0,
1030,Raphinha,FW,1,82,1,0,0,0,
1030,Ferrán Torres,FW,0,8,0,0,0,0,
1030,Franck Kessié,MF,1,66,0,0,0,0,
1030,Ansu Fati,FW,0,24,0,0,0,0,
1030,Frenkie de Jong,MF,1,90,0,0,0,0,
1030,Pedri,MF,1,40,0,0,0,0,
1030,Sergi Roberto,DF,0,50,0,0,0,0,
1030,Jordi Alba,DF,1,66,0,0,1,0,
1030,Alejandro Balde,DF,0,24,0,0,0,0,
1030,Marcos Alonso,DF,1,66,1,0,0,0,
1030,Andreas Christensen,DF,0,24,0,0,0,0,
1030,Ronald Araújo,DF,1,90,0,0,0,0,
1030,Jules Koundé,DF,1,90,0,1,0,0,
1030,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1031,Ansu Fati,FW,1,85,0,0,0,0,
1031,Ángel Alarcón,FW,0,5,0,0,0,0,
1031,Robert Lewandowski,FW,1,73,1,0,0,0,
1031,Raphinha,FW,0,17,0,0,0,0,
1031,Ferrán Torres,FW,1,90,0,0,0,0,
1031,Sergi Roberto,DF,1,90,1,1,0,0,
1031,Frenkie de Jong,MF,1,68,0,0,1,0,
1031,Franck Kessié,MF,0,22,0,0,1,0,
1031,Gavi,MF,1,90,0,0,0,0,
1031,Alejandro Balde,DF,1,90,0,0,0,0,
1031,Eric García,DF,1,90,0,0,0,0,
1031,Andreas Christensen,DF,1,90,0,0,0,0,
1031,Jules Koundé,DF,1,90,0,0,0,0,
1031,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1032,Sergi Roberto,DF,1,69,0,0,1,0,
1032,Ferrán Torres,FW,0,21,0,0,0,0,
1032,Robert Lewandowski,FW,1,90,1,0,1,0,
1032,Raphinha,FW,1,74,0,0,0,0,
1032,Ansu Fati,FW,0,16,0,0,0,0,
1032,Franck Kessié,MF,1,90,0,0,0,0,
1032,Sergio Busquets,MF,1,90,0,0,1,0,
1032,Frenkie de Jong,MF,1,90,0,0,0,0,
1032,Alejandro Balde,DF,1,90,0,0,0,0,
1032,Andreas Christensen,DF,1,90,0,0,0,0,
1032,Ronald Araújo,DF,1,81,0,0,0,0,
1032,Marcos Alonso,DF,0,9,0,0,0,0,
1032,Jules Koundé,DF,1,90,0,0,0,0,
1032,Marc-André ter Stegen,GK,1,90,0,0,0,0,
1033,Gavi,MF,1,90,0,0,1,0,
1033,Robert Lewandowski,FW,1,90,0,0,0,0,
1033,Ferrán Torres,FW,1,90,0,0,0,0,
1033,Frenkie de Jong,MF,1,90,0,0,0,0,
1033,Sergio Busquets,MF,1,75,0,0,0,0,
1033,Pablo Torre,FW,0,15,0,0,0,0,
1033,Franck Kessié,MF,1,45,0,0,0,0,
1033,Raphinha,FW,0,45,0,0,1,0,
1033,Jordi Alba,DF,1,66,0,0,0,0,
