ID_Partido,ID_StatsBomb,ID_Entrenador,Fecha,Temporada,Competicion,Rival,Localia,Resultado,Goles_Barca,Goles_Rival,Penaltis_Barca,Penaltis_Rival
217,69187.0,1,2008-02-03,2007-2008,La Liga,Osasuna,Home,W,1,0,,
218,69146.0,1,2008-02-09,2007-2008,La Liga,Sevilla,Away,D,1,1,,
219,69182.0,1,2008-02-16,2007-2008,La Liga,Zaragoza,Away,W,2,1,,
220,,1,2008-02-20,2007-2008,Champions Lg,Celtic,Away,W,3,2,,
221,68360.0,1,2008-02-24,2007-2008,La Liga,Levante,Home,W,5,1,,
222,68365.0,1,2008-03-01,2007-2008,La Liga,Atlético Madrid,Away,L,2,4,,
223,,1,2008-03-04,2007-2008,Champions Lg,Celtic,Home,W,1,0,,
224,,1,2008-03-09,2007-2008,La Liga,Villarreal,Home,L,1,2,,
225,,1,2008-03-16,2007-2008,La Liga,Almería,Away,D,2,2,,
226,,1,2008-03-23,2007-2008,La Liga,Valladolid,Home,W,4,1,,
227,,1,2008-03-29,2007-2008,La Liga,Real Betis,Away,L,2,3,,
228,,1,2008-04-01,2007-2008,Champions Lg,Schalke 04,Away,W,1,0,,
229,,1,2008-04-06,2007-2008,La Liga,Getafe,Home,D,0,0,,
230,,1,2008-04-09,2007-2008,Champions Lg,Schalke 04,Home,W,1,0,,
231,68358.0,1,2008-04-12,2007-2008,La Liga,Recreativo,Away,D,2,2,,
232,68359.0,1,2008-04-19,2007-2008,La Liga,Espanyol,Home,D,0,0,,
233,,1,2008-04-23,2007-2008,Champions Lg,Manchester Utd,Home,D,0,0,,
234,,1,2008-04-26,2007-2008,La Liga,Dep La Coruña,Away,L,0,2,,
235,,1,2008-04-29,2007-2008,Champions Lg,Manchester Utd,Away,L,0,1,,
236,69141.0,1,2008-05-04,2007-2008,La Liga,Valencia,Home,W,6,0,,
237,68361.0,1,2008-05-07,2007-2008,La Liga,Real Madrid,Away,L,1,4,,
238,68366.0,1,2008-05-11,2007-2008,La Liga,Mallorca,Home,L,2,3,,
239,69186.0,1,2008-05-17,2007-2008,La Liga,Real Murcia,Away,W,5,3,,
240,,2,2008-08-13,2008-2009,Champions Lg,Wisła Kraków,Home,W,4,0,,
241,,2,2008-08-26,2008-2009,Champions Lg,Wisła Kraków,Away,L,0,1,,
242,69147.0,2,2008-08-31,2008-2009,La Liga,Numancia,Away,L,0,1,,
243,69215.0,2,2008-09-13,2008-2009,La Liga,Racing Sant,Home,D,1,1,,
244,,2,2008-09-16,2008-2009,Champions Lg,Sporting CP,Home,W,3,1,,
245,69138.0,2,2008-09-21,2008-2009,La Liga,Sporting Gijón,Away,W,6,1,,
246,69207.0,2,2008-09-24,2008-2009,La Liga,Real Betis,Home,W,3,2,,
247,69211.0,2,2008-09-27,2008-2009,La Liga,Espanyol,Away,W,2,1,,
248,,2,2008-10-01,2008-2009,Champions Lg,Shakhtar Donetsk,Away,W,2,1,,
249,69212.0,2,2008-10-04,2008-2009,La Liga,Atlético Madrid,Home,W,6,1,,
250,,2,2008-10-19,2008-2009,La Liga,Athletic Club,Away,W,1,0,,
251,,2,2008-10-22,2008-2009,Champions Lg,Basel,Away,W,5,0,,
252,69232.0,2,2008-10-25,2008-2009,La Liga,Almería,Home,W,5,0,,
253,69235.0,2,2008-11-01,2008-2009,La Liga,Málaga,Away,W,4,1,,
254,,2,2008-11-04,2008-2009,Champions Lg,Basel,Home,D,1,1,,
255,69279.0,2,2008-11-08,2008-2009,La Liga,Valladolid,Home,W,6,0,,
256,69285.0,2,2008-11-16,2008-2009,La Liga,Recreativo,Away,W,2,0,,
257,,2,2008-11-23,2008-2009,La Liga,Getafe,Home,D,1,1,,
258,,2,2008-11-26,2008-2009,Champions Lg,Sporting CP,Away,W,5,2,,
259,69171.0,2,2008-11-29,2008-2009,La Liga,Sevilla,Away,W,3,0,,
260,69149.0,2,2008-12-06,2008-2009,La Liga,Valencia,Home,W,4,0,,
261,,2,2008-12-09,2008-2009,Champions Lg,Shakhtar Donetsk,Home,L,2,3,,
