ID_Rival,Nombre_Rival
425,Antonio Hidalgo Morilla
426,Antonio Latorre Grueso
427,Antonio López Guerrero
428,Antonio Manuel Luna Rodríguez
429,Antonio Manuel Sánchez Gómez
430,Antonio Moral Segura
431,Antonio Nocerino
432,Antonio Núñez Tena
433,"Antonio Pacheco D""Agosti"
434,Antonio Pinilla Miranda
435,Antonio Puerta Pérez
436,Antonio Ramiro Pérez
437,Antonio Rodríguez Dovale
438,Antonio Rodríguez Martínez
439,Antonio Rukavina
440,Antonio Tomás González
441,Antonio Valencia
442,Antonis Petropoulos
443,António Alberto Bastos Pimparel
444,António Silva
445,Antônio da Silva
446,Anuar Mohamed Tuhami
447,Anwar El Ghazi
448,Aníbal Samuel Matellán
449,Arda Turan
450,Aridane Hernández Umpiérrez
451,Ariel Gerardo Nahuelpán Osten
452,Ariel Miguel Santiago Ibagaza
453,Aritz Aduriz Zubeldia
454,Aritz Elustondo Irribaria
455,Arjen Robben
456,Arkadiusz Milik
457,Armando Miguel Correia de Sa
458,Armindo Tué Na Bangna
459,Arnaldo Antonio Sanabria Ayala
460,Arouna Koné
461,Artem Dzyuba
462,Artem Kravets
463,Artem Milevskiy
464,Arthur Cabral
465,Arthur Etienne Boka
466,Arturo García Muñoz
467,Asier Goiria Etxebarria
468,Asier Illarramendi Andonegi
469,Asier Riesgo Unamuno
470,Asier Villalibre Molina
471,Asier del Horno
472,Asier del Horno Cosgaya
473,Augusto Jorge Mateo Solari
474,Augusto Matías Fernández
475,Aymen Abdennour
476,Aymeric Laporte
477,Ayoze Díaz Díaz
478,Ayoze García Pérez
479,Aythami Artiles Oliva
480,Aïssa Mandi
481,Bacary Sagna
482,Bakaye Traoré
483,Barry Robson
484,Bartholomew Owogbalor Ogbeche
485,Bartlomiej Pawłowski
486,Bastian Oczipka
487,Bastian Schweinsteiger
488,Ben Sahar
489,Benjamín Rollheiser
490,Benoît Trémoulinas
491,Beram Kayal
492,Bernard Mensah
493,Bernardo José Espinosa Zúñiga
494,Bertrand Traoré
495,Betão
496,Beñat Etxebarria Urkiaga
497,Bibras Natkho
498,Blagoy Georgiev
499,Blaise Matuidi
500,Borja Ekiza Imaz
501,Borja Fernández Fernández
502,Borja García Freire
503,Borja González Tomás
504,Borja Gómez Pérez
505,Borja Iglesias Quintas
506,Borja Mayoral Moya
507,Borja Oubiña Meléndez
508,Borja Sainz Eguskiza
509,Borja Valero
510,Borja Valero Iglesias
511,Borja Valle Balonga
512,Borja Viguera Manzanares
513,Boško Janković
514,Braian Damián Rodríguez Carballo
515,Brais Méndez Portela
516,Brandão
517,Branislav Ivanović
518,Braulio Nóbrega Rodríguez
519,Bruno Alexandre Vilela Gama
520,Bruno Cirillo
521,Bruno César
522,Bruno González Cabrera
523,Bruno Pereirinha
524,Bruno Saltor Grau
525,Bruno Soriano Llido
526,Bryan Gil Salvatierra
527,Bryan Martín Rabello Mella
528,Cacau
529,Cafú
530,Caio Henrique Oliveira Silva
531,Carl Medjani
532,Carles Aleña Castillo
533,Carles Gil de Pareja Vicent
534,Carles Planas Antolínez
535,Carlos Alberto Sánchez Moreno
536,Carlos Alberto Vela Garrido
537,Carlos Andrés Diogo Enseñat
538,Carlos Arturo Bacca Ahumada
539,Carlos Augusto
540,Carlos Calvo Sobrado
541,Carlos Carbonell Gil
542,Carlos Castro García
543,Carlos Domínguez Cáceres
544,Carlos Fernández Luna
545,Carlos González Peña
546,Carlos Grossmüller
547,Carlos Gurpegi Nausia
548,Carlos Henrique Casimiro
549,Carlos Javier Acuña Caballero
550,Carlos Joaquín Correa
551,Carlos Jorge Neto Martins
552,Carlos Marchena López
553,Carlos Martins
554,Carlos Martín Vigaray
555,Carlos Martínez Díez
556,Carlos Merino González
557,Carlos Neva Tey
558,Carlos Reina Aranda
559,Carlos Soler Barragán
560,Carlos Tevez
561,Carlão
562,Carmelo José González Jiménez
563,Cayetano Bartolomé Bonnín Vásquez
564,Cedric Mabwati Gerard
565,Celso Borges Mora
566,Charles Días Barbosa de Oliveira
567,Charly Musonda Junior
568,Cheikh Niasse
569,Cherif Ndiaye
570,Chidozie Collins Awaziem
571,Chris Smalling
572,Christian Alfonso López
573,Christian Bolaños
574,Christian Daniel Bravo Araneda
575,Christian Fernández Salas
576,Christian Gabriel Oliva Giménez
577,Christian Koffi Romaric N''Dri
578,Christian Lell
579,Christian Mawissa
580,Christian Noboa
581,Christian Obodo
582,Christian Pander
583,Christian Riganò
584,Christian Rivera Hernández
585,Christian Robert Santos Kwasniewski
586,Christoph Metzelder
587,Chu-Young Park
588,Ciprian Marica
589,Clarence Seedorf
590,Claudemir de Souza
591,Claudio Andrés Bravo Muñoz
592,Claudio Beauvue
593,Claudio Matías Kranevitter
594,Claudio Pizarro
595,Clemente Juan Rodríguez
596,Cléber Guedes de Lima
597,Cléber Santana Loureiro
598,Clément Chantôme
599,Constantinos Charalambides
600,Cosmin Marius Contra
601,Cris
602,Cristhian Ricardo Stuani Curbelo
603,Cristian Ansaldi
604,Cristian Chivu
605,Cristian Darío Álvarez
606,Cristian Eduardo Zapata Valencia
607,Cristian Gabriel Rodríguez Barrotti
608,Cristian Gómez García
609,Cristian Hidalgo González
610,Cristian Lobato Villegas
611,Cristian Molinaro
612,Cristian Omar Espinoza
613,Cristian Osvaldo Álvarez
614,Cristian Portilla Rodríguez
615,Cristian Portugués Manzanera
616,Cristian Tello Herrera
617,Cristiano Biraghi
618,Cristiano Doni
619,Cristiano Ronaldo
620,Cristiano Ronaldo dos Santos Aveiro
621,Cédric Bakambu
622,César Arzo Amposta
623,César Delgado
624,César González Navas
625,César Palacios Chocarro
626,DaMarcus Beasley
627,Dame N'Doye
628,Damiano Tommasi
629,Damien Plessis
630,Damià Abella Pérez
631,Damián Ariel Escudero
632,Damián Marcelo Musto
633,Damián Nicolás Suárez Suárez
634,Dani Castellano Betancor
635,Daniel Alberto Díaz
636,Daniel Alejandro Torres Rojas
637,Daniel Alves da Silva
638,Daniel Aranzubia Aguado
639,"Daniel Armand N""Gom Komé"
640,Daniel Carvajal Ramos
641,Daniel Ceballos Fernández
642,Daniel Escriche Romero
643,Daniel Estrada Agirrezablaga
644,Daniel Filipe Martins Carriço
645,Daniel García Carrillo
646,Daniel González Benítez
647,Daniel González Güiza
648,Daniel Gómez Alcón
649,Daniel Jarque Gonzalez
650,Daniel Jensen
651,Daniel José Rodríguez Vázquez
652,Daniel João Santos Candeias
653,Daniel Nieto Vela
654,Daniel Parejo Muñoz
655,Daniel Pinillos González
656,Daniel Raba Antolín
657,Daniel Schwaab
658,Daniel Sturridge
659,Daniel Wass
660,Daniele Bonera
661,Daniele Verde
662,Danijel Pranjić
663,Danilo Barbosa da Silva
664,Danny da Costa
665,Darijo Srna
666,Darko Brašanac
667,Darren Fletcher
668,Darwin Daniel Machís Marcano
669,David Abraham
670,David Aganzo Méndez
671,David Albelda Aliqués
672,David Barral Torres
673,David Beckham
674,David Belenguer Reverter
675,David Coromina Pararols
676,David Cortés Caballero
677,David Cuéllar Tainta
678,David Di Michele
679,David Ferreiro Quiroga
680,David Fuster Torrijos
681,David García Cubillo
682,David García De La Cruz
683,David García Santana
684,David García Zubiría
685,David Generelo Miranda
686,David Josué Jiménez Silva
687,David Juncà Reñé
688,David Limberský
689,David Luiz
690,David López Moreno
691,David López Silva
692,David Mateos Ramajo
693,David Navarro Pedrós
694,David Odonkor
695,David Remeseiro Salgueiro
696,David Rodríguez Lombán
697,David Silva
698,David Simón Rodríguez Santana
699,David Soria Solís
700,David Sánchez Rodríguez
701,David Timor Copoví
702,David Villa Sánchez
703,David Weir
704,David Zurutuza Veillet
705,David de Gea Quintana
706,Davide Frattesi
707,Davide Santon
708,Dejan Dražić
709,Dejan Lekić
710,Dejan Stanković
711,Delio Cesar Toledo
712,Denis Cheryshev
713,Denis Suárez Fernández
714,Denis Vavro
715,Denzel Dumfries
716,Denílson
717,Derek Owusu Boateng
718,Derlei
719,Deyverson Brum Silva Acosta
720,Didier Digard
721,Didier Drogba
722,Diego Alberto Milito
723,Diego Alejandro Rolan Silva
724,Diego Alves Carreira
725,Diego Benito Rey
726,Diego Camacho Quesada
727,Diego Carlos Santos Silva
728,Diego Castro Giménez
729,Diego Daniel Colotto
730,Diego Forlán Corazo
731,Diego Ifrán Sala
732,Diego Javier Llorente Ríos
733,Diego Lainez Leyva
734,Diego López Rodríguez
735,Diego Mainz García
736,Diego Mario Buonanotte Rende
737,Diego Mariño Villar
738,Diego Milito
739,Diego Perotti
740,Diego Rivas Gutiérrez
741,Diego Roberto Godín Leal
742,Diego Tardelli Martins
743,Diego da Silva Costa
744,Diego Ángel Capel Trinidad
745,Dimas Delgado Morgado
746,Dimitar Berbatov
747,Dimitri Foulquier
748,Dimitrios Siovas
749,Dimitris Papadopoulos
750,Diogo Dalot
751,Diogo Ferreira Salomão
752,Diogo José Rosário Gomes Figueiras
753,Divock Origi
754,Djamel Mesbah
755,Djené Dakonam Ortega
756,Domingo Cisma González
757,Domingo Nagore Arbizu
758,Domingos Sousa Coutinho Meneses Duarte
759,Donyell Malen
760,Dorlan Mauricio Pabón Ríos
761,Douglas Costa
762,Douglas Luiz Soares de Paulo
763,Douglas Pereira dos Santos
764,Dudú Aouate
765,Duje Čop
766,Dálcio
767,Dídac Vilá Rosselló
768,Ebi Smolarek
769,Ebrima Colley
770,Eddy Silvestre Pascual İsrafilov
771,Edgar Antonio Méndez Ortega
772,Edgar Patricio De Carvalho Pacheco
773,Edhar Alyakhnovich
774,Edinson Cavani
775,Edson Ramos de Silva
776,Eduardo Antonio Salvio
777,Eduardo Bedia Peláez
778,Eduardo César Daude Gaspar
779,Eduardo Expósito Jaén
780,Eduardo Jesús Vargas Rojas
781,Eduardo Moya Castillo
782,Eduardo Nascimento Costa
783,Eduardo Nicolás Tuzzio
784,Eduardo Ramos Gómez
785,Eduardo Rubio
786,Eduardo da Silva
787,Efraín Juárez Váldez
788,Egor Prutsev
789,Eliaquim Mangala
790,Elias Mendes Trindade
791,Eliesse Ben Seghir
792,Elini Dimoutsos
793,Eliseu Pereira dos Santos
794,Elton Giovanni Machado
795,Emanuel Cecchini
796,Emerson Aparecido Leite de Souza Junior
797,Emiliano Adrián Insúa Zapata
798,Emiliano Ariel Rigoni
799,Emiliano Daniel Armenteros
800,Emiliano Daniel Velázquez Maldonado
801,Emiliano Moretti
802,Emilio José Viqueira Moure
803,Emilio Nsue López
804,Emir Spahić
805,Emmanuel Adebayor
806,Emmanuel Eboué
807,Emmanuel Emenike
808,Emmanuel Nosakhare Igiebor
809,Emmanuel Okyere Boateng
810,Emre Mor
811,Emre Çolak
812,Eneko Bóveda Altube
813,Enes Ünal
814,Enis Bardhi
815,Enric Gallego Puigsech
816,Enrique Barja Afonso
817,Enrique Fernando Ortiz Moruno
818,Enrique García Martínez
819,Enrique González Casín
820,Enrique Mateo Montoya
821,Enrique Pérez Muñoz
822,Enrique Sola Clemente
823,Enrique de Lucas Martínez
824,Enrique Álvarez San Juan
825,Enzo Alan Zidane Fernández
826,Enzo Maresca
827,Enzo Nicolás Pérez
828,Eren Derdiyok
829,Eric Bertrand Bailly
830,Eric Dier
831,Erick Cathriel Cabaco Almada
832,Erick Gutiérrez
833,Erik Morán Arribas
834,Ermedin Demirović
835,Ersen Martin
836,Esteban Félix Granero Molina
837,Esteban Rolón
838,Etienne Capoue
839,Evander Sno
840,Ewerthon Henrique de Souza
841,Ezequiel Garay
842,Ezequiel Lavezzi
843,Ezequiel Luna
844,Ezequiel Marcelo Garay
845,Fabian Ernst
846,Fabian Lukas Schär
847,Fabiano Eler dos Santos
848,Fabinho
849,Fabio Cannavaro
850,Fabio Celestini
851,Fabio Grosso
852,Fabián Andrés Vargas Rivera
853,Fabián Ariel Orellana Valenzuela
854,Fabián Larry Estoyanoff Poggio
855,Fabián Ruiz Peña
856,Fabricio Coloccini
857,Fabrizio Miccoli
858,Facundo Sebastián Roncaglia
859,Fausto Rossi
860,Fayçal Fajr
861,Federico Julián Fazio
862,Federico Nicolás Cartabia
863,Federico Piovaccari
864,Federico Ricca Rostagnol
865,Federico Santiago Valverde Dipetta
866,Federico Vico Villegas
867,Felipe Alejandro Gutiérrez Leiva
868,Felipe Augusto de Almeida Monteiro
869,Felipe Guréndez Aldanondo
870,Felipe Melo de Carvalho
871,Felipe Salvador Caicedo Corozo
872,Felipe dal Belo
873,Felix Dja Ettien Yohou
874,Felix Nmecha
875,Fernandinho
876,Fernando
877,Fernando Amorebieta Mardaras
878,Fernando Calero Villa
879,Fernando Damián Tissone
880,Fernando Ezequiel Cavenaghi
881,Fernando Francisco Reges
882,Fernando José Torres Sanz
883,Fernando Llorente
884,Fernando Llorente Torres
885,Fernando Martín Forestieri
886,Fernando Marçal
887,Fernando Meira
888,Fernando Miguel Fernández Escribano
889,Fernando Morientes Sánchez
890,Fernando Navarro i Corbacho
891,Fernando Niño Rodriguez
892,Fernando Rubén Gago
893,Fernando Soriano Marco
894,Fernando Tissone
895,Fernando Torres
896,Fernando Varela Ramos
897,Fernando Vega Torres
898,Ferrán Corominas Telechea
899,Ferrán Torres García
900,Fidel Chaves de la Torre
901,Filip Bradarić
902,Filip Ugrinic
903,Filipe Augusto Carvalho Souza
904,Filipe Luís Kasmirski
905,Florent Sinama-Pongolle
906,Florin Andone
907,Flávio Nunes Ferreira
908,Folarin Balogun
909,Francesc Aday Benítez Caraballo
910,Francesco Acerbi
911,Francis Joseph Coquelin
912,Francisco Alcácer García
913,Francisco Casilla Cortés
914,Francisco David Sousa Franquelo
915,Francisco Esteban Granados
916,Francisco Femenía Far
917,Francisco Gámez López
918,Francisco Javier Casquero Paredes
919,Francisco Javier Chica Torres
920,Francisco Javier Farinós Zapata
921,Francisco Javier García Fernández
922,Francisco Javier García Guerrero
923,Francisco Javier Guerrero Martín
924,Francisco Javier Hidalgo Gómez
925,Francisco Javier Rodríguez Vílchez
926,Francisco Javier Yeste Navarro
927,Francisco Jesús Pérez Malia
928,Francisco Jiménez Tejada
929,Francisco Joaquín Pérez Rufete
930,Francisco José Beltrán Peinado
931,Francisco José Maldonado Collantes
932,Francisco José Molinero Calderón
933,Francisco José Olivas Alba
934,Francisco José Perdomo Borges
935,Francisco Manuel Rico Castro
936,Francisco Medina Luna
937,Francisco Montañés Claverías
938,Francisco Mérida Pérez
939,Francisco Peña Romero
940,Francisco Portillo Soler
941,Francisco Puñal Martínez
942,Francisco Román Alarcón Suárez
943,Francisco Sebastián Nadal Martorell
944,Franck Ribéry
945,Franco Costanzo
946,Franco Damián Vázquez
947,Franco Daniel Jara
948,Franco Zuculini
949,Frank Fahrenhorst
950,Frank Lampard
951,František Ševinský
952,François Clerc
953,Fredson Câmara Pereira
954,Frédéric Oumar Kanouté
955,Fyodor Smolov
956,Fábio Alexandre da Silva Coentrão
957,Fábio Rochemback
958,Fábio Santos
959,Gabriel Alejandro Milito
960,Gabriel Andrei Torje
961,Gabriel Appelt Pires
962,Gabriel Armando de Abreu
963,Gabriel Fernández Arenas
964,Gabriel Iván Mercado
965,Gabriel Matías Fernández Leites
966,Gabriel Moisés Antunes da Silva
967,Gabriel Veiga Novas
968,Gaizka Bergara Picaza
969,Gaizka Garitano Aguirre
970,Gaizka Toquero Pinedo
971,Gaku Shibasaki
972,Gareth Frank Bale
973,Gary Alexis Medel Soto
974,Gaspar Gálvez Burgos
975,Gaël Clichy
976,Gaël Kakuta
977,Geoffrey Kondogbia
978,George Ilenikhena
979,Georginio Wijnaldum
980,Georgios Samaras
981,Gerard Autet Serrabasa
982,Gerard Deulofeu Lázaro
983,Gerard Gumbau Garriga
984,Gerard Moreno Balaguero
985,Gerard Piqué Bernabéu
986,Geremi
987,Germán Alejandro Pezzella
988,Germán Darío Lux
989,Germán Sánchez Barahona
990,Gerónimo Rulli
991,Gheorghe Craioveanu
992,Gianni Michel Eugene Zuiverloon
993,Gio Reyna
994,Giorgi Kochorashvili
995,Giorgio Scalvini
996,Giorgios Seitaridis
997,Giorgos Efrem
998,Giorgos Karagounis
999,Giovani Lo Celso
1000,Giovani dos Santos Ramírez
1001,Giuseppe Rossi
1002,Gonzalo Cacicedo Verdú
1003,Gonzalo Castro
1004,Gonzalo Castro Irizábal
1005,Gonzalo Colsa Albendea
1006,Gonzalo Escalante
1007,Gonzalo Gerardo Higuaín
1008,Gonzalo Javier Rodríguez
1009,Gonzalo Julián Melero Manzanares
1010,Gonzalo Pablo Castellani
1011,Gonçalo Manuel Ganchinho Guedes
1012,Goran Čaušić
1013,Gorka Brit Gallego
1014,Gorka Elustondo Urkola
1015,Gorka Iraizoz Moreno
1016,Gorka Larrea García
1017,Gregory van der Wiel
1018,Grzegorz Krychowiak
1019,Guido Hernán Pizarro
1020,Guido Marcelo Carrillo
1021,Guido Rodríguez
1022,Guilherme Magdalena Siqueira
1023,Guilherme Oliveira Santos
1024,Guilherme dos Santos Torres
1025,Guillermo Luis Franco Farquarson
1026,Gustavo Adrián López Pablo
1027,Gustavo Daniel Cabral Cáceres
1028,Gustavo Enrique Reggi
1029,Gustavo Manduca
1030,Gustavo Nery De Sá Da Silva
1031,Gérson Magrão
1032,Gökdeniz Karadeniz
1033,Hakan Çalhanoğlu
1034,Hamit Altıntop
1035,Haris Medunjanin
1036,Haris Seferović
1037,Harry Kane
1038,Hatem Ben Arfa
1039,Hedwiges Maduro
1040,Heiko Westermann
1041,Henok Goitom
1042,Henrikh Mkhitaryan
1043,Henrique Adriano Buss
1044,Henrique Sereno Fonseca
1045,Hernán Arsenio Pérez González
1046,Hernán Crespo
1047,Hernán Daniel Santana Trujillo
1048,Hernán Darío Bernardello
1049,Hernán Darío Toledo
1050,Hernâni Jorge Santos Fortes
1051,Hipólito Fernández Serrano
1052,Hoalid Regragui
1053,Houssem Aouar
1054,Hugo Duro Perales
1055,Hugo Guillamón Sanmartín
1056,Hugo Mallo Novegil
1057,Hugo Mariano Pavone
1058,Hugo Miguel Ferreira Gomes Viana
1059,Hugo Sotelo
1060,Humberto Andrés Suazo Pontivo
1061,Héctor Alfredo Moreno Herrera
1062,Héctor Berenguel del Piño
1063,Héctor Font Romero
1064,Héctor Hernández Ortega
1065,Héctor Junior Firpo Adames
1066,Héctor Miguel Herrera López
1067,Héctor Rodas Ramírez
1068,Héctor Sánchez Cabrera
1069,Héctor Yuste Cantón
1070,Hélder Filipe Oliveira Lopes
1071,Hélder Jorge Leal Rodrigues Barbosa
1072,Hélder Manuel Marques Postiga
1073,Hélder Postiga
1074,Iago Aspas Juncal
1075,Iago Bouzón Amodeo
1076,Iago Herrerín Buisán
1077,Ibai Gómez Pérez
1078,Ibrahim Amadou
1079,Ibrahima Baldé
1080,Iddrisu Baba Mohammed
1081,Idriss Carlos Kameni
1082,Idrissa Doumbia
1083,Ignacio Camacho Barnola
1084,Ignacio Cases Mora
1085,Ignacio Insa Bohigues
1086,Ignacio Javier Gómez Novo
1087,Ignacio Monreal Eraso
1088,Ignacio Pérez Santamaría
1089,Igor Gabilondo del Campo
1090,Igor Zubeldia Elorza
1091,Ikechukwu Uche
1092,Iker Muniain Goñi
1093,Ilias Kotsios
1094,Ilsinho
1095,Imanol Agirretxe Arruti
1096,Ion Vélez Martínez
1097,Iriney Santos Da Silva
1098,Isaac Ajayi Success
1099,Isaac Carcelén Valencia
1100,Isaac Gómez Sánchez
1101,Isaías Sánchez Cortés
1102,Ismael López Blanco
1103,Ismael Urzáiz Aranda
1104,Issam El Adoua
1105,Ivan Marcano Sierra
1106,Ivan Obradović
1107,Ivan Perišić
1108,Ivan Rakitić
1109,Ivan Ricardo Neves Abreu Cavaleiro
1110,Ivica Dragutinovic
1111,Iván Alejo Peralta
1112,Iván Bolado Palacios
1113,Iván Cuéllar Sacristán
1114,Iván Córdoba
1115,Iván Daniel Alonso Vallejo
1116,Iván De la Peña López
1117,Iván Díaz Ruiz
1118,Iván Gabriel Heinze
1119,Iván Helguera Bujía
1120,Iván López Mendoza
1121,Iván López Álvarez
1122,Iván Márquez Álvarez
1123,Iván Ramis Barrios
1124,Iván Santiago Pérez Maceira
1125,Iván Sánchez Rico Soto
1126,Iván Villar Martínez
1127,Izet Hajrović
1128,Iñaki Descarga Retegi
1129,Iñaki Muñoz Oroz
1130,Iñaki Williams Arthuer
1131,Iñigo Córdoba Kerejeta
1132,Iñigo Pérez Soto
1133,Jack Wilshere
1134,Jackson Arley Martínez Valencia
1135,Jacobo González Rodrigañez
1136,Jaime Asensio De La Fuente
1137,Jaime Gavilán Martínez
1138,Jaime Mata Arnaiz
1139,Jaime Romero Gómez
1140,Jaime Seoane Valenciano
1141,Jaime Sánchez Fernández
1142,Jairo Izquierdo González
1143,Jairo Samperio Bustara
1144,Jamal Musiala
1145,James David Rodríguez Rubio
1146,James Forrest
1147,Jamie Gittens
1148,Jan Vennegoor of Hesselink
1149,Jano Ananidze
1150,Jardel
1151,Jaroslav Plašil
1152,Jaume Doménech Sánchez
1153,Jaume Vicent Costa Jordá
1154,Javad Nekounam
1155,Javi Castellano Betancor
1156,Javi Martínez
1157,Javier Baraja Vegas
1158,Javier Calleja Revilla
1159,Javier Camuñas Gallego
1160,Javier Casas Cuevas
1161,Javier Del Pino González
1162,Javier Eraso Goñi
1163,Javier Espinosa González
1164,Javier Fuego Martínez
1165,Javier García Portillo
1166,Javier Garrido Behovide
1167,Javier Guerra Rodríguez
1168,Javier Hernández Balcázar
1169,Javier Ignacio Aquino Carmona
1170,Javier Lara Grande
1171,Javier López Rodríguez
1172,Javier Magro Matilla
1173,Javier Martínez Aginaga
1174,Javier Muñoz Jiménez
1175,Javier Márquez Moreno
1176,Javier Ontiveros Parra
1177,Javier Paredes Arango
1178,Javier Pastore
1179,Javier Pedro Saviola Fernández
1180,Javier Rodríguez Venta
1181,Javier Ros Añón
1182,Javier Sánchez de Felipe
1183,Javier Varas Herrera
1184,Javier Zanetti
1185,Jaïro Riedewald
1186,Jean Makoun
1187,Jean-Christophe Bahebeck
1188,Jean-Claude Darcheville
1189,Jefferson Andrés Lerma Solís
1190,Jefferson Antonio Montero Vite
1191,Jeffrey Sarpong
1192,Jeison Fabián Murillo Cerón
1193,Jens Jønsson
1194,Jens Lehmann
1195,Jeremie Boga
1196,Jermaine Pennant
1197,Jerónimo Figueroa Cabrera
1198,Jesse Lingard
1199,Jesé Rodríguez Ruiz
1200,Jesús Alberto Dátolo
1201,Jesús Capitán Prada
1202,Jesús Gámez Duarte
1203,Jesús Joaquín Fernández Sáez de la Torre
1204,Jesús María Herrero Gómez
1205,Jesús María Lacruz Gómez
1206,Jesús Navas
1207,Jesús Navas González
1208,Jesús Perera López
1209,Jesús Vallejo Lázaro
1210,Jhon Andrés Córdoba Copete
1211,Jhon Stiven Mondragón Dosman
1212,Jirí Jarošík
1213,Joan Capdevila Méndez
