Jugador;Minutos;Goles;Asistencias;Amarillas;Rojas;Tiros_Totales;Tiros_Puerta;Porcentaje_Tiros_Puerta;Faltas_Cometidas;Faltas_Recibidas;Fueras_Juego;Centros;Intercepciones;Entradas_Ganadas;Penaltis_Provocados;Penaltis_Cometidos;Goles_Propia;Porterias_a_Cero;Porcentaje_Porterias_Cero;Goles_Encajados;Tiros_Puerta_Recibidos;Paradas;Porcentaje_Paradas;temporada
Thierry Henry;2814;24;10;4;0;;79;;46;;;;;;;;;;;;;;;2008-2009
Andrés Iniesta;2763;5;7;5;0;;20;;24;;;;;;;;;;;;;;;2008-2009
Yaya Touré;2726;2;0;5;0;;4;;40;;;;;;;;;;;;;;;2008-2009
Rafael Márquez;2722;2;2;10;1;;5;;24;;;;;;;;;;;;;;;2008-2009
Éric Abidal;2362;0;0;5;2;;0;;28;;;;;;;;;;;;;;;2008-2009
Sergio Busquets;2156;3;1;11;0;;5;;60;;;;;;;;;;;;;;;2008-2009
Seydou Keita;2029;6;1;1;1;;19;;48;;;;;;;;;;;;;;;2008-2009
Sylvinho;1330;1;0;0;0;;4;;4;;;;;;;;;;;;;;;2008-2009
Eiður Guðjohnsen;1149;3;3;2;0;;4;;15;;;;;;;;;;;;;;;2008-2009
Alexander Hleb;1106;0;3;0;0;;6;;22;;;;;;;;;;;;;;;2008-2009
Bojan Krkić;1053;5;5;4;0;;23;;9;;;;;;;;;;;;;;;2008-2009
Martín Cáceres;1000;0;0;0;0;;0;;9;;;;;;;;;;;;;;;2008-2009
Pedro;481;0;0;0;0;;5;;5;;;;;;;;;;;;;;;2008-2009
Víctor Sánchez;423;0;0;0;0;;0;;8;;;;;;;;;;;;;;;2008-2009
José Manuel Pinto;180;0;0;0;0;;0;;0;;;;;;;;;0;0,0;2;10;8;80,0;2008-2009
Xavi Torres;180;0;0;1;0;;0;;6;;;;;;;;;;;;;;;2008-2009
Oier Olazábal;90;0;0;0;0;;0;;0;;;;;;;;;0;0,0;2;7;5;71,4;2008-2009
Víctor Vázquez;90;0;0;0;0;;2;;1;;;;;;;;;;;;;;;2008-2009
Albert Jorquera;90;0;0;0;0;;0;;0;;;;;;;;;0;0,0;3;4;1;25,0;2008-2009
Marc Muniesa;31;0;0;0;1;;0;;1;;;;;;;;;;;;;;;2008-2009
Jeffrén Suárez;30;0;0;0;0;;1;;0;;;;;;;;;;;;;;;2008-2009
Alberto Botía;28;0;0;0;0;;0;;0;;;;;;;;;;;;;;;2008-2009
Thiago Alcántara;18;0;0;0;0;;0;;1;;;;;;;;;;;;;;;2008-2009
Abraham González;15;0;0;0;0;;0;;0;;;;;;;;;;;;;;;2008-2009
Víctor Valdés;4500;0;0;1;0;;0;;0;;;;;;;;;26;52,0;34;148;114;77,0;2009-2010
Lionel Messi;3792;42;9;3;0;;134;;40;;;;;;;;;;;;;;;2009-2010
Xavi;3787;4;16;5;0;;29;;15;;;;;;;;;;;;;;;2009-2010
Gerard Piqué;3529;4;1;10;0;;9;;30;;;;;;;;;;;;;;;2009-2010
Carles Puyol;3516;1;1;10;1;;2;;27;;;;;;;;;;;;;;;2009-2010
Dani Alves;3482;3;10;10;1;;10;;89;;;;;;;;;;;;;;;2009-2010
Sergio Busquets;3016;0;1;10;1;;3;;62;;;;;;;;;;;;;;;2009-2010
Seydou Keita;2909;6;3;7;0;;17;;89;;;;;;;;;;;;;;;2009-2010
Zlatan Ibrahimović;2801;20;8;6;1;;78;;82;;;;;;;;;;;;;;;2009-2010
Pedro;2737;16;3;4;0;;39;;48;;;;;;;;;;;;;;;2009-2010
Maxwell;2605;0;4;4;0;;4;;29;;;;;;;;;;;;;;;2009-2010
Andrés Iniesta;2496;1;4;3;0;;13;;28;;;;;;;;;;;;;;;2009-2010
Yaya Touré;2090;1;5;4;0;;6;;41;;;;;;;;;;;;;;;2009-2010
Éric Abidal;2030;0;3;3;0;;1;;27;;;;;;;;;;;;;;;2009-2010
Thierry Henry;1525;4;2;2;0;;23;;21;;;;;;;;;;;;;;;2009-2010
Bojan Krkić;1137;9;2;2;0;;19;;11;;;;;;;;;;;;;;;2009-2010
Rafael Márquez;1002;1;0;3;1;;4;;9;;;;;;;;;;;;;;;2009-2010
Gabriel Milito;965;0;0;2;0;;1;;15;;;;;;;;;;;;;;;2009-2010
Dmytro Chygrynskiy;876;0;0;2;0;;0;;11;;;;;;;;;;;;;;;2009-2010
Jeffrén Suárez;434;2;0;1;0;;3;;7;;;;;;;;;;;;;;;2009-2010
Jonathan dos Santos;115;0;0;0;0;;0;;3;;;;;;;;;;;;;;;2009-2010
Marc Bartra;30;0;0;0;0;;0;;0;;;;;;;;;;;;;;;2009-2010
Thiago Alcántara;15;1;0;0;0;;1;;0;;;;;;;;;;;;;;;2009-2010
Andreu Fontàs;6;0;0;0;0;;0;;0;;;;;;;;;;;;;;;2009-2010
Dani Alves;3983;4;16;12;0;;19;;81;;;;;;;;;;;;;;;2010-2011
Lionel Messi;3904;43;22;3;0;;110;;40;;;;;;;;;;;;;;;2010-2011
Víctor Valdés;3870;0;0;8;0;;0;;0;;;;;;;;;20;46,5;25;129;104;80,6;2010-2011
David Villa;3687;22;7;3;1;;73;;44;;;;;;;;;;;;;;;2010-2011
Andrés Iniesta;3684;9;10;4;0;;29;;38;;;;;;;;;;;;;;;2010-2011
Gerard Piqué;3673;4;1;14;1;;10;;38;;;;;;;;;;;;;;;2010-2011
Xavi;3403;5;14;6;0;;19;;12;;;;;;;;;;;;;;;2010-2011
Sergio Busquets;3380;1;5;6;0;;4;;51;;;;;;;;;;;;;;;2010-2011
Pedro;2898;18;10;3;0;;44;;41;;;;;;;;;;;;;;;2010-2011
Éric Abidal;2583;0;1;3;0;;4;;15;;;;;;;;;;;;;;;2010-2011
Javier Mascherano;2422;0;0;7;0;;5;;33;;;;;;;;;;;;;;;2010-2011
Maxwell;2190;0;1;2;0;;3;;9;;;;;;;;;;;;;;;2010-2011
Carles Puyol;2013;1;0;4;0;;2;;19;;;;;;;;;;;;;;;2010-2011
Seydou Keita;1983;4;2;2;0;;9;;46;;;;;;;;;;;;;;;2010-2011
Adriano;1361;0;3;3;0;;7;;19;;;;;;;;;;;;;;;2010-2011
Bojan Krkić;1009;6;2;2;0;;19;;12;;;;;;;;;;;;;;;2010-2011
Ibrahim Afellay;786;1;1;1;0;;11;;5;;;;;;;;;;;;;;;2010-2011
Thiago Alcántara;756;2;1;1;0;;6;;10;;;;;;;;;;;;;;;2010-2011
José Manuel Pinto;720;0;0;0;1;;0;;0;;;;;;;;;4;50,0;5;24;19;79,2;2010-2011
Gabriel Milito;681;0;0;3;0;;1;;5;;;;;;;;;;;;;;;2010-2011
Andreu Fontàs;549;1;0;0;0;;1;;1;;;;;;;;;;;;;;;2010-2011
Jeffrén Suárez;333;1;1;0;0;;6;;7;;;;;;;;;;;;;;;2010-2011
Marc Bartra;180;1;;0;0;;;;;;;;;;;;;;;;;;;2010-2011
Jonathan dos Santos;151;0;0;0;0;;0;;2;;;;;;;;;;;;;;;2010-2011
Sergi Roberto;91;0;0;0;0;;0;;0;;;;;;;;;;;;;;;2010-2011
Víctor Vázquez;77;1;0;0;0;;1;;0;;;;;;;;;;;;;;;2010-2011
Martín Montoya;17;0;0;0;0;;0;;0;;;;;;;;;;;;;;;2010-2011
Nolito;16;0;0;0;0;;1;;1;;;;;;;;;;;;;;;2010-2011
Oriol Romeu;10;0;0;0;0;;0;;0;;;;;;;;;;;;;;;2010-2011
Lionel Messi;4260;64;21;8;0;;151;;41;;;;;;;;;;;;;;;2011-2012
Víctor Valdés;4140;0;0;4;0;;0;;0;;;;;;;;;21;45,7;38;118;80;67,8;2011-2012
Javier Mascherano;3637;0;0;7;0;;2;;37;;;;;;;;;;;;;;;2011-2012
Dani Alves;3528;2;12;13;2;;8;;72;;;;;;;;;;;;;;;2011-2012
Sergio Busquets;3309;2;1;10;0;;5;;38;;;;;;;;;;;;;;;2011-2012
Xavi;2871;11;7;2;0;;24;;8;;;;;;;;;;;;;;;2011-2012
Carles Puyol;2655;3;0;5;0;;6;;31;;;;;;;;;;;;;;;2011-2012
Cesc Fàbregas;2593;10;10;6;0;;34;;36;;;;;;;;;;;;;;;2011-2012
Andrés Iniesta;2425;5;10;4;0;;22;;21;;;;;;;;;;;;;;;2011-2012
