Jugador;Minutos;Goles;Asistencias;Amarillas;Rojas;Tiros_Totales;Tiros_Puerta;Porcentaje_Tiros_Puerta;Faltas_Cometidas;Faltas_Recibidas;Fueras_Juego;Centros;Intercepciones;Entradas_Ganadas;Penaltis_Provocados;Penaltis_Cometidos;Goles_Propia;Porterias_a_Cero;Porcentaje_Porterias_Cero;Goles_Encajados;Tiros_Puerta_Recibidos;Paradas;Porcentaje_Paradas;temporada
Ansu Fati;591;5;2;1;0;23;13;56,5;8;13;2;5;3;5;;;0;;;;;;;2020-2021
Carles Aleñá;172;0;0;1;0;4;0;0,0;5;3;0;2;0;1;;;0;;;;;;;2020-2021
Konrad De La Fuente;39;0;0;0;0;1;1;100,0;3;0;0;0;0;0;;;0;;;;;;;2020-2021
Matheus Fernandes;18;0;0;0;0;1;0;0,0;1;1;0;0;0;0;;;0;;;;;;;2020-2021
Arnau Tenas;;;;;;;;;;;;;;;;;;;;;;;;2020-2021
Iñaki Peña;;;;;;;;;;;;;;;;;;;;;;;;2020-2021
Rafinha;;;;;;;;;;;;;;;;;;;;;;;;2020-2021
Álex Collado;;;;;;;;;;;;;;;;;;;;;;;;2020-2021
Santi Ramos Mingo;;;;;;;;;;;;;;;;;;;;;;;;2020-2021
Marc-André ter Stegen;4470;0;0;3;0;0;0;;1;7;0;0;3;0;;;0;15;30,6;57;166;115;69,3;2021-2022
Sergio Busquets;4415;3;1;14;0;21;7;33,3;68;95;3;3;69;74;;;0;;;;;;;2021-2022
Jordi Alba;3887;3;12;14;0;41;9;22,0;35;27;14;190;55;46;;;0;;;;;;;2021-2022
Frenkie de Jong;3515;4;5;10;1;29;11;37,9;31;48;8;38;29;30;;;0;;;;;;;2021-2022
Ronald Araújo;3274;4;0;7;0;27;11;40,7;33;22;4;11;31;39;;;0;;;;;;;2021-2022
Gerard Piqué;3096;3;0;13;1;23;5;21,7;42;20;1;0;55;22;;;0;;;;;;;2021-2022
Gavi;3080;2;5;16;1;35;9;25,7;91;87;15;57;36;29;;;0;;;;;;;2021-2022
Eric García;2804;0;0;10;2;9;5;55,6;45;10;2;2;58;30;;;0;;;;;;;2021-2022
Memphis;2499;13;2;4;0;72;37;51,4;30;52;17;176;3;7;;;0;;;;;;;2021-2022
Sergiño Dest;2042;0;3;3;0;18;5;27,8;22;26;1;76;5;25;;;0;;;;;;;2021-2022
Ferrán Torres;1992;7;6;2;0;72;24;33,3;18;30;21;11;8;6;;;0;;;;;;;2021-2022
Ousmane Dembélé;1948;2;13;4;0;71;13;18,3;17;33;6;210;5;17;;;0;;;;;;;2021-2022
Pedri;1700;5;1;1;0;25;9;36,0;6;32;1;23;12;23;;;0;;;;;;;2021-2022
Nicolás González;1695;2;2;7;0;25;7;28,0;50;25;2;10;11;29;;;0;;;;;;;2021-2022
Pierre-Emerick Aubameyang;1501;13;1;0;0;52;24;46,2;11;10;8;8;3;3;;;0;;;;;;;2021-2022
Dani Alves;1385;1;4;3;1;6;2;33,3;32;12;1;97;12;24;;;0;;;;;;;2021-2022
Óscar Mingueza;1346;0;2;2;0;2;1;50,0;22;6;1;47;15;22;;;0;;;;;;;2021-2022
Clément Lenglet;1247;0;1;5;0;7;2;28,6;23;6;1;3;24;15;;;0;;;;;;;2021-2022
Luuk de Jong;949;7;0;1;0;38;16;42,1;10;15;10;1;1;7;;;0;;;;;;;2021-2022
Adama Traoré;735;0;4;0;0;13;4;30,8;11;12;3;61;3;3;;;0;;;;;;;2021-2022
Abde Ezzalzouli;689;1;0;4;0;18;4;22,2;18;16;2;17;10;11;;;0;;;;;;;2021-2022
Philippe Coutinho;614;2;0;1;0;28;8;28,6;8;17;2;21;4;4;;;0;;;;;;;2021-2022
Ansu Fati;580;6;0;0;0;25;10;40,0;14;15;5;4;1;3;;;0;;;;;;;2021-2022
Sergi Roberto;568;2;1;1;0;6;3;50,0;1;5;1;16;5;2;;;0;;;;;;;2021-2022
Riqui Puig;559;1;0;0;0;11;3;27,3;8;11;0;1;4;5;;;0;;;;;;;2021-2022
Ferran Jutglà;522;2;0;1;0;14;7;50,0;9;6;4;6;1;1;;;0;;;;;;;2021-2022
Neto;360;0;0;0;0;0;0;;0;0;0;0;0;0;;;0;0;0,0;5;16;11;68,8;2021-2022
Yusuf Demir;294;0;0;0;0;3;1;33,3;1;5;1;3;2;1;;;0;;;;;;;2021-2022
Antoine Griezmann;263;0;0;0;0;4;0;0,0;2;4;0;0;3;4;;;0;;;;;;;2021-2022
Martin Braithwaite;251;2;1;0;0;7;3;42,9;6;3;2;2;1;1;;;0;;;;;;;2021-2022
Alejandro Balde;209;0;0;0;0;2;0;0,0;5;4;0;7;1;1;;;0;;;;;;;2021-2022
Ilias Akhomach;169;0;0;0;0;5;2;40,0;4;6;0;7;0;1;;;0;;;;;;;2021-2022
Sergio Agüero;167;1;0;0;0;7;1;14,3;1;2;1;3;0;1;;;0;;;;;;;2021-2022
Emerson;91;0;0;0;0;0;0;;3;3;0;2;2;2;;;0;;;;;;;2021-2022
Samuel Umtiti;90;0;0;1;0;0;0;;0;1;1;0;0;2;;;0;;;;;;;2021-2022
;;;;;;;;;;;;;;;;;;;;;;;;2021-2022
Alvaro Sanz;46;0;0;0;0;1;0;0,0;0;2;0;0;0;0;;;0;;;;;;;2021-2022
Estanis;11;0;0;0;0;0;0;;1;0;0;0;0;1;;;0;;;;;;;2021-2022
Mika Mármol;1;0;0;0;0;0;0;;0;0;0;0;0;0;;;0;;;;;;;2021-2022
Arnau Tenas;;;;;;;;;;;;;;;;;;;;;;;;2021-2022
Iñaki Peña;;;;;;;;;;;;;;;;;;;;;;;;2021-2022
Lazar Carević;;;;;;;;;;;;;;;;;;;;;;;;2021-2022
Jandro Orellana;;;;;;;;;;;;;;;;;;;;;;;;2021-2022
Lucas De Vega;;;;;;;;;;;;;;;;;;;;;;;;2021-2022
Arnau Comas;;;;;;;;;;;;;;;;;;;;;;;;2021-2022
Guillem Jaime;;;;;;;;;;;;;;;;;;;;;;;;2021-2022
Miralem Pjanić;;;;;;;;;;;;;;;;;;;;;;;;2021-2022
Rey Manaj;;;;;;;;;;;;;;;;;;;;;;;;2021-2022
Marc-André ter Stegen;4457;0;0;0;0;0;0;;0;3;0;0;0;0;;;0;28;58,3;39;153;118;77,1;2022-2023
Robert Lewandowski;3948;33;8;5;1;179;80;44,7;55;67;32;30;4;18;;;0;;;;;;;2022-2023
Gavi;3510;3;7;15;0;34;9;26,5;96;100;14;53;28;50;;;0;;;;;;;2022-2023
Jules Koundé;3452;1;6;2;0;17;3;17,6;26;20;2;46;33;28;;;2;;;;;;;2022-2023
Frenkie de Jong;3279;2;4;3;0;21;12;57,1;38;52;2;47;43;37;;;0;;;;;;;2022-2023
Sergio Busquets;3274;0;4;13;1;11;2;18,2;44;57;0;10;47;50;;;0;;;;;;;2022-2023
Alejandro Balde;3119;1;6;5;0;26;5;19,2;32;40;5;88;14;34;;;0;;;;;;;2022-2023
Raphinha;2909;10;11;11;0;107;33;30,8;35;45;18;240;27;34;;;0;;;;;;;2022-2023
Pedri;2702;7;1;3;0;33;15;45,5;11;54;4;38;17;25;;;0;;;;;;;2022-2023
Ronald Araújo;2595;1;2;7;1;25;3;12,0;29;24;1;7;15;29;;;1;;;;;;;2022-2023
Andreas Christensen;2330;1;1;3;0;14;6;42,9;21;10;0;1;25;18;;;1;;;;;;;2022-2023
Ousmane Dembélé;2149;8;9;5;0;74;29;39,2;21;29;8;170;2;20;;;0;;;;;;;2022-2023
Marcos Alonso;1958;3;0;3;0;11;4;36,4;18;11;0;41;20;14;;;0;;;;;;;2022-2023
Jordi Alba;1919;2;6;7;1;15;5;33,3;12;7;11;120;18;24;;;0;;;;;;;2022-2023
Ferrán Torres;1901;7;3;7;1;50;17;34,0;25;28;17;74;3;10;;;0;;;;;;;2022-2023
Sergi Roberto;1878;4;3;7;0;24;9;37,5;28;12;2;30;17;18;;;0;;;;;;;2022-2023
Ansu Fati;1848;10;4;4;0;90;29;32,2;28;16;10;19;6;11;;;0;;;;;;;2022-2023
Eric García;1823;1;1;4;0;7;1;14,3;20;9;1;2;22;19;;;0;;;;;;;2022-2023
Franck Kessié;1816;3;3;5;0;31;11;35,5;37;33;3;11;16;17;;;0;;;;;;;2022-2023
Gerard Piqué;642;0;0;2;1;4;1;25,0;8;3;0;0;7;6;;;0;;;;;;;2022-2023
Héctor Bellerín;495;0;0;0;0;1;1;100,0;5;0;0;12;6;8;;;0;;;;;;;2022-2023
Iñaki Peña;373;0;0;0;0;0;0;;0;0;0;0;0;0;;;0;1;33,3;7;16;10;62,5;2022-2023
Pablo Torre;343;1;1;2;0;4;1;25,0;10;7;0;11;3;4;;;0;;;;;;;2022-2023
Memphis;203;1;0;0;0;7;3;42,9;2;2;2;7;0;1;;;0;;;;;;;2022-2023
Ángel Alarcón;36;0;0;0;0;1;1;100,0;3;1;0;1;0;0;;;0;;;;;;;2022-2023
Marc Casado;24;0;0;0;0;0;0;;0;1;0;0;0;0;;;0;;;;;;;2022-2023
Alvaro Sanz;14;0;0;0;0;0;0;;0;0;0;0;0;0;;;0;;;;;;;2022-2023
Pierre-Emerick Aubameyang;9;0;0;0;0;1;1;100,0;0;0;0;0;0;0;;;0;;;;;;;2022-2023
Lamine Yamal;8;0;0;0;0;1;1;100,0;0;0;0;1;0;0;;;0;;;;;;;2022-2023
Aleix Garrido;7;0;0;0;0;0;0;;0;0;0;1;0;1;;;0;;;;;;;2022-2023
Chadi Riad;2;0;0;0;0;0;0;;0;0;0;0;0;0;;;0;;;;;;;2022-2023
Arnau Tenas;;0;0;1;0;;;;;;;;;;;;;;;;;;;2022-2023
Miralem Pjanić;;;;;;;;;;;;;;;;;;;;;;;;2022-2023
Ander Astralaga;;;;;;;;;;;;;;;;;;;;;;;;2022-2023
Unai Hernandez;;;;;;;;;;;;;;;;;;;;;;;;2022-2023
Daniel Rodriguez;;;;;;;;;;;;;;;;;;;;;;;;2022-2023
Estanis;;;;;;;;;;;;;;;;;;;;;;;;2022-2023
Ilias Akhomach;;;;;;;;;;;;;;;;;;;;;;;;2022-2023
Marc Guiu;;;;;;;;;;;;;;;;;;;;;;;;2022-2023
Pau Prim;;;;;;;;;;;;;;;;;;;;;;;;2022-2023
Álex Valle;;;;;;;;;;;;;;;;;;;;;;;;2022-2023
İlkay Gündoğan;4179;5;14;6;0;63;23;36,5;25;59;7;215;27;28;;;0;;;;;;;2023-2024
Jules Koundé;4099;2;4;5;0;30;11;36,7;33;30;3;45;45;39;;;0;;;;;;;2023-2024
Robert Lewandowski;3790;26;9;6;0;129;61;47,3;37;74;31;20;9;11;;;0;;;;;;;2023-2024
João Cancelo;3311;4;5;8;0;42;15;35,7;51;33;4;108;51;69;;;0;;;;;;;2023-2024
Marc-André ter Stegen;3240;0;0;3;0;0;0;;0;1;0;0;0;0;;;0;14;38,9;37;130;96;73,8;2023-2024
Ronald Araújo;3025;1;2;10;2;30;10;33,3;34;15;0;8;19;38;;;0;;;;;;;2023-2024
Lamine Yamal;2961;7;7;6;0;85;26;30,6;34;62;5;112;29;51;;;0;;;;;;;2023-2024
Andreas Christensen;2775;3;2;8;0;19;6;31,6;34;17;0;0;30;26;;;0;;;;;;;2023-2024
Frenkie de Jong;2507;2;0;10;0;7;4;57,1;33;36;1;29;24;32;;;0;;;;;;;2023-2024
João Félix;2143;10;6;5;0;88;37;42,0;27;67;11;32;12;18;;;0;;;;;;;2023-2024
Pedri;2023;4;5;3;0;19;8;42,1;13;32;1;14;17;32;;;0;;;;;;;2023-2024
Alejandro Balde;2001;1;1;2;0;8;2;25,0;13;26;4;65;6;14;;;0;;;;;;;2023-2024
Ferrán Torres;2000;11;3;5;0;63;24;38,1;12;25;21;52;5;12;;;0;;;;;;;2023-2024
Raphinha;1942;10;11;5;1;88;37;42,0;22;41;7;107;16;17;;;0;;;;;;;2023-2024
Pau Cubarsí;1924;0;1;6;0;4;0;0,0;17;2;0;1;13;22;;;0;;;;;;;2023-2024
Fermin López;1904;11;1;4;0;65;30;46,2;53;27;11;20;5;29;;;0;;;;;;;2023-2024
Iñigo Martínez;1625;0;0;7;0;8;1;12,5;15;13;1;5;17;6;;;0;;;;;;;2023-2024
Iñaki Peña;1560;0;0;0;0;0;0;;0;1;0;0;0;0;;;0;3;17,6;32;72;42;58,3;2023-2024
Oriol Romeu;1440;0;1;4;0;13;2;15,4;20;21;0;9;13;30;;;0;;;;;;;2023-2024
Sergi Roberto;1311;3;3;9;0;13;5;38,5;17;14;1;16;9;15;;;0;;;;;;;2023-2024
Gavi;1170;2;1;8;1;13;7;53,8;40;26;4;9;9;25;;;0;;;;;;;2023-2024
Héctor Fort;565;0;3;1;0;1;0;0,0;13;3;1;10;3;10;;;0;;;;;;;2023-2024
Marcos Alonso;391;0;0;0;0;4;3;75,0;10;7;0;22;6;3;;;0;;;;;;;2023-2024
Vitor Roque;364;2;0;4;1;15;7;46,7;13;12;2;3;1;2;;;0;;;;;;;2023-2024
Marc Guiu;185;2;0;2;0;10;4;40,0;4;5;1;0;0;0;;;0;;;;;;;2023-2024
Abde Ezzalzouli;68;0;0;0;0;4;1;25,0;1;3;0;7;0;1;;;0;;;;;;;2023-2024
Eric García;57;0;0;1;0;1;0;0,0;1;0;0;0;0;0;;;0;;;;;;;2023-2024
Ansu Fati;50;0;0;0;0;7;1;14,3;0;4;1;0;1;0;;;0;;;;;;;2023-2024
Marc Casado;39;0;0;0;0;0;0;;0;3;0;1;2;1;;;0;;;;;;;2023-2024
Ander Astralaga;;;;;;;;;;;;;;;;;;;;;;;;2023-2024
Aleix Garrido;;;;;;;;;;;;;;;;;;;;;;;;2023-2024
Ángel Alarcón;;;;;;;;;;;;;;;;;;;;;;;;2023-2024
Unai Hernandez;;;;;;;;;;;;;;;;;;;;;;;;2023-2024
Diego Kochen;;;;;;;;;;;;;;;;;;;;;;;;2023-2024
Mikayil Ngor Faye;;;;;;;;;;;;;;;;;;;;;;;;2023-2024
Pau Victor;;;;;;;;;;;;;;;;;;;;;;;;2023-2024
Pau Prim;;;;;;;;;;;;;;;;;;;;;;;;2023-2024
Áron Yaakobishvili;;;;;;;;;;;;;;;;;;;;;;;;2023-2024
Raphinha;4649;34;22;7;0;194;78;40,2;22;58;21;317;21;34;;;0;;;;;;;2024-2025
Pedri;4618;6;8;3;0;38;15;39,5;14;79;2;83;47;71;;;0;;;;;;;2024-2025
Lamine Yamal;4532;18;21;3;0;222;84;37,8;49;100;24;152;28;40;;;0;;;;;;;2024-2025
Jules Koundé;4418;4;8;6;0;30;11;36,7;41;32;8;95;38;55;;;0;;;;;;;2024-2025
Pau Cubarsí;4206;1;4;5;1;12;3;25,0;39;17;1;2;38;35;;;0;;;;;;;2024-2025
Iñigo Martínez;3967;3;5;9;0;19;5;26,3;29;36;0;15;31;29;;;0;;;;;;;2024-2025
Robert Lewandowski;3905;42;3;3;0;157;71;45,2;46;67;21;9;6;9;;;0;;;;;;;2024-2025
Alejandro Balde;3484;1;8;4;0;18;5;27,8;25;49;0;87;15;22;;;0;;;;;;;2024-2025
Wojciech Szczęsny;2725;0;0;0;1;0;0;;4;4;0;0;0;1;;;0;14;46,7;36;98;66;67,3;2024-2025
Frenkie de Jong;2499;2;2;7;0;10;4;40,0;33;30;0;7;33;27;;;0;;;;;;;2024-2025
Marc Casado;2443;1;6;5;1;20;2;10,0;47;47;0;11;27;51;;;0;;;;;;;2024-2025
Eric García;2119;5;3;4;1;21;12;57,1;33;14;0;8;28;28;;;0;;;;;;;2024-2025
Fermin López;2051;8;9;6;1;64;27;42,2;41;30;9;63;5;31;;;0;;;;;;;2024-2025
Iñaki Peña;1968;0;0;1;0;0;0;;0;0;0;0;0;0;;;0;6;28,6;25;65;43;67,7;2024-2025
Ferrán Torres;1933;19;7;2;1;74;36;48,6;8;25;9;23;5;6;;;0;;;;;;;2024-2025
Dani Olmo;1927;12;6;1;0;67;28;41,8;30;40;1;36;10;22;;;0;;;;;;;2024-2025
Gerard Martín;1805;1;6;4;0;8;2;25,0;23;17;0;60;29;26;;;0;;;;;;;2024-2025
Gavi;1691;3;2;6;0;17;4;23,5;47;39;1;13;17;31;;;0;;;;;;;2024-2025
Ronald Araújo;1562;2;2;4;0;11;5;45,5;19;5;0;0;15;16;;;1;;;;;;;2024-2025
Marc-André ter Stegen;764;0;0;0;0;0;0;;0;2;0;0;0;0;;;0;1;11,1;11;30;20;66,7;2024-2025
Héctor Fort;647;0;0;2;0;8;1;12,5;12;1;0;15;10;11;;;0;;;;;;;2024-2025
Pablo Torre;425;4;3;0;0;8;5;62,5;7;11;1;21;6;5;;;0;;;;;;;2024-2025
Pau Victor;397;2;1;3;0;16;9;56,3;10;3;0;3;3;2;;;0;;;;;;;2024-2025
Ansu Fati;303;0;0;1;0;16;7;43,8;3;3;2;1;1;1;;;0;;;;;;;2024-2025
Andreas Christensen;262;0;0;3;0;1;0;0,0;5;0;0;0;4;3;;;0;;;;;;;2024-2025
Marc Bernal;242;0;0;2;0;2;1;50,0;4;3;0;0;1;6;;;0;;;;;;;2024-2025
Sergi Dominguez;236;0;0;1;0;1;0;0,0;4;0;0;2;5;3;;;0;;;;;;;2024-2025
Daniel Rodriguez;37;0;0;0;0;2;0;0,0;0;0;0;3;0;0;;;0;;;;;;;2024-2025
Toni Fernández;10;0;0;0;0;0;0;;0;0;0;3;0;0;;;0;;;;;;;2024-2025
Andres Cuenca;7;0;0;0;0;0;0;;0;0;0;0;0;1;;;0;;;;;;;2024-2025
Áron Yaakobishvili;;;;;;;;;;;;;;;;;;;;;;;;2024-2025
Landry Farré;;;;;;;;;;;;;;;;;;;;;;;;2024-2025
Guillermo Fernandez;;;;;;;;;;;;;;;;;;;;;;;;2024-2025
Diego Kochen;;;;;;;;;;;;;;;;;;;;;;;;2024-2025
Ander Astralaga;;;;;;;;;;;;;;;;;;;;;;;;2024-2025
Noah Darvich;;;;;;;;;;;;;;;;;;;;;;;;2024-2025
Álex Valle;;;;;;;;;;;;;;;;;;;;;;;;2024-2025
Alexis Olmedo;;;;;;;;;;;;;;;;;;;;;;;;2024-2025
Álvaro Cortés;;;;;;;;;;;;;;;;;;;;;;;;2024-2025
