id_partido_sb,fecha,rival,competicion,formacion_oficial
265857,2014-03-23,Real Madrid,La Liga,4-3-3
266883,2013-11-10,Real Betis,La Liga,4-3-3
266603,2014-03-08,Real Valladolid,La Liga,4-3-3
265837,2014-02-22,Real Sociedad,La Liga,4-3-3
266462,2013-10-19,Osasuna,La Liga,4-3-3
267192,2013-10-29,Celta Vigo,La Liga,4-3-3
266420,2013-09-28,Almería,La Liga,4-3-3
266015,2012-12-22,Real Valladolid,La Liga,4-3-3
70270,2012-09-22,Granada,La Liga,4-3-3
70281,2013-05-05,Real Betis,La Liga,4-3-3
70308,2012-11-03,Celta Vigo,La Liga,4-3-3
70282,2013-02-03,Valencia,La Liga,4-3-3
266724,2012-11-11,Mallorca,La Liga,4-3-3
70272,2013-03-02,Real Madrid,La Liga,4-3-3
70304,2012-10-20,RC Deportivo La Coruña,La Liga,4-3-3
70280,2012-11-25,Levante UD,La Liga,4-3-3
70296,2012-12-16,Atlético Madrid,La Liga,4-3-3
70297,2013-02-10,Getafe,La Liga,4-3-3
266433,2013-01-06,Espanyol,La Liga,4-3-3
70256,2013-03-30,Celta Vigo,La Liga,4-3-3
70259,2012-08-19,Real Sociedad,La Liga,4-3-3
70260,2013-01-27,Osasuna,La Liga,4-3-3
70263,2012-12-01,Athletic Club,La Liga,4-3-3
70276,2012-10-27,Rayo Vallecano,La Liga,4-3-3
70287,2013-01-19,Real Sociedad,La Liga,4-3-3
70284,2013-05-12,Atlético Madrid,La Liga,4-3-3
70275,2012-09-29,Sevilla,La Liga,4-3-3
70286,2012-09-02,Valencia,La Liga,4-3-3
70309,2012-11-17,Real Zaragoza,La Liga,4-3-3
70300,2012-10-07,Real Madrid,La Liga,4-3-3
70295,2012-12-09,Real Betis,La Liga,4-3-3
70307,2013-03-17,Rayo Vallecano,La Liga,4-3-3
70305,2013-03-09,RC Deportivo La Coruña,La Liga,4-3-3
266827,2013-01-13,Málaga,La Liga,4-3-3
267502,2013-04-27,Athletic Club,La Liga,4-3-3
70271,2013-02-23,Sevilla,La Liga,4-3-3
70294,2013-02-16,Granada,La Liga,4-3-3
70262,2012-08-26,Osasuna,La Liga,4-3-3
70292,2012-09-15,Getafe,La Liga,4-3-3
69328,2012-02-19,Valencia,La Liga,4-3-3
69329,2011-10-22,Sevilla,La Liga,4-3-3
70219,2012-04-07,Real Zaragoza,La Liga,4-3-3
69331,2011-11-19,Real Zaragoza,La Liga,4-3-3
69337,2012-02-26,Atlético Madrid,La Liga,4-3-3
69322,2012-03-11,Racing Santander,La Liga,3-5-1-1
69316,2012-02-04,Real Sociedad,La Liga,4-3-3
69332,2011-11-29,Rayo Vallecano,La Liga,4-3-3
69335,2012-01-22,Málaga,La Liga,4-3-3
69330,2011-11-06,Athletic Club,La Liga,3-5-1-1
69297,2011-09-24,Atlético Madrid,La Liga,4-3-3
69325,2012-03-24,Mallorca,La Liga,3-4-1-2
69324,2012-04-21,Real Madrid,La Liga,3-5-1-1
70225,2012-03-20,Granada,La Liga,4-3-3
69293,2011-10-15,Racing Santander,La Liga,4-3-3
70223,2011-09-21,Valencia,La Liga,3-4-2-1
69333,2011-12-03,Levante UD,La Liga,3-5-1-1
69264,2011-09-10,Real Sociedad,La Liga,4-3-3
69343,2012-04-10,Getafe,La Liga,3-5-2
69340,2012-05-02,Málaga,La Liga,4-3-3
69265,2011-10-02,Sporting Gijón,La Liga,4-3-3
69319,2012-05-12,Real Betis,La Liga,4-3-3
69334,2011-12-10,Real Madrid,La Liga,4-3-3
69327,2012-01-15,Real Betis,La Liga,3-4-2-1
69315,2011-11-26,Getafe,La Liga,4-3-3
69336,2012-02-11,Osasuna,La Liga,4-3-3
69326,2012-03-17,Sevilla,La Liga,4-3-3
69268,2011-08-29,Villarreal,La Liga,3-4-3
69320,2012-05-05,Espanyol,La Liga,4-3-3
69312,2012-01-08,Espanyol,La Liga,4-3-3
69314,2011-10-29,Mallorca,La Liga,4-4-1-1
69318,2011-10-25,Granada,La Liga,4-3-3
69338,2012-01-28,Villarreal,La Liga,3-5-1-1
70220,2011-09-17,Osasuna,La Liga,4-1-2-1-2
70224,2012-04-29,Rayo Vallecano,La Liga,4-3-3
70221,2012-04-14,Levante UD,La Liga,3-5-1-1
69323,2012-03-31,Athletic Club,La Liga,4-3-3
69276,2011-02-05,Atlético Madrid,La Liga,4-3-3
69304,2011-04-02,Villarreal,La Liga,4-3-3
69307,2010-12-04,Osasuna,La Liga,4-3-3
69271,2011-04-23,Osasuna,La Liga,4-3-3
69305,2011-04-09,Almería,La Liga,4-3-3
69278,2011-01-16,Málaga,La Liga,4-3-3
69275,2010-12-18,Espanyol,La Liga,4-3-3
69295,2011-01-22,Racing Santander,La Liga,4-3-3
69270,2010-11-07,Getafe,La Liga,4-3-3
69303,2011-03-19,Getafe,La Liga,4-3-3
69245,2011-04-16,Real Madrid,La Liga,4-3-3
69287,2010-09-11,Hércules,La Liga,4-3-3
69296,2011-01-29,Hércules,La Liga,4-3-3
69260,2010-10-16,Valencia,La Liga,4-3-3
69269,2010-09-19,Atlético Madrid,La Liga,4-1-2-1-2
69246,2011-04-30,Real Sociedad,La Liga,4-3-3
69302,2010-12-12,Real Sociedad,La Liga,4-3-3
69282,2011-02-20,Athletic Club,La Liga,4-3-3
69274,2011-03-02,Valencia,La Liga,3-5-1-1
69283,2011-02-26,Mallorca,La Liga,4-3-3
69280,2011-01-08,RC Deportivo La Coruña,La Liga,4-3-3
69286,2010-08-29,Racing Santander,La Liga,4-3-3
69291,2011-03-13,Sevilla,La Liga,4-3-3
69236,2010-10-03,Mallorca,La Liga,4-3-3
69234,2011-05-08,Espanyol,La Liga,4-3-3
69272,2011-05-11,Levante UD,La Liga,4-3-3
69308,2010-11-13,Villarreal,La Liga,4-3-3
69299,2010-11-29,Real Madrid,La Liga,4-3-3
69300,2011-03-05,Real Zaragoza,La Liga,4-3-3
69289,2010-10-30,Sevilla,La Liga,4-3-3
69263,2010-10-23,Real Zaragoza,La Liga,3-4-1-2
69306,2010-11-20,Almería,La Liga,4-3-3
69248,2011-02-12,Sporting Gijón,La Liga,4-3-3
69243,2010-01-16,Sevilla,La Liga,4-3-3
69241,2010-05-04,Tenerife,La Liga,4-3-3
69239,2010-05-08,Sevilla,La Liga,4-3-3
69257,2010-03-24,Osasuna,La Liga,4-3-3
69253,2009-10-25,Real Zaragoza,La Liga,4-3-3
69244,2010-05-01,Villarreal,La Liga,4-3-3
69277,2009-10-31,Osasuna,La Liga,4-3-3
69229,2009-09-12,Getafe,La Liga,4-3-3
69219,2010-01-10,Tenerife,La Liga,4-3-3
69218,2009-12-05,RC Deportivo La Coruña,La Liga,4-3-3
69250,2009-11-07,Mallorca,La Liga,4-3-3
69242,2010-05-16,Real Valladolid,La Liga,4-3-3
69256,2009-10-03,Almería,La Liga,4-3-3
69298,2010-03-27,Mallorca,La Liga,4-3-3
69259,2010-04-10,Real Madrid,La Liga,4-3-3
69224,2010-03-14,Valencia,La Liga,4-3-3
69210,2010-01-23,Real Valladolid,La Liga,4-3-3
69220,2010-01-30,Sporting Gijón,La Liga,4-3-3
69237,2010-02-14,Atlético Madrid,La Liga,4-3-3
69226,2010-03-06,Almería,La Liga,4-3-3
69252,2009-10-17,Valencia,La Liga,4-3-3
69255,2009-09-26,Málaga,La Liga,4-3-3
69214,2010-04-24,Xerez,La Liga,4-3-3
69262,2009-11-29,Real Madrid,La Liga,4-3-3
69240,2010-02-06,Getafe,La Liga,4-3-3
69233,2010-02-20,Racing Santander,La Liga,4-3-3
69213,2010-04-17,Espanyol,La Liga,4-3-3
69238,2010-02-27,Málaga,La Liga,4-2-3-1
69267,2009-12-02,Xerez,La Liga,4-3-3
69288,2009-11-21,Athletic Club,La Liga,4-3-3
69254,2009-09-22,Racing Santander,La Liga,4-3-3
69292,2009-09-19,Atlético Madrid,La Liga,4-3-3
69227,2010-03-21,Real Zaragoza,La Liga,4-3-3
69247,2010-04-03,Athletic Club,La Liga,4-4-2
69221,2010-04-14,RC Deportivo La Coruña,La Liga,4-3-3
69225,2008-12-13,Real Madrid,La Liga,4-3-3
69212,2008-10-04,Atlético Madrid,La Liga,4-3-3
69235,2008-11-01,Málaga,La Liga,4-3-3
69232,2008-10-25,Almería,La Liga,4-3-3
69216,2009-03-07,Athletic Club,La Liga,4-3-3
69209,2009-02-01,Racing Santander,La Liga,4-3-3
69231,2009-02-08,Sporting Gijón,La Liga,4-3-3
69217,2009-05-10,Villarreal,La Liga,4-3-3
69273,2009-04-04,Real Valladolid,La Liga,4-3-3
69222,2009-04-11,Recreativo Huelva,La Liga,4-3-3
69223,2009-04-18,Getafe,La Liga,4-3-3
69195,2009-02-14,Real Betis,La Liga,4-3-3
69251,2009-04-25,Valencia,La Liga,4-3-3
69185,2009-03-01,Atlético Madrid,La Liga,4-3-3
69142,2009-03-22,Málaga,La Liga,4-3-3
69139,2009-02-21,Espanyol,La Liga,4-3-3
69189,2009-01-24,CD Numancia de Soria,La Liga,4-3-3
69171,2008-11-29,Sevilla,La Liga,4-3-3
69249,2009-05-02,Real Madrid,La Liga,4-3-3
69215,2008-09-13,Racing Santander,La Liga,4-3-3
69138,2008-09-21,Sporting Gijón,La Liga,4-3-3
69147,2008-08-31,CD Numancia de Soria,La Liga,4-3-3
69177,2009-03-15,Almería,La Liga,4-3-3
69207,2008-09-24,Real Betis,La Liga,4-3-3
69228,2008-12-21,Villarreal,La Liga,4-3-3
69183,2009-01-17,RC Deportivo La Coruña,La Liga,4-3-3
69279,2008-11-08,Real Valladolid,La Liga,4-3-3
69285,2008-11-16,Recreativo Huelva,La Liga,4-3-3
69211,2008-09-27,Espanyol,La Liga,4-3-3
69230,2009-01-11,Osasuna,La Liga,4-3-3
69149,2008-12-06,Valencia,La Liga,4-3-3
69151,2007-09-29,Levante UD,La Liga,4-3-3
69144,2007-10-07,Atlético Madrid,La Liga,4-3-3
69169,2007-09-02,Athletic Club,La Liga,4-3-3
68360,2008-02-24,Levante UD,La Liga,4-3-3
69186,2008-05-17,Real Murcia CF,La Liga,4-3-3
69180,2007-08-26,Racing Santander,La Liga,4-3-3
69143,2007-09-26,Real Zaragoza,La Liga,4-3-3
69181,2008-01-27,Athletic Club,La Liga,4-3-3
68365,2008-03-01,Atlético Madrid,La Liga,4-3-3
69178,2007-11-10,Getafe,La Liga,4-3-3
68364,2007-10-20,Villarreal,La Liga,4-3-3
69170,2007-12-09,RC Deportivo La Coruña,La Liga,4-3-3
68359,2008-04-19,Espanyol,La Liga,4-3-3
68356,2007-12-01,Espanyol,La Liga,4-3-3
69158,2007-10-28,Almería,La Liga,4-3-3
69187,2008-02-03,Osasuna,La Liga,4-3-3
68363,2007-11-01,Real Valladolid,La Liga,4-3-3
69166,2007-11-04,Real Betis,La Liga,4-3-3
68366,2008-05-11,Mallorca,La Liga,4-3-3
69148,2007-09-22,Sevilla,La Liga,4-3-3
69184,2007-11-24,Recreativo Huelva,La Liga,4-3-3
69173,2008-01-20,Racing Santander,La Liga,4-3-3
69146,2008-02-09,Sevilla,La Liga,4-3-3
69182,2008-02-16,Real Zaragoza,La Liga,4-3-3
68358,2008-04-12,Recreativo Huelva,La Liga,4-3-3
68361,2008-05-07,Real Madrid,La Liga,4-3-3
69141,2008-05-04,Valencia,La Liga,4-3-3
69145,2007-12-15,Valencia,La Liga,4-3-3
69176,2007-05-20,Atlético Madrid,La Liga,4-3-3
69179,2007-04-07,Real Zaragoza,La Liga,3-4-3
68334,2007-03-03,Sevilla,La Liga,3-4-3
68333,2007-02-25,Athletic Club,La Liga,4-3-3
68336,2007-06-17,Gimnàstic Tarragona,La Liga,4-3-3
68326,2006-08-28,Celta Vigo,La Liga,4-3-3
69162,2007-05-13,Real Betis,La Liga,4-3-3
68335,2007-03-10,Real Madrid,La Liga,3-4-3
68332,2007-02-18,Valencia,La Liga,4-3-3
68330,2006-10-22,Real Madrid,La Liga,4-3-3
68329,2006-10-15,Sevilla,La Liga,4-3-3
68341,2007-03-17,Recreativo Huelva,La Liga,4-3-3
69165,2007-06-09,Espanyol,La Liga,4-3-3
69155,2007-04-22,Villarreal,La Liga,4-3-3
69154,2007-02-11,Racing Santander,La Liga,4-3-3
69156,2007-04-29,Levante UD,La Liga,4-3-3
